Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,34.6,5.0,16,892,837,153,293,5.7,4
1,1,15,36.3,3.7,13,775,862,111,293,7.1,3
1,1,16,34.2,4.8,16,664,959,75,270,6.2,4
1,1,17,34.6,6.6,18,447,889,61,270,5.7,1
1,1,18,27.7,8.3,29,211,429,47,270,3.5,4
1,1,19,24.1,9.9,41,36,16,8,113,2.2,4
1,1,20,18.5,10.8,61,0,0,0,113,1.5,0
1,1,21,18.0,11.6,66,0,0,0,113,0.8,0
1,1,22,15.9,11.6,76,0,0,0,90,0.7,0
1,1,23,15.1,11.0,76,0,0,0,90,0.5,0
1,1,24,13.4,10.6,83,0,0,0,90,1.3,0
1,2,1,12.9,9.9,82,0,0,0,90,1.8,0
1,2,2,13.2,10.1,81,0,0,0,90,2.6,0
1,2,3,12.8,9.2,79,0,0,0,90,2.6,4
1,2,4,13.1,9.4,78,0,0,0,90,2.6,4
1,2,5,12.6,9.9,84,22,0,22,90,2.1,1
1,2,6,14.2,10.3,77,186,399,56,90,1.7,1
1,2,7,15.2,10.6,74,403,813,75,113,1.1,1
1,2,8,17.5,9.9,61,614,917,78,113,0.5,1
1,2,9,18.7,10.1,57,808,973,86,113,0.1,3
1,2,10,21.0,9.2,47,972,1005,103,0,0.0,3
1,2,11,23.1,7.6,37,1022,835,233,0,0.0,9
1,2,12,25.7,6.5,29,922,615,322,0,0.0,9
1,2,13,27.7,5.3,24,1036,777,294,338,0.5,9
1,2,14,28.8,7.7,27,997,805,283,338,1.0,9
1,2,15,29.8,5.0,21,758,676,233,338,0.8,9
1,2,16,29.7,6.0,22,425,249,281,0,0.0,9
1,2,17,29.7,2.6,18,300,271,172,0,0.0,9
1,2,18,27.4,9.3,32,103,48,92,0,0.0,6
1,2,19,25.6,10.9,40,47,16,39,45,0.1,6
1,2,20,22.6,14.3,59,0,0,0,45,0.5,8
1,2,21,21.3,13.2,60,0,0,0,0,0.0,6
1,2,22,19.2,13.5,70,0,0,0,0,0.0,5
1,2,23,17.6,13.5,77,0,0,0,0,0.0,3
1,2,24,15.6,13.6,88,0,0,0,0,0.0,5
1,3,1,14.2,13.3,94,0,0,0,0,0.0,4
1,3,2,14.0,12.3,89,0,0,0,0,0.0,0
1,3,3,12.9,12.7,99,0,0,0,0,0.0,4
1,3,4,13.1,12.6,97,0,0,0,0,0.0,4
1,3,5,13.0,11.6,91,22,0,22,0,0.0,1
1,3,6,15.6,12.1,80,167,110,139,0,0.0,1
1,3,7,18.0,11.6,66,375,610,125,0,0.0,1
1,3,8,21.2,14.2,64,592,848,97,0,0.0,1
1,3,9,24.4,9.5,39,786,930,97,0,0.0,1
1,3,10,28.1,7.7,28,939,980,92,338,4.0,1
1,3,11,32.3,-2.8,10,1064,1027,94,338,7.2,3
1,3,12,34.8,3.2,14,1111,1047,92,338,7.6,1
1,3,13,37.3,0.5,10,1097,1049,97,315,9.2,1
1,3,14,38.3,3.1,11,1003,1029,94,315,9.3,1
1,3,15,39.8,-2.1,7,853,969,108,315,10.7,3
1,3,16,39.7,-1.7,7,658,823,150,270,10.5,4
1,3,17,39.0,1.4,10,433,735,111,270,9.8,4
1,3,18,37.7,1.7,11,150,211,92,270,8.2,5
1,3,19,36.3,3.4,13,14,16,8,338,6.5,5
1,3,20,35.3,1.4,12,0,0,0,338,5.1,3
1,3,21,33.5,4.9,17,0,0,0,338,3.0,6
1,3,22,32.3,4.7,18,0,0,0,0,0.0,6
1,3,23,30.9,4.4,19,0,0,0,0,0.0,6
1,3,24,30.1,1.7,16,0,0,0,0,0.0,6
1,4,1,29.2,0.4,16,0,0,0,315,0.3,6
1,4,2,28.0,1.7,18,0,0,0,315,2.1,6
1,4,3,27.0,-1.3,15,0,0,0,315,1.0,6
1,4,4,25.6,-0.2,18,0,0,0,135,1.5,6
1,4,5,24.2,-3.7,15,8,1,8,135,1.0,9
1,4,6,23.0,4.0,29,169,271,94,135,2.7,5
1,4,7,22.0,6.4,36,369,550,142,68,3.2,4
1,4,8,21.5,10.7,50,597,798,134,68,4.1,1
1,4,9,21.3,10.0,48,769,816,167,68,3.8,1
1,4,10,21.7,11.3,52,908,832,190,68,4.1,1
1,4,11,23.0,10.9,46,936,670,302,68,3.6,1
1,4,12,23.3,11.7,48,1067,919,172,68,4.7,1
1,4,13,24.0,11.4,45,1053,950,147,68,5.2,1
1,4,14,23.0,10.9,46,956,923,140,68,7.2,1
1,4,15,24.2,10.2,41,786,828,152,68,6.2,1
1,4,16,23.5,9.5,41,597,734,145,90,6.6,1
1,4,17,23.6,9.1,40,372,482,158,90,5.1,1
1,4,18,20.7,8.9,47,172,213,114,90,6.7,5
1,4,19,18.9,8.9,52,22,9,21,90,6.3,5
1,4,20,16.8,9.3,61,0,0,0,90,6.7,4
1,4,21,15.9,9.2,64,0,0,0,90,4.8,5
1,4,22,14.8,9.6,71,0,0,0,113,3.8,5
1,4,23,14.0,9.2,73,0,0,0,113,2.6,3
1,4,24,13.9,10.3,79,0,0,0,113,2.1,5
1,5,1,13.9,10.3,79,0,0,0,90,1.6,6
1,5,2,14.0,9.8,76,0,0,0,90,1.5,9
1,5,3,14.1,10.0,76,0,0,0,90,1.4,9
1,5,4,14.0,9.6,75,0,0,0,113,1.9,9
1,5,5,14.0,9.8,76,6,0,6,113,2.6,9
1,5,6,13.7,9.0,73,47,0,47,113,3.4,10
1,5,7,13.8,9.2,74,111,6,108,90,4.2,10
1,5,8,14.3,10.1,76,144,0,144,90,4.1,10
1,5,9,14.9,9.8,72,189,0,189,90,5.2,8
1,5,10,16.1,9.9,67,164,0,164,68,5.3,6
1,5,11,17.4,8.2,55,850,579,303,68,6.7,8
1,5,12,19.4,9.9,54,944,685,278,68,4.6,4
1,5,13,21.2,9.6,47,1031,844,228,23,4.1,3
1,5,14,22.3,10.8,48,975,957,131,23,2.1,1
1,5,15,23.6,8.8,39,819,900,128,23,3.0,1
1,5,16,23.9,8.4,37,631,830,119,45,2.7,1
1,5,17,24.7,7.3,33,417,701,108,45,2.6,1
1,5,18,22.7,8.8,41,189,297,108,45,2.6,5
1,5,19,21.2,9.4,47,22,15,19,90,2.7,5
1,5,20,18.6,10.8,60,0,0,0,90,4.1,4
1,5,21,17.7,10.6,63,0,0,0,90,2.6,4
1,5,22,16.0,11.1,73,0,0,0,90,2.4,4
1,5,23,14.4,10.5,77,0,0,0,90,0.5,4
