Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,23.3,14.3,57,793,366,454,0,3.8,7
1,1,15,22.9,13.5,55,623,226,435,0,4.0,8
1,1,16,22.5,13.7,58,468,143,368,0,3.6,8
1,1,17,22.0,13.9,60,304,96,252,0,3.2,9
1,1,18,21.6,14.1,62,150,27,141,0,2.7,9
1,1,19,21.2,14.3,65,36,0,36,0,2.3,9
1,1,20,20.8,14.5,67,1,0,1,0,1.9,10
1,1,21,20.4,14.7,70,0,0,0,160,1.5,10
1,1,22,20.0,15.0,73,0,0,0,160,1.2,10
1,1,23,19.6,15.3,76,0,0,0,160,1.0,10
1,1,24,19.2,15.7,80,0,0,0,160,0.7,10
1,2,1,18.8,15.9,83,0,0,0,160,0.5,10
1,2,2,18.4,16.2,87,0,0,0,160,0.2,10
1,2,3,18.0,16.5,91,0,0,0,0,0.0,10
1,2,4,18.0,16.5,91,0,0,0,0,0.0,10
1,2,5,18.1,16.7,91,0,0,0,0,0.0,9
1,2,6,18.3,16.9,92,24,0,24,0,0.0,9
1,2,7,18.9,17.2,90,129,38,117,0,0.0,9
1,2,8,19.4,17.5,89,258,73,222,0,0.0,9
1,2,9,20.0,17.8,87,383,66,339,0,0.0,9
1,2,10,21.0,18.3,85,487,72,429,0,0.9,9
1,2,11,22.0,18.8,82,562,127,446,0,1.7,9
1,2,12,23.0,19.3,80,603,126,482,320,2.6,9
1,2,13,21.3,18.6,84,538,64,476,320,3.1,9
1,2,14,19.6,17.8,89,436,37,402,320,3.6,10
1,2,15,17.9,16.9,94,315,11,306,360,4.1,10
1,2,16,17.9,16.9,93,253,7,248,360,3.4,10
1,2,17,18.0,16.8,93,178,2,177,360,2.7,10
1,2,18,18.0,16.7,92,97,0,97,360,2.1,10
1,2,19,18.0,16.7,92,26,0,26,360,1.4,10
1,2,20,18.1,16.6,91,1,0,1,360,0.7,10
1,2,21,18.1,16.5,90,0,0,0,0,0.0,10
