Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,25.8,7.0,30,725,349,417,270,0.5,3
1,1,15,25.1,6.8,31,624,385,332,270,1.7,5
1,1,16,24.5,6.6,32,469,343,264,270,1.9,5
1,1,17,23.5,6.6,34,282,207,197,270,2.1,8
1,1,18,22.2,6.6,36,109,66,95,90,2.4,6
1,1,19,20.7,6.4,39,9,3,9,90,2.6,6
1,1,20,19.3,6.1,42,0,0,0,90,2.1,4
1,1,21,18.0,5.7,44,0,0,0,90,2.9,6
1,1,22,16.9,5.3,46,0,0,0,90,3.0,6
1,1,23,16.1,4.8,47,0,0,0,90,2.9,6
1,1,24,15.2,4.5,49,0,0,0,90,2.8,6
1,2,1,14.8,4.0,48,0,0,0,0,0.0,6
1,2,2,14.7,3.8,48,0,0,0,0,0.0,6
1,2,3,14.9,3.8,47,0,0,0,0,0.0,6
1,2,4,15.5,4.0,46,0,0,0,0,0.0,6
1,2,5,14.8,4.5,50,11,3,10,0,0.0,10
1,2,6,17.5,5.3,45,136,151,99,0,0.0,5
1,2,7,19.0,5.9,42,349,497,146,293,1.4,5
1,2,8,22.1,6.6,37,576,725,145,293,3.1,1
1,2,9,22.4,7.0,37,760,780,169,293,2.6,4
1,2,10,24.1,7.4,34,876,734,228,293,3.2,4
1,2,11,25.7,7.4,31,931,656,300,293,3.7,6
1,2,12,26.8,7.4,29,946,618,335,270,4.0,4
1,2,13,27.6,7.2,27,931,665,291,270,4.0,4
1,2,14,27.6,7.0,27,876,750,214,270,4.1,5
1,2,15,27.6,6.8,27,760,803,152,270,3.3,4
1,2,16,27.0,6.8,28,576,757,126,270,2.8,5
1,2,17,26.4,6.6,28,349,543,127,270,2.6,4
1,2,18,24.9,6.4,31,136,173,92,270,1.9,4
1,2,19,23.8,6.4,33,11,3,10,270,1.7,4
1,2,20,22.5,6.1,35,0,0,0,270,1.0,4
1,2,21,21.6,5.7,35,0,0,0,270,1.6,4
1,2,22,20.7,5.3,36,0,0,0,270,1.6,4
1,2,23,19.9,4.8,37,0,0,0,270,1.6,4
1,2,24,19.4,4.5,37,0,0,0,270,1.3,4
1,3,1,18.7,4.0,38,0,0,0,0,0.0,4
1,3,2,18.1,3.8,39,0,0,0,0,0.0,4
1,3,3,17.7,3.8,40,0,0,0,0,0.0,4
1,3,4,17.7,4.0,40,0,0,0,0,0.0,4
1,3,5,17.5,4.5,42,11,3,10,0,0.0,4
1,3,6,18.9,5.3,41,138,165,97,0,0.0,4
1,3,7,20.2,5.9,39,357,543,135,45,1.8,4
1,3,8,22.4,6.6,36,589,774,129,45,3.6,4
1,3,9,23.6,7.0,34,776,828,150,45,3.3,3
1,3,10,25.3,7.2,31,893,781,205,315,4.1,3
1,3,11,26.6,7.4,30,949,703,274,315,4.1,6
1,3,12,27.9,7.4,27,965,665,307,315,5.0,6
1,3,13,28.4,7.2,26,949,712,265,270,5.0,6
1,3,14,28.0,7.2,27,893,797,191,270,4.6,6
1,3,15,28.2,7.0,26,776,849,134,270,4.2,4
1,3,16,27.4,6.8,27,589,803,112,270,3.6,4
1,3,17,27.4,6.6,27,357,588,117,270,3.6,3
1,3,18,25.5,6.4,29,138,188,90,270,2.4,3
1,3,19,24.4,6.1,31,11,3,10,270,2.0,3
1,3,20,23.0,5.9,33,0,0,0,270,1.0,3
1,3,21,22.5,5.7,34,0,0,0,270,1.5,5
1,3,22,21.6,5.3,35,0,0,0,270,1.5,6
1,3,23,20.7,4.8,35,0,0,0,270,1.4,6
1,3,24,20.2,4.3,35,0,0,0,270,1.2,6
1,4,1,19.3,4.0,36,0,0,0,293,1.2,6
1,4,2,18.6,3.8,37,0,0,0,293,1.3,6
1,4,3,18.2,3.8,38,0,0,0,293,1.4,6
1,4,4,18.1,4.0,39,0,0,0,293,1.7,5
1,4,5,18.5,4.5,40,10,3,9,293,1.5,0
1,4,6,19.4,5.3,40,112,62,98,293,3.0,4
1,4,7,20.8,5.9,38,290,210,204,338,3.9,4
1,4,8,22.4,6.6,36,483,363,267,338,6.2,3
1,4,9,24.0,7.0,34,642,415,328,338,5.9,4
1,4,10,25.5,7.2,31,746,384,407,315,6.8,4
1,4,11,25.9,7.4,31,798,330,480,315,6.2,6
1,4,12,27.0,7.4,29,813,305,511,315,7.5,6
1,4,13,26.8,7.2,29,798,340,472,315,7.2,6
1,4,14,27.1,7.2,28,746,404,390,315,6.7,6
1,4,15,24.7,7.0,32,642,444,307,315,5.8,6
1,4,16,23.0,6.8,35,483,400,246,270,4.9,6
1,4,17,20.6,6.6,40,290,245,190,270,5.1,8
1,4,18,19.6,6.4,42,112,78,95,270,3.4,5
