Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,18.3,14.1,76,633,156,497,270,3.1,6
1,1,15,18.8,14.6,77,544,170,415,270,1.6,6
1,1,16,18.0,14.2,78,412,146,324,180,1.4,6
1,1,17,18.9,15.2,79,257,85,220,180,1.0,6
1,1,18,15.9,13.3,85,111,29,103,180,2.0,8
1,1,19,14.9,12.7,87,16,5,16,68,2.9,8
1,1,20,11.9,11.7,99,0,0,0,68,2.6,6
1,1,21,13.4,12.0,91,0,0,0,68,5.0,6
1,1,22,12.9,11.5,91,0,0,0,45,5.9,6
1,1,23,13.9,10.7,81,0,0,0,45,8.7,6
1,1,24,12.3,10.3,88,0,0,0,45,6.5,6
1,2,1,12.3,9.6,84,0,0,0,293,6.1,6
1,2,2,12.6,9.5,81,0,0,0,293,3.1,6
1,2,3,12.5,8.7,78,0,0,0,293,4.0,6
1,2,4,12.6,8.5,76,0,0,0,203,2.6,5
1,2,5,11.2,9.3,88,23,12,22,203,2.1,5
1,2,6,13.1,9.1,77,159,129,127,203,0.7,5
1,2,7,13.6,9.6,77,366,416,187,293,0.5,4
1,2,8,15.8,9.3,65,580,646,191,293,1.0,0
1,2,9,15.3,11.0,76,752,712,215,293,1.5,0
1,2,10,16.4,11.6,73,862,676,273,293,2.5,0
1,2,11,17.5,12.8,74,915,612,336,293,3.6,0
1,2,12,18.7,12.3,66,930,588,359,293,4.2,0
1,2,13,19.6,12.5,64,915,635,315,248,4.6,0
1,2,14,19.1,12.0,63,862,717,236,248,4.1,0
1,2,15,20.3,12.2,60,752,770,172,248,4.5,0
1,2,16,20.1,12.0,60,580,726,143,270,4.2,0
1,2,17,20.5,12.2,59,366,523,143,270,4.1,0
1,2,18,18.8,11.4,62,159,186,110,270,3.6,0
1,2,19,17.8,11.3,66,23,12,21,203,3.5,0
1,2,20,16.8,10.3,65,0,0,0,203,3.6,0
1,2,21,16.1,10.8,71,0,0,0,203,3.7,0
1,2,22,15.5,10.7,73,0,0,0,90,3.8,0
1,2,23,14.6,10.8,78,0,0,0,90,4.6,0
1,2,24,14.9,9.8,72,0,0,0,90,3.0,0
1,3,1,14.8,10.1,73,0,0,0,0,0.0,0
1,3,2,15.6,9.8,68,0,0,0,0,0.0,0
1,3,3,15.1,10.5,74,0,0,0,0,0.0,0
1,3,4,15.4,10.5,73,0,0,0,270,1.5,0
1,3,5,15.3,9.8,70,25,12,23,270,3.1,0
1,3,6,16.2,10.3,68,177,220,117,270,1.9,0
1,3,7,16.8,10.3,65,408,663,125,270,2.5,0
1,3,8,17.8,10.8,64,645,901,104,270,3.1,0
1,3,9,18.4,11.0,62,833,956,113,270,3.9,0
1,3,10,19.4,11.5,60,951,916,152,270,4.5,0
1,3,11,20.3,13.4,65,1007,850,202,270,4.1,0
1,3,12,21.5,12.8,58,1022,823,222,270,4.9,0
1,3,13,22.4,13.2,56,1007,867,186,248,4.6,0
1,3,14,23.1,11.4,48,951,944,128,248,4.1,0
1,3,15,23.6,13.1,52,833,991,87,248,3.1,0
1,3,16,23.7,12.6,50,645,953,73,270,2.3,0
1,3,17,24.0,12.5,49,408,758,87,270,2.6,0
1,3,18,23.1,10.8,46,177,280,93,270,1.2,0
1,3,19,22.5,10.0,45,25,12,21,0,0.0,0
1,3,20,21.0,10.0,49,0,0,0,0,0.0,0
1,3,21,21.0,9.1,46,0,0,0,0,0.0,0
1,3,22,20.3,9.1,49,0,0,0,45,2.6,0
1,3,23,20.4,9.6,50,0,0,0,45,4.1,0
1,3,24,19.2,9.8,54,0,0,0,45,3.9,0
1,4,1,18.8,10.0,57,0,0,0,23,4.5,0
1,4,2,18.5,7.7,49,0,0,0,23,4.6,0
1,4,3,18.6,9.6,56,0,0,0,23,4.9,0
1,4,4,18.7,8.7,52,0,0,0,0,4.7,0
1,4,5,18.7,9.3,54,24,12,22,0,4.1,0
1,4,6,19.5,7.4,45,173,202,119,0,3.9,0
1,4,7,20.3,7.6,44,399,618,136,0,3.5,0
1,4,8,21.4,11.0,51,632,859,117,0,3.6,0
1,4,9,22.2,10.9,49,818,916,128,0,3.1,0
1,4,10,23.4,13.6,54,934,877,170,338,3.1,0
1,4,11,24.7,13.1,48,990,811,223,338,3.1,0
1,4,12,25.4,18.8,67,1005,783,244,338,3.2,0
1,4,13,26.1,20.8,73,990,828,206,203,3.1,0
1,4,14,26.5,22.9,81,934,907,144,203,2.6,0
1,4,15,26.5,22.6,79,818,956,99,203,2.7,0
1,4,16,26.2,22.3,79,632,916,83,315,2.2,0
1,4,17,25.5,22.6,84,399,717,96,315,2.1,0
