Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,39.8,10.3,17,799,438,393,270,2.6,9
1,1,15,38.8,12.2,21,722,501,309,270,2.8,9
1,1,16,37.3,13.3,24,588,502,246,338,3.4,9
1,1,17,35.9,14.1,27,405,381,211,338,3.6,9
1,1,18,34.3,15.1,32,207,165,154,338,4.4,6
1,1,19,33.1,15.8,35,52,28,48,248,4.6,6
1,1,20,31.7,17.0,41,0,0,0,248,4.6,6
1,1,21,31.2,16.7,42,0,0,0,248,4.1,5
1,1,22,30.4,17.0,45,0,0,0,158,3.4,5
1,1,23,30.0,16.8,45,0,0,0,158,3.1,5
1,1,24,28.5,17.9,53,0,0,0,158,1.8,5
1,2,1,27.6,18.0,56,0,0,0,0,0.0,5
1,2,2,27.2,18.0,57,0,0,0,0,0.0,5
1,2,3,26.3,17.9,60,0,0,0,0,0.0,4
1,2,4,26.3,17.4,58,0,0,0,180,0.4,4
1,2,5,25.7,17.3,60,0,0,0,180,0.5,1
1,2,6,28.2,15.8,47,70,40,41,180,0.9,1
1,2,7,30.0,14.5,39,280,718,56,158,1.2,1
1,2,8,33.0,13.1,30,542,1007,34,158,2.1,1
1,2,9,34.4,11.9,26,780,1090,39,158,1.8,1
1,2,10,36.6,10.6,21,947,1089,49,180,2.0,1
1,2,11,39.2,8.0,15,1036,1032,80,180,2.6,1
1,2,12,40.0,8.0,15,1071,971,119,180,2.6,3
1,2,13,40.9,7.3,13,1071,968,122,180,2.9,3
1,2,14,39.6,8.4,15,1036,1024,87,180,1.5,6
1,2,15,41.3,6.2,12,947,1083,54,180,3.5,4
1,2,16,40.9,5.9,12,780,1089,40,225,3.7,4
1,2,17,41.7,4.4,10,542,987,44,225,5.7,4
1,2,18,39.4,5.2,12,280,663,72,225,3.7,5
1,2,19,38.2,5.0,13,70,40,47,203,3.4,5
1,2,20,36.8,4.7,14,0,0,0,203,2.6,5
1,2,21,35.3,4.2,14,0,0,0,203,2.4,5
1,2,22,33.6,3.7,15,0,0,0,0,0.0,5
1,2,23,30.7,2.8,17,0,0,0,0,0.0,5
1,2,24,29.5,4.2,20,0,0,0,0,0.0,5
1,3,1,27.8,4.0,22,0,0,0,293,0.9,5
1,3,2,28.2,5.0,23,0,0,0,293,2.6,5
1,3,3,26.0,3.4,23,0,0,0,293,1.3,4
1,3,4,26.2,3.1,22,0,0,0,180,1.7,4
1,3,5,25.5,2.5,22,0,0,0,180,1.5,0
1,3,6,28.6,3.4,20,70,39,40,180,2.7,0
1,3,7,30.6,3.7,18,282,740,52,135,3.0,0
1,3,8,33.8,4.0,15,548,1024,32,135,3.6,0
1,3,9,35.2,4.8,15,788,1100,39,135,3.4,0
1,3,10,37.2,5.0,14,957,1100,48,203,3.4,0
1,3,11,38.7,6.0,14,1047,1051,73,203,2.6,0
1,3,12,40.0,5.5,12,1081,992,109,203,3.3,1
1,3,13,40.7,5.5,12,1081,989,112,180,3.4,1
1,3,14,40.5,4.5,11,1047,1044,80,180,4.1,1
1,3,15,40.9,5.0,11,957,1100,51,180,3.7,1
1,3,16,40.7,4.7,11,788,1100,39,180,3.9,1
1,3,17,40.9,5.2,11,548,1007,40,180,4.6,1
1,3,18,39.5,4.5,12,282,687,67,180,4.1,4
1,3,19,38.6,4.2,12,70,39,46,180,3.9,4
1,3,20,36.9,4.2,13,0,0,0,180,2.1,5
1,3,21,36.0,3.9,14,0,0,0,180,2.9,5
1,3,22,34.4,3.7,15,0,0,0,180,2.2,5
1,3,23,32.3,2.2,15,0,0,0,180,2.1,5
1,3,24,30.7,2.5,17,0,0,0,180,1.5,5
1,4,1,29.1,1.6,17,0,0,0,135,1.1,5
1,4,2,28.9,1.6,17,0,0,0,135,2.1,5
1,4,3,27.0,0.3,18,0,0,0,135,0.9,5
1,4,4,26.8,0.3,18,0,0,0,0,0.0,4
1,4,5,25.8,2.5,22,0,0,0,0,0.0,0
1,4,6,28.8,2.5,18,67,39,41,0,0.0,3
1,4,7,30.8,4.2,19,274,684,61,45,2.5,1
1,4,8,34.2,3.4,14,532,980,39,45,3.6,1
1,4,9,35.6,7.6,18,767,1073,38,45,3.0,1
1,4,10,37.9,8.6,17,932,1066,54,338,3.0,1
1,4,11,40.3,10.6,17,1021,1005,90,338,3.1,1
1,4,12,41.5,9.4,15,1055,942,133,338,2.7,3
1,4,13,42.5,9.0,14,1055,938,136,315,2.6,4
1,4,14,41.3,9.0,15,1021,996,98,315,2.1,8
1,4,15,42.9,7.3,12,932,1056,62,315,2.9,8
1,4,16,42.5,6.4,11,767,1063,45,270,3.4,8
1,4,17,43.4,3.3,9,532,957,50,270,4.6,8
1,4,18,40.8,5.5,12,274,627,77,270,5.0,5
1,4,19,39.7,6.0,13,67,39,47,180,5.8,5
1,4,20,37.7,7.6,16,0,0,0,180,6.2,5
1,4,21,36.7,8.2,18,0,0,0,180,6.6,5
1,4,22,34.8,9.4,21,0,0,0,158,6.4,5
1,4,23,32.2,11.8,29,0,0,0,158,5.7,5
1,4,24,30.7,11.8,31,0,0,0,158,4.8,5
1,5,1,29.0,12.4,36,0,0,0,113,3.5,5
1,5,2,28.3,11.2,35,0,0,0,113,2.6,5
1,5,3,26.4,12.9,43,0,0,0,113,1.2,5
1,5,4,26.0,12.7,44,0,0,0,0,0.0,5
1,5,5,25.2,12.7,46,0,0,0,0,0.0,3
1,5,6,27.4,11.7,38,67,38,41,0,0.0,3
1,5,7,29.2,11.3,33,273,685,60,45,1.0,3
1,5,8,32.4,11.6,28,532,982,39,45,1.5,0
1,5,9,34.3,10.4,23,767,1074,38,45,2.8,1
1,5,10,37.0,10.2,20,932,1068,53,315,3.7,1
1,5,11,39.8,8.8,16,1021,1006,90,315,5.1,1
1,5,12,41.5,9.4,15,1055,944,132,315,4.6,1
1,5,13,42.9,9.0,13,1055,940,135,338,4.7,3
1,5,14,42.1,9.0,14,1021,998,97,338,4.1,5
1,5,15,43.3,8.3,12,932,1058,61,338,4.4,4
1,5,16,42.5,8.3,13,767,1064,45,248,4.3,4
1,5,17,42.6,8.3,13,532,959,50,248,4.1,4
1,5,18,40.0,9.1,16,273,628,77,248,4.3,5
1,5,19,38.5,10.1,18,67,38,47,203,4.6,5
1,5,20,36.9,11.5,22,0,0,0,203,5.1,5
1,5,21,35.6,12.2,24,0,0,0,203,5.0,5
1,5,22,34.2,12.8,27,0,0,0,180,5.1,5
1,5,23,32.1,13.2,32,0,0,0,180,5.1,5
1,5,24,31.6,12.4,31,0,0,0,180,4.5,5
1,6,1,30.4,11.6,31,0,0,0,180,4.0,5
1,6,2,29.4,10.0,30,0,0,0,180,2.6,6
