Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,35.5,9.0,20,945,770,230,293,5.7,8
1,1,15,33.1,8.8,22,352,49,301,293,7.6,9
1,1,16,31.4,8.6,24,130,3,128,225,7.6,9
1,1,17,28.8,7.6,26,27,0,27,225,10.3,10
1,1,18,27.6,8.8,31,12,0,12,225,6.9,10
1,1,19,26.1,9.2,34,1,1,1,270,6.3,9
1,1,20,24.8,11.1,42,0,0,0,270,3.1,9
1,1,21,24.1,10.7,43,0,0,0,270,4.6,8
1,1,22,23.6,11.4,46,0,0,0,68,3.7,6
1,1,23,24.1,11.5,45,0,0,0,68,3.6,6
1,1,24,23.1,12.3,51,0,0,0,68,2.5,6
1,2,1,23.1,12.6,52,0,0,0,23,2.6,6
1,2,2,21.9,13.1,57,0,0,0,23,3.6,8
1,2,3,22.7,12.8,54,0,0,0,23,4.1,8
1,2,4,22.5,12.9,55,0,0,0,23,5.4,8
1,2,5,22.4,12.8,55,8,0,8,23,6.2,8
1,2,6,22.6,13.3,56,58,7,56,23,8.2,8
1,2,7,23.2,13.4,54,289,207,199,0,9.5,8
1,2,8,25.2,13.7,49,537,553,198,0,10.8,8
1,2,9,25.2,13.9,50,662,476,296,0,11.3,4
1,2,10,26.4,14.0,46,896,783,146,0,11.8,3
1,2,11,26.4,14.1,47,907,651,262,0,11.8,3
1,2,12,28.3,13.9,41,1080,945,201,0,12.0,3
1,2,13,28.7,13.6,40,1021,826,188,90,11.9,4
1,2,14,28.6,13.3,39,827,713,167,90,12.3,5
1,2,15,27.9,12.8,39,804,870,114,90,11.6,6
1,2,16,26.7,12.3,41,623,861,110,45,11.4,8
1,2,17,26.1,11.7,41,160,8,156,45,10.8,8
1,2,18,23.9,11.7,46,53,0,53,45,10.9,9
1,2,19,22.4,11.5,50,2,0,2,0,10.6,9
1,2,20,20.5,11.6,57,0,0,0,0,9.8,8
1,2,21,20.0,11.4,58,0,0,0,0,9.8,8
1,2,22,19.1,11.4,61,0,0,0,113,9.3,6
1,2,23,18.4,11.6,65,0,0,0,113,9.8,5
1,2,24,17.6,10.9,65,0,0,0,113,8.9,5
1,3,1,17.1,10.7,66,0,0,0,113,8.4,5
1,3,2,17.1,10.7,66,0,0,0,113,7.7,0
1,3,3,16.7,11.0,69,0,0,0,113,7.7,4
1,3,4,16.9,11.4,70,0,0,0,113,7.7,4
