Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,31.5,16.7,41,878,715,247,270,3.1,1
1,1,15,32.5,14.9,35,761,781,171,270,2.8,1
1,1,16,32.5,14.8,34,576,732,142,248,2.7,1
1,1,17,32.5,13.7,32,346,492,146,248,3.1,1
1,1,18,30.9,16.4,42,132,138,100,248,1.8,1
1,1,19,29.6,17.7,49,11,3,9,0,0.0,1
1,1,20,27.8,19.6,61,0,0,0,0,0.0,1
1,1,21,26.9,19.5,64,0,0,0,0,0.0,5
1,1,22,25.7,19.7,69,0,0,0,0,0.0,5
1,1,23,24.8,19.6,73,0,0,0,0,0.0,4
1,1,24,24.2,19.5,75,0,0,0,0,0.0,4
1,2,1,23.7,18.6,73,0,0,0,68,0.6,4
1,2,2,24.0,18.3,70,0,0,0,68,2.1,0
1,2,3,23.1,17.6,71,0,0,0,68,1.7,0
1,2,4,23.0,17.8,73,0,0,0,68,2.1,0
1,2,5,22.2,19.2,83,12,3,8,68,1.0,0
1,2,6,23.3,19.5,79,144,235,82,68,2.7,0
1,2,7,23.8,20.6,82,379,739,81,68,2.8,0
1,2,8,25.2,19.6,71,629,953,65,68,4.1,0
1,2,9,25.9,21.4,76,830,990,81,68,3.1,1
1,2,10,27.4,21.0,68,954,932,131,23,3.4,1
1,2,11,29.1,21.8,65,1012,833,209,23,3.1,1
1,2,12,30.8,18.3,47,1027,774,260,23,4.2,1
1,2,13,32.3,16.4,39,1012,826,216,293,4.6,1
1,2,14,32.8,13.0,30,954,921,141,293,5.1,1
1,2,15,33.6,12.8,28,830,978,90,293,4.9,1
1,2,16,33.2,12.0,28,629,935,76,225,4.5,1
1,2,17,33.0,12.1,28,379,704,95,225,4.1,1
1,2,18,30.7,13.6,35,144,211,90,225,3.0,4
1,2,19,28.8,14.9,43,12,3,9,0,0.0,4
1,2,20,26.0,16.7,57,0,0,0,0,0.0,0
1,2,21,25.1,17.0,61,0,0,0,0,0.0,0
1,2,22,23.5,17.1,67,0,0,0,0,0.0,0
1,2,23,22.3,16.8,71,0,0,0,0,0.0,0
1,2,24,21.5,16.0,71,0,0,0,0,0.0,0
1,3,1,21.0,14.9,68,0,0,0,0,0.0,0
1,3,2,21.4,14.5,65,0,0,0,225,0.5,0
1,3,3,20.8,14.0,65,0,0,0,225,1.5,0
1,3,4,21.1,14.7,67,0,0,0,90,2.4,0
1,3,5,20.9,15.6,72,12,3,8,90,1.5,0
1,3,6,22.6,18.0,75,145,242,80,90,3.6,3
1,3,7,23.8,19.6,77,382,755,77,45,3.7,3
1,3,8,25.8,20.7,73,634,967,62,45,5.7,1
1,3,9,26.8,21.3,72,835,1004,76,45,3.4,1
1,3,10,28.6,21.0,64,960,947,124,338,3.2,1
1,3,11,30.2,21.2,59,1018,850,200,338,2.1,1
1,3,12,31.7,17.8,44,1034,792,249,338,3.0,1
1,3,13,32.8,15.3,35,1018,843,206,248,3.0,1
1,3,14,32.7,8.9,23,960,937,133,248,2.6,1
1,3,15,33.5,9.7,23,835,993,85,248,2.8,1
1,3,16,33.0,8.0,21,634,950,71,270,2.5,1
1,3,17,33.1,9.7,24,382,720,91,270,2.6,1
1,3,18,30.7,9.7,27,145,218,89,270,1.4,1
1,3,19,29.1,12.0,35,12,3,9,0,0.0,1
1,3,20,26.8,15.9,51,0,0,0,0,0.0,1
1,3,21,26.1,16.2,54,0,0,0,0,0.0,5
1,3,22,24.7,17.5,64,0,0,0,0,0.0,5
1,3,23,23.6,18.0,71,0,0,0,0,0.0,5
1,3,24,22.9,19.2,80,0,0,0,0,0.0,5
1,4,1,22.1,18.9,82,0,0,0,45,1.5,5
1,4,2,22.3,18.5,79,0,0,0,45,2.1,0
1,4,3,21.5,18.2,81,0,0,0,45,3.4,4
1,4,4,21.7,18.1,80,0,0,0,45,4.2,4
1,4,5,22.2,19.0,82,11,2,8,45,5.1,1
1,4,6,23.2,18.7,76,144,246,79,45,5.2,3
1,4,7,24.4,19.1,72,382,764,75,23,5.4,3
1,4,8,25.6,18.5,65,635,975,59,23,6.2,3
1,4,9,27.4,19.4,62,838,1012,73,23,5.5,3
1,4,10,28.9,18.9,55,964,955,120,0,5.7,3
1,4,11,29.9,19.1,52,1022,859,194,0,4.6,1
1,4,12,31.2,16.1,40,1037,802,243,0,6.6,3
1,4,13,31.7,13.9,34,1022,852,201,270,7.2,3
1,4,14,32.7,9.2,24,964,945,129,270,8.2,3
1,4,15,31.2,8.8,25,838,1001,82,270,8.1,3
1,4,16,30.3,6.6,23,635,958,69,248,8.0,3
1,4,17,28.5,6.9,26,382,730,89,248,9.3,1
1,4,18,27.5,5.5,25,144,221,88,248,6.6,4
1,4,19,25.9,6.7,29,11,2,9,225,5.3,4
1,4,20,23.5,9.0,40,0,0,0,225,1.0,0
1,4,21,22.4,9.2,43,0,0,0,225,2.1,0
1,4,22,20.8,10.2,51,0,0,0,225,0.7,0
1,4,23,19.3,10.4,56,0,0,0,225,1.0,0
1,4,24,17.6,11.1,66,0,0,0,0,0.0,0
1,5,1,16.5,10.7,69,0,0,0,0,0.0,0
1,5,2,16.2,9.8,66,0,0,0,0,0.0,0
1,5,3,15.2,9.6,69,0,0,0,0,0.0,0
1,5,4,15.2,9.1,67,0,0,0,270,0.9,0
1,5,5,14.4,9.5,72,11,2,8,270,0.5,0
1,5,6,16.5,8.5,59,146,259,77,270,2.7,0
1,5,7,17.8,8.5,54,387,794,69,225,3.6,0
1,5,8,20.3,8.7,47,644,1001,53,225,5.1,0
1,5,9,20.9,8.9,46,849,1038,65,225,4.7,1
1,5,10,22.5,8.7,41,976,983,108,270,5.1,1
1,5,11,23.6,7.6,36,1034,890,177,270,5.1,1
1,5,12,25.0,7.9,34,1050,834,223,270,5.4,1
1,5,13,25.8,7.2,31,1034,883,184,270,5.4,1
1,5,14,25.8,7.0,30,976,974,116,270,5.1,1
1,5,15,26.3,6.0,27,849,1027,73,270,4.7,1
