Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,16.0,15.9,99,339,3,337,0,6.2,10
1,1,15,16.6,16.3,98,277,2,275,0,5.3,10
1,1,16,16.4,16.3,99,198,2,197,23,5.0,10
1,1,17,16.5,16.5,100,117,1,117,23,4.1,10
1,1,18,15.9,15.9,100,48,0,48,23,4.3,10
1,1,19,15.6,15.6,100,6,0,6,23,4.3,10
1,1,20,16.5,15.7,95,0,0,0,23,5.1,10
1,1,21,15.4,15.4,100,0,0,0,23,4.8,10
1,1,22,15.5,15.5,100,0,0,0,23,5.3,10
1,1,23,15.5,15.5,100,0,0,0,23,5.7,10
1,1,24,16.3,16.1,99,0,0,0,0,6.7,10
1,2,1,16.3,15.9,97,0,0,0,0,6.8,10
1,2,2,16.8,16.3,97,0,0,0,0,6.2,10
1,2,3,16.0,15.7,98,0,0,0,0,5.8,10
1,2,4,15.7,15.5,99,0,0,0,23,4.8,10
1,2,5,15.5,15.5,100,0,0,0,23,5.1,10
1,2,6,15.3,15.3,100,4,0,4,23,2.7,10
1,2,7,15.4,15.2,99,18,0,18,0,0.0,10
1,2,8,15.0,14.1,94,47,0,47,0,0.0,9
1,2,9,16.6,14.8,89,90,0,89,0,0.0,10
1,2,10,17.6,14.5,82,135,0,135,293,2.6,10
1,2,11,20.0,15.1,73,170,0,170,293,4.6,10
1,2,12,20.1,14.3,69,184,0,183,293,4.2,10
1,2,13,21.1,14.1,64,170,0,170,270,4.9,10
1,2,14,21.0,14.4,66,135,0,135,270,5.1,10
1,2,15,22.0,14.1,61,89,0,89,270,5.1,10
1,2,16,21.6,14.1,62,47,0,47,270,4.7,9
1,2,17,21.0,13.4,62,18,0,18,270,3.6,9
1,2,18,19.6,14.0,70,4,0,4,270,3.4,8
1,2,19,18.3,13.9,76,0,0,0,248,2.7,8
1,2,20,17.0,13.6,80,0,0,0,248,2.6,3
1,2,21,15.7,13.2,85,0,0,0,248,2.1,6
1,2,22,14.7,12.9,89,0,0,0,248,2.1,5
1,2,23,14.2,12.6,90,0,0,0,248,2.3,5
1,2,24,13.9,12.2,89,0,0,0,270,2.5,5
1,3,1,14.0,12.0,88,0,0,0,270,2.5,5
1,3,2,14.5,11.9,84,0,0,0,270,2.6,5
1,3,3,14.7,12.6,87,0,0,0,270,2.4,6
1,3,4,15.2,13.2,88,0,0,0,315,2.4,6
1,3,5,15.0,14.2,95,8,3,7,315,3.1,3
1,3,6,16.3,14.5,89,90,19,86,315,3.0,6
1,3,7,17.0,15.0,88,235,68,207,315,3.7,6
1,3,8,18.5,15.2,81,396,131,319,315,3.1,5
1,3,9,18.9,15.0,78,534,156,418,315,5.6,5
1,3,10,20.1,14.5,70,629,139,509,248,6.6,5
1,3,11,21.5,13.1,59,679,109,576,248,9.3,8
1,3,12,22.4,12.7,54,694,90,606,248,8.0,5
1,3,13,23.2,11.7,48,680,92,592,270,8.1,5
1,3,14,22.5,11.7,50,634,105,541,270,6.2,3
1,3,15,23.2,10.6,45,547,111,461,270,6.9,5
1,3,16,22.3,10.6,47,417,91,361,248,5.7,5
1,3,17,22.0,10.6,48,261,48,240,248,5.1,1
1,3,18,19.2,11.3,60,112,14,109,248,3.1,5
1,3,19,17.3,11.6,69,15,2,15,248,1.9,5
1,3,20,15.1,11.3,78,0,0,0,248,1.0,0
1,3,21,14.1,11.6,85,0,0,0,248,0.7,0
1,3,22,13.0,11.1,88,0,0,0,248,0.7,0
1,3,23,12.4,10.5,88,0,0,0,248,1.0,0
1,3,24,12.2,9.2,82,0,0,0,248,1.3,0
1,4,1,12.1,8.5,79,0,0,0,248,1.7,0
1,4,2,13.0,8.1,72,0,0,0,248,3.1,0
1,4,3,12.4,7.7,73,0,0,0,248,2.9,0
1,4,4,12.7,8.1,74,0,0,0,225,3.4,0
1,4,5,12.0,8.1,77,10,3,10,225,3.1,0
1,4,6,14.0,9.8,76,127,137,96,225,3.9,0
1,4,7,15.0,10.8,76,329,476,139,68,3.9,0
1,4,8,17.5,12.3,72,549,714,134,68,3.1,0
1,4,9,18.0,11.8,67,730,770,160,68,3.4,3
1,4,10,19.9,11.7,59,847,712,230,23,3.1,3
1,4,11,21.5,10.7,50,905,608,328,23,4.1,1
1,4,12,23.6,10.7,44,920,537,394,23,2.6,3
1,4,13,24.9,9.8,38,906,555,373,23,2.6,4
1,4,14,24.5,9.6,39,855,629,297,23,2.6,3
1,4,15,25.5,8.9,35,750,682,225,23,3.2,4
1,4,16,24.6,9.1,37,581,633,192,113,3.8,4
1,4,17,25.0,9.1,36,369,412,188,113,3.1,5
1,4,18,21.0,10.3,50,160,123,129,113,5.3,5
1,4,19,18.7,11.2,62,22,12,21,90,5.9,5
1,4,20,15.0,12.4,84,0,0,0,90,7.7,3
1,4,21,14.6,12.4,87,0,0,0,90,6.8,6
1,4,22,13.0,12.7,98,0,0,0,90,6.9,6
1,4,23,12.0,12.0,100,0,0,0,90,6.8,6
1,4,24,11.5,11.5,100,0,0,0,90,5.9,6
1,5,1,11.3,11.3,100,0,0,0,90,5.5,6
1,5,2,12.5,10.7,89,0,0,0,90,4.1,8
1,5,3,11.5,10.2,92,0,0,0,90,5.1,6
1,5,4,11.7,9.3,85,0,0,0,90,5.1,5
1,5,5,11.2,9.3,88,11,3,10,90,5.1,3
1,5,6,12.7,8.8,77,121,120,96,90,5.5,4
1,5,7,13.4,9.0,75,317,412,153,68,5.7,4
1,5,8,14.5,9.9,74,531,644,158,68,7.7,1
1,5,9,15.8,9.7,67,708,702,189,68,5.7,1
1,5,10,17.2,10.1,63,824,643,267,90,5.5,1
1,5,11,19.2,8.8,51,880,540,369,90,3.1,1
1,5,12,20.3,10.2,52,896,470,435,90,4.9,3
1,5,13,21.4,10.0,48,882,486,415,68,4.7,3
1,5,14,21.8,10.9,50,831,556,339,68,5.1,3
1,5,15,22.3,9.5,44,728,606,262,68,4.4,4
1,5,16,21.8,9.5,45,564,557,222,45,4.4,4
1,5,17,21.2,9.3,47,357,349,204,45,5.1,1
1,5,18,19.4,9.7,53,155,100,130,45,4.5,1
1,5,19,17.8,10.0,60,21,10,20,90,4.6,1
1,5,20,15.5,10.0,70,0,0,0,90,4.1,1
1,5,21,14.5,10.4,76,0,0,0,90,4.5,5
1,5,22,13.2,10.2,82,0,0,0,90,4.4,5
1,5,23,12.2,10.0,86,0,0,0,90,4.3,5
1,5,24,11.2,9.8,91,0,0,0,90,4.5,5
1,6,1,10.7,9.1,90,0,0,0,90,4.3,5
1,6,2,11.2,9.3,88,0,0,0,90,5.1,0
1,6,3,10.3,8.2,87,0,0,0,90,4.2,4
1,6,4,10.5,8.2,86,0,0,0,45,4.3,4
1,6,5,9.8,8.2,90,11,3,9,45,4.1,1
1,6,6,11.7,8.9,83,130,168,90,45,4.5,4
1,6,7,12.7,9.8,82,343,585,112,23,4.5,4
1,6,8,14.5,10.4,76,573,827,97,23,4.1,4
1,6,9,15.7,11.7,77,764,881,113,23,4.2,4
1,6,10,17.5,12.3,72,886,828,170,338,4.0,4
1,6,11,19.8,13.0,65,945,726,257,338,4.1,10
1,6,12,20.9,13.1,61,960,654,319,338,3.4,10
1,6,13,22.2,13.3,57,946,673,301,293,3.2,10
1,6,14,22.2,14.0,60,894,749,230,293,2.6,10
1,6,15,23.4,13.5,54,786,804,168,293,3.4,10
1,6,16,23.1,13.8,56,612,760,145,158,3.7,10
1,6,17,23.0,13.4,55,389,532,156,158,5.1,10
1,6,18,21.2,14.5,66,169,173,126,158,4.2,8
1,6,19,19.7,14.7,73,23,12,22,225,4.3,8
1,6,20,17.5,15.0,85,0,0,0,225,3.1,9
1,6,21,16.5,15.0,91,0,0,0,225,3.8,6
1,6,22,15.1,14.6,97,0,0,0,225,3.3,6
1,6,23,14.0,14.0,100,0,0,0,225,2.7,6
1,6,24,12.5,12.5,100,0,0,0,225,2.4,6
1,7,1,12.0,12.0,100,0,0,0,225,2.1,6
1,7,2,12.5,11.6,94,0,0,0,225,2.6,5
1,7,3,12.2,11.3,94,0,0,0,225,2.0,5
1,7,4,12.8,11.4,91,0,0,0,225,2.3,5
1,7,5,12.0,11.1,94,7,3,7,225,2.6,1
1,7,6,15.1,13.0,87,90,24,85,225,3.1,1
1,7,7,16.6,14.1,85,241,91,205,225,3.4,1
1,7,8,20.0,16.0,78,410,176,308,225,2.6,1
