Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,28.7,19.0,56,732,295,474,90,4.1,5
1,1,15,28.5,19.9,60,632,320,390,90,4.9,5
1,1,16,28.5,20.2,61,480,268,319,68,4.5,5
1,1,17,27.8,20.9,66,296,140,236,68,4.6,5
1,1,18,27.1,20.9,69,122,35,114,68,3.6,6
1,1,19,25.9,21.2,75,14,4,14,68,3.1,6
1,1,20,24.5,21.4,83,0,0,0,68,2.7,6
1,1,21,23.1,21.5,91,0,0,0,68,2.5,6
1,1,22,21.9,21.6,98,0,0,0,68,2.4,6
1,1,23,21.0,21.0,100,0,0,0,68,2.2,6
1,1,24,20.5,20.5,100,0,0,0,0,0.0,6
1,2,1,20.1,20.1,100,0,0,0,0,0.0,6
1,2,2,20.1,20.1,100,0,0,0,0,0.0,6
1,2,3,20.3,20.3,100,0,0,0,0,0.0,6
1,2,4,20.6,20.2,98,0,0,0,0,0.0,6
1,2,5,21.0,19.8,93,18,8,16,0,0.0,8
1,2,6,21.9,19.7,87,155,210,99,0,0.0,8
1,2,7,22.8,19.5,82,374,635,108,0,0.0,8
1,2,8,24.0,19.3,75,602,848,95,0,0.0,8
1,2,9,25.0,19.2,70,786,888,115,0,0.0,4
1,2,10,26.1,19.1,65,901,830,173,90,0.9,3
1,2,11,26.9,19.2,63,956,736,254,90,1.5,4
1,2,12,28.0,18.5,56,971,681,304,90,2.9,4
1,2,13,28.5,18.1,53,956,716,273,135,3.8,4
1,2,14,29.0,17.1,49,901,797,201,135,4.6,4
1,2,15,28.3,17.4,52,786,846,146,135,5.0,4
1,2,16,27.5,17.1,53,602,788,130,158,5.1,4
1,2,17,26.1,17.5,59,374,537,148,158,5.1,3
1,2,18,25.0,17.1,62,155,162,117,158,4.5,5
1,2,19,23.6,17.5,69,18,8,17,158,4.0,6
1,2,20,22.2,17.9,77,0,0,0,158,3.5,6
1,2,21,21.0,18.3,85,0,0,0,158,3.1,6
1,2,22,20.1,18.5,91,0,0,0,158,2.7,6
1,2,23,19.5,18.6,95,0,0,0,158,2.4,6
1,2,24,19.0,18.6,98,0,0,0,0,0.0,6
1,3,1,18.8,18.4,98,0,0,0,0,0.0,6
1,3,2,18.8,17.9,95,0,0,0,0,0.0,6
1,3,3,18.9,17.4,91,0,0,0,0,0.0,8
1,3,4,19.1,17.0,88,0,0,0,0,0.0,8
1,3,5,19.7,17.3,86,11,3,11,0,0.0,9
1,3,6,19.8,16.7,82,97,17,93,0,0.0,9
1,3,7,20.4,16.7,79,237,53,214,0,0.0,9
1,3,8,20.9,15.9,73,389,96,331,0,0.0,9
1,3,9,21.9,16.9,73,518,113,433,0,0.0,9
1,3,10,22.9,17.2,70,607,100,519,0,0.0,9
1,3,11,23.6,17.4,68,654,81,578,0,0.0,9
1,3,12,24.6,17.3,64,669,70,601,0,0.0,6
1,3,13,25.2,17.3,62,654,74,584,90,2.3,6
1,3,14,26.0,18.1,62,607,85,532,90,3.1,8
1,3,15,25.0,16.8,60,518,88,452,90,3.5,8
1,3,16,24.1,16.4,62,389,69,348,90,3.7,8
1,3,17,22.8,16.0,65,237,34,222,90,3.7,8
1,3,18,21.2,15.5,70,97,9,95,90,3.3,8
1,3,19,19.5,14.9,75,11,1,11,90,2.9,6
1,3,20,17.8,14.5,81,0,0,0,90,2.3,6
1,3,21,16.4,14.2,87,0,0,0,90,1.8,6
1,3,22,15.4,14.2,93,0,0,0,0,0.0,6
1,3,23,15.0,14.4,96,0,0,0,0,0.0,6
1,3,24,14.3,13.9,97,0,0,0,0,0.0,6
1,4,1,14.8,14.8,100,0,0,0,0,0.0,6
1,4,2,15.7,15.7,100,0,0,0,0,0.0,8
1,4,3,16.7,16.7,100,0,0,0,0,0.0,8
1,4,4,17.7,17.7,100,0,0,0,0,0.0,9
1,4,5,19.3,18.9,98,3,0,3,0,0.0,10
1,4,6,19.1,19.1,100,27,0,27,0,0.0,9
1,4,7,19.4,19.0,98,72,0,72,0,0.0,10
1,4,8,20.1,18.6,91,132,1,132,0,0.0,9
1,4,9,19.4,17.3,88,196,1,195,0,0.0,10
1,4,10,19.2,15.7,80,252,1,251,0,0.0,9
1,4,11,17.2,14.2,83,291,1,290,0,0.0,10
1,4,12,19.1,12.4,65,304,1,303,0,0.0,10
1,4,13,19.1,10.9,59,291,1,290,158,1.9,10
1,4,14,20.9,8.9,46,252,1,252,158,3.1,10
1,4,15,19.0,9.3,53,196,1,196,158,2.4,10
1,4,16,18.8,9.3,54,132,0,132,225,2.4,9
1,4,17,17.8,10.7,63,72,0,72,225,2.6,9
1,4,18,17.3,10.5,64,27,0,27,225,2.2,9
1,4,19,16.1,11.1,72,3,0,3,225,2.0,8
1,4,20,14.7,11.6,82,0,0,0,225,1.9,8
1,4,21,13.2,11.8,91,0,0,0,225,1.8,6
1,4,22,11.9,11.9,100,0,0,0,225,1.7,6
1,4,23,10.8,10.8,100,0,0,0,225,1.7,6
1,4,24,10.0,10.0,100,0,0,0,0,0.0,6
1,5,1,9.7,9.7,100,0,0,0,0,0.0,6
1,5,2,9.9,9.9,100,0,0,0,0,0.0,6
1,5,3,10.7,10.7,100,0,0,0,0,0.0,6
1,5,4,11.8,11.4,97,0,0,0,0,0.0,6
1,5,5,12.7,11.7,94,9,1,9,0,0.0,1
1,5,6,14.9,11.6,81,80,7,78,0,0.0,6
1,5,7,16.6,11.4,71,198,19,190,0,0.0,6
1,5,8,18.7,11.1,61,329,35,308,0,0.0,5
1,5,9,19.6,10.7,56,443,42,412,0,0.0,6
1,5,10,20.9,10.2,50,524,39,490,203,1.2,6
1,5,11,21.5,9.4,46,570,32,539,203,2.6,9
1,5,12,22.5,9.6,44,584,28,556,203,1.4,9
1,5,13,22.9,9.8,43,570,29,542,0,0.0,9
1,5,14,23.0,10.7,46,524,32,496,0,0.0,9
1,5,15,22.8,11.3,48,443,32,419,0,0.0,8
1,5,16,22.4,12.1,52,329,24,315,0,0.0,8
1,5,17,22.1,13.2,57,198,12,193,0,0.0,8
1,5,18,20.8,13.9,65,80,4,79,0,0.0,8
1,5,19,19.9,14.2,70,9,1,9,0,0.0,8
1,5,20,18.8,14.4,76,0,0,0,0,0.0,6
