Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,27.4,19.2,61,624,211,439,68,1.5,9
1,1,15,27.1,19.5,63,534,210,375,68,1.1,9
1,1,16,26.0,19.7,68,402,170,300,180,1.5,9
1,1,17,25.1,20.7,77,246,96,206,180,1.5,9
1,1,18,24.3,20.4,79,102,32,94,180,2.1,9
1,1,19,23.7,20.8,84,12,5,12,180,2.3,9
1,1,20,23.7,20.5,82,0,0,0,180,2.1,9
1,1,21,23.3,21.0,87,0,0,0,180,2.5,9
1,1,22,23.3,20.9,86,0,0,0,180,2.5,9
1,1,23,23.2,20.9,87,0,0,0,180,2.6,9
1,1,24,23.2,20.5,85,0,0,0,180,2.4,8
1,2,1,22.9,20.3,85,0,0,0,180,2.2,8
1,2,2,22.3,20.3,88,0,0,0,180,2.6,10
1,2,3,22.2,20.3,89,0,0,0,180,1.8,10
1,2,4,22.0,20.5,91,0,0,0,158,1.5,10
1,2,5,22.6,20.6,88,17,8,16,158,1.0,10
1,2,6,22.7,20.9,90,146,165,105,158,1.0,6
1,2,7,23.6,21.1,86,351,484,147,0,0.0,5
1,2,8,24.4,21.3,83,565,697,147,0,0.0,6
1,2,9,25.9,21.2,75,738,759,164,0,0.0,4
1,2,10,27.1,21.1,70,849,733,206,68,1.4,4
1,2,11,28.0,20.7,65,903,681,254,68,3.1,3
1,2,12,28.5,20.8,63,918,656,275,68,2.7,4
1,2,13,28.7,20.6,62,903,682,253,68,3.5,4
1,2,14,28.4,20.8,63,849,735,204,68,3.6,6
1,2,15,27.9,20.4,64,738,763,162,68,4.9,4
1,2,16,27.3,20.4,66,565,702,144,68,5.2,5
1,2,17,26.9,20.2,67,351,491,144,68,5.7,3
1,2,18,26.1,20.4,71,146,168,103,68,4.9,3
1,2,19,25.7,20.4,73,17,8,15,68,4.3,3
1,2,20,25.0,20.4,76,0,0,0,68,2.6,3
1,2,21,25.2,20.4,75,0,0,0,68,2.8,5
1,2,22,25.1,20.5,76,0,0,0,45,2.0,6
1,2,23,25.0,20.7,77,0,0,0,45,2.6,6
1,2,24,24.5,20.8,80,0,0,0,45,1.0,6
1,3,1,24.1,20.9,82,0,0,0,0,0.0,6
1,3,2,24.0,20.9,83,0,0,0,0,0.0,4
1,3,3,23.6,21.1,86,0,0,0,0,0.0,5
1,3,4,23.5,21.1,86,0,0,0,0,0.0,5
1,3,5,23.3,21.0,87,20,8,16,0,0.0,3
1,3,6,24.4,20.8,80,171,285,86,0,0.0,3
1,3,7,25.3,20.3,74,409,790,79,0,1.0,3
1,3,8,26.7,20.4,68,656,993,63,0,1.5,3
