Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,15.5,9.0,65,572,87,497,90,1.0,4
1,1,15,19.4,9.8,54,489,92,419,90,3.0,6
1,1,16,18.8,10.0,57,369,78,322,293,3.2,6
1,1,17,21.4,9.9,48,229,45,209,293,4.6,8
1,1,18,17.2,10.4,64,99,16,95,293,4.2,8
1,1,19,16.3,10.7,69,15,3,15,225,4.7,8
1,1,20,13.3,11.4,88,0,0,0,225,4.1,6
1,1,21,14.3,11.4,83,0,0,0,225,5.2,6
1,1,22,13.3,11.6,89,0,0,0,225,5.1,6
1,1,23,12.4,11.7,95,0,0,0,225,4.6,6
1,1,24,11.0,11.0,100,0,0,0,0,0.0,6
1,2,1,10.4,10.4,100,0,0,0,0,0.0,6
1,2,2,10.1,10.1,100,0,0,0,0,0.0,6
1,2,3,10.2,10.2,100,0,0,0,0,0.0,6
1,2,4,10.6,10.1,97,0,0,0,180,0.3,6
1,2,5,11.2,11.2,100,21,6,20,180,1.5,6
1,2,6,12.1,10.3,89,137,49,124,180,0.3,5
1,2,7,13.2,10.4,83,312,171,238,0,0.0,5
1,2,8,14.0,8.3,68,495,309,309,0,0.0,1
1,2,9,15.7,10.5,71,646,366,370,0,0.0,4
1,2,10,16.9,10.3,65,745,350,440,158,2.3,4
1,2,11,19.2,12.3,64,796,313,500,158,4.1,4
1,2,12,18.7,9.8,56,810,300,519,158,3.3,4
1,2,13,19.2,9.7,54,796,333,481,225,3.7,5
1,2,14,17.5,7.5,52,745,393,403,225,2.6,8
1,2,15,19.5,10.3,55,646,431,321,225,4.3,8
1,2,16,19.3,10.9,58,495,390,261,180,4.6,8
1,2,17,20.7,12.8,61,312,245,206,180,6.2,8
1,2,18,18.4,12.2,67,137,83,116,180,5.1,8
1,2,19,17.7,12.7,73,21,11,20,158,5.2,8
1,2,20,16.0,12.4,79,0,0,0,158,4.1,8
1,2,21,16.1,12.7,80,0,0,0,158,4.8,8
1,2,22,15.1,12.4,84,0,0,0,158,4.2,8
1,2,23,14.2,11.5,84,0,0,0,158,4.1,8
1,2,24,13.3,11.1,87,0,0,0,158,2.6,8
1,3,1,12.4,10.5,88,0,0,0,180,1.7,8
1,3,2,11.8,11.1,95,0,0,0,180,0.5,8
1,3,3,11.1,10.1,94,0,0,0,180,0.3,8
1,3,4,10.8,10.5,98,0,0,0,180,0.1,8
1,3,5,11.0,10.8,99,18,3,17,180,0.1,8
1,3,6,11.6,11.4,99,118,23,113,90,0.5,8
1,3,7,12.7,11.8,94,272,77,239,90,1.0,8
1,3,8,14.0,10.3,78,435,147,347,90,1.0,8
1,3,9,15.8,11.9,78,572,184,433,90,2.2,8
1,3,10,17.6,11.6,68,663,180,507,45,2.7,8
1,3,11,20.3,14.6,70,712,163,558,45,4.1,8
1,3,12,20.5,10.1,51,727,158,573,45,3.0,8
1,3,13,21.3,9.2,46,712,177,545,203,2.9,8
1,3,14,19.0,2.3,33,663,210,481,203,1.0,8
1,3,15,21.2,8.4,44,572,229,399,203,2.3,6
1,3,16,20.4,8.6,47,435,200,315,293,2.1,8
1,3,17,22.3,11.5,50,272,118,221,293,3.6,8
1,3,18,17.9,10.2,61,118,40,108,293,2.2,8
1,3,19,16.6,11.2,70,18,6,17,180,2.4,6
1,3,20,13.4,12.7,96,0,0,0,180,2.1,6
1,3,21,14.3,12.6,90,0,0,0,180,3.1,6
1,3,22,13.4,12.9,97,0,0,0,90,3.3,6
1,3,23,12.9,11.2,89,0,0,0,90,3.1,6
1,3,24,12.3,12.3,100,0,0,0,90,3.6,6
1,4,1,11.6,11.6,100,0,0,0,315,3.4,6
1,4,2,10.8,10.8,100,0,0,0,315,3.6,8
1,4,3,10.0,9.9,99,0,0,0,315,2.8,8
1,4,4,9.1,8.8,98,0,0,0,315,2.6,9
1,4,5,8.4,8.0,97,6,0,6,315,2.5,9
1,4,6,7.8,7.2,96,42,0,42,0,0.0,10
1,4,7,7.4,6.8,96,103,1,103,0,0.0,10
1,4,8,5.0,2.8,86,178,2,177,0,0.0,10
1,4,9,7.4,6.4,93,252,3,250,0,0.0,10
1,4,10,7.7,6.4,91,313,3,310,225,3.8,10
1,4,11,9.5,8.6,94,353,4,349,225,8.2,10
1,4,12,8.5,6.3,86,367,4,363,225,4.2,10
1,4,13,8.9,6.3,84,353,4,349,180,4.4,10
1,4,14,9.0,4.8,75,313,4,309,180,1.0,10
1,4,15,9.5,6.7,83,252,4,249,180,4.7,10
1,4,16,9.7,7.2,84,178,3,176,225,5.0,10
1,4,17,9.8,8.9,94,103,2,103,225,7.2,10
1,4,18,9.9,8.0,88,42,1,42,225,5.9,10
1,4,19,9.9,8.2,89,6,0,6,225,6.3,10
1,4,20,9.7,7.6,87,0,0,0,225,6.7,10
1,4,21,9.7,8.4,92,0,0,0,225,6.9,10
1,4,22,9.5,8.2,92,0,0,0,225,6.9,10
1,4,23,9.0,7.8,92,0,0,0,225,5.7,10
1,4,24,9.0,8.1,94,0,0,0,225,6.1,10
1,5,1,8.4,7.9,97,0,0,0,225,5.7,10
1,5,2,8.5,7.7,95,0,0,0,225,5.7,10
1,5,3,7.5,7.5,100,0,0,0,225,5.2,10
1,5,4,7.4,7.3,99,0,0,0,225,5.2,10
1,5,5,8.5,8.1,97,5,0,5,225,6.7,10
1,5,6,8.1,7.1,93,36,0,36,225,5.6,10
1,5,7,8.7,7.2,90,90,1,89,225,5.9,10
1,5,8,6.5,5.5,93,157,1,156,225,2.6,10
1,5,9,10.2,7.4,83,226,2,225,225,6.3,10
1,5,10,10.8,7.8,82,285,2,283,225,6.3,10
1,5,11,14.6,9.6,72,324,3,321,225,10.8,10
1,5,12,11.3,8.2,81,338,3,335,225,5.7,10
1,5,13,11.2,8.4,83,324,3,321,225,5.3,10
1,5,14,9.0,7.0,87,285,3,282,225,1.0,10
1,5,15,10.9,8.7,86,226,2,224,225,4.4,10
1,5,16,10.7,8.9,89,157,2,156,270,4.1,10
1,5,17,11.1,10.0,93,90,1,89,270,5.7,9
1,5,18,10.7,9.5,92,36,1,36,270,3.9,9
1,5,19,10.7,9.5,92,5,0,5,203,3.9,8
1,5,20,10.5,9.5,94,0,0,0,203,3.6,8
1,5,21,10.2,9.3,94,0,0,0,203,3.7,6
1,5,22,9.5,8.8,95,0,0,0,203,3.4,6
