Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,39.7,9.1,16,951,821,177,248,7.7,3
1,1,15,39.7,8.3,15,929,925,151,248,7.8,3
1,1,16,38.4,8.7,17,675,785,124,248,7.9,3
1,1,17,38.0,9.1,17,522,816,99,248,7.2,1
1,1,18,34.6,10.6,23,298,701,67,248,6.6,1
1,1,19,32.4,11.7,28,94,378,38,180,5.2,1
1,1,20,28.5,12.2,36,1,0,1,180,3.6,1
1,1,21,28.1,13.0,39,0,0,0,180,2.0,8
1,1,22,26.1,13.1,45,0,0,0,0,0.0,8
1,1,23,25.5,13.9,49,0,0,0,0,0.0,8
1,1,24,22.9,13.0,54,0,0,0,0,0.0,8
1,2,1,21.6,12.5,56,0,0,0,0,0.0,8
1,2,2,20.9,12.0,57,0,0,0,0,0.0,0
1,2,3,20.1,12.2,60,0,0,0,0,0.0,6
1,2,4,20.2,12.7,62,0,0,0,45,1.7,5
1,2,5,19.5,13.1,66,1,0,1,45,1.5,1
1,2,6,22.6,13.9,58,97,444,30,45,2.9,3
1,2,7,24.9,14.4,52,301,750,56,90,3.1,3
1,2,8,29.3,14.8,41,521,873,70,90,4.1,0
1,2,9,30.8,14.1,36,727,946,75,90,3.0,0
1,2,10,33.8,13.0,28,900,987,77,180,3.0,0
1,2,11,36.2,10.5,21,1028,1012,79,180,3.1,0
1,2,12,38.7,8.7,16,1104,1034,77,180,3.7,1
1,2,13,40.0,5.8,12,1102,1026,80,315,4.4,1
1,2,14,39.1,4.0,12,1046,1031,75,315,4.6,1
1,2,15,40.0,-0.4,8,928,1022,72,315,5.8,1
1,2,16,38.8,-1.9,8,755,988,72,225,6.3,1
1,2,17,39.5,-3.5,6,539,907,69,225,6.7,1
1,2,18,34.9,-0.7,10,309,776,56,225,6.0,1
1,2,19,32.6,1.4,14,101,480,33,180,5.3,1
1,2,20,28.1,3.5,21,1,0,1,180,4.6,1
