Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,40.8,4.3,11,1081,967,169,90,2.8,3
1,1,15,40.0,4.6,11,839,772,194,90,4.1,4
1,1,16,40.5,4.5,11,481,316,272,90,2.0,5
1,1,17,39.8,5.0,12,536,654,208,0,0.0,5
1,1,18,40.0,4.5,11,108,0,108,0,0.0,8
1,1,19,37.2,6.4,15,25,23,22,0,0.0,5
1,1,20,35.4,6.9,17,0,0,0,0,0.0,4
1,1,21,32.9,8.4,22,0,0,0,0,0.0,5
1,1,22,31.3,7.3,22,0,0,0,0,0.0,3
1,1,23,29.4,7.3,25,0,0,0,0,0.0,3
1,1,24,27.1,7.1,28,0,0,0,0,0.0,3
1,2,1,27.1,7.6,29,0,0,0,0,0.0,3
1,2,2,26.6,8.4,32,0,0,0,0,0.0,3
1,2,3,27.0,8.0,30,0,0,0,0,0.0,0
1,2,4,27.2,10.3,35,0,0,0,0,0.0,4
1,2,5,28.3,11.3,35,0,0,0,338,4.2,4
1,2,6,30.6,13.0,34,23,12,14,338,6.7,4
1,2,7,31.7,12.9,32,211,395,58,338,6.9,3
1,2,8,33.6,13.5,30,456,817,78,338,7.7,3
1,2,9,34.8,13.5,28,681,900,92,338,8.2,1
1,2,10,37.0,13.7,25,875,951,103,338,8.0,1
1,2,11,38.3,13.2,23,1006,974,103,293,7.4,3
1,2,12,39.0,12.9,21,1067,964,114,293,5.1,3
1,2,13,39.6,12.1,20,886,712,178,293,5.5,4
1,2,14,39.7,11.5,19,1083,871,264,293,4.5,5
1,2,15,39.4,10.1,17,731,588,244,293,3.6,6
1,2,16,39.0,10.6,18,333,143,231,338,2.8,6
1,2,17,38.3,10.4,19,147,18,139,338,2.3,6
1,2,18,38.7,11.4,20,225,461,97,338,1.0,6
1,2,19,36.6,10.6,21,31,24,22,338,1.4,5
1,2,20,35.5,10.8,22,0,0,0,0,0.0,4
1,2,21,33.1,10.9,26,0,0,0,0,0.0,3
1,2,22,33.1,11.3,26,0,0,0,0,0.0,1
1,2,23,31.8,11.6,29,0,0,0,338,0.1,1
1,2,24,30.1,11.1,31,0,0,0,338,1.5,1
1,3,1,30.0,12.1,33,0,0,0,338,0.6,3
1,3,2,29.3,12.6,36,0,0,0,338,1.1,3
1,3,3,30.8,13.9,36,0,0,0,338,1.0,4
1,3,4,29.2,13.6,38,0,0,0,338,3.0,5
1,3,5,29.9,14.1,38,0,0,0,315,4.5,5
1,3,6,30.2,13.9,37,22,11,14,315,6.2,5
1,3,7,32.3,14.5,34,125,136,86,315,7.6,4
1,3,8,33.9,14.4,31,347,503,103,315,8.8,4
1,3,9,34.6,13.8,29,661,852,106,315,10.3,1
1,3,10,37.0,13.9,25,842,893,117,315,9.8,1
1,3,11,38.0,13.8,24,972,924,117,315,9.5,1
1,3,12,39.6,14.9,23,1050,934,128,315,7.7,1
1,3,13,38.4,14.0,24,983,805,183,315,7.8,5
1,3,14,37.7,14.6,25,647,340,325,293,6.8,6
1,3,15,36.8,14.0,26,272,86,197,293,6.7,9
1,3,16,34.9,16.0,32,42,0,42,293,5.3,9
1,3,17,33.1,16.6,37,125,6,122,23,5.1,9
1,3,18,30.0,18.0,49,111,60,97,23,4.6,9
1,3,19,29.7,17.5,48,33,11,29,23,5.4,8
1,3,20,28.2,17.6,53,0,0,0,0,5.7,6
1,3,21,27.9,16.9,51,0,0,0,0,6.7,10
1,3,22,26.3,17.5,58,0,0,0,0,5.6,4
