Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,26.4,24.1,87,53,1,52,270,6.8,10
1,1,15,24.6,24.0,96,46,1,46,270,5.1,10
1,1,16,25.9,23.8,88,31,1,31,270,6.0,10
1,1,17,25.8,23.8,89,29,2,28,270,5.6,10
1,1,18,26.5,23.9,86,24,1,24,270,6.7,10
1,1,19,25.6,23.9,90,11,1,11,270,4.6,10
1,1,20,25.5,23.9,91,0,0,0,203,4.2,10
1,1,21,25.3,23.9,92,0,0,0,203,3.1,10
1,1,22,25.2,24.0,93,0,0,0,203,3.3,10
1,1,23,25.0,23.9,94,0,0,0,45,2.9,10
1,1,24,24.4,23.8,96,0,0,0,45,2.1,10
1,2,1,24.4,23.7,96,0,0,0,45,1.9,10
1,2,2,24.1,23.5,96,0,0,0,68,1.5,10
1,2,3,24.1,23.7,98,0,0,0,68,1.5,10
1,2,4,23.7,23.5,99,0,0,0,68,1.0,10
1,2,5,23.9,23.7,99,0,0,0,90,0.9,10
1,2,6,24.1,23.7,98,0,0,0,90,1.5,10
1,2,7,25.1,24.2,95,26,0,26,90,1.4,9
1,2,8,26.1,24.5,91,142,28,129,68,1.9,8
1,2,9,27.6,24.9,85,486,378,273,68,1.5,9
1,2,10,28.5,24.9,81,561,283,359,68,3.2,5
1,2,11,29.5,24.8,76,679,332,373,338,3.9,5
1,2,12,30.2,24.5,72,930,599,340,338,5.1,8
1,2,13,31.0,24.3,68,985,712,276,338,4.8,4
1,2,14,31.2,23.9,65,1037,852,206,293,5.1,4
1,2,15,30.9,24.0,67,866,615,321,293,5.1,6
1,2,16,30.8,23.4,65,772,808,177,293,4.8,5
1,2,17,30.4,23.4,66,519,702,135,270,4.4,6
1,2,18,30.4,23.0,65,237,395,105,270,3.6,5
1,2,19,29.3,23.8,72,22,5,21,270,3.3,8
1,2,20,28.7,24.0,76,0,0,0,23,2.7,9
1,2,21,27.9,24.7,83,0,0,0,23,2.1,9
1,2,22,27.9,24.6,82,0,0,0,23,1.9,9
1,2,23,27.5,24.9,86,0,0,0,23,1.7,9
1,2,24,27.0,25.0,89,0,0,0,23,2.1,9
1,3,1,26.8,25.1,90,0,0,0,23,1.6,9
1,3,2,26.6,25.1,91,0,0,0,23,1.8,9
1,3,3,26.9,24.9,89,0,0,0,23,1.5,9
1,3,4,26.3,25.2,94,0,0,0,23,2.1,9
1,3,5,26.4,25.3,94,0,0,0,68,2.1,9
1,3,6,26.2,25.4,95,0,0,0,68,1.5,9
1,3,7,27.1,25.5,91,33,2,33,68,2.0,9
1,3,8,27.6,25.6,89,128,3,127,0,1.9,9
1,3,9,28.3,25.9,87,159,11,153,0,3.1,9
1,3,10,28.9,25.7,83,330,73,274,0,1.9,9
1,3,11,29.5,25.5,79,387,12,375,0,2.1,9
1,3,12,30.4,25.3,74,664,94,568,0,1.5,9
1,3,13,30.3,25.0,73,1012,643,364,0,2.6,6
1,3,14,30.4,24.5,71,841,553,291,293,2.9,6
1,3,15,29.7,23.8,71,299,64,237,293,3.1,8
1,3,16,30.3,23.9,69,236,29,215,293,3.2,8
1,3,17,30.1,23.8,69,277,76,240,315,3.2,8
1,3,18,30.5,24.2,69,267,261,188,315,3.6,9
1,3,19,29.6,24.0,72,52,98,35,315,3.1,8
1,3,20,29.4,24.2,74,0,0,0,270,2.9,9
1,3,21,28.9,24.6,78,0,0,0,270,2.6,5
1,3,22,29.0,24.9,79,0,0,0,270,2.9,9
1,3,23,28.8,25.2,81,0,0,0,270,2.9,9
1,3,24,28.4,25.2,83,0,0,0,270,3.1,8
1,4,1,28.2,25.3,84,0,0,0,270,2.8,9
1,4,2,27.9,25.3,86,0,0,0,270,2.8,9
1,4,3,28.0,25.1,84,0,0,0,270,2.6,6
1,4,4,27.6,25.1,86,0,0,0,270,2.8,9
1,4,5,27.6,25.0,86,0,0,0,203,2.7,9
1,4,6,27.6,24.9,85,0,0,0,203,2.6,8
1,4,7,28.3,24.7,81,55,116,37,203,2.6,6
1,4,8,28.9,24.6,78,252,417,114,203,2.6,5
1,4,9,29.3,25.0,78,368,335,198,203,3.1,5
1,4,10,30.3,24.5,71,542,293,315,203,3.2,4
1,4,11,30.9,24.6,69,894,846,158,225,3.7,3
1,4,12,32.5,23.4,59,1007,902,151,225,4.1,3
1,4,13,31.6,24.7,67,660,448,238,225,5.1,3
1,4,14,31.6,24.6,67,1041,822,232,270,5.8,3
1,4,15,29.9,25.8,79,731,614,189,270,6.2,6
1,4,16,31.2,24.4,67,716,743,171,270,6.7,5
1,4,17,30.8,24.4,69,531,690,154,248,6.7,6
1,4,18,31.6,23.5,62,357,493,192,248,7.2,9
1,4,19,30.1,24.2,71,59,82,45,248,5.8,9
1,4,20,29.8,24.1,72,0,0,0,225,5.0,9
1,4,21,29.2,24.1,74,0,0,0,225,3.1,9
1,4,22,29.1,24.1,74,0,0,0,225,3.4,10
1,4,23,28.8,24.2,76,0,0,0,248,2.8,10
1,4,24,28.1,24.7,82,0,0,0,248,3.1,8
1,5,1,28.0,24.5,81,0,0,0,248,2.6,9
1,5,2,27.6,24.6,84,0,0,0,270,2.7,9
1,5,3,27.6,24.5,83,0,0,0,270,3.1,9
1,5,4,27.2,24.8,87,0,0,0,270,3.3,9
1,5,5,27.4,24.8,86,0,0,0,248,3.8,9
1,5,6,27.7,25.0,85,0,0,0,248,3.6,8
1,5,7,28.4,24.7,80,56,143,36,248,4.8,8
1,5,8,29.3,24.6,76,252,467,102,248,5.3,8
1,5,9,30.3,24.4,71,429,450,193,248,6.7,8
1,5,10,31.0,24.4,68,405,157,285,248,6.1,6
1,5,11,31.8,24.3,65,685,335,387,248,6.4,5
