Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,32.0,23.0,59,702,122,584,100,2.1,8
1,1,15,31.3,24.1,66,593,154,455,280,3.6,9
1,1,16,31.0,24.0,66,491,94,418,290,3.1,9
1,1,17,31.0,25.0,70,352,79,305,270,3.1,9
1,1,18,31.1,22.0,58,194,68,167,20,5.1,9
1,1,19,26.0,24.0,89,48,0,48,100,8.8,9
1,1,20,26.0,24.0,89,1,0,1,160,1.5,9
1,1,21,23.1,22.9,99,0,0,0,60,6.7,9
1,1,22,23.0,23.0,100,0,0,0,120,2.1,9
1,1,23,24.0,24.0,100,0,0,0,170,2.1,10
1,1,24,24.0,23.7,98,0,0,0,150,2.6,10
1,2,1,24.0,24.0,100,0,0,0,190,1.0,10
1,2,2,24.0,24.0,100,0,0,0,0,0.0,10
1,2,3,23.9,23.4,97,0,0,0,0,0.0,10
1,2,4,24.0,23.0,94,0,0,0,0,0.0,10
1,2,5,24.0,23.0,94,0,0,0,0,0.0,9
1,2,6,24.1,23.1,94,0,0,0,0,0.0,9
1,2,7,24.0,23.0,94,6,0,6,0,0.0,9
1,2,8,24.0,23.0,94,93,28,86,0,0.0,9
1,2,9,26.7,23.1,81,249,94,206,20,1.0,9
1,2,10,27.0,24.0,84,435,141,341,100,1.0,8
1,2,11,29.0,25.0,79,609,262,394,90,2.6,8
1,2,12,30.0,25.0,75,749,333,439,90,3.1,7
1,2,13,31.0,23.0,63,840,423,425,80,4.1,7
1,2,14,33.0,20.0,46,868,520,364,70,3.1,7
1,2,15,33.9,17.8,39,823,540,338,40,1.5,6
1,2,16,34.0,19.0,41,680,527,273,30,4.1,6
1,2,17,33.0,18.0,41,490,450,220,30,4.1,6
1,2,18,32.0,18.5,45,269,320,144,10,2.6,6
1,2,19,31.0,19.0,49,62,46,55,360,2.1,7
1,2,20,30.0,23.0,66,1,0,1,10,1.0,8
1,2,21,29.0,23.8,74,0,0,0,0,0.0,9
1,2,22,29.0,19.0,55,0,0,0,330,1.0,8
1,2,23,28.0,24.0,79,0,0,0,330,2.6,7
1,2,24,28.0,25.2,85,0,0,0,340,1.0,6
1,3,1,28.0,25.0,84,0,0,0,350,0.5,7
1,3,2,28.0,25.0,84,0,0,0,0,0.0,7
1,3,3,27.7,25.4,87,0,0,0,0,0.0,7
1,3,4,28.0,25.0,84,0,0,0,0,0.0,7
1,3,5,27.0,26.0,94,0,0,0,110,1.0,7
1,3,6,31.0,24.1,67,0,0,0,80,4.1,7
1,3,7,26.0,25.0,94,7,0,7,150,2.6,7
1,3,8,27.0,23.0,79,111,72,94,230,0.5,7
1,3,9,29.4,24.3,74,301,204,206,0,0.0,7
1,3,10,30.0,24.0,70,489,223,341,0,0.0,7
1,3,11,31.0,24.0,66,643,316,384,120,0.5,7
1,3,12,32.6,22.0,54,752,348,429,120,0.5,7
1,3,13,33.0,21.0,49,804,352,460,120,1.0,7
1,3,14,32.0,26.0,71,788,340,458,290,3.1,7
1,3,15,32.0,23.7,62,722,321,433,330,4.6,7
1,3,16,32.0,24.0,63,566,261,364,330,4.1,8
1,3,17,32.0,22.0,56,384,137,302,330,4.1,8
1,3,18,32.0,18.7,45,198,78,167,340,4.6,9
1,3,19,32.0,19.0,46,50,0,50,340,4.6,9
1,3,20,30.6,21.5,58,1,0,1,340,4.4,9
1,3,21,29.3,23.7,72,0,0,0,330,4.1,9
1,3,22,29.0,23.0,70,0,0,0,320,5.1,9
1,3,23,28.5,22.9,72,0,0,0,320,3.6,9
1,3,24,28.0,22.7,73,0,0,0,360,2.1,9
1,4,1,28.0,22.0,70,0,0,0,340,1.5,8
1,4,2,27.0,23.0,79,0,0,0,340,0.5,7
1,4,3,27.2,23.2,79,0,0,0,320,1.0,6
1,4,4,27.0,23.0,79,0,0,0,330,2.1,7
1,4,5,27.0,24.0,84,0,0,0,300,1.0,8
1,4,6,27.0,24.3,85,0,0,0,280,2.1,9
1,4,7,27.0,24.0,84,6,0,6,280,2.6,9
1,4,8,28.0,25.0,84,90,24,84,280,0.5,9
1,4,9,29.6,23.4,69,247,93,204,0,0.0,9
1,4,10,29.0,23.0,70,434,142,340,0,0.0,8
1,4,11,29.8,23.2,67,609,266,392,0,0.0,8
1,4,12,30.7,23.3,65,750,337,438,0,0.0,7
1,4,13,31.0,23.0,63,840,423,425,280,2.1,7
1,4,14,31.0,23.0,63,865,512,368,290,3.1,7
1,4,15,32.7,23.7,59,817,527,343,290,5.1,6
1,4,16,32.1,23.7,61,698,571,256,290,4.6,6
1,4,17,31.5,23.8,64,517,521,203,290,4.1,5
1,4,18,30.9,23.8,66,292,410,131,290,3.6,5
1,4,19,30.0,24.0,70,61,26,57,270,3.6,7
1,4,20,29.6,24.2,73,1,0,1,270,3.1,9
1,4,21,29.2,24.3,75,0,0,0,270,2.6,10
1,4,22,29.0,24.0,74,0,0,0,270,1.5,9
1,4,23,28.9,23.8,74,0,0,0,270,1.5,9
1,4,24,28.9,23.5,73,0,0,0,310,1.5,10
1,5,1,29.0,23.0,70,0,0,0,300,1.5,8
1,5,2,29.0,25.0,79,0,0,0,330,1.5,7
1,5,3,27.9,25.6,87,0,0,0,0,0.0,5
1,5,4,28.0,26.0,89,0,0,0,0,0.0,5
1,5,5,28.0,26.0,89,0,0,0,0,0.0,5
1,5,6,27.2,24.7,86,0,0,0,0,0.0,5
1,5,7,27.0,26.0,94,8,0,8,0,0.0,6
1,5,8,28.0,26.0,89,108,65,93,0,0.0,7
1,5,9,30.7,23.7,66,246,58,219,320,2.6,9
1,5,10,30.0,23.0,66,402,84,346,350,2.1,9
1,5,11,31.0,23.0,63,530,96,452,290,2.1,9
1,5,12,31.3,23.1,62,618,171,460,270,3.1,9
1,5,13,31.0,22.0,59,662,172,493,300,3.1,9
1,5,14,31.0,23.0,63,653,171,488,270,5.1,9
1,5,15,32.2,22.4,56,598,97,511,270,4.6,9
1,5,16,31.0,21.0,55,498,96,423,260,4.1,9
1,5,17,32.0,22.0,56,359,81,310,270,4.1,9
1,5,18,32.0,20.0,49,200,72,171,220,2.1,9
1,5,19,31.0,22.0,59,51,0,51,250,3.1,9
1,5,20,30.0,20.0,55,1,0,1,250,1.5,9
1,5,21,29.3,24.0,73,0,0,0,260,3.1,9
1,5,22,29.0,24.0,74,0,0,0,270,2.6,9
1,5,23,29.0,25.0,79,0,0,0,280,3.6,8
1,5,24,28.8,24.4,77,0,0,0,270,2.6,8
1,6,1,29.0,24.0,74,0,0,0,280,3.1,8
1,6,2,29.0,25.0,79,0,0,0,270,2.1,8
1,6,3,28.4,24.5,79,0,0,0,260,2.1,7
1,6,4,28.0,25.0,84,0,0,0,260,1.5,7
1,6,5,28.0,24.0,79,0,0,0,0,0.0,6
1,6,6,27.7,24.5,83,0,0,0,0,0.0,6
1,6,7,28.0,25.0,84,8,0,8,0,0.0,5
1,6,8,29.0,25.0,79,134,179,92,0,0.0,4
1,6,9,30.8,24.3,68,379,503,149,0,0.0,4
1,6,10,31.0,24.0,66,604,662,169,0,0.0,5
1,6,11,31.0,24.0,66,766,614,264,270,1.0,5
1,6,12,31.4,24.5,67,846,562,325,280,2.6,6
1,6,13,33.0,25.0,63,955,605,362,280,3.6,5
1,6,14,32.0,25.0,67,984,676,326,280,5.1,5
1,6,15,31.8,23.8,63,927,776,226,280,6.2,4
1,6,16,32.0,24.0,63,760,729,194,280,5.7,4
1,6,17,31.9,23.5,61,542,618,168,280,5.1,5
1,6,18,31.9,22.9,59,296,416,131,280,4.6,5
1,6,19,32.0,24.0,63,77,78,64,260,3.6,5
1,6,20,31.0,23.0,63,2,0,2,260,4.1,5
1,6,21,30.0,24.0,70,0,0,0,260,3.1,5
1,6,22,30.0,24.0,70,0,0,0,270,3.6,4
1,6,23,30.0,25.0,75,0,0,0,260,3.1,2
1,6,24,29.3,23.2,70,0,0,0,270,4.6,1
1,7,1,29.0,24.0,74,0,0,0,260,2.6,2
1,7,2,29.0,24.0,74,0,0,0,280,2.6,2
1,7,3,28.6,24.3,78,0,0,0,270,1.0,2
1,7,4,29.0,25.0,79,0,0,0,230,1.0,4
1,7,5,28.0,25.0,84,0,0,0,220,0.5,6
1,7,6,28.3,24.9,82,0,0,0,0,0.0,7
1,7,7,27.0,26.0,94,6,0,6,0,0.0,8
1,7,8,27.0,24.0,84,94,45,83,120,3.6,8
1,7,9,27.4,23.4,79,244,85,205,340,4.1,9
1,7,10,27.0,22.0,74,400,85,345,310,2.1,9
1,7,11,30.0,22.0,62,530,96,451,0,0.0,9
1,7,12,32.1,24.0,62,617,170,459,320,3.1,9
1,7,13,32.0,24.0,63,660,170,494,330,3.1,9
1,7,14,32.0,24.0,63,653,170,488,350,2.6,9
