Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,35.3,17.7,35,322,83,229,113,2.8,9
1,1,15,34.9,17.7,36,346,138,216,113,2.1,9
1,1,16,35.4,17.5,35,279,66,225,113,3.2,9
1,1,17,34.7,17.7,37,251,191,151,90,3.4,9
1,1,18,34.0,18.1,39,42,0,41,90,3.1,9
1,1,19,32.6,18.5,43,7,0,7,90,3.7,9
1,1,20,31.4,19.0,48,0,0,0,338,3.6,9
1,1,21,30.4,19.5,52,0,0,0,338,4.1,9
1,1,22,29.1,19.8,57,0,0,0,338,3.3,9
1,1,23,28.2,20.0,61,0,0,0,0,3.2,9
1,1,24,27.2,19.7,64,0,0,0,0,3.6,9
1,2,1,26.7,20.1,67,0,0,0,0,3.0,9
1,2,2,26.0,20.2,70,0,0,0,248,2.8,9
1,2,3,25.9,21.1,75,0,0,0,248,1.5,9
1,2,4,25.4,20.6,75,0,0,0,248,2.6,8
1,2,5,25.6,20.8,75,0,0,0,225,2.6,8
1,2,6,25.8,20.4,72,16,8,15,225,3.1,8
1,2,7,27.2,20.6,67,96,42,78,225,3.0,5
1,2,8,28.6,20.3,61,435,594,141,225,3.2,5
1,2,9,30.7,19.4,51,619,626,183,225,4.6,5
1,2,10,32.1,18.5,45,828,747,185,225,3.8,5
1,2,11,33.8,17.0,37,1004,891,135,113,4.1,5
1,2,12,35.5,15.6,31,1085,918,135,113,3.1,5
1,2,13,36.6,13.4,25,915,588,302,113,4.5,3
1,2,14,37.4,11.7,21,940,804,158,135,4.7,3
1,2,15,37.0,10.1,20,778,748,142,135,4.6,1
1,2,16,37.7,8.6,17,606,729,113,135,4.9,4
1,2,17,37.3,7.9,17,403,628,105,135,4.8,5
1,2,18,37.5,6.9,15,171,365,83,135,6.2,6
