Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,21.0,20.0,94,297,14,284,100,5.7,10
1,1,15,21.7,20.5,93,252,6,247,160,2.1,10
1,1,16,22.0,21.0,94,190,2,189,170,2.1,10
1,1,17,21.0,20.0,94,119,0,119,170,3.6,10
1,1,18,21.1,20.4,96,48,0,48,190,3.1,10
1,1,19,21.0,20.0,94,5,0,5,180,3.1,10
1,1,20,21.0,20.0,94,0,0,0,200,3.1,10
1,1,21,20.7,19.8,95,0,0,0,180,3.6,10
1,1,22,21.0,20.0,94,0,0,0,190,2.6,10
1,1,23,21.0,20.0,94,0,0,0,210,3.1,10
1,1,24,20.5,19.8,96,0,0,0,210,3.1,10
1,2,1,20.0,20.0,100,0,0,0,210,2.6,10
1,2,2,21.0,20.0,94,0,0,0,200,2.6,10
1,2,3,20.5,19.7,95,0,0,0,220,2.6,10
1,2,4,21.0,20.0,94,0,0,0,190,3.6,10
1,2,5,21.0,20.0,94,0,0,0,200,2.6,10
1,2,6,20.8,20.1,96,11,0,11,190,2.6,10
1,2,7,21.0,21.0,100,68,0,68,190,1.5,10
1,2,8,22.0,21.0,94,141,0,141,180,2.6,10
1,2,9,22.2,21.3,95,210,3,208,170,3.1,10
1,2,10,23.0,21.0,89,267,6,262,150,3.1,10
1,2,11,23.0,22.0,94,306,7,299,130,3.1,10
1,2,12,23.0,22.2,95,324,7,317,170,3.6,10
1,2,13,22.0,22.0,100,321,7,313,140,2.1,10
1,2,14,21.0,21.0,100,296,7,290,130,3.6,10
1,2,15,21.7,20.5,93,252,6,247,80,3.6,10
1,2,16,21.8,20.3,91,191,2,190,80,3.3,10
1,2,17,22.0,20.0,88,119,0,119,150,3.1,10
1,2,18,21.4,20.5,95,48,0,48,170,2.6,10
1,2,19,21.0,21.0,100,5,0,5,150,3.1,10
1,2,20,21.0,20.0,94,0,0,0,140,2.1,10
1,2,21,20.5,19.6,95,0,0,0,90,2.1,10
1,2,22,20.0,19.0,94,0,0,0,110,2.1,9
1,2,23,20.0,19.0,94,0,0,0,170,2.1,9
1,2,24,20.0,19.4,96,0,0,0,190,1.5,10
1,3,1,20.0,19.0,94,0,0,0,200,3.1,9
1,3,2,20.0,19.0,94,0,0,0,170,2.6,9
1,3,3,19.9,19.3,96,0,0,0,210,3.1,10
1,3,4,20.0,20.0,100,0,0,0,210,2.1,10
1,3,5,20.0,20.0,100,0,0,0,220,3.1,10
1,3,6,20.1,19.6,97,11,0,11,220,2.1,10
1,3,7,21.0,20.0,94,120,21,113,210,2.6,9
1,3,8,21.0,21.0,100,249,57,219,140,2.1,9
1,3,9,22.5,20.9,91,210,5,206,100,0.5,10
1,3,10,24.0,20.0,78,473,92,395,150,2.1,9
1,3,11,25.0,20.0,74,542,92,456,100,3.6,9
1,3,12,26.1,20.5,71,898,417,484,110,3.1,6
1,3,13,27.0,21.0,70,569,112,458,110,4.1,9
1,3,14,26.0,21.0,74,902,540,404,110,4.1,5
1,3,15,25.9,21.2,75,766,639,249,90,4.6,5
1,3,16,25.0,21.0,78,338,82,285,80,5.1,9
1,3,17,24.0,21.0,83,363,375,189,80,4.6,5
1,3,18,24.2,21.0,82,86,0,86,100,4.1,9
1,3,19,23.6,21.0,85,8,0,8,100,3.6,9
1,3,20,23.0,21.0,89,0,0,0,110,3.1,9
1,3,21,24.1,20.9,82,0,0,0,70,3.6,9
1,3,22,24.0,20.0,78,0,0,0,70,4.1,9
1,3,23,24.0,22.0,89,0,0,0,80,3.1,9
1,3,24,23.8,20.7,83,0,0,0,70,2.6,9
1,4,1,23.0,22.0,94,0,0,0,140,2.6,9
1,4,2,23.0,21.0,89,0,0,0,130,2.1,5
1,4,3,22.6,21.6,94,0,0,0,180,2.6,9
1,4,4,22.0,21.0,94,0,0,0,180,2.1,9
1,4,5,22.0,21.0,94,0,0,0,150,2.6,9
1,4,6,22.6,21.2,92,18,0,18,190,2.6,9
1,4,7,23.0,21.0,89,118,11,115,240,0.5,9
1,4,8,24.0,22.0,89,247,56,218,120,2.6,9
1,4,9,25.3,22.0,82,370,38,344,90,4.6,9
1,4,10,23.0,21.0,89,471,51,428,30,2.1,9
1,4,11,26.0,22.0,79,540,91,455,140,3.1,9
1,4,12,26.7,21.3,72,574,91,484,100,6.2,9
1,4,13,27.0,21.0,70,569,91,479,90,5.7,9
1,4,14,27.0,21.0,70,979,756,281,110,6.2,2
1,4,15,26.8,20.4,68,768,621,266,110,6.2,5
1,4,16,27.0,20.0,66,632,739,149,100,5.1,2
1,4,17,26.0,19.0,65,396,599,118,90,5.1,2
1,4,18,25.3,19.6,71,135,134,100,100,4.1,6
1,4,19,25.0,20.0,74,8,0,8,110,3.6,9
1,4,20,24.0,20.0,78,0,0,0,90,1.5,5
1,4,21,24.3,20.6,80,0,0,0,130,3.6,2
1,4,22,24.0,20.0,78,0,0,0,110,2.1,2
1,4,23,23.0,20.0,83,0,0,0,120,2.1,2
1,4,24,23.7,20.7,83,0,0,0,100,2.6,2
1,5,1,24.0,20.0,78,0,0,0,110,2.6,5
1,5,2,23.0,21.0,89,0,0,0,30,1.5,2
1,5,3,21.8,19.9,89,0,0,0,80,1.5,9
1,5,4,21.0,21.0,100,0,0,0,190,2.1,5
1,5,5,21.0,20.0,94,0,0,0,180,2.1,2
1,5,6,22.5,20.9,91,31,0,31,180,2.1,4
1,5,7,24.0,21.0,83,218,298,125,180,3.1,2
1,5,8,26.0,19.0,65,424,522,155,110,3.6,5
1,5,9,24.7,20.6,78,370,105,296,70,5.1,9
1,5,10,27.0,19.0,62,811,499,390,60,5.7,5
1,5,11,27.0,20.0,66,930,662,305,80,4.6,5
1,5,12,26.9,19.7,65,898,508,394,100,4.6,6
1,5,13,27.0,19.0,62,981,601,389,100,5.1,5
1,5,14,27.0,19.0,62,906,670,287,100,5.7,5
1,5,15,26.9,18.8,61,814,778,183,110,5.1,4
1,5,16,27.0,17.0,54,636,793,118,120,5.7,2
1,5,17,27.0,17.0,54,399,608,116,130,5.1,2
1,5,18,25.2,18.1,65,162,275,91,120,5.7,2
1,5,19,24.0,18.0,69,16,0,16,110,4.6,2
1,5,20,24.0,18.0,69,0,0,0,110,4.4,3
1,5,21,24.0,18.0,69,0,0,0,110,4.3,4
1,5,22,24.0,18.0,69,0,0,0,110,4.1,5
1,5,23,24.0,18.0,69,0,0,0,130,3.1,5
1,5,24,23.1,17.3,70,0,0,0,150,2.6,5
1,6,1,22.0,18.0,78,0,0,0,170,2.6,2
1,6,2,21.0,17.0,78,0,0,0,170,2.6,5
1,6,3,21.1,17.4,79,0,0,0,180,3.1,4
1,6,4,20.0,18.0,88,0,0,0,200,2.6,3
1,6,5,20.0,18.0,88,0,0,0,210,2.6,2
1,6,6,21.0,18.1,84,31,0,31,210,3.1,2
1,6,7,23.0,18.0,73,217,299,124,190,3.6,2
1,6,8,25.0,18.0,65,458,620,139,160,4.6,2
1,6,9,22.8,19.6,82,369,86,309,100,4.1,9
1,6,10,24.0,20.0,78,808,592,309,50,2.6,5
1,6,11,25.0,17.0,61,934,675,297,100,5.1,5
1,6,12,26.8,16.6,54,1048,694,360,110,6.2,4
1,6,13,27.0,17.0,54,985,609,384,100,6.2,5
