Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,31.7,18.9,47,1010,925,148,90,7.1,4
1,1,15,31.2,18.2,46,876,926,123,90,8.2,1
1,1,16,30.5,18.4,48,694,783,183,90,7.0,5
1,1,17,29.4,18.4,52,294,245,176,113,6.3,6
1,1,18,28.3,19.2,58,82,37,77,113,3.6,5
1,1,19,27.1,18.9,61,13,14,12,113,3.9,8
1,1,20,26.0,19.3,67,0,0,0,158,2.6,8
1,1,21,25.3,19.3,69,0,0,0,158,3.1,0
1,1,22,24.1,20.0,78,0,0,0,158,0.8,8
1,1,23,23.4,20.0,81,0,0,0,0,0.0,8
1,1,24,22.3,19.9,86,0,0,0,0,0.0,1
1,2,1,22.4,19.9,86,0,0,0,0,0.0,8
1,2,2,22.0,19.7,87,0,0,0,180,1.5,8
1,2,3,22.7,19.9,84,0,0,0,180,1.5,5
1,2,4,22.0,19.0,83,0,0,0,180,2.7,5
1,2,5,22.5,18.8,80,0,0,0,158,3.2,5
1,2,6,22.4,18.3,78,13,9,12,158,4.6,5
1,2,7,24.4,18.9,71,169,343,72,158,3.9,5
1,2,8,25.7,19.2,67,442,724,106,113,4.2,4
1,2,9,27.9,19.4,60,680,859,113,113,4.1,4
1,2,10,28.5,19.7,59,881,938,108,113,5.0,3
1,2,11,29.7,19.8,55,1021,966,112,45,5.5,1
1,2,12,30.0,20.0,55,1094,972,118,45,5.7,1
1,2,13,31.2,19.6,50,1087,962,113,45,6.3,1
1,2,14,31.3,19.2,49,1005,953,115,68,6.4,1
1,2,15,31.3,18.9,48,882,899,149,68,6.7,1
1,2,16,30.6,18.8,49,619,756,125,68,5.7,1
1,2,17,29.8,18.6,51,413,743,85,23,4.8,1
1,2,18,29.2,18.4,52,170,491,57,23,3.6,1
1,2,19,27.8,19.0,59,10,5,9,23,2.5,6
1,2,20,26.7,19.5,65,0,0,0,0,0.0,6
1,2,21,25.0,20.4,76,0,0,0,0,0.0,0
1,2,22,24.6,20.5,78,0,0,0,0,0.0,8
1,2,23,23.7,20.8,84,0,0,0,0,0.0,8
1,2,24,23.0,20.9,88,0,0,0,0,0.0,1
1,3,1,22.1,21.1,94,0,0,0,0,0.0,6
1,3,2,21.6,21.0,96,0,0,0,0,0.0,6
1,3,3,22.2,20.3,89,0,0,0,0,0.0,0
1,3,4,21.6,20.2,92,0,0,0,0,0.0,5
1,3,5,22.1,19.8,87,0,0,0,225,1.2,5
1,3,6,21.8,19.8,88,18,65,12,225,2.1,1
1,3,7,24.4,19.3,73,194,534,62,225,2.4,1
1,3,8,25.9,19.2,67,441,763,90,158,3.0,1
1,3,9,28.5,19.3,58,671,857,107,158,3.1,1
1,3,10,28.8,19.5,57,872,892,136,158,4.1,1
1,3,11,29.8,19.7,55,860,596,295,23,4.6,1
1,3,12,30.0,20.0,55,1098,937,158,23,5.1,1
1,3,13,30.8,20.2,53,1081,888,194,23,5.4,1
1,3,14,30.8,20.3,54,1001,933,129,45,5.5,1
1,3,15,30.5,20.1,54,854,913,111,45,6.2,1
1,3,16,29.9,20.5,57,650,840,111,45,5.3,1
1,3,17,29.3,20.7,60,271,352,117,23,5.0,1
1,3,18,28.8,21.3,64,164,439,62,23,3.6,1
1,3,19,27.9,21.1,67,11,15,10,23,3.8,6
1,3,20,27.2,21.4,71,0,0,0,270,3.1,6
1,3,21,26.2,21.6,76,0,0,0,270,2.6,0
1,3,22,25.7,22.0,80,0,0,0,270,1.7,8
1,3,23,24.8,22.1,85,0,0,0,270,1.1,8
1,3,24,23.9,22.0,89,0,0,0,270,1.0,5
1,4,1,23.0,21.8,93,0,0,0,270,0.5,8
1,4,2,22.2,21.7,97,0,0,0,0,0.0,8
1,4,3,22.5,21.3,93,0,0,0,0,0.0,3
1,4,4,21.6,21.1,97,0,0,0,0,0.0,3
1,4,5,22.0,20.7,92,0,0,0,0,0.0,3
1,4,6,21.7,20.7,94,23,23,14,0,0.0,3
1,4,7,24.4,19.9,76,214,533,66,0,0.0,4
1,4,8,26.1,19.7,68,396,663,88,113,1.9,3
1,4,9,29.1,18.9,54,669,890,82,113,3.1,1
1,4,10,29.4,19.6,56,859,938,88,113,3.6,1
1,4,11,30.6,19.8,53,997,960,96,0,4.3,1
1,4,12,30.6,20.7,56,1071,977,96,0,4.6,1
1,4,13,31.5,20.3,52,1072,985,93,0,4.9,1
1,4,14,31.3,20.6,53,988,954,100,23,4.8,1
1,4,15,30.7,20.6,55,837,905,105,23,4.6,1
1,4,16,30.0,20.9,58,640,857,91,23,4.2,1
