Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,38.9,1.8,10,1023,922,163,158,5.2,3
1,1,15,39.1,2.7,11,931,1024,86,158,6.7,6
1,1,16,39.0,2.7,11,759,1050,51,158,5.7,5
1,1,17,38.5,3.8,12,514,956,46,113,5.7,5
1,1,18,38.4,4.9,13,249,660,58,113,5.7,8
1,1,19,36.8,6.4,15,48,24,26,113,5.0,6
1,1,20,35.9,7.3,17,0,0,0,90,4.5,6
1,1,21,34.3,7.5,19,0,0,0,90,3.1,6
1,1,22,33.9,7.7,20,0,0,0,90,3.4,6
1,1,23,32.7,7.3,21,0,0,0,68,3.0,6
1,1,24,31.4,6.8,21,0,0,0,68,3.1,6
1,2,1,30.1,5.4,21,0,0,0,68,2.7,6
1,2,2,28.8,4.4,21,0,0,0,45,2.8,6
1,2,3,28.6,3.6,20,0,0,0,45,3.1,6
1,2,4,27.1,3.0,21,0,0,0,45,3.2,5
1,2,5,27.0,3.0,21,0,0,0,23,3.4,5
1,2,6,26.5,2.8,22,46,24,29,23,3.1,1
1,2,7,29.0,3.6,20,242,583,73,23,3.5,1
1,2,8,30.8,4.2,19,501,898,61,0,3.6,1
1,2,9,33.9,4.9,16,741,998,68,0,4.1,1
1,2,10,35.3,4.7,15,909,969,110,0,4.0,1
1,2,11,37.2,4.7,13,1000,862,196,113,4.5,3
1,2,12,38.5,4.4,12,1035,741,301,113,5.1,3
1,2,13,39.6,4.4,12,1035,745,298,113,5.5,3
1,2,14,39.8,4.4,11,1000,869,189,113,6.1,4
1,2,15,39.1,4.6,12,909,978,103,113,5.7,8
1,2,16,38.7,4.9,13,741,1007,62,113,6.6,5
1,2,17,37.8,5.6,14,501,912,54,135,6.5,5
1,2,18,37.6,5.9,14,242,612,65,135,7.2,5
1,2,19,36.1,6.8,17,46,24,27,135,5.5,6
1,2,20,35.3,7.0,18,0,0,0,90,4.8,6
1,2,21,34.0,7.7,20,0,0,0,90,3.1,6
1,2,22,34.0,6.8,19,0,0,0,90,3.4,6
1,2,23,33.1,6.1,19,0,0,0,68,3.0,6
1,2,24,32.3,4.7,18,0,0,0,68,3.1,6
1,3,1,30.6,4.1,19,0,0,0,68,2.6,6
1,3,2,29.1,3.0,19,0,0,0,68,2.8,6
1,3,3,27.9,2.4,19,0,0,0,68,3.1,6
1,3,4,26.7,1.9,20,0,0,0,68,3.3,5
1,3,5,26.1,2.2,21,0,0,0,45,3.5,4
1,3,6,25.3,3.3,24,48,24,27,45,3.1,1
1,3,7,27.1,3.9,23,253,673,59,45,3.7,1
1,3,8,28.8,4.7,22,524,981,44,23,3.8,1
1,3,9,32.2,4.7,18,774,1078,47,23,4.6,1
1,3,10,33.4,5.2,17,949,1055,78,23,4.2,1
1,3,11,35.9,4.7,14,1042,959,147,90,4.6,1
1,3,12,37.4,3.6,12,1077,849,237,90,4.6,0
1,3,13,39.6,2.7,10,1077,852,234,90,5.7,1
1,3,14,40.5,1.8,9,1042,965,142,135,6.2,1
1,3,15,40.2,2.4,10,949,1061,73,135,6.7,3
1,3,16,40.3,1.5,9,774,1085,43,135,6.6,3
1,3,17,39.5,2.4,10,524,992,39,135,6.3,4
1,3,18,39.4,2.7,10,253,699,52,135,6.2,1
1,3,19,37.4,4.9,13,48,24,25,135,5.3,5
1,3,20,36.4,6.1,15,0,0,0,90,4.5,5
1,3,21,35.0,7.3,18,0,0,0,90,3.1,6
1,3,22,34.6,7.3,19,0,0,0,90,3.4,6
1,3,23,33.7,7.3,20,0,0,0,68,3.2,6
1,3,24,32.5,6.6,20,0,0,0,68,4.1,6
1,4,1,31.6,7.1,22,0,0,0,68,3.4,6
1,4,2,30.5,6.8,23,0,0,0,45,3.8,6
1,4,3,29.8,7.7,25,0,0,0,45,3.6,5
1,4,4,28.7,7.7,27,0,0,0,45,4.3,5
1,4,5,28.1,8.8,30,0,0,0,23,4.3,4
1,4,6,27.5,9.0,31,47,23,27,23,3.6,0
1,4,7,28.6,10.8,33,251,663,60,23,3.9,0
1,4,8,29.7,11.7,33,521,973,45,0,3.6,0
1,4,9,32.2,12.8,31,770,1070,49,0,4.6,0
1,4,10,33.4,12.2,28,944,1047,81,0,3.4,1
