Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,36.8,12.8,24,789,471,353,90,7.4,4
1,1,15,36.8,11.8,22,886,906,128,90,7.0,4
1,1,16,36.4,11.3,22,708,889,102,90,6.7,4
1,1,17,35.6,11.1,23,489,824,82,90,6.5,4
1,1,18,34.6,11.3,24,250,626,68,90,6.6,5
1,1,19,33.4,11.8,27,39,23,28,90,6.8,5
1,1,20,32.2,12.5,30,0,0,0,68,7.0,6
1,1,21,30.9,13.1,34,0,0,0,68,7.1,6
1,1,22,29.7,13.6,37,0,0,0,68,7.0,6
1,1,23,28.5,14.1,41,0,0,0,68,6.5,6
1,1,24,27.4,14.3,45,0,0,0,68,6.0,6
1,2,1,26.2,14.6,49,0,0,0,68,4.8,6
1,2,2,25.1,15.1,54,0,0,0,68,3.5,5
1,2,3,24.7,16.3,60,0,0,0,68,2.1,0
1,2,4,23.7,16.3,63,0,0,0,68,1.8,4
1,2,5,23.7,16.8,65,0,0,0,68,1.7,4
1,2,6,23.4,17.2,68,31,10,15,68,2.1,1
1,2,7,25.5,17.5,61,233,451,51,68,3.1,1
1,2,8,27.1,17.4,55,478,894,67,68,4.4,1
1,2,9,30.0,16.6,44,703,943,88,68,6.2,1
1,2,10,31.1,16.0,40,883,945,116,68,7.0,1
1,2,11,33.1,14.5,33,1014,938,145,90,7.8,1
1,2,12,34.2,13.5,29,1078,911,178,90,7.7,1
1,2,13,35.9,10.8,22,1083,910,179,90,8.3,1
1,2,14,36.6,8.9,19,1022,929,148,90,8.1,1
1,2,15,36.7,7.0,16,897,931,120,90,8.2,1
1,2,16,36.4,6.5,16,714,901,98,90,7.7,3
1,2,17,35.8,6.3,16,497,850,75,90,7.7,4
1,2,18,34.8,6.5,17,253,648,66,90,7.8,5
1,2,19,33.7,7.2,19,50,23,24,90,8.1,5
1,2,20,32.5,7.9,22,0,0,0,90,8.4,6
1,2,21,31.2,8.5,24,0,0,0,90,8.4,6
1,2,22,29.8,8.9,27,0,0,0,0,0.0,6
1,2,23,28.4,9.3,30,0,0,0,0,0.0,6
1,2,24,27.3,9.7,33,0,0,0,0,0.0,6
1,3,1,25.9,10.1,37,0,0,0,0,0.0,6
1,3,2,24.6,10.8,42,0,0,0,0,0.0,6
1,3,3,23.5,12.2,49,0,0,0,0,0.0,6
1,3,4,22.9,12.8,53,0,0,0,0,0.0,6
1,3,5,22.9,13.9,57,0,0,0,68,0.2,6
1,3,6,23.1,14.5,58,19,10,17,68,1.0,6
1,3,7,24.8,15.6,57,189,206,97,68,1.9,5
1,3,8,26.6,15.9,52,411,574,134,68,3.4,5
1,3,9,29.6,16.2,44,522,417,236,68,6.2,5
1,3,10,31.0,15.1,38,900,985,103,68,6.7,4
1,3,11,33.1,14.1,32,1044,1000,119,68,7.8,3
1,3,12,34.1,12.4,27,1089,934,167,68,7.2,4
1,3,13,36.0,11.0,22,1097,937,166,68,8.5,3
1,3,14,36.5,9.3,19,1031,944,141,68,8.2,3
1,3,15,36.5,8.1,18,903,941,116,68,7.6,3
1,3,16,36.1,7.2,17,733,950,84,68,7.0,4
1,3,17,35.2,7.2,18,508,886,67,68,6.7,4
1,3,18,34.2,7.4,19,267,741,53,68,6.6,5
1,3,19,33.1,8.3,22,50,24,25,68,6.8,5
1,3,20,32.0,8.9,24,0,0,0,68,7.2,6
1,3,21,30.9,9.5,27,0,0,0,68,7.7,6
1,3,22,29.7,9.9,29,0,0,0,90,7.9,6
1,3,23,28.6,10.1,32,0,0,0,90,7.8,6
1,3,24,27.6,10.3,34,0,0,0,90,7.6,6
1,4,1,26.5,10.5,37,0,0,0,90,6.8,6
1,4,2,25.3,10.8,40,0,0,0,90,5.9,6
1,4,3,24.4,11.4,44,0,0,0,90,4.9,6
1,4,4,23.7,12.0,48,0,0,0,90,4.1,5
1,4,5,23.6,13.0,51,0,0,0,90,3.6,5
1,4,6,22.4,14.2,60,19,10,17,90,1.0,1
1,4,7,25.0,14.8,53,228,442,53,90,3.9,1
1,4,8,26.6,15.2,50,472,882,69,90,4.6,1
1,4,9,30.0,15.2,41,697,935,90,90,8.2,1
1,4,10,30.7,15.1,39,883,950,114,90,6.1,1
1,4,11,32.8,14.4,33,1017,947,141,90,6.7,1
1,4,12,34.0,13.6,29,1081,918,174,90,5.1,1
1,4,13,35.8,12.2,24,1083,910,180,90,7.1,1
1,4,14,36.5,10.8,21,1028,938,144,90,7.0,1
1,4,15,36.1,9.1,19,903,940,116,90,7.2,1
1,4,16,36.0,8.7,19,725,926,90,90,6.6,4
1,4,17,35.1,8.5,20,503,866,72,90,6.4,4
1,4,18,34.0,8.5,21,261,697,59,90,6.5,5
1,4,19,32.7,9.1,23,47,24,27,90,6.6,5
1,4,20,31.5,9.7,26,0,0,0,90,6.8,6
1,4,21,30.3,10.3,29,0,0,0,90,7.0,6
1,4,22,29.2,10.9,32,0,0,0,90,7.0,6
1,4,23,28.1,11.2,35,0,0,0,90,6.8,6
1,4,24,27.2,11.6,38,0,0,0,90,6.7,6
1,5,1,26.2,11.7,40,0,0,0,90,6.3,6
1,5,2,25.3,11.9,43,0,0,0,90,5.8,6
1,5,3,24.5,12.2,46,0,0,0,90,5.5,6
1,5,4,24.0,12.5,49,0,0,0,90,5.3,5
1,5,5,23.8,13.0,51,0,0,0,90,5.3,5
1,5,6,23.0,14.3,58,31,9,12,90,4.1,3
1,5,7,25.1,13.8,49,247,500,33,90,6.0,3
1,5,8,26.6,14.1,46,478,908,63,90,6.5,3
1,5,9,30.0,13.4,36,706,962,82,90,9.3,3
1,5,10,30.6,14.0,36,878,940,118,90,7.2,1
1,5,11,32.7,13.7,32,1006,926,150,90,7.3,1
1,5,12,33.4,13.4,30,1075,907,179,90,5.1,1
1,5,13,36.0,12.2,24,1081,904,183,90,7.0,1
1,5,14,36.9,11.4,22,1003,887,168,90,6.8,1
1,5,15,37.3,10.8,20,886,902,133,90,7.2,1
1,5,16,37.0,10.5,20,689,826,122,90,6.4,4
1,5,17,36.3,10.3,21,481,769,94,90,6.4,4
1,5,18,35.3,10.5,22,239,521,82,90,6.5,5
1,5,19,34.1,11.0,25,50,24,25,90,6.7,5
1,5,20,32.9,11.4,27,0,0,0,90,6.9,6
1,5,21,31.7,11.9,30,0,0,0,90,7.0,6
1,5,22,30.4,12.4,33,0,0,0,90,7.0,6
1,5,23,29.3,12.6,36,0,0,0,90,6.8,6
1,5,24,28.3,12.7,38,0,0,0,90,6.6,6
1,6,1,27.3,12.9,41,0,0,0,90,6.3,6
1,6,2,26.5,12.9,43,0,0,0,90,5.9,6
1,6,3,25.8,13.0,45,0,0,0,90,5.7,5
1,6,4,25.5,13.3,47,0,0,0,90,5.7,5
1,6,5,25.6,13.5,47,0,0,0,90,5.9,4
1,6,6,26.1,13.8,47,39,9,3,90,6.3,4
1,6,7,27.2,14.1,45,217,153,75,90,6.8,3
1,6,8,28.7,14.3,41,408,577,129,90,7.3,3
1,6,9,30.5,14.3,37,794,1100,44,90,7.8,3
1,6,10,32.4,14.0,33,908,1009,94,90,8.0,3
1,6,11,34.2,13.5,29,1031,977,128,90,8.1,1
1,6,12,35.8,12.9,25,1086,930,168,90,8.0,3
1,6,13,36.9,12.2,23,1094,931,169,90,7.7,3
1,6,14,37.6,11.6,21,1028,937,145,90,7.4,3
1,6,15,37.6,10.8,20,897,926,122,90,7.0,3
1,6,16,37.2,10.5,20,719,910,96,90,6.8,4
1,6,17,36.4,10.3,21,503,864,73,90,6.7,4
1,6,18,35.3,10.5,22,256,659,65,90,6.7,5
1,6,19,34.1,10.8,24,53,24,23,90,6.8,5
1,6,20,32.8,11.4,27,0,0,0,90,6.8,6
1,6,21,31.5,11.9,30,0,0,0,90,6.9,6
1,6,22,30.3,12.2,33,0,0,0,90,6.8,6
1,6,23,29.2,12.6,36,0,0,0,23,6.6,6
1,6,24,28.3,12.7,38,0,0,0,23,6.6,6
1,7,1,27.3,12.9,41,0,0,0,23,6.3,6
1,7,2,26.5,12.9,43,0,0,0,23,6.0,6
1,7,3,25.8,13.0,45,0,0,0,23,5.8,6
1,7,4,25.5,13.2,46,0,0,0,23,5.8,5
1,7,5,25.6,13.5,47,0,0,0,23,5.9,5
1,7,6,26.1,13.8,47,25,8,15,23,6.3,4
1,7,7,27.2,14.1,45,211,419,64,23,6.8,4
1,7,8,28.6,14.3,42,464,870,71,23,7.3,3
1,7,9,30.5,14.3,37,689,925,92,23,7.7,3
1,7,10,32.4,14.1,33,825,804,171,23,8.0,3
1,7,11,34.3,13.7,29,1003,923,151,23,8.1,3
1,7,12,35.8,13.0,25,1081,920,173,23,8.0,3
1,7,13,37.0,12.2,23,1092,926,172,23,7.7,3
1,7,14,37.6,11.4,21,1031,941,143,23,7.4,3
1,7,15,37.6,10.7,20,906,943,116,23,7.0,3
1,7,16,37.1,10.3,20,731,937,88,23,6.8,4
1,7,17,36.3,10.3,21,508,882,69,23,6.6,4
1,7,18,35.2,10.5,22,269,744,53,23,6.6,5
