Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,32.1,14.1,34,980,790,215,90,6.9,4
1,1,15,31.6,14.6,36,920,892,134,90,5.7,5
1,1,16,31.7,14.1,34,791,951,82,90,5.6,4
1,1,17,31.0,14.5,37,582,907,66,90,4.7,4
1,1,18,32.0,12.1,30,326,678,77,90,5.1,4
1,1,19,29.1,15.9,45,97,64,57,90,2.9,5
1,1,20,28.1,16.4,49,1,0,0,0,0.0,5
1,1,21,24.1,20.1,78,0,0,0,0,0.0,1
1,1,22,26.2,16.5,55,0,0,0,0,0.0,1
1,1,23,25.4,16.4,57,0,0,0,90,1.0,1
1,1,24,27.2,12.0,39,0,0,0,90,2.1,1
1,2,1,23.3,16.3,65,0,0,0,90,0.5,1
1,2,2,22.4,16.4,69,0,0,0,0,0.0,1
1,2,3,20.7,19.0,90,0,0,0,0,0.0,1
1,2,4,20.9,17.7,82,0,0,0,0,0.0,1
1,2,5,20.8,18.6,87,0,0,0,0,0.0,1
1,2,6,19.7,18.8,95,1,0,0,0,0.0,1
1,2,7,22.0,20.3,90,98,64,54,0,0.0,1
1,2,8,23.5,20.5,83,328,703,70,23,2.4,1
1,2,9,27.2,21.1,69,586,926,59,23,4.6,1
1,2,10,27.4,19.9,64,796,969,75,23,4.2,3
1,2,11,29.4,18.9,53,927,910,124,68,5.0,3
1,2,12,30.7,16.5,42,987,808,204,68,4.6,8
1,2,13,32.6,16.4,38,1002,742,262,68,5.8,4
1,2,14,33.5,15.3,34,987,806,207,68,5.9,4
1,2,15,32.8,15.7,36,927,907,127,68,6.2,4
1,2,16,33.4,14.5,32,796,965,77,68,5.8,4
1,2,17,32.7,15.0,34,586,921,62,68,5.7,4
1,2,18,32.8,15.7,36,328,693,74,68,5.7,3
1,2,19,30.6,17.2,45,98,64,56,68,5.5,4
