Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,20.5,18.5,88,199,2,198,90,5.1,10
1,1,15,19.9,19.0,95,148,1,146,90,4.1,10
1,1,16,19.6,18.6,94,93,1,92,90,4.7,10
1,1,17,19.2,18.5,96,46,1,45,90,4.6,9
1,1,18,18.9,17.9,94,14,0,14,90,5.1,9
1,1,19,18.7,18.2,97,1,0,1,90,4.4,8
1,1,20,18.6,18.0,96,0,0,0,90,4.3,6
1,1,21,18.5,17.8,96,0,0,0,90,4.1,5
1,1,22,18.4,17.2,93,0,0,0,90,4.0,4
1,1,23,18.3,16.9,92,0,0,0,68,3.9,4
1,1,24,18.0,16.5,91,0,0,0,68,3.6,4
1,2,1,18.1,16.7,92,0,0,0,68,3.5,5
1,2,2,18.0,16.7,92,0,0,0,90,3.5,6
1,2,3,18.2,17.1,93,0,0,0,90,3.6,8
1,2,4,18.1,17.0,93,0,0,0,90,3.9,9
1,2,5,18.3,17.3,94,1,0,1,113,4.2,9
1,2,6,18.3,17.5,95,24,1,24,113,4.6,10
1,2,7,19.1,18.0,93,72,1,72,113,4.8,10
1,2,8,19.8,18.4,92,136,2,135,90,5.0,10
1,2,9,20.4,18.9,91,203,3,201,90,5.1,9
1,2,10,21.1,18.8,87,261,4,257,90,5.0,9
1,2,11,21.6,18.9,85,300,5,295,45,4.9,9
1,2,12,23.0,18.8,77,314,5,309,45,4.6,9
1,2,13,22.0,18.8,82,300,5,295,45,4.6,9
1,2,14,21.9,18.6,82,261,4,257,113,4.6,10
1,2,15,19.8,18.4,92,203,4,201,113,4.6,10
1,2,16,21.0,18.2,84,136,2,135,113,4.6,10
1,2,17,20.4,18.1,87,72,1,72,90,4.7,9
1,2,18,21.2,18.2,83,24,1,23,90,5.1,9
1,2,19,19.5,18.1,92,1,0,1,90,4.8,8
1,2,20,19.3,18.1,93,0,0,0,90,4.8,6
1,2,21,18.9,18.1,95,0,0,0,90,4.1,5
1,2,22,19.1,18.1,94,0,0,0,90,4.7,5
1,2,23,19.1,18.0,93,0,0,0,68,4.5,4
1,2,24,18.8,17.8,94,0,0,0,68,5.1,4
1,3,1,18.9,17.9,94,0,0,0,68,4.1,5
1,3,2,18.9,17.8,93,0,0,0,68,4.0,5
1,3,3,18.7,17.9,95,0,0,0,68,3.6,6
1,3,4,18.7,17.8,95,0,0,0,68,3.8,8
1,3,5,18.7,17.8,95,4,2,4,90,3.7,8
1,3,6,19.1,17.8,92,73,17,69,90,3.1,8
1,3,7,19.4,18.1,92,205,53,184,90,3.5,8
1,3,8,20.2,18.3,89,354,102,294,90,3.3,8
1,3,9,21.3,18.6,85,483,131,383,90,4.1,6
1,3,10,22.4,18.6,79,571,133,454,90,3.3,6
1,3,11,23.7,18.6,73,619,122,501,90,3.4,6
1,3,12,24.6,18.5,69,634,116,518,90,3.1,6
1,3,13,25.9,18.6,64,619,126,498,90,4.0,6
1,3,14,26.5,18.6,62,571,140,447,90,4.5,6
1,3,15,26.7,18.7,62,483,142,375,90,5.1,8
1,3,16,26.5,18.5,61,354,114,287,90,5.4,8
1,3,17,25.9,18.6,64,205,62,180,90,5.7,8
1,3,18,25.4,18.5,66,73,20,69,90,5.7,8
1,3,19,24.0,18.8,73,4,2,4,90,5.7,6
1,3,20,23.0,18.9,78,0,0,0,68,5.4,6
1,3,21,21.7,19.3,86,0,0,0,68,5.1,5
1,3,22,21.2,19.1,88,0,0,0,68,4.4,5
1,3,23,20.5,19.2,92,0,0,0,90,3.7,4
1,3,24,20.1,18.8,92,0,0,0,90,3.1,5
1,4,1,19.7,19.1,96,0,0,0,90,2.6,5
1,4,2,19.5,19.0,97,0,0,0,90,2.3,5
1,4,3,19.5,19.0,97,0,0,0,90,2.1,6
1,4,4,19.6,19.1,97,0,0,0,90,2.2,6
1,4,5,19.9,19.1,95,5,2,4,90,2.4,6
1,4,6,20.6,19.2,92,83,31,77,90,2.6,8
1,4,7,21.3,19.1,87,235,107,192,90,3.5,6
1,4,8,22.3,19.1,82,404,201,285,113,4.2,6
1,4,9,23.2,19.2,78,546,248,359,113,5.7,9
1,4,10,24.6,19.1,71,642,243,427,113,5.8,5
1,4,11,25.8,19.1,67,692,219,480,90,6.7,5
1,4,12,26.6,18.7,62,706,207,501,90,6.7,5
1,4,13,27.3,19.1,61,692,224,475,90,8.2,5
1,4,14,27.5,18.9,59,642,253,418,68,8.7,5
1,4,15,27.8,19.5,61,546,264,347,68,9.3,6
1,4,16,26.7,18.5,61,404,219,274,68,9.3,6
1,4,17,25.8,18.1,63,235,122,186,90,9.2,6
1,4,18,24.2,16.9,64,83,38,76,90,9.3,6
1,4,19,23.3,17.6,70,5,2,4,90,8.2,6
1,4,20,22.1,17.4,75,0,0,0,68,7.3,6
1,4,21,20.8,18.0,84,0,0,0,68,5.7,5
1,4,22,19.8,17.1,84,0,0,0,68,5.3,5
1,4,23,19.0,17.2,89,0,0,0,90,4.3,5
