Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,27.4,21.9,72,326,9,318,90,8.9,10
1,1,15,26.1,22.8,82,261,9,255,90,6.2,10
1,1,16,26.9,22.2,75,180,7,176,90,7.8,10
1,1,17,26.6,22.2,77,96,5,94,90,7.3,10
1,1,18,27.0,21.9,74,28,2,28,90,8.2,10
1,1,19,26.2,21.8,77,0,0,0,90,6.6,10
1,1,20,26.0,21.4,76,0,0,0,90,6.5,10
1,1,21,26.0,21.0,74,0,0,0,90,6.7,10
1,1,22,25.8,20.7,73,0,0,0,90,6.3,6
1,1,23,25.7,20.4,73,0,0,0,113,6.1,6
1,1,24,25.0,20.1,74,0,0,0,113,5.1,9
1,2,1,25.4,20.0,72,0,0,0,113,5.6,9
1,2,2,25.2,20.0,73,0,0,0,113,5.5,9
1,2,3,25.7,20.1,71,0,0,0,113,5.7,9
1,2,4,25.1,19.8,72,0,0,0,113,5.8,9
1,2,5,25.4,19.5,70,0,0,0,135,6.2,9
1,2,6,25.6,19.1,67,15,1,15,135,7.2,9
1,2,7,26.3,19.1,65,66,2,65,135,7.8,9
1,2,8,27.0,18.9,61,135,3,134,135,8.8,9
1,2,9,27.2,19.0,61,208,4,205,135,9.3,9
1,2,10,28.2,19.1,58,270,5,266,135,10.4,9
1,2,11,28.6,19.6,58,310,5,305,113,10.9,9
1,2,12,29.5,19.9,56,324,4,319,113,11.8,9
1,2,13,28.8,20.5,61,310,5,306,113,10.7,10
1,2,14,28.6,21.0,64,271,5,267,113,10.1,10
1,2,15,27.6,21.5,69,212,4,209,113,8.2,10
1,2,16,28.0,21.2,67,142,3,140,113,8.6,9
1,2,17,27.7,20.9,67,74,2,73,90,7.9,9
1,2,18,28.0,20.1,62,21,1,21,90,8.2,9
1,2,19,27.4,19.6,62,0,0,0,90,7.1,9
1,2,20,27.3,18.8,60,0,0,0,90,6.9,9
1,2,21,26.8,18.0,59,0,0,0,90,7.2,9
1,2,22,27.1,17.4,55,0,0,0,90,6.9,9
1,2,23,26.9,17.1,55,0,0,0,113,6.8,9
1,2,24,27.0,17.1,55,0,0,0,113,5.7,9
1,3,1,26.2,17.6,59,0,0,0,113,6.2,6
1,3,2,25.9,18.0,62,0,0,0,113,6.1,8
1,3,3,25.4,19.0,68,0,0,0,113,7.2,10
1,3,4,25.5,19.0,67,0,0,0,113,6.5,8
1,3,5,25.7,19.3,68,0,0,0,113,7.0,8
1,3,6,26.0,19.0,65,29,4,28,113,6.7,9
