Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,25.7,25.2,97,301,6,295,135,5.0,10
1,1,15,25.5,24.8,96,248,6,244,135,6.2,10
1,1,16,25.1,24.9,99,178,5,175,135,5.5,10
1,1,17,24.9,24.6,98,102,3,100,113,5.6,10
1,1,18,24.9,24.5,98,36,2,36,113,5.7,10
1,1,19,24.7,24.0,96,2,1,2,113,5.3,10
1,1,20,24.7,23.8,95,0,0,0,135,4.8,10
1,1,21,24.7,23.5,93,0,0,0,135,3.6,10
1,1,22,24.8,23.5,92,0,0,0,135,3.6,9
1,1,23,24.9,23.5,92,0,0,0,113,3.0,9
1,1,24,24.8,23.6,93,0,0,0,113,2.6,9
1,2,1,24.9,23.7,93,0,0,0,113,2.2,9
1,2,2,24.8,23.8,94,0,0,0,113,2.0,9
1,2,3,24.8,23.9,95,0,0,0,113,2.6,9
1,2,4,24.6,24.2,98,0,0,0,113,2.2,9
1,2,5,24.7,24.2,97,0,0,0,158,2.5,9
1,2,6,24.9,24.3,96,4,2,4,158,2.6,9
1,2,7,25.4,24.4,94,57,5,56,158,3.1,9
1,2,8,26.0,24.5,91,154,11,150,113,3.5,9
1,2,9,26.9,24.9,89,260,17,249,113,3.1,9
1,2,10,27.6,24.9,85,348,20,333,113,4.4,9
1,2,11,28.4,25.0,82,408,20,390,90,4.8,9
1,2,12,28.8,24.9,80,436,19,418,90,6.2,9
1,2,13,29.5,25.2,78,436,19,418,90,5.5,9
1,2,14,29.7,25.1,76,408,20,389,68,5.6,9
1,2,15,29.9,24.9,75,348,21,332,68,5.7,9
1,2,16,29.3,24.8,77,260,18,248,68,5.4,9
1,2,17,28.9,24.6,78,154,12,149,90,5.0,9
1,2,18,28.2,24.6,81,57,6,56,90,3.1,9
1,2,19,27.9,24.1,80,4,2,4,90,3.7,9
1,2,20,27.3,23.9,82,0,0,0,90,3.0,9
1,2,21,27.0,23.5,81,0,0,0,90,3.6,6
1,2,22,26.5,23.9,86,0,0,0,90,2.0,9
1,2,23,26.1,24.0,88,0,0,0,113,1.8,9
1,2,24,25.7,24.2,91,0,0,0,113,1.5,9
1,3,1,25.5,24.1,92,0,0,0,113,1.9,9
1,3,2,25.2,24.3,95,0,0,0,90,2.0,9
1,3,3,25.1,24.2,95,0,0,0,90,2.1,9
1,3,4,24.9,24.4,97,0,0,0,90,2.2,9
1,3,5,25.0,24.3,96,0,0,0,90,2.1,9
1,3,6,25.1,24.1,94,7,2,6,90,1.5,9
1,3,7,25.7,24.0,90,104,51,93,90,1.8,8
1,3,8,26.4,23.9,86,274,136,214,68,1.7,6
1,3,9,27.5,24.1,82,445,207,314,68,2.6,10
1,3,10,28.2,23.9,78,575,217,402,68,1.8,6
1,3,11,29.0,24.0,74,651,190,477,23,2.0,5
1,3,12,29.4,23.6,71,682,165,521,23,2.1,5
1,3,13,30.2,24.3,71,682,167,520,23,3.1,5
1,3,14,30.4,24.4,70,651,195,472,225,3.7,6
1,3,15,30.6,25.1,73,575,226,395,225,3.6,9
1,3,16,29.9,24.6,73,445,219,306,225,4.7,9
1,3,17,29.4,24.5,75,274,148,209,270,4.8,9
1,3,18,28.6,23.9,76,104,57,92,270,5.7,9
1,3,19,28.2,24.2,79,7,2,6,270,4.3,9
1,3,20,27.6,24.1,81,0,0,0,338,3.6,9
1,3,21,27.0,24.1,84,0,0,0,338,2.6,9
1,3,22,26.6,23.9,85,0,0,0,338,2.1,9
1,3,23,26.2,24.0,88,0,0,0,0,0.0,9
1,3,24,26.0,24.2,90,0,0,0,0,0.0,9
