Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,31.1,27.0,79,861,692,249,338,6.8,5
1,1,15,31.4,27.4,79,697,620,231,338,6.2,5
1,1,16,30.2,27.0,83,442,306,260,338,5.8,6
1,1,17,29.6,27.0,86,264,242,175,338,5.3,6
1,1,18,28.7,26.8,89,56,14,54,338,5.1,6
1,1,19,28.5,26.9,91,0,0,0,338,4.9,8
1,1,20,28.1,26.9,93,0,0,0,0,5.0,9
1,1,21,27.8,26.7,94,0,0,0,0,5.1,3
1,1,22,27.7,26.6,94,0,0,0,0,5.6,9
1,1,23,27.6,26.4,93,0,0,0,0,6.0,9
1,1,24,27.5,26.4,94,0,0,0,0,6.3,9
1,2,1,27.4,26.1,93,0,0,0,0,6.5,9
1,2,2,27.3,25.9,92,0,0,0,0,6.6,8
1,2,3,27.3,25.6,90,0,0,0,0,6.2,1
1,2,4,27.3,25.7,91,0,0,0,0,6.2,1
1,2,5,27.4,25.6,90,0,0,0,0,6.0,1
1,2,6,27.3,25.6,90,50,32,45,0,6.2,1
1,2,7,28.1,25.8,87,269,452,111,0,5.5,4
1,2,8,28.8,25.9,84,506,691,136,315,5.3,4
1,2,9,30.1,26.3,80,639,504,275,315,4.6,6
1,2,10,30.2,26.3,80,833,663,258,315,5.1,3
1,2,11,30.9,26.4,77,983,794,224,0,5.0,3
1,2,12,30.6,26.2,77,1033,808,232,0,5.1,1
1,2,13,31.4,26.4,75,1014,840,201,0,4.6,3
1,2,14,31.3,26.3,75,892,777,205,0,4.3,3
1,2,15,31.5,26.2,74,742,768,167,0,4.1,3
1,2,16,30.3,26.0,78,517,581,177,0,3.8,4
1,2,17,29.6,25.8,80,300,482,134,0,3.7,5
1,2,18,28.5,25.7,85,83,58,67,0,3.6,5
1,2,19,28.5,25.6,84,0,0,0,0,3.8,8
1,2,20,28.1,25.6,86,0,0,0,0,4.0,8
1,2,21,28.0,25.4,86,0,0,0,0,4.1,1
1,2,22,27.8,25.4,87,0,0,0,0,4.7,1
1,2,23,27.7,25.3,87,0,0,0,0,4.9,1
1,2,24,27.7,25.3,87,0,0,0,0,5.0,1
1,3,1,27.7,25.1,86,0,0,0,23,5.1,1
1,3,2,27.6,24.9,85,0,0,0,23,5.0,1
1,3,3,27.3,24.8,86,0,0,0,23,4.1,1
1,3,4,27.4,24.7,85,0,0,0,23,4.2,6
1,3,5,27.4,24.7,85,0,0,0,0,3.7,5
1,3,6,27.3,24.7,86,53,34,45,0,3.6,3
1,3,7,27.8,24.9,84,267,445,118,0,2.9,5
1,3,8,28.3,25.0,82,508,708,131,23,2.6,4
1,3,9,29.5,25.2,78,719,791,153,23,2.6,9
1,3,10,29.4,25.3,79,867,767,205,23,2.5,4
1,3,11,29.9,25.4,77,997,830,204,23,2.6,4
1,3,12,29.5,25.3,78,1019,772,254,23,2.1,6
1,3,13,30.5,25.2,73,1025,865,188,23,2.7,4
1,3,14,30.4,25.1,73,900,798,195,0,2.5,4
1,3,15,30.7,25.0,72,750,790,158,0,3.1,4
1,3,16,29.8,24.8,75,553,749,125,0,1.8,4
1,3,17,29.3,24.6,76,283,348,148,0,0.0,4
1,3,18,28.6,24.4,78,111,58,41,0,0.0,4
1,3,19,28.3,24.4,79,0,0,0,0,0.0,6
1,3,20,27.9,24.4,81,0,0,0,68,0.4,8
1,3,21,27.5,24.3,83,0,0,0,68,1.0,1
1,3,22,27.4,24.3,83,0,0,0,68,0.9,1
1,3,23,27.3,24.2,83,0,0,0,68,1.5,1
1,3,24,27.2,24.1,83,0,0,0,68,2.3,1
1,4,1,27.2,24.0,83,0,0,0,68,3.2,1
1,4,2,27.1,23.9,83,0,0,0,68,4.1,1
