Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,29.8,12.7,35,1081,1075,86,248,5.1,1
1,1,15,30.5,10.9,30,939,1030,83,248,5.6,3
1,1,16,30.2,10.7,30,744,959,78,90,5.9,3
1,1,17,29.1,10.2,31,542,895,69,90,5.1,0
1,1,18,27.7,10.6,34,317,767,56,90,5.0,0
1,1,19,25.9,10.6,38,114,69,33,113,4.0,0
1,1,20,24.0,9.8,41,6,1,3,113,3.6,0
1,1,21,22.2,10.2,46,0,0,0,113,1.8,0
1,1,22,20.8,9.8,49,0,0,0,0,0.0,0
1,1,23,20.4,9.8,51,0,0,0,0,0.0,0
1,1,24,19.4,8.8,50,0,0,0,0,0.0,0
1,2,1,19.4,7.9,47,0,0,0,0,0.0,0
1,2,2,19.9,7.9,46,0,0,0,0,0.0,0
1,2,3,20.9,6.8,40,0,0,0,0,0.0,0
1,2,4,22.0,7.3,39,0,0,0,68,1.4,0
1,2,5,22.7,7.5,38,0,0,0,68,2.1,0
1,2,6,24.5,9.6,39,97,44,33,68,2.1,0
1,2,7,25.7,11.1,40,286,765,53,68,2.4,0
1,2,8,27.4,12.5,40,506,892,64,68,3.6,0
1,2,9,28.1,13.4,40,725,978,72,68,3.0,0
1,2,10,29.3,14.0,39,914,1033,78,68,3.4,0
1,2,11,30.9,13.9,36,1047,1061,81,68,2.1,1
1,2,12,31.6,13.9,34,1125,1075,86,68,4.0,1
1,2,13,32.6,13.1,31,1136,1084,83,248,4.3,1
1,2,14,32.4,13.1,31,1075,1069,86,248,5.1,1
1,2,15,33.6,11.4,26,897,962,97,248,4.2,4
1,2,16,33.4,10.9,25,719,892,97,248,3.9,6
1,2,17,32.7,10.1,25,342,345,150,248,4.6,9
1,2,18,31.0,11.2,30,192,127,150,248,3.2,9
1,2,19,29.0,11.9,35,78,69,53,158,3.0,9
1,2,20,27.8,12.1,38,3,0,3,158,1.0,9
1,2,21,24.4,13.7,51,0,0,0,158,3.0,9
1,2,22,22.2,14.2,60,0,0,0,180,3.3,9
1,2,23,19.0,15.3,79,0,0,0,180,4.6,9
1,2,24,19.3,14.0,71,0,0,0,180,4.1,9
1,3,1,18.6,13.4,72,0,0,0,113,4.4,9
1,3,2,18.8,13.1,69,0,0,0,113,5.1,9
1,3,3,18.6,12.1,66,0,0,0,113,4.2,9
1,3,4,19.0,11.6,62,0,0,0,203,3.7,9
1,3,5,20.6,9.0,47,0,0,0,203,1.5,9
1,3,6,20.2,12.1,60,17,6,14,203,2.3,9
1,3,7,20.6,12.9,61,42,0,42,180,1.7,9
1,3,8,19.8,15.7,77,172,11,167,180,2.6,9
1,3,9,20.8,14.9,69,258,21,244,180,1.6,9
1,3,10,20.7,15.6,73,225,10,217,135,2.1,9
1,3,11,20.5,16.0,75,414,51,367,135,2.6,10
1,3,12,20.2,15.8,76,506,72,436,135,4.0,10
1,3,13,20.1,15.4,74,358,23,336,158,5.0,10
1,3,14,20.4,13.0,62,286,15,272,158,5.7,10
1,3,15,19.9,13.4,66,286,17,272,158,6.2,10
1,3,16,19.8,12.3,62,172,8,167,180,6.2,10
1,3,17,19.6,12.1,62,139,11,133,180,5.7,10
1,3,18,19.4,10.7,57,122,46,108,180,5.0,9
1,3,19,18.9,10.6,59,89,69,56,180,4.1,9
1,3,20,18.2,11.7,66,0,0,0,180,3.6,9
1,3,21,17.5,11.1,66,0,0,0,180,2.4,8
1,3,22,16.6,11.5,72,0,0,0,203,1.9,8
1,3,23,15.2,11.1,76,0,0,0,203,1.0,3
1,3,24,15.5,11.8,79,0,0,0,203,1.7,6
1,4,1,15.0,11.8,81,0,0,0,180,1.7,8
