Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,20.1,11.2,57,717,286,448,200,6.1,9
1,1,15,20.6,11.3,55,640,235,439,230,6.7,9
1,1,16,20.2,11.7,58,580,310,353,230,6.1,8
1,1,17,19.7,12.1,62,451,389,229,230,5.5,8
1,1,18,19.3,12.5,65,276,336,146,230,4.9,7
1,1,19,18.9,12.9,68,96,125,72,230,4.3,7
1,1,20,18.4,13.3,72,6,0,6,230,3.7,7
1,1,21,18.0,13.6,75,0,0,0,220,3.1,6
1,1,22,17.8,13.5,76,0,0,0,220,3.1,6
1,1,23,17.6,13.3,76,0,0,0,220,3.1,7
1,1,24,17.4,13.2,76,0,0,0,220,3.1,7
1,2,1,17.3,13.0,76,0,0,0,220,3.1,7
1,2,2,17.1,12.9,76,0,0,0,220,3.1,7
1,2,3,16.9,12.7,76,0,0,0,210,3.1,7
1,2,4,16.7,12.7,77,0,0,0,210,2.9,8
1,2,5,16.5,12.7,78,0,0,0,210,2.8,8
1,2,6,16.3,12.7,79,15,0,15,210,2.6,9
1,2,7,16.1,12.7,80,106,72,87,210,2.4,9
1,2,8,15.9,12.6,81,195,17,188,210,2.3,10
1,2,9,15.7,12.6,82,219,6,216,220,2.1,10
1,2,10,16.2,12.5,78,347,4,344,220,3.3,10
1,2,11,16.8,12.4,75,473,7,467,220,4.5,10
1,2,12,17.3,12.2,72,579,92,490,220,5.7,9
1,2,13,17.9,12.1,69,649,134,517,220,6.9,9
1,2,14,18.4,12.0,66,671,184,498,220,8.1,9
1,2,15,19.0,11.8,63,640,305,378,230,9.3,9
1,2,16,18.6,11.5,63,554,237,381,230,9.1,9
1,2,17,18.2,11.2,64,420,292,254,230,8.9,8
1,2,18,17.8,10.9,64,254,172,187,230,8.7,8
1,2,19,17.4,10.6,64,88,69,75,230,8.6,8
1,2,20,17.0,10.3,64,6,0,6,230,8.4,8
1,2,21,16.6,9.9,65,0,0,0,200,8.2,7
1,2,22,16.4,9.8,65,0,0,0,200,7.7,7
1,2,23,16.2,9.6,65,0,0,0,200,7.2,7
1,2,24,16.0,9.4,65,0,0,0,200,6.7,6
1,3,1,15.7,9.3,65,0,0,0,200,6.1,6
1,3,2,15.5,9.1,66,0,0,0,200,5.6,5
1,3,3,15.3,8.9,66,0,0,0,210,5.1,5
1,3,4,15.9,9.1,64,0,0,0,210,5.1,5
1,3,5,16.5,9.2,62,0,0,0,210,5.1,5
1,3,6,17.0,9.4,61,21,0,21,210,5.1,5
1,3,7,17.6,9.5,59,172,228,113,210,5.1,5
1,3,8,18.2,9.7,57,394,559,142,210,5.1,5
1,3,9,18.8,9.8,56,618,720,165,250,5.1,5
1,3,10,19.2,10.1,56,818,847,158,250,5.1,4
1,3,11,19.5,10.3,55,969,902,164,250,5.1,4
1,3,12,19.8,10.6,55,1059,951,145,250,5.1,3
1,3,13,20.2,10.8,55,1081,952,151,250,5.1,2
1,3,14,20.5,11.1,55,1036,945,145,250,5.1,2
1,3,15,20.9,11.3,54,926,927,129,220,5.1,1
1,3,16,20.4,11.6,57,759,864,126,220,4.9,1
1,3,17,19.9,11.8,60,549,776,107,220,4.6,2
1,3,18,19.3,12.0,63,319,546,108,220,4.4,2
1,3,19,18.8,12.3,66,107,187,72,220,4.1,2
1,3,20,18.3,12.5,69,7,0,7,220,3.8,2
1,3,21,17.8,12.7,72,0,0,0,210,3.6,2
1,3,22,17.3,12.4,73,0,0,0,210,3.2,3
1,3,23,16.9,12.2,74,0,0,0,210,2.7,3
1,3,24,16.4,11.9,74,0,0,0,210,2.3,4
1,4,1,15.9,11.6,75,0,0,0,210,1.9,4
1,4,2,15.5,11.2,76,0,0,0,210,1.4,5
