Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,39.8,0.0,8,916,702,266,0,6.7,8
1,1,15,40.4,-1.9,7,833,766,202,0,7.4,5
1,1,16,39.2,-1.2,8,684,765,163,23,6.6,5
1,1,17,39.4,0.3,9,475,621,159,23,6.2,6
1,1,18,35.9,2.3,12,246,305,148,23,4.9,6
1,1,19,34.3,3.8,15,64,43,56,23,4.4,6
1,1,20,31.9,4.6,18,0,0,0,23,4.6,6
1,1,21,31.6,5.4,19,0,0,0,23,4.3,6
1,1,22,30.5,5.7,21,0,0,0,68,4.7,6
1,1,23,29.1,4.6,21,0,0,0,68,5.7,6
1,1,24,28.9,5.4,23,0,0,0,68,6.3,6
1,2,1,28.4,4.6,22,0,0,0,45,6.8,6
1,2,2,28.7,4.9,22,0,0,0,45,5.1,6
1,2,3,28.1,2.3,19,0,0,0,45,7.1,6
1,2,4,28.6,1.3,17,0,0,0,45,6.8,6
1,2,5,30.4,1.0,15,0,0,0,45,8.2,9
1,2,6,30.4,2.0,16,50,22,47,45,5.6,9
1,2,7,31.6,3.5,17,194,106,160,45,5.1,9
1,2,8,29.5,5.9,23,377,246,252,45,5.7,9
1,2,9,33.3,8.2,21,549,336,320,45,4.8,9
1,2,10,33.4,10.6,25,675,340,396,68,5.2,9
1,2,11,36.4,11.1,22,749,296,475,68,2.1,9
1,2,12,31.4,14.3,35,781,256,530,68,6.7,6
1,2,13,29.3,15.6,43,781,251,535,248,7.6,6
1,2,14,24.7,18.4,68,749,282,489,248,11.8,8
1,2,15,24.4,17.0,63,675,314,417,248,9.0,6
1,2,16,22.1,17.0,73,549,301,344,203,9.4,6
1,2,17,20.5,15.3,72,377,209,271,203,8.8,9
1,2,18,19.0,16.0,83,194,83,167,203,9.4,9
1,2,19,18.4,15.2,82,50,18,47,180,9.1,9
