Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,29.0,-7.4,8,670,436,289,270,7.2,9
1,1,15,28.5,-0.5,15,665,525,269,270,5.9,9
1,1,16,26.7,2.5,21,476,339,271,180,5.8,9
1,1,17,23.2,10.5,45,383,515,165,180,4.1,9
1,1,18,21.9,8.7,43,162,130,109,180,5.1,9
1,1,19,19.6,10.9,57,10,3,10,180,4.6,9
1,1,20,18.6,9.7,56,0,0,0,180,4.6,9
1,1,21,16.4,13.1,81,0,0,0,180,3.9,9
1,1,22,15.6,13.2,86,0,0,0,180,3.8,9
1,1,23,15.7,12.8,83,0,0,0,180,4.1,9
1,1,24,14.9,12.2,84,0,0,0,180,4.0,9
1,2,1,14.8,11.4,80,0,0,0,180,4.0,8
1,2,2,14.7,11.7,82,0,0,0,180,4.1,3
1,2,3,14.8,10.3,74,0,0,0,180,4.0,6
1,2,4,14.9,10.3,74,0,0,0,180,3.9,6
1,2,5,13.5,11.1,85,19,5,19,180,3.1,6
1,2,6,15.3,11.3,77,115,106,89,180,3.7,6
1,2,7,15.6,11.8,78,346,408,177,180,3.8,6
1,2,8,18.3,10.7,61,529,425,267,180,5.1,8
1,2,9,16.5,12.3,76,656,463,305,180,4.6,8
1,2,10,17.0,12.1,73,281,26,259,180,5.2,9
1,2,11,16.3,12.7,79,346,93,258,180,5.1,9
1,2,12,17.7,10.9,64,295,14,281,180,6.6,9
1,2,13,17.8,10.2,61,247,13,235,180,7.1,9
1,2,14,17.0,9.6,62,273,13,262,180,7.7,9
1,2,15,17.4,8.8,57,219,11,211,180,7.1,9
1,2,16,16.8,8.4,58,325,57,292,180,6.6,9
1,2,17,17.4,7.8,53,272,78,240,180,5.7,9
1,2,18,15.2,8.0,62,157,93,134,180,4.7,6
1,2,19,14.1,7.6,65,31,17,21,203,3.7,8
1,2,20,12.3,6.9,70,0,0,0,203,2.6,4
1,2,21,11.6,6.9,73,0,0,0,203,1.8,8
1,2,22,10.2,6.2,76,0,0,0,270,1.2,9
1,2,23,8.7,6.4,85,0,0,0,270,0.5,9
1,2,24,7.3,5.9,91,0,0,0,270,0.5,9
1,3,1,6.3,5.9,97,0,0,0,315,0.6,9
1,3,2,6.7,5.5,92,0,0,0,315,2.1,8
1,3,3,6.2,6.2,100,0,0,0,315,1.1,8
1,3,4,7.2,6.4,95,0,0,0,0,0.0,6
1,3,5,7.8,6.4,91,33,16,26,0,0.0,1
1,3,6,10.9,6.7,75,188,438,51,0,0.0,4
1,3,7,13.2,6.7,65,429,844,71,225,2.7,4
1,3,8,16.4,7.9,57,488,528,168,225,4.1,5
1,3,9,17.5,6.2,47,549,422,234,225,3.7,3
1,3,10,19.0,6.0,43,963,842,230,225,4.3,3
1,3,11,19.5,3.6,35,1061,984,135,225,5.7,4
1,3,12,20.6,5.0,36,1066,980,121,225,5.6,4
1,3,13,20.7,4.4,34,1054,996,117,203,6.2,4
1,3,14,20.3,5.2,37,909,842,179,203,5.1,4
1,3,15,19.8,4.7,37,869,1002,116,203,6.5,4
1,3,16,19.0,5.2,40,589,791,109,203,6.3,4
1,3,17,18.7,6.0,43,385,562,139,203,6.2,4
1,3,18,17.0,6.5,50,209,273,93,203,4.9,4
1,3,19,15.8,7.2,57,23,16,12,180,3.9,4
1,3,20,13.9,7.4,65,0,0,0,180,3.6,4
1,3,21,13.0,7.8,71,0,0,0,180,2.0,8
1,3,22,11.4,7.6,77,0,0,0,0,0.0,9
1,3,23,9.5,6.9,84,0,0,0,0,0.0,9
1,3,24,8.5,6.2,85,0,0,0,0,0.0,9
1,4,1,7.3,5.7,90,0,0,0,315,0.6,9
1,4,2,7.7,5.7,87,0,0,0,315,1.0,9
1,4,3,6.4,5.2,92,0,0,0,315,1.1,9
1,4,4,6.9,5.5,91,0,0,0,315,1.4,8
1,4,5,6.6,5.2,91,27,11,26,315,1.5,9
1,4,6,9.9,6.2,78,152,159,111,315,1.7,6
1,4,7,12.0,6.7,70,325,240,226,135,1.9,6
1,4,8,15.8,7.6,58,438,229,300,135,2.6,10
1,4,9,16.5,7.1,54,740,579,308,135,2.5,5
1,4,10,18.4,7.1,48,773,455,382,225,3.1,5
1,4,11,18.7,5.9,43,1017,766,298,225,3.1,9
1,4,12,20.4,5.9,39,1031,859,203,225,4.7,4
1,4,13,20.5,5.5,37,1046,957,147,180,5.6,4
1,4,14,20.2,5.7,39,930,927,128,180,6.7,8
1,4,15,19.4,4.4,37,832,968,106,180,6.9,4
1,4,16,18.5,4.4,39,658,976,73,158,7.1,5
1,4,17,18.5,3.8,38,415,749,102,158,7.2,5
1,4,18,16.9,5.2,46,128,210,68,158,6.4,6
1,4,19,16.2,6.0,51,28,14,27,158,5.6,8
1,4,20,14.4,6.9,61,0,0,0,158,4.1,8
1,4,21,14.8,7.2,60,0,0,0,158,3.9,9
1,4,22,14.0,7.6,65,0,0,0,180,3.2,10
1,4,23,13.4,7.6,68,0,0,0,180,3.1,10
1,4,24,12.1,8.1,77,0,0,0,180,2.5,10
1,5,1,11.0,8.0,82,0,0,0,180,2.5,9
1,5,2,11.0,8.3,83,0,0,0,180,3.1,9
1,5,3,9.5,8.0,90,0,0,0,180,3.1,8
