Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,25.1,8.9,36,733,274,482,248,4.6,10
1,1,15,25.6,9.8,37,661,312,406,248,3.9,6
1,1,16,25.4,10.6,39,540,309,329,90,3.4,6
1,1,17,25.6,10.6,39,376,231,257,90,2.6,5
1,1,18,24.8,12.0,45,200,108,164,90,2.5,6
1,1,19,24.3,12.3,47,58,27,54,90,2.5,6
1,1,20,23.2,13.8,55,1,0,1,90,3.6,3
1,1,21,23.7,11.8,47,0,0,0,90,3.5,3
1,1,22,23.6,11.1,45,0,0,0,68,4.5,3
1,1,23,24.6,8.2,35,0,0,0,68,5.1,3
1,1,24,24.2,9.0,38,0,0,0,68,6.4,3
1,2,1,24.4,8.0,35,0,0,0,68,7.3,3
1,2,2,24.4,7.7,34,0,0,0,68,7.7,3
1,2,3,24.9,6.1,30,0,0,0,68,8.2,6
1,2,4,25.2,5.9,29,0,0,0,45,8.3,8
1,2,5,25.4,6.3,29,0,0,0,45,8.8,6
1,2,6,25.7,6.8,30,19,1,19,45,7.7,9
1,2,7,25.9,7.7,31,71,2,71,23,7.2,9
1,2,8,26.3,7.9,31,143,3,141,23,6.2,10
1,2,9,26.5,9.0,33,221,4,218,23,6.6,9
1,2,10,26.8,9.4,33,291,6,287,0,6.5,9
1,2,11,27.3,9.8,33,343,6,337,0,6.7,9
1,2,12,27.5,9.2,32,370,6,364,0,7.0,9
1,2,13,27.7,8.8,30,370,6,364,315,7.5,9
1,2,14,27.1,8.1,30,343,6,337,315,8.2,10
1,2,15,27.5,8.1,29,291,6,286,315,8.6,9
1,2,16,27.0,8.3,31,221,5,218,338,9.0,9
1,2,17,27.2,8.3,30,143,3,141,338,9.8,9
1,2,18,24.9,9.1,37,71,2,70,338,9.2,8
1,2,19,23.3,9.9,43,19,1,19,225,9.1,8
1,2,20,20.4,11.6,57,0,0,0,225,7.2,8
1,2,21,19.6,11.1,58,0,0,0,225,8.5,6
1,2,22,17.6,11.4,67,0,0,0,180,8.1,6
1,2,23,16.4,10.4,68,0,0,0,180,9.8,1
1,2,24,14.1,11.3,83,0,0,0,180,7.7,5
1,3,1,12.4,11.1,92,0,0,0,225,7.4,6
1,3,2,10.6,10.6,100,0,0,0,225,5.7,9
1,3,3,10.0,10.0,100,0,0,0,225,6.9,6
1,3,4,9.3,9.3,100,0,0,0,203,6.7,6
1,3,5,9.3,9.2,99,1,0,1,203,7.7,6
1,3,6,8.8,8.2,96,55,21,52,203,6.4,6
1,3,7,9.0,7.8,92,192,83,164,225,6.2,6
1,3,8,9.4,7.4,87,362,184,267,225,5.1,9
1,3,9,10.0,7.4,84,521,252,349,225,5.8,9
1,3,10,10.6,7.4,81,640,259,428,248,5.6,9
1,3,11,10.9,7.4,79,711,230,500,248,5.7,9
1,3,12,11.6,7.4,75,741,203,545,248,4.9,9
1,3,13,11.9,7.1,72,741,204,543,248,4.6,9
1,3,14,11.8,6.9,72,711,234,496,248,4.6,9
1,3,15,12.0,6.7,70,640,266,422,248,4.3,6
1,3,16,11.7,6.5,70,521,262,343,203,4.5,6
1,3,17,12.3,6.5,68,362,193,262,203,4.1,6
1,3,18,10.7,6.2,74,192,89,162,203,5.5,6
1,3,19,10.1,6.2,77,55,23,52,158,6.3,6
1,3,20,8.6,6.7,88,1,0,1,158,8.2,4
1,3,21,8.8,6.7,87,0,0,0,158,8.1,5
1,3,22,8.2,7.0,92,0,0,0,135,8.9,5
1,3,23,7.6,6.5,93,0,0,0,135,8.2,3
1,3,24,7.6,7.2,97,0,0,0,135,9.9,5
1,4,1,7.5,7.2,98,0,0,0,135,9.4,5
1,4,2,7.5,7.2,98,0,0,0,135,10.3,1
1,4,3,7.2,7.2,100,0,0,0,135,7.3,6
1,4,4,7.1,7.0,99,0,0,0,90,6.0,6
1,4,5,7.3,7.2,99,1,0,1,90,3.6,9
1,4,6,7.4,6.8,96,61,34,56,90,3.9,9
1,4,7,7.9,6.8,93,212,142,165,113,3.3,9
