Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,43.0,1.6,8,964,853,158,0,0.0,8
1,1,15,43.9,0.9,7,686,448,309,0,0.0,5
1,1,16,43.6,0.2,7,583,531,222,0,0.0,5
1,1,17,43.1,-0.5,7,378,323,207,0,0.0,5
1,1,18,42.5,-0.9,7,244,487,102,0,0.0,6
1,1,19,41.8,-1.3,7,69,35,34,0,0.0,5
1,1,20,40.9,-0.9,7,0,0,0,0,0.0,5
1,1,21,39.8,-0.9,8,0,0,0,0,0.0,5
1,1,22,38.4,-0.5,9,0,0,0,0,0.0,5
1,1,23,36.6,-0.2,10,0,0,0,0,0.0,4
1,1,24,34.0,-0.2,11,0,0,0,0,0.0,4
1,2,1,31.9,0.2,13,0,0,0,0,0.0,4
1,2,2,28.8,1.5,17,0,0,0,0,0.0,0
1,2,3,28.3,2.2,19,0,0,0,0,0.0,0
1,2,4,27.3,3.4,21,0,0,0,68,1.8,0
1,2,5,28.0,4.0,22,0,0,0,68,2.1,0
1,2,6,28.0,6.7,26,25,11,24,68,2.2,0
1,2,7,29.6,8.5,27,203,326,109,90,2.2,0
1,2,8,31.6,10.7,28,433,663,116,90,3.1,0
1,2,9,34.5,11.4,25,656,825,110,90,1.7,0
1,2,10,37.2,12.4,23,869,956,89,0,0.0,0
1,2,11,39.8,13.2,21,1033,1034,76,0,0.0,0
1,2,12,41.5,12.7,18,1117,1057,76,0,0.0,0
1,2,13,42.8,12.4,17,1119,1053,77,180,0.7,0
1,2,14,42.8,10.6,15,1031,1005,86,180,0.5,0
1,2,15,43.6,10.8,15,889,954,90,180,0.3,3
1,2,16,43.3,9.8,14,719,929,78,180,0.2,4
1,2,17,42.7,9.1,14,517,886,63,180,0.2,5
1,2,18,42.0,8.4,13,269,621,74,180,0.3,5
1,2,19,41.3,8.5,14,50,35,39,180,0.5,5
1,2,20,40.5,8.9,15,0,0,0,180,0.8,5
