Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,28.5,2.4,19,1028,964,127,203,5.1,3
1,1,15,29.6,-0.3,14,906,951,111,203,4.6,4
1,1,16,30.2,-3.1,11,728,904,100,203,4.4,4
1,1,17,30.1,-8.2,7,514,808,94,203,5.1,1
1,1,18,29.9,-6.4,8,275,518,102,203,4.3,5
1,1,19,29.1,-5.9,9,50,30,45,203,4.7,5
1,1,20,27.9,-0.3,16,0,0,0,203,3.6,8
1,1,21,26.4,-1.8,15,0,0,0,203,6.2,5
1,1,22,24.8,0.8,21,0,0,0,203,7.1,6
1,1,23,23.2,3.3,27,0,0,0,203,9.3,6
1,1,24,21.4,6.4,38,0,0,0,203,8.4,6
1,2,1,20.0,7.9,46,0,0,0,225,8.9,6
1,2,2,18.5,9.0,54,0,0,0,225,9.3,9
1,2,3,17.8,9.6,59,0,0,0,225,9.0,5
1,2,4,17.1,9.8,62,0,0,0,225,8.8,5
1,2,5,16.8,10.0,64,0,0,0,225,6.7,6
1,2,6,16.6,9.2,62,58,30,37,225,7.9,4
1,2,7,16.8,8.6,58,264,637,78,225,7.6,4
1,2,8,17.4,7.5,52,486,802,96,225,8.8,5
1,2,9,18.2,7.1,48,664,773,159,225,7.4,4
1,2,10,19.3,6.4,43,797,718,214,248,7.6,5
1,2,11,20.4,6.2,40,664,160,517,248,7.7,8
1,2,12,21.7,5.4,35,600,64,538,248,8.4,8
1,2,13,22.9,5.2,32,906,539,375,248,8.9,8
1,2,14,23.9,4.7,29,669,161,518,248,8.8,8
1,2,15,24.5,4.7,28,772,606,271,248,9.6,5
1,2,16,24.8,4.7,27,694,798,149,203,9.8,5
1,2,17,24.6,4.4,27,403,440,156,203,10.3,5
1,2,18,24.0,4.4,28,211,301,128,203,9.7,5
1,2,19,23.1,4.7,30,64,47,52,225,9.3,5
1,2,20,22.0,5.2,33,0,0,0,225,8.2,1
1,2,21,20.6,5.0,36,0,0,0,225,8.3,5
1,2,22,19.2,5.5,41,0,0,0,203,7.6,5
1,2,23,17.9,6.0,46,0,0,0,203,8.2,5
1,2,24,16.9,6.2,49,0,0,0,203,6.1,4
1,3,1,15.8,7.0,56,0,0,0,203,5.5,4
1,3,2,15.5,7.4,58,0,0,0,203,4.1,0
1,3,3,14.7,8.5,66,0,0,0,203,5.0,0
1,3,4,14.6,8.9,69,0,0,0,203,5.1,0
1,3,5,14.7,9.1,69,0,0,0,203,5.1,0
1,3,6,15.4,8.9,65,61,29,32,203,5.6,0
1,3,7,16.2,8.5,60,267,670,72,203,5.8,0
1,3,8,17.0,8.1,56,506,894,73,203,7.2,0
1,3,9,18.4,7.2,48,719,954,87,203,6.1,1
1,3,10,19.6,6.3,42,889,959,109,203,6.0,1
1,3,11,21.2,5.0,35,1017,969,126,203,5.1,1
1,3,12,22.2,5.3,33,1081,957,145,203,5.4,1
1,3,13,23.5,5.0,30,1086,958,144,203,5.0,3
1,3,14,24.6,6.3,31,1028,963,127,203,3.6,0
1,3,15,25.6,5.0,27,906,950,112,203,3.9,0
1,3,16,26.3,5.0,25,733,918,96,225,3.4,0
1,3,17,26.5,3.6,23,525,851,83,225,4.6,0
1,3,18,26.6,4.8,25,294,656,79,225,2.6,0
1,3,19,26.1,4.5,25,72,48,48,203,2.4,0
1,3,20,25.5,5.0,27,0,0,0,203,1.5,0
1,3,21,24.2,4.2,27,0,0,0,203,2.3,0
1,3,22,22.9,4.5,30,0,0,0,180,2.5,0
1,3,23,21.5,5.3,35,0,0,0,180,2.1,0
1,3,24,20.4,6.3,40,0,0,0,180,3.1,0
1,4,1,19.3,7.4,46,0,0,0,203,3.5,0
1,4,2,19.0,8.3,50,0,0,0,203,4.6,0
1,4,3,17.9,9.7,59,0,0,0,203,3.8,0
1,4,4,17.8,10.7,63,0,0,0,180,3.8,0
1,4,5,17.4,11.2,67,0,0,0,180,3.6,0
1,4,6,18.6,11.7,64,58,28,34,180,3.4,0
1,4,7,19.3,11.7,61,261,638,76,158,3.1,0
1,4,8,20.6,12.4,59,500,879,76,158,2.1,0
1,4,9,21.1,10.9,52,714,943,90,158,2.8,0
1,4,10,22.0,9.9,46,883,949,113,315,3.0,0
1,4,11,22.9,8.9,41,1008,953,132,315,4.1,0
1,4,12,23.9,7.9,36,1081,958,144,315,3.9,0
1,4,13,24.8,6.7,31,1083,953,147,248,4.6,0
1,4,14,25.8,5.8,28,1028,963,127,248,5.1,0
1,4,15,26.7,5.0,25,911,961,107,248,6.0,0
1,4,16,27.6,4.5,23,742,938,90,270,6.6,0
1,4,17,28.2,4.2,22,525,847,84,270,6.7,0
1,4,18,28.6,4.2,21,294,654,79,270,6.9,0
1,4,19,28.5,4.2,21,69,48,50,225,6.7,0
1,4,20,28.0,4.7,23,0,0,0,225,6.7,0
1,4,21,26.8,4.7,24,0,0,0,225,5.8,4
1,4,22,25.3,5.3,28,0,0,0,180,5.2,5
1,4,23,23.5,5.8,32,0,0,0,180,4.1,5
1,4,24,21.5,7.0,39,0,0,0,180,4.4,5
1,5,1,19.6,7.6,46,0,0,0,180,4.4,5
1,5,2,17.9,8.3,53,0,0,0,180,5.1,5
1,5,3,16.7,8.9,60,0,0,0,180,4.7,5
1,5,4,16.1,9.5,65,0,0,0,203,4.9,5
1,5,5,16.1,10.1,68,0,0,0,203,4.1,4
1,5,6,16.7,10.7,68,58,27,32,203,5.4,4
1,5,7,17.8,11.0,64,261,654,73,225,5.6,3
1,5,8,19.0,11.4,61,497,876,77,225,7.2,1
1,5,9,20.8,11.0,53,711,939,91,225,6.0,3
1,5,10,22.4,10.7,47,883,952,111,203,6.1,1
1,5,11,24.1,9.3,39,1008,955,131,203,5.1,0
1,5,12,25.4,9.3,36,1081,960,143,203,6.5,0
1,5,13,26.6,8.3,31,1089,965,141,225,6.7,0
1,5,14,27.5,8.3,30,1028,963,127,225,7.2,0
1,5,15,28.3,6.0,24,917,973,103,225,6.8,0
1,5,16,28.9,4.7,21,744,945,88,225,6.8,0
1,5,17,29.3,2.7,18,528,858,81,225,7.2,0
1,5,18,29.1,3.0,19,292,636,83,225,6.5,0
1,5,19,28.7,2.7,19,72,48,48,225,6.4,0
1,5,20,27.5,3.6,22,0,0,0,225,5.1,0
1,5,21,26.5,3.3,22,0,0,0,225,6.2,4
1,5,22,24.8,4.2,26,0,0,0,180,6.1,4
1,5,23,22.9,5.3,32,0,0,0,180,7.2,5
1,5,24,20.8,6.5,39,0,0,0,180,6.0,4
1,6,1,18.9,7.4,47,0,0,0,180,5.9,4
1,6,2,16.8,9.1,60,0,0,0,180,5.7,1
1,6,3,15.8,8.7,63,0,0,0,180,5.7,4
1,6,4,15.0,9.1,68,0,0,0,203,5.5,4
1,6,5,14.9,8.3,65,0,0,0,203,4.1,4
1,6,6,15.0,9.3,69,58,26,30,203,4.8,4
1,6,7,15.9,8.9,63,261,690,70,180,4.5,3
1,6,8,17.3,8.9,58,483,811,91,180,5.7,1
1,6,9,19.0,7.9,48,714,951,87,180,3.9,3
1,6,10,20.9,7.2,41,886,962,108,203,3.8,1
1,6,11,22.8,6.7,35,1019,980,120,203,2.6,0
1,6,12,24.3,5.5,30,1086,972,137,203,3.8,0
1,6,13,25.6,4.7,26,1097,981,133,248,3.8,0
1,6,14,26.2,3.6,23,1042,991,116,248,4.1,0
1,6,15,27.3,3.3,21,919,979,101,248,3.8,0
1,6,16,27.7,2.5,20,747,952,86,248,3.7,0
1,6,17,28.2,1.5,18,531,868,79,248,4.1,0
1,6,18,27.6,1.2,18,294,652,80,248,3.1,0
1,6,19,27.2,0.5,18,75,48,45,225,2.8,0
1,6,20,26.5,0.9,19,0,0,0,225,1.5,0
1,6,21,25.5,0.2,19,0,0,0,225,2.6,0
1,6,22,24.2,0.5,21,0,0,0,180,2.8,0
1,6,23,22.6,1.5,25,0,0,0,180,4.1,0
1,6,24,21.1,2.8,30,0,0,0,180,3.7,0
1,7,1,19.3,4.5,38,0,0,0,158,4.2,0
1,7,2,18.1,5.5,43,0,0,0,158,4.6,0
1,7,3,16.5,7.8,56,0,0,0,158,5.0,0
1,7,4,15.9,8.9,63,0,0,0,180,5.2,0
1,7,5,15.8,10.3,70,0,0,0,180,4.6,0
1,7,6,16.9,9.9,63,56,25,31,180,4.6,0
1,7,7,18.4,9.3,55,261,686,67,158,3.9,0
1,7,8,20.4,8.5,46,500,899,70,158,3.6,0
1,7,9,23.0,6.7,35,717,962,83,158,2.3,1
1,7,10,25.4,4.5,26,900,996,95,293,1.5,1
1,7,11,28.1,0.2,16,1031,1004,110,293,1.0,1
1,7,12,29.7,-0.9,14,1094,989,129,293,0.7,3
1,7,13,31.1,-3.4,10,1072,932,157,0,0.0,3
1,7,14,31.6,-2.1,11,1067,1038,97,0,0.0,4
1,7,15,32.4,-6.4,7,947,1035,81,0,0.0,4
1,7,16,32.3,-6.4,7,686,777,147,203,1.6,4
1,7,17,32.2,-8.1,6,486,693,129,203,3.1,4
1,7,18,31.3,-4.8,9,278,550,101,203,2.1,4
1,7,19,30.4,-4.3,10,72,48,48,180,2.2,4
1,7,20,29.6,-3.9,11,0,0,0,180,1.5,3
1,7,21,28.4,-3.8,11,0,0,0,180,1.7,5
1,7,22,27.2,-3.8,12,0,0,0,0,0.0,5
1,7,23,26.1,-3.8,13,0,0,0,0,0.0,5
1,7,24,25.4,-4.8,13,0,0,0,0,0.0,6
1,8,1,24.4,-4.8,13,0,0,0,23,0.7,6
1,8,2,24.6,-4.8,13,0,0,0,23,2.6,9
1,8,3,23.4,-4.3,15,0,0,0,23,1.2,9
1,8,4,23.6,-3.9,15,0,0,0,23,1.7,9
1,8,5,23.2,-3.4,16,0,0,0,23,1.5,9
1,8,6,25.5,-4.3,13,56,25,29,23,3.2,5
1,8,7,27.2,-5.3,11,239,511,93,0,4.0,4
1,8,8,29.8,-9.4,7,486,850,81,0,4.1,1
1,8,9,31.4,-9.4,6,708,945,88,0,5.2,1
1,8,10,33.5,-11.5,4,886,968,105,0,5.7,1
1,8,11,35.4,-9.4,5,1019,984,118,0,7.2,1
1,8,12,36.5,-14.1,3,1092,985,131,0,6.5,1
1,8,13,37.3,-12.3,3,1103,993,128,315,6.8,1
1,8,14,37.0,-11.6,4,1044,996,113,315,7.2,1
1,8,15,37.2,-5.9,6,919,978,101,315,7.7,3
1,8,16,36.6,-2.2,8,739,928,93,270,8.2,3
1,8,17,36.0,0.1,10,525,846,85,270,7.2,0
1,8,18,34.7,2.7,13,292,627,84,270,9.0,0
1,8,19,33.5,4.4,16,75,50,50,203,9.2,0
1,8,20,32.0,6.2,20,0,0,0,203,11.3,0
1,8,21,30.7,5.9,21,0,0,0,203,9.2,0
1,8,22,29.0,6.4,24,0,0,0,203,8.9,0
1,8,23,27.1,6.9,28,0,0,0,203,7.2,0
1,8,24,24.5,7.6,34,0,0,0,203,8.0,0
1,9,1,22.4,8.2,40,0,0,0,203,7.6,0
1,9,2,19.4,8.7,50,0,0,0,203,7.7,0
1,9,3,18.5,9.7,57,0,0,0,203,7.1,0
1,9,4,17.2,10.4,64,0,0,0,203,7.0,0
1,9,5,17.0,11.5,70,0,0,0,203,7.2,0
1,9,6,16.3,11.7,74,50,24,31,203,7.2,3
1,9,7,16.9,12.0,73,250,624,75,180,7.3,3
1,9,8,18.4,11.9,66,492,883,74,180,7.2,1
1,9,9,20.1,11.7,58,706,942,88,180,7.5,3
1,9,10,22.4,11.0,48,883,965,106,180,7.5,1
1,9,11,24.7,10.3,40,1014,975,122,180,7.2,1
1,9,12,27.0,9.1,32,1081,965,140,180,7.4,1
1,9,13,28.9,8.1,27,1089,967,139,180,7.3,1
1,9,14,30.7,7.2,23,1031,969,125,180,8.2,0
1,9,15,31.1,6.5,21,911,960,108,180,7.2,3
1,9,16,31.4,6.0,20,736,921,95,180,7.2,3
1,9,17,31.2,5.7,20,525,843,85,180,6.2,1
1,9,18,30.5,6.2,22,289,611,87,180,7.3,4
1,9,19,29.5,6.5,23,72,45,42,158,7.3,4
1,9,20,28.1,7.6,27,0,0,0,158,7.7,3
1,9,21,26.8,7.6,30,0,0,0,158,7.4,5
1,9,22,25.3,8.3,34,0,0,0,158,7.4,5
1,9,23,23.7,8.9,39,0,0,0,158,7.7,5
1,9,24,22.1,9.9,46,0,0,0,158,7.2,5
1,10,1,20.7,10.5,52,0,0,0,158,7.1,4
1,10,2,19.0,11.9,63,0,0,0,158,7.2,0
1,10,3,18.1,11.9,67,0,0,0,158,7.0,0
1,10,4,17.2,12.5,74,0,0,0,180,7.0,0
1,10,5,16.8,12.5,76,0,0,0,180,5.7,0
1,10,6,16.8,13.3,80,53,23,27,180,6.7,0
1,10,7,17.5,13.3,76,247,623,75,158,6.4,0
1,10,8,19.2,12.9,67,492,888,72,158,7.2,0
1,10,9,20.8,12.4,59,708,955,84,158,5.6,0
1,10,10,23.0,11.6,49,889,981,100,180,5.2,0
1,10,11,25.5,10.1,38,1019,989,116,180,5.1,0
1,10,12,27.8,8.5,30,1089,983,131,180,4.9,0
1,10,13,29.9,6.7,23,1100,990,129,180,5.0,0
1,10,14,31.7,2.8,16,1044,997,113,180,4.1,0
1,10,15,32.4,3.1,16,925,989,97,180,5.7,0
1,10,16,32.7,1.2,13,747,950,86,158,6.1,0
1,10,17,32.7,1.5,14,531,867,79,158,7.2,0
1,10,18,31.8,-0.9,12,294,651,80,158,6.6,0
1,10,19,30.8,-1.3,12,75,48,45,158,6.5,0
1,10,20,29.2,-0.9,14,0,0,0,158,7.2,0
1,10,21,28.1,-0.9,15,0,0,0,158,5.9,0
1,10,22,26.6,0.2,18,0,0,0,158,5.5,0
1,10,23,25.0,1.2,21,0,0,0,158,3.1,0
1,10,24,23.6,3.6,27,0,0,0,158,4.9,0
1,11,1,22.2,5.0,33,0,0,0,158,5.0,0
1,11,2,21.0,6.2,38,0,0,0,158,7.2,0
1,11,3,20.0,7.6,45,0,0,0,158,5.8,0
1,11,4,19.4,8.7,50,0,0,0,158,6.4,0
1,11,5,19.3,9.5,53,0,0,0,158,6.2,0
1,11,6,19.8,9.9,53,53,22,24,158,7.1,0
1,11,7,20.8,9.9,50,250,660,69,113,7.0,0
1,11,8,22.5,10.5,47,497,923,64,113,6.2,0
1,11,9,24.4,8.1,35,719,991,74,113,5.3,0
1,11,10,26.7,6.3,27,897,1003,92,113,4.1,0
1,11,11,29.5,2.5,18,1036,1024,102,113,3.1,0
1,11,12,31.1,1.6,15,1106,1016,116,113,1.7,0
1,11,13,32.8,-1.3,11,1119,1026,113,0,0.0,0
1,11,14,33.5,-2.5,10,1056,1018,104,0,0.0,0
1,11,15,34.7,-4.8,7,939,1019,86,0,0.0,0
1,11,16,34.8,-5.3,7,761,985,75,158,1.6,0
1,11,17,34.7,-4.8,7,542,905,70,158,4.1,0
1,11,18,33.7,-3.8,8,303,707,70,158,3.5,0
1,11,19,32.7,-2.5,10,78,50,47,158,4.3,0
1,11,20,31.5,-1.3,12,0,0,0,158,2.6,0
1,11,21,30.2,-0.5,14,0,0,0,158,5.0,0
1,11,22,28.8,-0.2,15,0,0,0,135,4.8,0
1,11,23,27.4,0.2,17,0,0,0,135,6.2,0
1,11,24,26.0,0.9,19,0,0,0,135,4.0,0
1,12,1,24.4,1.2,22,0,0,0,135,3.5,0
1,12,2,24.0,1.9,23,0,0,0,135,2.1,0
1,12,3,22.1,1.9,26,0,0,0,135,3.0,0
1,12,4,21.7,2.2,28,0,0,0,113,3.0,0
1,12,5,20.6,2.8,31,0,0,0,113,3.6,0
1,12,6,22.7,2.8,27,47,21,28,113,3.3,0
1,12,7,24.3,2.5,24,247,660,69,90,3.5,0
1,12,8,27.1,1.9,20,489,896,69,90,3.1,0
1,12,9,28.7,1.2,17,708,966,81,90,3.5,0
1,12,10,31.2,-0.1,13,892,994,94,113,3.4,0
1,12,11,33.7,-2.9,9,1028,1010,107,113,4.1,0
1,12,12,35.4,-2.9,8,1100,1007,120,113,3.0,0
1,12,13,36.8,-4.3,7,1108,1007,121,90,2.8,0
1,12,14,36.8,-1.7,9,1047,1003,110,90,1.5,0
1,12,15,37.8,-5.3,6,928,996,94,90,2.5,0
1,12,16,37.6,-5.3,6,753,964,82,68,2.5,0
1,12,17,37.7,-8.1,5,536,885,74,68,3.1,0
1,12,18,36.0,-3.8,7,294,654,79,68,2.4,0
1,12,19,35.0,-2.9,9,75,48,44,90,2.2,0
1,12,20,33.7,-1.7,10,0,0,0,90,2.1,0
1,12,21,32.7,-2.1,10,0,0,0,90,1.5,0
1,12,22,31.4,-2.1,11,0,0,0,0,0.0,0
1,12,23,30.2,-2.1,12,0,0,0,0,0.0,0
1,12,24,29.3,-2.1,13,0,0,0,0,0.0,0
1,13,1,27.7,-2.1,14,0,0,0,0,0.0,0
1,13,2,28.0,-3.4,12,0,0,0,0,0.0,0
1,13,3,25.4,-1.7,16,0,0,0,0,0.0,0
1,13,4,25.1,-1.3,17,0,0,0,135,0.6,0
1,13,5,24.0,-0.6,19,0,0,0,135,2.1,0
1,13,6,26.4,-1.3,16,44,20,28,135,1.9,0
1,13,7,28.1,-1.3,14,233,557,83,113,2.8,0
1,13,8,30.5,-0.5,13,472,832,84,113,3.1,0
1,13,9,32.7,-1.3,11,694,931,90,113,4.9,0
1,13,10,35.0,-1.3,10,878,966,104,23,5.7,0
1,13,11,37.9,-3.4,7,1014,985,117,23,6.7,0
1,13,12,38.8,-2.1,7,1083,977,133,23,6.3,0
1,13,13,40.0,-2.6,7,1097,987,129,23,6.0,0
1,13,14,39.6,-1.7,7,1042,993,114,23,4.6,0
1,13,15,40.8,-3.9,6,922,984,98,23,4.7,0
1,13,16,40.6,-4.4,6,736,921,95,23,3.9,0
1,13,17,41.0,-4.9,5,528,856,82,23,4.1,0
1,13,18,39.3,-4.4,6,286,599,89,23,2.6,0
1,13,19,38.3,-3.9,7,72,49,51,45,2.3,0
1,13,20,36.4,-3.9,7,0,0,0,45,2.1,0
1,13,21,35.6,-3.4,8,0,0,0,45,1.9,0
1,13,22,33.9,-3.0,9,0,0,0,0,0.0,0
1,13,23,32.0,-3.0,10,0,0,0,0,0.0,0
1,13,24,30.0,-3.0,11,0,0,0,0,0.0,0
1,14,1,28.2,-3.0,12,0,0,0,23,0.8,0
1,14,2,27.5,-1.8,14,0,0,0,23,2.1,0
1,14,3,25.8,-2.6,15,0,0,0,23,0.3,4
1,14,4,25.6,-1.8,16,0,0,0,0,0.0,4
1,14,5,25.0,-3.0,15,0,0,0,0,0.0,1
1,14,6,27.6,-0.3,16,31,18,26,0,0.0,4
1,14,7,29.7,1.1,16,178,163,135,0,3.4,4
1,14,8,33.0,3.0,15,444,710,113,0,5.1,3
1,14,9,34.8,3.8,14,664,842,119,0,6.9,3
1,14,10,37.3,4.9,14,847,896,131,0,8.6,3
1,14,11,39.5,6.8,14,983,923,143,0,10.3,1
1,14,12,41.1,5.7,12,1058,929,156,0,10.3,3
1,14,13,42.1,5.1,11,1014,810,220,338,10.1,3
1,14,14,41.8,2.1,9,1047,1004,110,338,8.2,3
1,14,15,42.4,3.2,9,806,689,226,338,8.0,4
1,14,16,42.0,1.7,8,514,283,324,338,6.6,4
1,14,17,42.0,1.1,8,497,729,134,338,7.2,8
1,14,18,40.4,-0.3,8,358,1041,23,338,4.2,5
1,14,19,39.3,0.1,9,100,49,25,90,3.8,5
1,14,20,37.4,4.1,13,0,0,0,90,1.5,3
1,14,21,36.5,3.2,13,0,0,0,90,4.8,5
1,14,22,34.5,5.6,17,0,0,0,158,5.9,5
1,14,23,32.2,7.9,22,0,0,0,158,8.8,4
1,14,24,29.1,11.2,33,0,0,0,158,8.5,4
1,15,1,26.5,12.6,42,0,0,0,158,9.4,4
1,15,2,23.0,14.6,59,0,0,0,158,10.3,0
1,15,3,21.8,14.0,61,0,0,0,158,9.6,4
1,15,4,20.1,14.1,68,0,0,0,180,9.0,4
1,15,5,19.7,13.2,66,0,0,0,180,6.2,1
