Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,24.5,13.3,50,925,692,331,135,5.7,6
1,1,15,23.0,12.7,52,908,828,286,135,5.9,6
1,1,16,21.8,12.5,55,575,498,272,135,5.8,6
1,1,17,20.4,11.8,58,364,479,136,135,5.1,8
1,1,18,19.2,12.3,64,89,26,81,135,4.5,8
1,1,19,18.1,12.3,69,19,19,17,158,3.4,8
1,1,20,16.6,13.0,79,0,0,0,158,2.6,9
1,1,21,16.6,12.5,77,0,0,0,158,1.4,8
1,1,22,16.2,12.5,79,0,0,0,0,0.0,6
1,1,23,16.4,12.0,75,0,0,0,0,0.0,8
1,1,24,15.6,12.2,80,0,0,0,0,0.0,6
1,2,1,15.3,11.8,80,0,0,0,0,0.0,5
1,2,2,15.3,10.9,75,0,0,0,0,0.0,3
1,2,3,14.7,10.8,77,0,0,0,0,0.0,5
1,2,4,14.5,10.2,75,0,0,0,270,1.2,5
1,2,5,13.5,10.6,83,42,25,28,270,2.1,6
1,2,6,14.9,9.8,72,139,277,58,270,2.2,6
1,2,7,15.6,10.0,69,406,789,72,315,2.7,6
1,2,8,17.6,9.8,60,494,517,203,315,2.6,6
1,2,9,17.7,11.0,65,486,259,300,315,3.6,6
1,2,10,18.9,11.7,63,556,268,328,135,4.1,6
1,2,11,19.5,12.5,64,828,534,342,135,5.1,6
1,2,12,20.7,12.7,60,858,518,372,135,4.9,4
1,2,13,21.0,13.0,60,967,941,103,135,5.1,4
1,2,14,20.8,12.6,59,864,859,131,135,5.1,4
1,2,15,20.7,13.0,61,764,742,203,135,5.0,4
1,2,16,20.0,12.6,62,603,753,142,180,4.5,4
1,2,17,19.7,12.8,64,422,721,94,180,3.1,5
1,2,18,18.4,12.3,68,228,550,72,180,3.0,5
1,2,19,17.6,12.3,71,50,35,28,203,2.2,5
1,2,20,16.6,12.3,76,0,0,0,203,2.6,4
1,2,21,16.2,12.5,79,0,0,0,203,1.0,5
1,2,22,15.5,12.7,83,0,0,0,0,0.0,5
1,2,23,14.7,12.5,87,0,0,0,0,0.0,0
1,2,24,14.0,12.5,91,0,0,0,0,0.0,4
1,3,1,13.5,12.2,92,0,0,0,248,0.8,4
1,3,2,13.7,12.0,89,0,0,0,248,1.0,1
1,3,3,13.1,10.9,86,0,0,0,248,1.2,1
1,3,4,13.4,10.4,82,0,0,0,270,1.2,1
1,3,5,13.1,10.0,81,44,24,19,270,1.0,1
1,3,6,15.3,9.6,69,206,664,42,270,1.0,1
1,3,7,16.8,9.4,62,397,822,50,45,1.0,1
1,3,8,19.6,9.3,51,594,911,61,45,1.5,1
1,3,9,20.4,10.4,53,767,969,61,45,1.8,1
1,3,10,22.0,11.4,51,894,991,64,135,2.7,1
1,3,11,22.8,12.2,51,967,974,81,135,4.1,0
1,3,12,23.9,13.2,51,964,898,122,135,5.0,0
1,3,13,23.9,14.1,54,919,841,147,113,6.2,0
1,3,14,23.2,15.5,62,844,806,156,113,6.2,0
1,3,15,22.3,15.2,64,728,769,150,113,7.4,3
1,3,16,21.0,15.5,71,589,772,114,113,7.1,4
1,3,17,19.9,15.1,74,408,678,100,113,6.7,3
1,3,18,18.7,15.5,82,208,457,78,113,5.2,6
1,3,19,18.0,15.4,85,42,42,31,135,3.8,6
1,3,20,17.8,14.8,83,0,0,0,135,3.6,8
1,3,21,17.6,15.0,85,0,0,0,135,1.8,6
1,3,22,17.6,14.8,84,0,0,0,0,0.0,6
1,3,23,17.5,15.5,88,0,0,0,0,0.0,4
1,3,24,17.5,14.6,83,0,0,0,0,0.0,5
1,4,1,17.0,14.6,86,0,0,0,315,4.1,5
1,4,2,16.0,14.2,89,0,0,0,315,7.2,5
1,4,3,15.6,14.3,92,0,0,0,315,7.0,5
1,4,4,15.0,14.2,95,0,0,0,315,8.0,5
1,4,5,15.8,13.2,85,47,23,36,315,7.7,0
1,4,6,15.9,13.2,84,142,76,122,315,8.4,6
1,4,7,17.6,12.6,72,217,27,206,315,7.9,6
1,4,8,19.6,12.2,62,325,100,264,315,7.7,9
1,4,9,23.9,11.4,45,608,382,333,315,6.0,9
1,4,10,27.8,10.9,35,719,516,283,0,5.2,9
1,4,11,32.4,11.6,28,956,794,233,0,3.1,9
1,4,12,34.9,10.3,22,889,641,289,0,4.6,9
1,4,13,37.2,10.2,20,925,733,253,315,4.8,9
1,4,14,37.2,8.9,18,817,600,306,315,7.7,9
1,4,15,38.1,10.6,19,783,869,131,315,5.6,6
1,4,16,36.6,10.8,21,519,635,125,315,6.0,6
1,4,17,35.4,10.6,22,208,139,147,315,3.6,8
1,4,18,30.9,10.6,29,106,36,97,315,5.8,6
1,4,19,27.4,10.3,34,58,26,44,293,5.3,6
1,4,20,23.3,11.9,49,0,0,0,293,6.2,5
1,4,21,20.8,9.0,47,0,0,0,293,4.0,6
1,4,22,18.2,7.9,51,0,0,0,315,3.5,5
1,4,23,15.7,3.2,43,0,0,0,315,2.6,1
1,4,24,14.6,5.7,55,0,0,0,315,3.5,1
1,5,1,13.7,4.4,53,0,0,0,225,3.9,1
1,5,2,14.0,4.9,54,0,0,0,225,5.1,1
1,5,3,13.0,2.1,47,0,0,0,225,5.2,5
1,5,4,13.0,1.4,45,0,0,0,225,6.0,5
1,5,5,12.8,1.8,47,42,23,22,225,6.7,4
1,5,6,13.6,1.1,42,208,370,67,225,7.2,5
1,5,7,14.2,1.5,42,358,624,103,225,7.4,4
1,5,8,14.5,1.1,40,600,847,108,225,6.7,6
1,5,9,15.8,2.1,40,736,815,144,225,7.3,4
1,5,10,16.6,2.7,39,883,888,142,203,7.1,4
1,5,11,18.0,2.1,34,983,942,128,203,7.7,5
1,5,12,17.7,3.4,38,1003,923,139,203,6.9,5
1,5,13,17.8,3.9,40,939,833,175,113,6.8,5
1,5,14,17.2,5.3,45,844,779,178,113,6.7,5
1,5,15,17.0,4.8,44,783,848,147,113,6.5,4
1,5,16,16.2,5.0,47,611,791,125,135,6.1,4
1,5,17,15.3,5.6,52,428,716,103,135,5.1,4
1,5,18,14.6,6.0,56,228,531,78,135,4.7,5
1,5,19,13.9,6.3,60,53,35,36,158,3.6,6
1,5,20,13.6,6.1,60,0,0,0,158,2.6,5
1,5,21,13.3,6.6,64,0,0,0,158,1.5,6
1,5,22,13.3,6.6,64,0,0,0,45,0.7,6
1,5,23,13.4,6.3,62,0,0,0,45,0.5,8
1,5,24,13.2,6.3,63,0,0,0,0,0.0,6
1,6,1,13.0,6.5,65,0,0,0,0,0.0,6
1,6,2,12.9,6.5,65,0,0,0,0,0.0,6
1,6,3,12.5,6.3,66,0,0,0,0,0.0,6
1,6,4,12.3,6.3,67,0,0,0,248,0.5,6
1,6,5,11.6,5.8,68,19,20,14,248,0.5,9
1,6,6,12.6,6.1,65,100,59,83,248,0.9,6
1,6,7,13.2,6.1,62,400,650,128,68,1.1,6
1,6,8,15.2,6.8,57,656,795,194,68,1.5,8
1,6,9,15.2,6.8,57,661,514,283,68,1.5,8
1,6,10,16.3,7.0,54,578,216,394,113,1.9,8
1,6,11,16.3,7.2,55,1017,798,292,113,2.6,8
1,6,12,18.0,7.7,51,1011,874,194,113,3.1,4
1,6,13,18.3,7.9,51,975,897,153,158,3.9,4
1,6,14,18.8,7.9,49,894,891,133,158,4.1,4
1,6,15,17.9,7.7,51,778,843,144,158,5.1,5
1,6,16,17.3,7.5,52,633,735,181,135,5.4,5
1,6,17,16.4,7.2,54,294,180,205,135,5.7,5
1,6,18,16.0,7.0,55,47,0,47,135,5.1,6
1,6,19,15.5,6.8,56,14,7,11,180,4.6,8
1,6,20,15.4,6.8,56,0,0,0,180,4.1,9
1,6,21,15.1,7.2,59,0,0,0,180,3.3,9
1,6,22,15.2,7.5,60,0,0,0,180,2.6,9
1,6,23,15.1,8.1,63,0,0,0,180,1.5,9
1,6,24,14.9,8.1,64,0,0,0,180,1.6,8
1,7,1,14.8,8.5,66,0,0,0,225,1.2,8
1,7,2,14.7,8.7,67,0,0,0,225,1.5,10
1,7,3,14.5,9.0,70,0,0,0,225,0.6,8
1,7,4,14.5,9.0,70,0,0,0,0,0.0,8
1,7,5,14.9,8.7,66,17,2,14,0,0.0,9
