Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,27.7,14.0,43,837,650,256,315,6.7,0
1,1,15,27.4,13.2,42,763,695,204,315,6.9,3
1,1,16,27.3,12.8,41,635,688,169,338,7.2,4
1,1,17,26.6,11.9,40,459,575,158,338,7.2,1
1,1,18,25.5,12.1,43,264,331,146,338,6.5,5
1,1,19,24.2,12.3,47,97,95,80,315,5.7,5
1,1,20,22.8,13.0,54,8,2,7,315,4.6,3
1,1,21,21.6,13.0,58,0,0,0,315,4.0,5
1,1,22,20.6,13.4,63,0,0,0,158,3.1,5
1,1,23,19.8,14.0,69,0,0,0,158,2.1,0
1,1,24,19.2,14.2,73,0,0,0,158,1.8,5
1,2,1,18.6,14.0,75,0,0,0,180,1.4,5
1,2,2,18.1,13.0,72,0,0,0,180,1.5,1
1,2,3,17.8,13.6,76,0,0,0,180,0.6,5
1,2,4,17.5,13.3,76,0,0,0,0,0.0,6
1,2,5,17.5,14.0,80,9,2,8,0,0.0,10
1,2,6,17.8,13.1,74,114,163,78,0,0.0,5
1,2,7,18.4,13.3,72,310,595,100,23,0.6,5
1,2,8,19.4,14.1,71,537,879,78,23,1.0,4
1,2,9,20.6,13.9,65,738,982,74,23,1.9,4
1,2,10,22.1,14.0,60,881,983,91,338,2.9,3
1,2,11,23.7,12.0,48,961,938,123,338,4.1,1
1,2,12,25.1,14.0,50,993,897,150,338,5.0,1
1,2,13,26.2,13.7,46,993,899,148,315,5.9,1
1,2,14,27.1,15.6,49,961,942,120,315,6.7,4
1,2,15,27.0,12.9,42,881,988,87,315,6.6,4
1,2,16,26.6,12.4,41,738,988,70,338,6.5,4
1,2,17,25.8,10.9,39,537,890,72,338,5.7,4
1,2,18,24.8,11.9,44,310,615,93,338,5.3,6
1,2,19,23.5,11.7,47,114,174,75,315,4.6,6
1,2,20,22.3,11.9,52,9,2,8,315,3.6,9
1,2,21,21.1,11.6,55,0,0,0,315,3.3,8
1,2,22,20.1,11.7,58,0,0,0,270,2.9,8
1,2,23,19.2,11.0,59,0,0,0,270,3.6,10
1,2,24,18.5,12.1,66,0,0,0,270,2.6,10
1,3,1,17.8,12.4,71,0,0,0,0,2.4,10
1,3,2,17.3,14.1,81,0,0,0,0,1.5,10
1,3,3,17.0,13.7,81,0,0,0,0,2.1,10
