Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,18.8,2.5,34,937,892,140,68,2.6,1
1,1,15,18.7,4.2,38,859,939,104,68,4.9,1
1,1,16,18.4,5.2,42,719,938,84,338,5.5,1
1,1,17,18.4,6.4,45,523,836,86,338,7.7,1
1,1,18,16.8,6.7,51,303,561,104,338,6.3,5
1,1,19,15.8,7.4,57,112,157,78,338,6.2,5
1,1,20,13.9,7.6,66,9,3,8,338,5.7,6
1,1,21,14.0,8.1,68,0,0,0,338,5.3,6
1,1,22,13.3,8.3,72,0,0,0,0,4.6,6
1,1,23,13.2,8.9,75,0,0,0,0,3.1,6
1,1,24,12.4,8.3,76,0,0,0,0,3.3,6
1,2,1,12.1,8.3,78,0,0,0,180,2.9,8
1,2,2,12.2,7.4,72,0,0,0,180,2.6,8
1,2,3,11.7,8.3,80,0,0,0,180,2.5,8
1,2,4,11.5,8.3,81,0,0,0,203,2.3,8
1,2,5,10.6,8.9,89,3,1,3,203,2.6,9
1,2,6,11.8,8.5,80,43,3,42,203,2.1,9
1,2,7,12.4,8.3,76,120,8,117,315,2.1,9
1,2,8,14.0,8.3,68,217,16,209,315,2.6,9
1,2,9,14.5,8.1,65,315,25,298,315,2.5,9
1,2,10,15.8,7.9,59,396,30,372,338,3.0,9
1,2,11,17.4,7.4,52,452,32,424,338,2.6,9
1,2,12,18.4,7.7,50,480,32,450,338,4.6,9
1,2,13,19.2,7.6,47,480,33,450,338,5.4,9
1,2,14,18.6,7.9,50,452,33,423,338,6.7,9
1,2,15,19.4,7.9,47,396,31,371,338,6.8,8
1,2,16,18.8,8.1,50,315,26,297,338,7.0,8
1,2,17,18.6,8.7,52,217,18,208,338,7.7,3
1,2,18,16.7,8.3,58,120,9,117,338,6.7,3
1,2,19,15.5,8.3,62,43,3,42,338,6.1,3
1,2,20,14.5,7.2,62,3,1,3,338,4.6,3
1,2,21,13.5,8.1,70,0,0,0,338,4.6,6
1,2,22,12.7,7.9,73,0,0,0,315,3.9,6
1,2,23,11.4,8.3,81,0,0,0,315,3.1,6
1,2,24,11.5,8.1,80,0,0,0,315,2.9,6
1,3,1,11.1,8.3,83,0,0,0,315,2.8,6
1,3,2,11.7,8.9,83,0,0,0,315,3.1,6
1,3,3,10.6,8.7,88,0,0,0,315,2.6,6
1,3,4,10.8,9.1,89,0,0,0,0,2.4,6
1,3,5,10.8,9.1,89,7,2,7,0,2.6,4
1,3,6,12.1,9.8,86,83,41,75,0,2.1,6
1,3,7,13.3,10.2,81,227,152,173,0,2.1,6
1,3,8,14.9,10.4,74,397,308,236,0,1.0,9
1,3,9,16.8,10.6,67,553,407,278,0,3.0,6
1,3,10,18.7,10.4,58,669,424,329,338,3.9,6
1,3,11,20.6,10.6,53,739,398,384,338,6.2,8
1,3,12,22.2,10.0,46,769,371,421,338,6.3,6
1,3,13,23.3,9.8,42,769,373,419,338,7.4,6
1,3,14,24.1,9.4,39,739,404,379,338,8.2,10
1,3,15,23.9,9.7,41,669,434,321,338,8.6,6
1,3,16,23.3,10.3,44,553,420,269,315,8.3,8
1,3,17,22.3,10.9,48,397,324,228,315,7.2,6
1,3,18,21.1,11.6,55,227,165,168,315,6.6,8
1,3,19,19.7,12.4,63,83,45,75,338,5.4,6
1,3,20,17.8,13.0,73,7,2,7,338,4.1,8
1,3,21,17.1,13.5,79,0,0,0,338,3.3,6
1,3,22,16.1,13.7,86,0,0,0,315,2.8,6
1,3,23,16.1,13.8,86,0,0,0,315,3.1,6
1,3,24,15.0,13.7,92,0,0,0,315,3.1,6
1,4,1,14.6,13.3,92,0,0,0,45,3.2,6
1,4,2,14.1,12.9,92,0,0,0,45,4.1,8
1,4,3,14.1,12.7,91,0,0,0,45,3.1,8
1,4,4,13.9,12.4,91,0,0,0,270,2.9,9
1,4,5,13.4,12.5,94,0,0,0,270,1.0,10
1,4,6,13.5,12.4,93,1,0,1,270,2.0,10
1,4,7,13.3,12.6,96,9,0,9,158,1.5,10
1,4,8,13.5,12.9,96,31,0,30,158,2.1,10
1,4,9,13.0,12.9,99,67,0,67,158,1.4,10
1,4,10,12.9,12.9,100,113,1,112,180,1.8,10
1,4,11,13.0,12.2,95,155,1,154,180,3.6,10
1,4,12,12.7,12.2,97,181,1,180,180,3.9,10
1,4,13,12.6,11.5,93,181,1,180,180,5.4,10
1,4,14,11.7,11.2,97,155,1,154,180,4.6,10
1,4,15,12.4,9.5,82,113,1,112,180,8.4,10
1,4,16,12.2,8.5,78,67,0,67,158,9.6,10
1,4,17,13.0,7.0,67,31,0,30,158,12.9,10
1,4,18,12.0,6.5,69,9,0,9,158,10.6,9
1,4,19,11.8,5.9,67,1,0,1,158,10.3,9
