Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,17.3,17.3,100,945,903,136,45,1.5,8
1,1,15,17.8,17.7,99,865,950,101,45,2.2,8
1,1,16,17.3,17.3,100,724,950,81,45,1.5,8
1,1,17,17.3,17.3,100,526,848,82,45,1.5,8
1,1,18,16.4,16.4,100,303,571,101,45,0.6,8
1,1,19,16.1,16.1,100,111,158,76,45,0.4,8
1,1,20,15.8,15.8,100,9,2,8,45,0.4,8
1,1,21,15.6,15.6,100,0,0,0,45,0.6,8
1,1,22,15.4,15.4,100,0,0,0,158,1.0,8
1,1,23,15.3,15.3,100,0,0,0,158,1.3,8
1,1,24,15.3,15.3,100,0,0,0,158,1.4,8
1,2,1,15.1,15.1,100,0,0,0,158,1.8,8
1,2,2,15.5,15.5,100,0,0,0,158,1.5,8
1,2,3,15.2,15.2,100,0,0,0,158,2.3,9
1,2,4,15.5,15.5,100,0,0,0,135,2.4,9
1,2,5,15.9,15.9,100,6,2,6,135,2.6,10
1,2,6,16.8,16.3,97,74,26,69,135,2.4,8
1,2,7,17.7,16.4,92,206,94,172,135,2.4,8
1,2,8,18.4,16.4,88,363,197,259,135,2.6,9
1,2,9,19.4,16.5,83,508,271,324,135,2.7,6
1,2,10,20.1,16.6,80,618,290,385,135,3.0,5
1,2,11,20.6,16.9,79,685,273,441,135,3.2,5
1,2,12,20.8,17.1,79,715,255,475,338,3.4,5
1,2,13,20.8,17.4,81,715,257,474,338,3.3,6
1,2,14,20.4,17.6,84,685,278,436,338,2.6,10
1,2,15,20.0,17.7,87,618,298,378,338,2.5,10
1,2,16,19.5,17.7,89,508,283,317,270,1.8,10
1,2,17,18.9,17.7,93,363,209,253,270,1.0,10
1,2,18,18.4,17.6,95,206,102,169,270,0.3,9
1,2,19,17.9,17.5,98,74,29,69,0,0.0,9
1,2,20,17.5,17.3,99,6,2,6,0,0.0,9
1,2,21,17.1,17.0,99,0,0,0,0,0.0,8
1,2,22,16.8,16.8,100,0,0,0,113,0.3,8
1,2,23,16.5,16.5,100,0,0,0,113,1.0,8
1,2,24,16.4,16.4,100,0,0,0,113,2.1,6
1,3,1,16.1,16.1,100,0,0,0,113,2.9,6
1,3,2,16.5,16.4,99,0,0,0,113,2.6,1
1,3,3,16.0,16.0,100,0,0,0,113,3.6,5
1,3,4,16.2,16.2,100,0,0,0,135,3.4,5
1,3,5,16.1,16.1,100,9,2,7,135,4.1,8
1,3,6,17.2,16.1,93,107,138,78,135,2.3,5
1,3,7,18.0,16.2,89,296,522,113,135,1.7,4
1,3,8,18.8,16.4,86,516,808,96,135,1.0,1
1,3,9,19.6,16.5,82,713,917,93,135,1.4,3
1,3,10,20.2,16.8,81,853,920,114,135,1.8,3
1,3,11,20.8,17.0,79,932,874,150,135,2.4,1
1,3,12,21.1,17.2,78,964,832,181,270,3.2,1
1,3,13,21.2,17.4,79,964,833,180,270,3.9,1
1,3,14,20.4,17.5,83,932,878,147,270,5.1,3
1,3,15,21.0,17.6,81,853,925,109,270,4.9,3
1,3,16,20.8,17.6,82,713,925,88,270,5.0,3
1,3,17,21.2,17.6,80,516,820,89,270,5.1,3
1,3,18,20.4,17.5,83,296,542,106,270,4.7,5
1,3,19,20.2,17.4,84,107,147,76,270,4.6,6
1,3,20,20.0,17.3,84,9,2,7,270,4.5,8
1,3,21,19.7,17.1,85,0,0,0,270,4.7,8
1,3,22,19.3,17.0,87,0,0,0,45,5.0,8
1,3,23,18.8,16.9,89,0,0,0,45,5.4,8
1,3,24,18.2,16.9,92,0,0,0,45,6.2,8
1,4,1,17.5,16.8,96,0,0,0,45,6.4,6
1,4,2,17.0,16.5,97,0,0,0,45,7.7,5
1,4,3,16.1,16.1,100,0,0,0,45,5.7,6
1,4,4,15.7,15.7,100,0,0,0,45,4.9,5
1,4,5,15.5,15.5,100,9,2,7,45,2.6,4
1,4,6,15.7,15.7,100,116,189,73,45,2.8,5
1,4,7,16.1,16.1,100,320,677,83,0,1.9,4
1,4,8,16.4,16.4,100,557,957,59,0,1.5,8
1,4,9,17.3,16.9,97,767,1054,55,0,1.2,4
1,4,10,17.8,17.1,96,915,1054,69,0,1.4,3
1,4,11,18.3,17.2,93,997,1009,95,0,2.0,3
1,4,12,18.6,17.2,92,1030,969,119,0,2.6,3
1,4,13,18.7,17.1,90,1030,970,118,0,3.3,3
1,4,14,17.9,16.8,93,997,1012,93,0,4.1,6
1,4,15,18.4,16.2,87,915,1057,66,0,4.0,3
1,4,16,18.2,15.7,85,767,1059,52,0,3.8,4
1,4,17,18.3,14.5,78,557,966,55,0,2.6,3
1,4,18,17.6,14.6,83,320,695,77,0,2.8,5
1,4,19,17.2,14.2,83,116,200,70,0,2.2,6
1,4,20,16.8,13.7,82,9,2,7,0,1.7,6
1,4,21,16.4,13.6,83,0,0,0,113,1.6,6
1,4,22,15.8,13.4,86,0,0,0,113,1.7,8
1,4,23,14.7,13.3,91,0,0,0,113,3.1,8
1,4,24,14.5,13.1,91,0,0,0,113,3.2,6
1,5,1,14.0,12.8,92,0,0,0,158,3.8,6
1,5,2,14.2,12.6,90,0,0,0,158,3.1,1
1,5,3,13.5,12.1,91,0,0,0,158,4.2,8
1,5,4,13.7,12.1,90,0,0,0,158,4.2,8
1,5,5,13.7,12.1,90,5,2,5,158,4.6,8
