Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,31.0,13.4,34,771,329,472,135,8.2,1
1,1,15,30.9,13.9,36,698,382,387,135,7.3,1
1,1,16,29.6,13.4,37,574,385,312,135,8.5,1
1,1,17,28.2,12.3,37,406,288,256,135,10.3,1
1,1,18,26.1,12.7,43,223,126,179,135,9.8,1
1,1,19,24.4,12.2,46,72,27,67,135,9.7,1
1,1,20,23.3,12.8,52,3,1,2,135,6.2,1
1,1,21,21.8,11.9,53,0,0,0,135,7.8,5
1,1,22,20.9,11.9,56,0,0,0,135,6.3,4
1,1,23,20.4,12.2,59,0,0,0,135,4.7,4
1,1,24,20.6,11.9,57,0,0,0,135,2.8,4
1,2,1,20.5,12.2,59,0,0,0,135,2.1,4
1,2,2,20.0,12.4,62,0,0,0,135,2.6,0
1,2,3,20.8,13.0,61,0,0,0,135,2.4,4
1,2,4,21.3,13.3,60,0,0,0,135,3.6,4
1,2,5,23.0,12.8,53,3,1,3,135,5.1,1
1,2,6,23.2,13.7,55,89,69,75,135,7.3,3
1,2,7,24.7,13.7,50,278,409,138,0,9.3,3
1,2,8,26.5,14.9,49,503,733,123,0,10.3,0
1,2,9,28.4,13.2,39,705,857,123,0,12.4,0
1,2,10,30.3,12.7,34,849,848,159,23,13.2,0
1,2,11,31.0,10.3,28,930,776,224,23,13.4,0
1,2,12,33.3,11.9,27,963,710,282,23,12.8,1
1,2,13,34.2,11.5,25,963,712,280,0,11.9,1
1,2,14,35.3,13.1,26,930,782,219,0,12.4,1
1,2,15,34.9,11.7,25,849,856,153,0,9.5,3
1,2,16,34.8,12.0,25,705,866,116,270,8.2,4
1,2,17,35.1,11.0,23,503,748,115,270,5.1,4
1,2,18,33.8,12.5,28,278,430,131,270,6.3,5
1,2,19,32.9,12.6,29,89,69,73,23,5.6,5
1,2,20,30.6,13.3,35,3,1,3,23,5.1,1
1,2,21,30.4,12.8,34,0,0,0,23,4.4,5
1,2,22,28.7,12.8,38,0,0,0,23,3.8,5
1,2,23,26.7,12.8,42,0,0,0,23,3.2,4
1,2,24,24.5,12.8,48,0,0,0,0,0.0,4
1,3,1,22.7,12.6,53,0,0,0,0,0.0,4
1,3,2,21.5,12.9,58,0,0,0,0,0.0,0
1,3,3,20.8,12.6,59,0,0,0,0,0.0,0
1,3,4,20.9,12.6,59,0,0,0,0,2.1,0
1,3,5,22.1,11.4,51,2,1,2,0,4.1,0
1,3,6,24.0,12.3,48,73,29,69,0,4.8,0
1,3,7,26.6,12.0,40,230,144,180,0,6.5,0
1,3,8,29.6,13.0,36,419,331,247,0,8.2,0
1,3,9,32.4,11.4,28,592,441,293,0,9.8,3
1,3,10,34.8,11.2,24,719,440,361,338,10.9,3
1,3,11,35.2,11.0,23,793,383,445,338,11.3,3
1,3,12,36.9,11.7,22,824,335,504,338,11.2,3
1,3,13,36.5,12.5,24,824,337,502,338,10.4,3
1,3,14,37.5,12.0,22,793,390,439,338,8.8,3
1,3,15,33.0,14.7,33,719,451,353,338,7.6,5
1,3,16,30.7,15.8,41,592,455,283,225,6.0,5
1,3,17,25.7,18.4,64,419,348,238,225,5.1,9
1,3,18,26.2,17.8,60,230,156,176,225,3.4,9
1,3,19,24.5,18.5,69,73,32,68,225,2.5,9
1,3,20,24.7,18.1,67,2,1,2,225,1.5,9
1,3,21,22.5,18.8,80,0,0,0,225,1.6,6
1,3,22,21.9,18.5,81,0,0,0,225,1.3,6
1,3,23,21.2,18.1,82,0,0,0,225,1.2,5
1,3,24,20.6,17.7,83,0,0,0,180,0.5,5
1,4,1,19.4,17.0,86,0,0,0,180,0.6,5
1,4,2,17.0,16.1,94,0,0,0,180,0.5,6
1,4,3,16.6,15.3,92,0,0,0,180,1.0,5
1,4,4,15.2,14.7,97,0,0,0,225,1.3,5
1,4,5,15.6,15.5,99,0,0,0,225,1.0,0
1,4,6,13.9,13.9,100,8,0,8,225,1.8,0
1,4,7,14.2,14.2,100,32,0,32,135,1.9,0
1,4,8,14.5,14.1,97,71,0,71,135,3.1,0
1,4,9,16.7,16.0,96,121,0,121,135,1.8,8
1,4,10,18.4,16.8,90,175,0,175,135,1.6,9
1,4,11,20.0,17.6,86,221,1,220,135,0.5,9
1,4,12,21.3,17.9,81,247,1,246,135,1.1,10
1,4,13,22.0,18.1,79,247,1,246,338,0.9,10
1,4,14,22.4,18.7,80,221,1,220,338,1.0,10
1,4,15,21.4,18.2,82,175,0,175,338,0.6,10
1,4,16,20.3,17.9,86,121,0,121,45,0.6,10
1,4,17,18.4,17.5,94,71,0,71,45,0.5,10
1,4,18,17.5,17.0,97,32,0,32,45,0.6,10
1,4,19,16.1,16.1,100,8,0,8,135,0.6,10
1,4,20,15.6,14.9,96,0,0,0,135,1.0,10
1,4,21,14.1,14.1,100,0,0,0,135,0.8,10
1,4,22,13.4,13.4,100,0,0,0,135,1.0,10
1,4,23,12.9,12.9,100,0,0,0,135,1.4,10
1,4,24,12.4,12.4,100,0,0,0,158,2.0,10
1,5,1,12.0,12.0,100,0,0,0,158,2.5,10
1,5,2,11.6,11.4,99,0,0,0,158,2.6,10
1,5,3,11.3,10.9,97,0,0,0,158,3.6,10
1,5,4,11.0,10.6,97,0,0,0,135,4.2,10
1,5,5,10.5,10.0,97,0,0,0,135,6.2,10
1,5,6,10.3,9.8,97,8,0,8,135,4.9,10
1,5,7,10.2,9.7,97,32,0,32,135,5.0,10
1,5,8,10.2,9.3,94,71,0,71,135,2.6,10
1,5,9,10.5,9.5,94,121,0,121,135,4.9,10
1,5,10,10.9,9.3,90,175,0,175,135,4.8,10
1,5,11,11.9,9.5,85,221,1,220,135,7.2,10
