Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,20.0,14.1,69,855,651,266,68,9.3,1
1,1,15,20.8,14.1,65,779,714,200,68,9.7,1
1,1,16,20.3,14.4,69,646,718,158,68,9.3,1
1,1,17,20.3,15.1,72,462,598,150,68,9.3,1
1,1,18,18.7,15.1,80,259,324,146,68,8.2,1
1,1,19,18.0,15.5,85,88,76,75,68,8.0,1
1,1,20,17.5,15.4,87,5,1,4,68,8.8,1
1,1,21,17.3,15.8,91,0,0,0,68,8.4,5
1,1,22,17.3,15.8,91,0,0,0,68,9.0,6
1,1,23,17.3,15.5,89,0,0,0,68,9.7,6
1,1,24,17.3,15.2,87,0,0,0,45,10.7,6
1,2,1,17.2,15.2,88,0,0,0,45,10.9,8
1,2,2,16.1,15.8,98,0,0,0,45,10.3,9
1,2,3,16.3,15.5,95,0,0,0,45,10.2,9
1,2,4,15.8,15.8,100,0,0,0,45,9.4,9
1,2,5,15.6,15.4,99,5,1,4,45,9.3,9
1,2,6,15.6,15.6,100,101,76,70,45,7.6,5
1,2,7,16.2,16.2,100,299,618,87,68,7.0,4
1,2,8,18.5,16.7,89,533,909,61,68,7.2,4
1,2,9,19.2,16.8,86,741,1007,58,68,6.9,3
1,2,10,21.1,16.8,76,889,1001,77,68,7.4,1
1,2,11,22.2,17.3,74,971,945,116,68,6.2,0
1,2,12,24.3,16.9,63,1003,892,154,68,8.9,1
1,2,13,25.0,17.2,62,1003,891,154,45,9.4,3
1,2,14,23.8,17.4,67,971,943,118,45,11.3,4
1,2,15,23.9,17.7,68,889,999,79,45,9.3,4
1,2,16,22.5,18.0,76,741,1004,60,45,8.5,5
1,2,17,22.4,17.7,75,533,904,64,45,7.2,6
1,2,18,19.5,18.2,92,299,608,90,45,5.9,5
1,2,19,18.7,18.1,96,101,76,71,68,4.6,5
