Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,17.0,17.0,100,409,31,380,200,4.1,10
1,1,15,17.3,17.0,98,368,30,343,200,4.1,10
1,1,16,17.0,16.0,94,306,12,297,200,5.1,10
1,1,17,16.0,15.0,94,227,9,222,200,3.6,10
1,1,18,16.1,15.3,95,138,0,138,200,3.6,10
1,1,19,15.0,14.0,94,54,0,54,210,4.6,10
1,1,20,14.0,14.0,100,5,0,5,210,4.6,10
1,1,21,14.2,13.9,98,0,0,0,210,4.6,10
1,1,22,14.0,13.0,94,0,0,0,200,3.6,10
1,1,23,13.0,13.0,100,0,0,0,220,5.1,10
1,1,24,13.3,12.6,96,0,0,0,220,5.1,10
1,2,1,13.0,12.0,94,0,0,0,250,4.6,10
1,2,2,12.0,12.0,100,0,0,0,250,4.1,10
1,2,3,12.3,12.1,99,0,0,0,250,4.1,10
1,2,4,12.0,12.0,100,0,0,0,250,4.1,10
1,2,5,12.0,11.0,94,0,0,0,250,5.7,9
1,2,6,12.1,11.3,95,15,0,15,250,5.7,9
1,2,7,13.0,11.0,88,100,44,89,250,5.7,9
1,2,8,13.0,11.0,88,193,9,189,250,6.2,10
1,2,9,13.1,11.9,92,245,22,231,250,6.2,10
1,2,10,14.0,13.0,94,396,27,375,230,6.7,10
1,2,11,13.0,12.0,94,546,103,455,220,7.7,9
1,2,12,12.9,12.1,95,671,180,501,220,7.7,9
1,2,13,13.0,12.0,94,688,214,481,220,8.2,9
1,2,14,14.0,11.0,82,664,216,461,200,8.2,9
1,2,15,14.3,11.3,82,598,178,445,200,8.2,9
1,2,16,14.0,10.0,77,497,177,366,210,8.7,9
1,2,17,14.0,10.0,77,368,163,273,200,8.2,9
1,2,18,14.0,10.4,79,224,80,192,200,8.2,9
1,2,19,13.0,11.0,88,88,15,84,210,7.2,9
1,2,20,13.0,11.0,88,9,0,9,200,6.2,9
1,2,21,12.8,10.7,87,0,0,0,200,6.2,9
1,2,22,12.0,11.0,94,0,0,0,210,6.2,9
1,2,23,11.9,11.0,94,0,0,0,210,7.2,10
1,2,24,11.9,11.0,94,0,0,0,200,8.2,10
1,3,1,12.0,11.0,94,0,0,0,230,7.7,10
1,3,2,11.0,11.0,100,0,0,0,220,7.2,10
1,3,3,11.5,11.3,99,0,0,0,220,7.2,10
1,3,4,12.0,11.0,94,0,0,0,230,6.7,10
1,3,5,12.0,12.0,100,0,0,0,230,6.7,10
1,3,6,12.0,11.8,99,9,0,9,230,6.7,10
1,3,7,13.0,13.0,100,69,0,69,220,4.6,10
1,3,8,14.0,14.0,100,155,2,154,180,6.7,10
1,3,9,14.0,13.6,97,244,8,239,180,6.7,10
1,3,10,15.5,13.3,87,321,13,311,180,6.7,10
1,3,11,17.0,13.0,77,380,19,363,180,6.7,10
