Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,38.5,7.1,15,903,578,369,270,3.1,9
1,1,15,39.2,5.9,13,858,680,292,270,3.7,5
1,1,16,38.6,5.9,14,733,763,206,270,5.0,6
1,1,17,39.0,5.8,13,442,493,178,270,6.2,8
1,1,18,36.7,6.3,15,172,44,155,270,7.8,8
1,1,19,35.7,6.8,17,53,13,50,203,8.9,8
1,1,20,34.0,7.7,20,3,0,3,203,9.3,9
1,1,21,33.2,8.0,21,0,0,0,203,9.9,9
1,1,22,31.7,8.6,24,0,0,0,203,9.7,9
1,1,23,29.9,9.2,28,0,0,0,203,9.0,9
1,1,24,27.9,9.6,32,0,0,0,180,7.5,9
1,2,1,25.8,10.0,37,0,0,0,180,6.5,9
1,2,2,23.0,11.0,47,0,0,0,180,5.1,9
1,2,3,21.2,10.8,51,0,0,0,180,4.4,9
1,2,4,19.1,11.2,60,0,0,0,203,3.5,9
1,2,5,18.0,11.0,64,0,0,0,203,2.1,9
1,2,6,16.3,12.1,76,39,36,31,203,2.5,9
1,2,7,16.1,12.2,78,122,40,108,180,2.4,9
1,2,8,16.6,12.7,78,208,16,200,180,4.1,9
1,2,9,18.4,12.2,67,372,24,355,180,3.0,5
1,2,10,20.6,11.9,57,742,553,283,203,3.6,4
1,2,11,23.0,11.0,47,1011,991,106,203,3.1,3
1,2,12,25.8,10.5,38,1072,1006,97,203,4.6,3
1,2,13,28.2,9.5,31,1081,1001,106,203,5.0,3
1,2,14,30.1,8.8,27,1022,992,103,203,5.1,4
1,2,15,31.3,7.3,22,906,968,100,203,4.9,4
1,2,16,31.9,6.4,20,747,956,83,180,4.5,4
1,2,17,32.0,5.1,18,533,797,111,180,4.6,4
1,2,18,31.2,4.9,19,328,589,128,180,3.3,4
1,2,19,30.2,4.3,19,75,65,44,180,2.6,4
1,2,20,29.0,4.1,20,0,0,0,180,1.5,4
1,2,21,27.7,4.4,23,0,0,0,180,1.7,6
1,2,22,26.3,4.4,24,0,0,0,180,1.6,6
1,2,23,24.8,4.4,27,0,0,0,180,1.8,6
1,2,24,23.4,4.4,29,0,0,0,180,2.1,6
1,3,1,22.2,4.6,32,0,0,0,180,2.6,6
1,3,2,20.0,5.2,38,0,0,0,180,3.6,5
1,3,3,19.5,5.9,41,0,0,0,180,3.7,8
1,3,4,18.2,6.4,46,0,0,0,180,4.2,9
1,3,5,18.0,5.9,45,0,0,0,180,3.6,9
1,3,6,16.1,7.4,56,19,0,19,180,4.8,9
1,3,7,15.6,7.6,59,78,0,78,158,4.8,9
1,3,8,15.1,9.1,67,94,5,92,158,6.2,10
1,3,9,16.3,7.8,57,139,0,139,158,4.8,8
1,3,10,17.4,7.8,53,431,50,389,203,4.7,6
1,3,11,19.0,7.2,46,967,671,356,203,3.6,8
1,3,12,20.1,7.4,44,997,598,417,203,4.8,6
1,3,13,21.3,6.9,39,869,296,581,203,4.8,6
1,3,14,22.0,5.4,34,494,33,464,203,5.1,9
1,3,15,22.6,5.4,33,458,4,455,203,4.8,9
1,3,16,22.7,4.9,31,528,49,494,180,4.7,9
1,3,17,22.0,5.2,33,314,5,311,180,5.1,9
1,3,18,21.8,3.5,30,150,10,147,180,4.4,9
1,3,19,21.2,3.5,31,50,5,49,180,4.2,9
1,3,20,22.0,3.8,30,3,0,3,180,3.6,9
1,3,21,20.2,4.1,35,0,0,0,180,4.0,8
1,3,22,19.9,4.9,37,0,0,0,180,4.0,8
1,3,23,19.7,5.9,40,0,0,0,180,4.3,8
1,3,24,20.5,7.6,43,0,0,0,180,4.7,8
1,4,1,20.1,8.8,48,0,0,0,180,5.2,8
1,4,2,20.0,10.0,53,0,0,0,180,6.2,6
1,4,3,18.7,10.6,59,0,0,0,180,6.2,8
1,4,4,18.0,11.2,64,0,0,0,180,6.5,8
1,4,5,18.0,11.0,64,0,0,0,180,6.2,9
1,4,6,17.3,11.5,69,42,4,39,180,6.3,9
1,4,7,17.6,11.5,67,97,76,72,180,5.9,9
1,4,8,17.3,12.4,73,422,573,136,180,5.1,9
1,4,9,19.7,11.7,60,692,829,139,180,4.9,9
1,4,10,21.4,11.9,55,731,536,292,113,4.6,9
1,4,11,24.0,11.0,44,664,146,531,113,5.1,9
1,4,12,24.8,12.4,46,494,52,444,113,4.6,9
1,4,13,26.1,12.5,43,728,252,483,135,5.0,9
1,4,14,26.9,13.5,44,731,423,331,135,5.1,9
1,4,15,27.0,12.7,41,378,41,344,135,6.3,9
