Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,22.0,8.7,43,1011,952,139,180,6.2,4
1,1,15,20.6,11.0,54,897,923,136,180,5.0,3
1,1,16,20.4,10.8,54,739,877,131,180,5.7,3
1,1,17,19.2,12.2,64,542,803,114,180,6.2,3
1,1,18,18.8,10.6,59,325,656,94,180,6.4,3
1,1,19,17.6,10.4,63,114,238,56,180,6.2,3
1,1,20,15.5,10.3,71,8,0,8,180,4.6,3
1,1,21,15.3,10.3,72,0,0,0,180,4.4,3
1,1,22,14.4,10.3,76,0,0,0,135,3.1,3
1,1,23,14.3,9.7,74,0,0,0,135,2.1,3
1,1,24,13.7,9.9,78,0,0,0,135,1.1,6
1,2,1,13.6,9.7,77,0,0,0,0,0.0,6
1,2,2,14.4,10.5,77,0,0,0,0,0.0,9
1,2,3,13.5,9.9,79,0,0,0,0,0.0,5
1,2,4,13.5,10.1,80,0,0,0,0,0.0,5
1,2,5,12.1,9.9,86,0,0,0,0,0.0,3
1,2,6,13.7,10.5,81,100,57,36,0,0.0,5
1,2,7,14.1,10.5,79,306,789,56,225,1.8,5
1,2,8,15.4,10.8,74,528,918,69,225,2.6,4
1,2,9,15.6,10.1,70,619,685,172,225,3.9,5
1,2,10,16.6,9.5,63,589,328,328,180,4.8,5
1,2,11,18.0,7.9,52,489,66,431,180,5.1,6
1,2,12,18.6,8.3,51,458,47,414,180,5.9,5
1,2,13,19.3,7.6,47,794,318,489,180,6.1,5
1,2,14,18.9,8.7,52,861,476,425,180,7.2,9
1,2,15,19.6,7.4,45,717,460,347,180,6.3,5
1,2,16,19.2,7.6,47,744,910,114,180,6.3,5
1,2,17,19.2,7.2,46,544,822,106,180,5.7,3
1,2,18,17.7,8.5,55,289,578,92,180,6.3,5
1,2,19,16.9,8.9,59,100,265,47,180,6.2,5
1,2,20,15.4,9.3,67,6,1,3,180,5.7,4
1,2,21,15.3,9.4,68,0,0,0,180,5.7,6
1,2,22,14.7,9.4,71,0,0,0,180,5.2,6
1,2,23,14.8,9.6,71,0,0,0,180,5.1,9
1,2,24,13.7,9.4,75,0,0,0,180,4.0,6
1,3,1,13.0,9.2,78,0,0,0,158,3.1,6
1,3,2,12.4,9.1,80,0,0,0,158,2.1,6
1,3,3,11.7,9.1,84,0,0,0,158,1.2,6
1,3,4,11.4,9.1,86,0,0,0,0,0.0,8
1,3,5,10.8,8.7,87,0,0,0,0,0.0,4
1,3,6,11.9,9.4,85,25,11,22,0,0.0,8
1,3,7,12.7,9.6,81,56,18,50,203,0.9,8
1,3,8,14.9,10.9,77,100,12,94,203,2.1,9
1,3,9,15.3,9.6,69,225,5,222,203,2.9,9
1,3,10,16.6,9.2,62,506,78,444,180,4.0,9
1,3,11,17.0,6.8,51,500,40,464,180,5.1,9
1,3,12,18.7,8.6,52,933,368,581,180,5.8,6
1,3,13,19.2,8.1,49,836,281,567,180,6.2,5
1,3,14,19.4,9.6,53,900,633,325,180,5.7,8
1,3,15,18.9,7.5,47,917,957,128,180,6.1,4
1,3,16,18.2,7.5,50,747,913,114,158,5.8,4
1,3,17,18.1,6.8,48,553,851,100,158,6.2,4
1,3,18,16.7,7.5,55,331,688,89,158,5.0,4
1,3,19,16.0,7.5,57,106,238,53,180,4.8,4
1,3,20,14.5,7.1,61,6,0,6,180,4.1,4
1,3,21,15.1,7.5,60,0,0,0,180,4.6,6
1,3,22,14.7,7.5,62,0,0,0,203,4.6,6
1,3,23,14.9,8.2,64,0,0,0,203,4.6,9
1,3,24,13.9,7.3,64,0,0,0,203,4.5,6
1,4,1,13.4,7.3,67,0,0,0,203,4.5,8
1,4,2,13.2,7.7,69,0,0,0,203,5.1,8
1,4,3,12.3,7.8,74,0,0,0,203,4.4,8
1,4,4,11.9,8.2,78,0,0,0,203,4.3,8
