Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,16.2,7.4,56,155,0,155,158,9.3,6
1,1,15,15.3,7.6,60,113,0,113,158,7.7,6
1,1,16,14.9,7.4,61,67,0,67,180,7.8,6
1,1,17,14.7,7.1,60,31,0,31,180,6.2,6
1,1,18,14.3,7.4,63,9,0,9,180,7.9,6
1,1,19,14.0,7.6,65,1,0,1,158,7.7,6
1,1,20,12.9,8.3,74,0,0,0,158,8.2,6
1,1,21,13.4,8.3,71,0,0,0,158,6.8,6
1,1,22,13.1,8.5,74,0,0,0,158,6.1,5
1,1,23,13.0,8.5,74,0,0,0,158,5.1,5
1,1,24,12.4,8.7,78,0,0,0,158,4.4,5
1,2,1,11.8,8.5,80,0,0,0,135,3.6,5
1,2,2,12.8,8.5,75,0,0,0,135,2.6,8
1,2,3,10.8,7.8,82,0,0,0,135,2.0,5
1,2,4,10.6,7.6,82,0,0,0,0,0.0,5
1,2,5,8.6,6.9,89,4,1,4,0,0.0,4
1,2,6,11.4,7.4,76,98,73,68,0,0.0,4
1,2,7,12.3,7.6,73,296,608,88,90,0.8,4
1,2,8,14.8,8.5,66,530,903,62,90,3.1,3
1,2,9,14.9,7.6,62,740,1001,59,90,2.1,3
1,2,10,16.3,7.8,57,888,995,80,45,3.0,3
1,2,11,17.8,6.9,49,970,938,120,45,2.6,6
1,2,12,18.6,8.0,50,1003,883,159,45,5.0,3
1,2,13,19.2,8.4,50,1003,882,160,180,5.8,3
1,2,14,18.7,9.5,55,970,936,121,180,6.7,3
1,2,15,19.2,9.7,54,888,993,82,180,6.6,3
1,2,16,18.6,10.2,58,740,998,61,158,6.5,3
1,2,17,17.8,10.8,64,530,897,65,158,6.2,3
1,2,18,16.7,11.3,70,296,598,91,158,5.4,4
1,2,19,15.5,11.5,77,98,73,70,158,4.6,5
1,2,20,15.2,11.7,80,4,1,4,158,4.1,4
1,2,21,13.0,11.1,88,0,0,0,158,2.7,5
1,2,22,11.9,10.6,92,0,0,0,0,0.0,5
1,2,23,9.3,8.8,97,0,0,0,0,0.0,5
1,2,24,9.9,8.8,93,0,0,0,0,0.0,5
1,3,1,9.4,8.0,91,0,0,0,0,0.0,5
1,3,2,10.6,9.4,92,0,0,0,0,0.0,3
1,3,3,9.2,7.7,90,0,0,0,0,0.0,5
1,3,4,9.6,8.1,90,0,0,0,0,0.0,5
1,3,5,9.1,7.3,88,4,1,3,0,0.0,6
1,3,6,11.5,10.3,92,89,72,71,0,0.0,6
1,3,7,12.9,11.5,91,270,432,122,225,1.5,6
1,3,8,15.0,13.1,88,486,729,108,225,2.6,6
1,3,9,15.8,12.6,81,681,842,110,225,3.3,4
1,3,10,17.0,12.6,75,821,835,143,225,4.2,4
1,3,11,18.2,12.0,67,899,771,201,225,4.1,8
1,3,12,18.5,11.3,63,931,710,253,225,5.4,8
1,3,13,18.7,10.4,58,931,709,254,203,5.7,8
1,3,14,17.7,9.0,57,899,768,203,203,6.7,8
1,3,15,18.0,8.4,53,821,832,146,203,5.5,5
1,3,16,17.3,7.9,54,681,837,113,225,5.0,5
1,3,17,17.1,8.4,57,486,721,112,225,4.1,5
1,3,18,15.8,8.2,61,270,422,125,225,3.9,5
1,3,19,15.1,8.6,65,89,72,72,225,3.4,5
1,3,20,14.4,8.6,68,4,1,3,225,2.6,8
1,3,21,14.1,9.6,74,0,0,0,225,2.9,5
1,3,22,13.6,9.8,78,0,0,0,248,3.0,5
