Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,20.9,10.6,52,775,421,403,90,11.4,9
1,1,15,20.0,10.2,53,767,633,275,90,10.8,9
1,1,16,20.3,10.6,54,489,393,247,90,10.7,6
1,1,17,19.8,10.6,55,353,407,178,113,9.8,6
1,1,18,19.5,10.4,56,200,258,103,113,9.3,8
1,1,19,18.3,10.4,60,28,16,22,113,7.6,6
1,1,20,17.3,10.2,63,0,0,0,90,6.6,5
1,1,21,16.3,10.2,67,0,0,0,90,5.7,4
1,1,22,15.3,10.4,73,0,0,0,90,5.5,4
1,1,23,14.3,10.6,78,0,0,0,90,5.4,3
1,1,24,13.3,11.1,87,0,0,0,90,5.7,0
1,2,1,13.2,11.3,88,0,0,0,90,5.3,0
1,2,2,13.0,11.8,92,0,0,0,90,5.4,0
1,2,3,13.3,11.5,89,0,0,0,90,5.1,0
1,2,4,13.8,12.8,94,0,0,0,90,5.6,8
1,2,5,14.9,13.4,91,6,0,6,90,5.7,8
1,2,6,17.0,14.3,84,53,18,50,90,5.7,10
1,2,7,18.2,14.3,78,147,8,144,90,6.3,10
1,2,8,20.0,14.8,72,261,18,250,113,6.7,10
1,2,9,20.8,15.6,72,342,23,325,113,8.8,10
1,2,10,23.0,15.9,64,731,361,411,113,7.9,6
1,2,11,23.8,16.4,63,953,744,247,68,8.5,5
1,2,12,24.8,16.4,60,1078,908,192,68,6.7,4
1,2,13,24.1,17.1,65,969,610,386,68,9.1,5
1,2,14,23.6,17.3,68,439,50,394,135,9.0,5
1,2,15,22.3,17.6,75,469,135,367,135,9.8,9
1,2,16,22.0,17.7,77,353,174,250,135,7.6,6
1,2,17,21.2,17.8,81,261,299,128,135,6.6,6
1,2,18,21.2,17.9,81,106,87,83,135,6.2,3
1,2,19,19.8,17.8,88,19,1,14,135,4.2,6
1,2,20,19.3,17.8,91,0,0,0,0,0.0,5
1,2,21,18.9,17.8,93,0,0,0,0,0.0,5
1,2,22,18.4,17.8,96,0,0,0,0,0.0,4
1,2,23,17.8,17.7,99,0,0,0,270,1.8,4
1,2,24,17.2,16.9,98,0,0,0,270,4.1,0
1,3,1,16.9,16.9,100,0,0,0,270,1.9,4
1,3,2,16.3,16.3,100,0,0,0,293,2.3,4
1,3,3,17.0,16.5,97,0,0,0,293,2.1,1
1,3,4,15.8,15.7,99,0,0,0,293,3.4,4
1,3,5,16.3,15.0,92,6,0,6,293,3.8,4
1,3,6,16.0,15.0,94,142,292,53,293,2.6,3
1,3,7,18.5,13.7,74,306,353,169,293,4.9,5
1,3,8,20.0,13.0,64,606,864,100,270,5.7,5
1,3,9,21.9,11.4,51,706,683,194,270,9.3,4
1,3,10,22.8,12.4,52,783,561,303,270,7.6,5
1,3,11,23.6,12.4,49,894,591,336,270,8.8,5
1,3,12,24.4,12.6,48,669,347,331,270,8.2,8
1,3,13,23.6,12.8,51,850,564,314,270,10.6,6
1,3,14,22.9,12.8,53,639,279,392,248,11.0,6
1,3,15,20.9,14.2,66,342,90,269,248,10.8,9
1,3,16,20.7,12.8,61,283,30,264,248,10.2,8
1,3,17,19.6,12.5,64,269,235,175,248,9.0,8
1,3,18,19.5,10.7,57,89,39,78,248,8.2,5
1,3,19,17.9,11.8,67,22,16,14,248,5.8,6
1,3,20,17.4,11.5,68,0,0,0,270,4.1,6
1,3,21,17.0,11.1,68,0,0,0,270,2.6,5
1,3,22,16.5,11.1,70,0,0,0,270,1.6,5
1,3,23,16.0,11.3,74,0,0,0,0,0.0,4
1,3,24,15.5,13.2,86,0,0,0,0,0.0,6
1,4,1,14.4,12.2,87,0,0,0,0,0.0,4
1,4,2,13.5,12.5,94,0,0,0,293,0.6,4
1,4,3,13.0,12.0,94,0,0,0,293,1.0,0
1,4,4,12.2,12.2,100,0,0,0,293,0.4,4
1,4,5,12.2,12.2,100,19,5,8,0,0.0,5
1,4,6,12.2,11.5,95,164,371,53,0,0.0,1
1,4,7,13.8,11.4,85,208,224,130,0,0.0,6
1,4,8,15.3,10.5,73,256,67,219,270,0.7,6
1,4,9,17.3,10.6,65,367,59,322,270,2.1,9
1,4,10,18.6,8.2,51,467,148,342,270,2.8,9
1,4,11,20.0,7.4,44,631,143,494,248,4.4,9
1,4,12,21.1,6.2,38,814,254,567,248,5.1,9
1,4,13,21.6,6.7,38,583,81,506,248,7.3,6
1,4,14,21.7,6.7,38,697,315,422,203,8.3,6
1,4,15,21.2,6.7,39,881,948,153,203,8.8,8
1,4,16,20.8,7.8,43,628,820,122,203,8.2,5
1,4,17,19.9,8.4,47,397,677,103,225,7.2,5
1,4,18,19.1,9.5,54,89,121,56,225,6.7,5
1,4,19,18.0,9.5,58,6,0,6,225,4.1,5
1,4,20,17.1,9.7,62,0,0,0,0,0.0,5
1,4,21,16.2,9.9,66,0,0,0,0,0.0,5
1,4,22,15.3,9.9,70,0,0,0,0,0.0,5
1,4,23,14.4,9.9,74,0,0,0,0,0.0,5
1,4,24,14.0,10.1,77,0,0,0,0,0.0,3
1,5,1,12.8,9.5,80,0,0,0,0,0.0,5
1,5,2,12.3,9.5,83,0,0,0,0,0.0,5
1,5,3,11.5,9.1,85,0,0,0,0,0.0,0
1,5,4,12.2,9.5,84,0,0,0,0,0.0,5
1,5,5,12.9,9.7,81,8,0,8,0,0.0,5
1,5,6,14.0,10.5,79,86,86,67,0,0.0,6
1,5,7,15.4,9.9,70,375,765,72,0,0.0,5
1,5,8,17.0,10.1,64,536,528,236,248,0.7,4
1,5,9,19.3,9.3,52,739,607,283,248,1.0,5
1,5,10,20.2,9.7,51,908,822,194,248,2.9,3
1,5,11,21.3,9.5,47,1122,1100,67,225,4.5,3
1,5,12,21.5,9.3,46,1136,1055,108,225,7.2,3
1,5,13,22.4,9.3,43,1083,1057,75,225,7.7,3
1,5,14,22.2,9.5,44,983,1041,64,203,8.7,3
1,5,15,21.8,10.5,49,831,991,69,203,8.2,3
1,5,16,21.2,10.1,49,628,930,56,203,8.8,3
1,5,17,20.4,10.5,53,406,809,53,225,7.7,3
1,5,18,20.0,10.3,54,181,363,42,225,6.7,3
1,5,19,18.8,11.0,60,22,16,16,225,4.1,5
1,5,20,17.9,10.8,63,0,0,0,0,0.0,5
1,5,21,16.9,10.6,66,0,0,0,0,0.0,4
1,5,22,15.7,10.5,71,0,0,0,0,0.0,4
1,5,23,14.4,10.1,75,0,0,0,0,0.0,4
1,5,24,12.6,10.2,85,0,0,0,338,0.5,1
1,6,1,11.8,9.7,87,0,0,0,0,0.0,4
1,6,2,10.9,9.7,92,0,0,0,338,0.7,5
1,6,3,11.0,9.8,92,0,0,0,338,0.5,0
1,6,4,10.6,10.2,97,0,0,0,338,2.5,6
1,6,5,11.5,10.6,94,8,0,8,338,3.3,6
1,6,6,12.6,10.4,86,81,0,80,338,5.1,9
1,6,7,15.2,11.7,80,300,362,169,338,4.9,6
1,6,8,17.5,11.9,70,431,227,294,270,5.6,6
1,6,9,20.5,12.7,61,472,248,297,270,5.7,5
1,6,10,21.9,12.2,54,681,311,411,270,7.4,4
1,6,11,23.4,12.2,49,975,676,339,248,8.4,4
1,6,12,23.2,12.5,51,833,394,450,248,9.8,6
1,6,13,24.3,12.3,47,1008,620,417,248,10.2,4
1,6,14,23.7,12.5,49,989,852,239,248,10.7,4
1,6,15,23.6,12.0,48,661,437,322,248,10.8,5
1,6,16,21.3,12.8,58,519,462,231,248,10.5,6
1,6,17,19.9,13.2,65,222,192,131,248,9.8,8
1,6,18,18.4,13.3,72,75,0,75,248,8.8,9
1,6,19,17.6,13.3,76,17,1,14,248,7.8,8
1,6,20,16.7,13.0,79,0,0,0,203,6.6,6
1,6,21,16.0,12.5,80,0,0,0,203,5.1,6
1,6,22,15.4,11.9,80,0,0,0,203,4.7,5
1,6,23,14.7,11.0,78,0,0,0,203,3.9,4
1,6,24,14.8,8.7,67,0,0,0,203,4.6,4
1,7,1,13.3,8.9,75,0,0,0,203,2.6,4
1,7,2,12.4,8.0,75,0,0,0,0,0.0,5
1,7,3,11.4,8.0,80,0,0,0,0,0.0,0
1,7,4,11.2,7.1,76,0,0,0,0,0.0,6
1,7,5,11.2,6.9,75,6,0,6,0,0.0,6
1,7,6,11.3,7.4,77,64,0,64,0,0.0,5
1,7,7,12.8,7.1,68,189,26,178,0,0.0,8
1,7,8,14.3,7.4,63,253,14,244,0,0.0,8
1,7,9,16.9,7.1,52,372,37,344,225,1.5,9
1,7,10,17.8,7.8,52,589,129,478,225,1.6,5
1,7,11,19.4,8.0,48,828,377,472,293,2.9,5
1,7,12,19.9,8.0,46,1117,891,250,293,3.6,6
1,7,13,21.2,8.2,43,1086,1002,131,293,5.4,3
1,7,14,21.4,8.4,43,850,697,233,225,6.4,3
1,7,15,21.2,9.2,46,831,962,92,225,6.2,3
1,7,16,20.3,8.8,48,628,884,83,225,6.9,4
1,7,17,19.3,9.0,51,400,749,72,225,6.4,4
1,7,18,18.3,8.8,54,178,354,50,225,7.2,1
1,7,19,17.2,9.2,59,25,16,14,225,4.5,4
1,7,20,16.1,9.2,64,0,0,0,248,3.5,5
1,7,21,15.1,9.2,68,0,0,0,248,1.0,5
1,7,22,14.1,8.8,70,0,0,0,248,2.0,5
1,7,23,13.2,8.6,74,0,0,0,315,1.7,5
1,7,24,12.0,8.2,78,0,0,0,315,2.6,4
1,8,1,11.7,8.4,80,0,0,0,315,1.9,6
1,8,2,11.5,8.4,81,0,0,0,315,2.3,6
1,8,3,12.0,8.6,80,0,0,0,315,2.6,8
1,8,4,12.3,8.8,79,0,0,0,315,3.1,8
1,8,5,13.2,9.2,77,6,0,6,315,3.4,8
1,8,6,14.3,9.8,74,81,57,67,315,3.1,6
1,8,7,16.0,10.2,68,211,44,194,315,4.0,8
1,8,8,17.6,10.6,64,356,124,289,270,4.5,6
1,8,9,19.1,10.3,57,428,85,364,270,6.2,9
1,8,10,20.4,11.3,56,653,249,442,270,6.2,6
1,8,11,21.3,11.4,53,758,300,475,248,7.3,6
1,8,12,22.2,12.1,53,700,266,442,248,7.7,8
1,8,13,21.7,11.6,53,756,265,503,248,9.4,8
1,8,14,21.3,11.6,54,650,209,467,248,10.2,8
1,8,15,19.8,11.4,58,519,171,389,248,10.3,8
1,8,16,19.7,11.2,58,311,51,281,248,10.3,6
1,8,17,18.8,11.1,61,303,269,186,248,9.7,6
1,8,18,18.8,10.2,57,122,92,97,248,9.8,6
1,8,19,17.3,10.6,65,19,3,16,248,7.6,6
1,8,20,16.7,10.2,65,0,0,0,248,6.4,6
1,8,21,16.2,9.8,66,0,0,0,248,4.1,5
1,8,22,15.9,9.4,65,0,0,0,248,4.7,5
1,8,23,15.5,9.0,65,0,0,0,248,4.3,6
1,8,24,15.4,8.0,61,0,0,0,248,5.1,9
1,9,1,15.0,8.4,65,0,0,0,248,4.4,9
1,9,2,14.5,8.2,66,0,0,0,270,4.6,9
1,9,3,14.6,8.2,65,0,0,0,270,4.1,9
1,9,4,14.2,7.9,66,0,0,0,270,4.5,9
1,9,5,14.5,7.9,65,3,0,3,270,4.2,9
1,9,6,14.7,8.4,66,44,0,44,270,4.1,9
1,9,7,16.0,8.2,60,139,13,133,270,3.6,8
1,9,8,17.0,8.4,57,456,370,250,248,3.6,6
1,9,9,18.6,8.2,51,808,630,342,248,4.1,6
1,9,10,19.0,8.8,52,533,123,431,248,4.3,6
1,9,11,19.6,9.0,50,497,70,431,248,5.1,5
1,9,12,19.1,9.2,53,800,240,567,248,5.1,9
1,9,13,20.0,9.2,50,786,319,483,248,6.8,5
1,9,14,19.8,9.2,50,717,385,375,203,7.3,5
1,9,15,20.3,9.6,50,828,910,131,203,8.2,4
1,9,16,19.1,9.8,55,650,812,147,203,7.0,4
1,9,17,18.6,10.0,57,419,707,111,180,6.2,4
1,9,18,18.0,10.2,60,178,344,56,180,5.1,1
1,9,19,17.5,10.6,64,22,15,14,180,3.6,1
1,9,20,16.7,10.6,67,0,0,0,0,0.0,1
1,9,21,15.6,10.6,72,0,0,0,0,0.0,1
1,9,22,14.3,10.2,76,0,0,0,0,0.0,1
1,9,23,12.7,9.8,82,0,0,0,0,0.0,1
1,9,24,11.5,9.4,87,0,0,0,0,0.0,1
1,10,1,9.6,8.6,93,0,0,0,0,0.0,4
1,10,2,8.2,7.8,97,0,0,0,0,0.0,5
1,10,3,7.8,7.1,95,0,0,0,0,0.0,0
1,10,4,7.1,6.6,97,0,0,0,0,0.0,5
1,10,5,7.8,6.6,92,6,0,6,0,0.0,5
1,10,6,7.7,6.9,95,108,138,75,0,0.0,4
1,10,7,11.6,8.2,80,319,519,117,0,0.0,4
1,10,8,14.3,9.2,71,572,765,133,68,2.8,3
1,10,9,19.1,10.8,59,814,942,125,68,4.6,1
1,10,10,19.6,11.3,59,1000,1011,133,68,5.2,3
1,10,11,21.6,12.2,55,1017,876,194,135,6.5,3
1,10,12,21.7,12.5,56,1089,952,164,135,7.7,8
1,10,13,23.2,13.0,53,1047,945,147,135,8.6,8
1,10,14,22.9,13.0,54,947,916,139,135,9.2,8
