Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,34.8,24.7,56,971,918,151,270,5.8,4
1,1,15,33.8,26.0,64,785,901,111,270,6.2,4
1,1,16,33.6,25.5,63,571,832,104,270,5.6,4
1,1,17,32.7,25.8,67,322,700,77,270,5.1,4
1,1,18,32.2,25.9,69,88,304,38,270,4.6,4
1,1,19,30.9,26.3,77,0,0,0,270,4.0,4
1,1,20,30.1,26.5,81,0,0,0,315,3.4,4
1,1,21,29.2,26.4,85,0,0,0,315,2.6,4
1,1,22,29.0,26.8,88,0,0,0,315,2.5,8
1,1,23,28.7,26.8,89,0,0,0,293,2.4,8
1,1,24,28.6,26.9,91,0,0,0,293,2.6,3
1,2,1,28.4,26.8,91,0,0,0,293,2.3,3
1,2,2,28.3,26.8,92,0,0,0,270,2.5,3
1,2,3,28.4,27.2,93,0,0,0,270,2.6,3
1,2,4,28.4,26.7,91,0,0,0,270,3.0,6
1,2,5,28.7,26.7,89,0,0,0,248,3.2,6
1,2,6,29.0,26.3,85,55,6,54,248,3.1,6
1,2,7,30.1,26.6,82,258,259,152,248,3.5,5
1,2,8,31.0,26.5,77,517,599,167,180,3.6,4
1,2,9,32.5,26.0,69,796,907,104,180,4.1,1
1,2,10,33.0,26.3,68,962,961,95,180,4.0,1
1,2,11,33.8,26.2,65,1076,994,93,270,4.3,1
1,2,12,33.9,27.0,67,1107,944,143,270,4.6,1
1,2,13,34.4,26.1,62,1067,985,96,270,5.0,1
1,2,14,34.2,26.1,63,945,924,119,270,5.2,1
1,2,15,33.8,25.6,62,783,907,104,270,5.1,3
1,2,16,33.1,26.0,66,548,804,95,270,5.3,4
1,2,17,32.4,26.0,69,308,667,74,270,5.1,5
1,2,18,32.0,26.0,71,83,295,35,270,5.1,1
1,2,19,31.0,26.3,76,0,0,0,270,4.5,8
1,2,20,30.5,26.4,79,0,0,0,338,4.2,9
1,2,21,29.8,26.9,84,0,0,0,338,3.6,9
1,2,22,29.8,26.8,84,0,0,0,338,3.6,10
1,2,23,29.5,27.0,86,0,0,0,293,3.4,10
1,2,24,29.1,27.3,90,0,0,0,293,3.6,4
1,3,1,29.1,27.5,91,0,0,0,293,3.2,9
1,3,2,28.8,27.4,92,0,0,0,270,3.1,8
1,3,3,29.1,27.2,90,0,0,0,270,2.6,6
1,3,4,28.6,27.1,92,0,0,0,270,2.8,6
1,3,5,28.9,26.9,89,0,0,0,248,2.7,5
1,3,6,29.3,27.0,87,86,271,40,248,2.6,1
1,3,7,30.4,26.6,80,306,481,129,248,2.6,4
1,3,8,31.5,26.6,75,509,554,185,203,2.6,4
1,3,9,32.4,26.7,72,736,750,158,203,3.6,4
1,3,10,33.9,26.8,67,960,954,96,203,3.0,4
1,3,11,34.7,27.0,64,1071,996,84,225,3.3,4
1,3,12,35.7,26.9,61,1111,949,142,225,2.1,4
1,3,13,35.0,27.1,64,1064,962,115,225,4.1,4
1,3,14,34.5,27.2,66,899,807,171,293,4.4,4
1,3,15,33.0,27.3,72,716,680,200,293,6.2,4
1,3,16,32.6,27.3,74,493,567,180,293,4.9,4
1,3,17,31.6,27.4,79,359,622,138,293,5.1,5
1,3,18,31.3,27.6,81,133,234,95,293,4.6,6
1,3,19,30.3,27.6,86,0,0,0,293,5.3,8
1,3,20,30.0,27.7,88,0,0,0,338,5.4,9
1,3,21,29.8,27.6,88,0,0,0,338,5.1,10
1,3,22,30.1,27.7,87,0,0,0,338,5.3,10
1,3,23,30.1,27.5,86,0,0,0,315,5.1,10
1,3,24,29.5,26.9,86,0,0,0,315,5.1,10
1,4,1,29.6,26.6,84,0,0,0,315,4.3,10
1,4,2,28.9,26.0,84,0,0,0,0,3.6,10
1,4,3,29.3,26.1,83,0,0,0,0,3.1,10
1,4,4,27.1,24.8,87,0,0,0,0,2.1,9
1,4,5,26.4,24.3,88,0,0,0,23,1.4,9
1,4,6,24.6,23.6,94,55,29,50,23,0.5,9
1,4,7,26.2,23.9,87,205,109,166,23,0.9,9
1,4,8,26.8,23.9,84,382,192,275,45,1.2,9
1,4,9,28.8,23.4,73,534,211,378,45,2.1,9
1,4,10,29.0,24.2,75,635,176,481,45,2.8,9
1,4,11,30.2,24.5,72,662,121,542,338,3.8,9
1,4,12,30.9,25.9,75,660,102,552,338,5.1,9
1,4,13,31.9,25.0,67,530,91,437,338,5.8,6
1,4,14,32.1,25.1,67,856,622,307,315,6.4,6
1,4,15,31.9,24.5,65,636,507,257,315,6.2,8
1,4,16,31.3,25.3,71,376,334,183,315,6.5,8
1,4,17,30.5,25.2,73,201,174,130,338,6.1,8
1,4,18,29.7,25.2,77,47,5,46,338,5.7,8
1,4,19,28.9,25.2,80,0,0,0,338,4.7,9
1,4,20,28.3,25.1,83,0,0,0,0,4.0,9
1,4,21,28.1,25.3,85,0,0,0,0,3.6,6
1,4,22,27.8,24.9,84,0,0,0,0,2.8,9
1,4,23,27.8,24.8,84,0,0,0,0,2.5,9
1,4,24,27.4,25.0,87,0,0,0,0,1.5,5
1,5,1,27.7,24.7,84,0,0,0,0,2.5,5
1,5,2,27.6,24.7,84,0,0,0,338,2.5,5
1,5,3,28.4,23.9,77,0,0,0,338,4.1,5
1,5,4,27.5,24.6,84,0,0,0,338,2.8,8
1,5,5,27.6,24.5,83,0,0,0,90,3.1,8
1,5,6,26.8,25.1,90,79,61,67,90,2.6,9
1,5,7,28.4,24.5,79,304,431,143,90,3.8,6
1,5,8,29.1,24.5,76,370,292,213,338,4.2,6
1,5,9,30.4,24.4,70,441,288,213,338,4.1,8
1,5,10,30.7,24.3,69,680,408,319,338,4.8,8
1,5,11,31.3,24.2,66,1022,744,291,315,5.0,8
1,5,12,32.3,23.7,61,1053,737,306,315,6.2,8
1,5,13,31.9,23.8,62,950,639,320,315,4.8,5
1,5,14,31.7,23.7,63,373,77,300,23,4.6,5
1,5,15,30.0,23.9,70,530,305,300,23,3.1,9
1,5,16,30.7,23.7,66,431,269,278,23,3.9,9
1,5,17,29.9,23.9,70,351,450,197,338,3.6,9
1,5,18,30.5,24.2,69,149,170,118,338,4.1,9
1,5,19,28.6,24.5,79,0,0,0,338,3.1,8
1,5,20,28.1,24.8,82,0,0,0,0,2.9,8
1,5,21,27.0,25.2,90,0,0,0,0,2.1,8
1,5,22,27.3,25.3,89,0,0,0,0,2.4,8
1,5,23,26.9,25.5,92,0,0,0,45,2.1,8
1,5,24,26.5,25.3,93,0,0,0,45,2.1,8
1,6,1,26.1,25.4,96,0,0,0,45,1.4,10
1,6,2,25.8,25.3,97,0,0,0,23,1.1,10
1,6,3,26.5,25.2,93,0,0,0,23,1.0,9
1,6,4,25.9,25.1,95,0,0,0,23,1.1,9
1,6,5,26.3,25.1,93,0,0,0,45,1.4,9
1,6,6,26.4,25.3,94,56,34,51,45,1.5,9
1,6,7,28.1,25.2,84,284,344,148,45,2.7,9
1,6,8,29.2,25.3,80,542,566,224,315,3.5,9
1,6,9,30.1,25.1,75,471,236,281,315,4.6,9
1,6,10,31.0,25.4,72,942,802,221,315,4.9,5
1,6,11,31.5,25.5,71,1077,920,176,293,5.3,5
1,6,12,32.4,25.7,68,1128,754,363,293,5.7,8
1,6,13,31.5,25.4,70,844,359,486,293,5.1,8
1,6,14,31.0,25.3,72,322,152,178,315,4.6,9
1,6,15,29.8,25.2,76,36,0,36,315,3.1,9
1,6,16,29.9,25.2,76,60,0,59,315,3.2,10
1,6,17,29.3,25.2,79,85,2,84,338,2.6,10
1,6,18,29.1,25.2,80,38,5,38,338,2.6,10
1,6,19,28.7,25.2,81,0,0,0,338,1.8,10
1,6,20,28.5,25.2,82,0,0,0,315,1.7,10
1,6,21,28.5,25.1,82,0,0,0,315,2.1,10
1,6,22,28.0,25.3,85,0,0,0,315,2.0,10
1,6,23,27.6,25.3,87,0,0,0,23,2.1,10
1,6,24,26.8,25.3,92,0,0,0,23,1.5,9
1,7,1,26.6,25.2,92,0,0,0,23,2.4,9
1,7,2,26.0,25.2,95,0,0,0,23,2.1,9
1,7,3,26.1,25.1,94,0,0,0,23,2.1,9
1,7,4,25.6,25.1,97,0,0,0,23,1.5,9
1,7,5,25.9,25.0,95,0,0,0,23,1.3,9
1,7,6,26.0,25.0,94,60,4,59,23,1.5,9
1,7,7,27.8,24.8,84,188,67,160,23,1.7,6
1,7,8,29.2,24.6,76,335,177,229,293,2.4,5
1,7,9,31.4,24.1,65,653,551,228,293,3.6,8
1,7,10,31.6,24.2,65,861,639,290,293,4.2,8
1,7,11,32.4,24.1,62,1065,786,290,293,5.0,8
1,7,12,32.1,24.3,64,1128,825,293,293,4.6,8
1,7,13,32.5,23.9,61,1070,786,300,293,5.6,8
1,7,14,31.9,23.9,63,735,375,387,293,5.4,8
1,7,15,31.0,24.3,68,313,15,300,293,5.1,8
1,7,16,30.3,24.3,70,218,4,214,293,3.9,9
1,7,17,29.6,24.6,75,82,0,82,270,3.0,10
1,7,18,29.5,24.4,74,15,0,15,270,3.1,10
1,7,19,28.8,25.1,80,0,0,0,270,1.6,10
1,7,20,28.8,25.4,82,0,0,0,0,0.0,10
1,7,21,28.8,25.7,83,0,0,0,0,0.0,10
1,7,22,28.8,25.5,82,0,0,0,0,0.0,10
1,7,23,28.7,25.5,83,0,0,0,248,1.4,10
1,7,24,27.9,25.8,88,0,0,0,248,1.5,10
1,8,1,28.3,24.9,82,0,0,0,248,1.8,10
1,8,2,28.0,24.6,82,0,0,0,270,2.1,10
1,8,3,28.3,23.7,76,0,0,0,270,3.1,9
1,8,4,27.8,24.0,80,0,0,0,270,2.4,9
1,8,5,28.0,23.8,78,0,0,0,270,2.6,9
1,8,6,28.2,23.7,77,40,0,39,270,2.1,9
1,8,7,29.1,23.2,71,133,5,130,270,3.2,9
1,8,8,30.0,22.9,66,220,6,215,270,3.7,9
1,8,9,30.9,22.6,61,644,257,435,270,4.1,9
1,8,10,31.5,22.5,59,352,17,334,270,5.0,6
1,8,11,31.9,22.5,58,602,35,562,270,5.6,6
1,8,12,31.9,22.9,59,1054,506,533,270,6.7,6
1,8,13,31.5,22.8,60,843,357,483,270,6.0,8
1,8,14,30.7,23.1,64,252,1,248,270,5.8,9
1,8,15,29.6,23.1,68,74,0,73,270,5.1,10
1,8,16,28.8,24.1,76,54,0,53,270,4.5,10
1,8,17,27.9,24.5,82,13,0,13,270,3.7,10
1,8,18,27.6,25.0,86,5,0,5,270,2.1,10
1,8,19,27.2,24.8,87,0,0,0,270,2.6,10
1,8,20,27.3,24.7,86,0,0,0,270,2.6,10
1,8,21,27.6,24.4,83,0,0,0,270,4.1,10
1,8,22,28.1,23.9,78,0,0,0,270,3.5,10
1,8,23,28.4,23.4,74,0,0,0,270,4.3,10
1,8,24,28.4,22.8,72,0,0,0,270,4.6,10
1,9,1,28.4,22.6,71,0,0,0,270,5.7,10
1,9,2,28.1,22.5,72,0,0,0,270,6.0,10
1,9,3,27.5,22.5,74,0,0,0,270,5.7,9
1,9,4,26.8,23.0,80,0,0,0,270,5.5,9
1,9,5,26.1,23.4,85,0,0,0,203,4.9,9
1,9,6,25.5,24.2,93,13,0,13,203,4.1,9
1,9,7,25.4,24.1,93,72,0,72,203,3.5,10
1,9,8,25.6,24.3,93,174,1,172,203,3.0,9
1,9,9,26.6,24.0,86,158,1,156,203,3.6,10
1,9,10,26.9,24.0,84,393,3,388,203,2.9,8
1,9,11,27.9,23.6,77,739,49,684,338,3.2,8
1,9,12,28.1,23.1,74,605,54,545,338,2.6,9
1,9,13,29.5,22.7,67,649,175,469,338,4.2,9
1,9,14,30.0,22.4,64,438,8,427,270,4.7,9
1,9,15,30.7,22.5,62,439,28,413,270,5.7,9
1,9,16,30.1,22.2,63,280,18,269,270,5.1,8
1,9,17,29.9,22.4,64,243,250,168,270,5.1,8
