Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,32.5,21.0,51,933,658,315,203,9.6,0
1,1,15,32.2,21.7,54,850,771,205,203,9.3,0
1,1,16,31.0,22.6,61,696,811,140,203,9.4,3
1,1,17,30.1,22.6,64,476,703,122,203,9.5,4
1,1,18,29.8,21.5,61,234,390,115,203,9.8,1
1,1,19,28.6,21.2,64,47,28,38,203,10.0,1
1,1,20,28.1,20.2,62,0,0,0,180,10.4,1
1,1,21,26.9,20.0,66,0,0,0,180,10.3,1
1,1,22,27.3,18.4,58,0,0,0,180,10.7,1
1,1,23,26.9,17.9,58,0,0,0,180,10.5,1
1,1,24,26.6,18.0,59,0,0,0,180,10.8,1
1,2,1,25.6,18.2,64,0,0,0,180,9.5,1
1,2,2,25.0,18.4,67,0,0,0,180,8.7,1
1,2,3,25.3,17.3,61,0,0,0,180,7.2,1
1,2,4,24.4,18.4,69,0,0,0,180,7.2,1
1,2,5,24.7,18.0,66,0,0,0,180,6.8,1
1,2,6,24.1,18.9,73,28,14,18,180,6.7,1
1,2,7,26.4,16.9,56,197,355,67,180,7.1,1
1,2,8,27.7,16.5,51,438,795,67,158,7.8,1
1,2,9,30.0,15.7,42,669,900,79,158,9.3,1
1,2,10,30.2,17.3,46,837,869,131,158,9.3,1
1,2,11,31.1,18.3,47,929,746,239,203,9.9,1
1,2,12,31.2,19.9,51,965,594,378,203,9.8,1
1,2,13,31.5,20.7,53,965,551,418,203,10.4,1
1,2,14,31.2,21.6,57,933,658,315,203,10.3,3
1,2,15,30.4,22.0,61,850,772,206,203,9.8,0
1,2,16,29.8,22.2,64,697,811,140,203,9.7,0
1,2,17,29.0,22.0,66,477,705,122,203,9.4,0
1,2,18,28.6,21.4,65,235,392,115,203,9.8,0
1,2,19,27.9,20.3,63,48,28,38,203,9.4,0
1,2,20,27.5,19.3,61,0,0,0,180,9.7,0
1,2,21,27.0,18.4,59,0,0,0,180,9.8,0
1,2,22,26.7,17.9,59,0,0,0,180,10.5,0
1,2,23,26.2,17.8,60,0,0,0,180,10.7,0
1,2,24,25.4,18.1,64,0,0,0,180,10.8,0
1,3,1,25.0,18.1,66,0,0,0,180,10.2,0
1,3,2,24.4,18.6,70,0,0,0,180,9.8,0
1,3,3,24.3,18.6,71,0,0,0,180,9.3,0
1,3,4,23.6,19.4,77,0,0,0,180,8.8,0
1,3,5,23.8,19.4,76,0,0,0,180,8.4,0
1,3,6,23.9,19.5,76,27,13,18,180,7.7,0
1,3,7,25.5,18.9,67,195,353,67,180,7.9,0
1,3,8,26.8,18.6,61,437,795,66,158,8.0,0
1,3,9,28.7,18.4,54,668,902,78,158,8.7,0
1,3,10,29.5,18.7,52,836,872,129,158,8.4,0
1,3,11,30.5,19.3,51,929,749,237,203,8.6,0
1,3,12,30.7,20.1,53,965,596,377,203,8.7,0
1,3,13,30.8,20.8,55,965,552,417,203,9.2,0
1,3,14,30.3,21.5,59,933,658,315,203,9.5,0
1,3,15,29.2,22.0,65,851,772,206,203,9.3,0
1,3,16,28.4,22.0,68,698,812,140,203,10.0,0
1,3,17,27.5,21.9,72,477,706,121,203,10.2,0
1,3,18,27.3,21.2,69,235,394,115,203,11.3,0
1,3,19,26.4,20.9,72,48,29,38,203,10.4,0
1,3,20,26.3,20.1,69,0,0,0,180,10.4,0
1,3,21,26.1,20.0,69,0,0,0,180,9.3,0
1,3,22,26.5,19.3,65,0,0,0,180,10.0,0
1,3,23,26.4,19.2,65,0,0,0,180,9.7,0
1,3,24,25.9,19.4,67,0,0,0,180,9.8,0
1,4,1,25.8,19.4,68,0,0,0,180,9.1,0
1,4,2,25.2,19.5,71,0,0,0,180,9.1,0
1,4,3,25.3,18.9,68,0,0,0,180,9.3,0
1,4,4,24.3,19.1,73,0,0,0,180,9.5,0
1,4,5,24.3,18.2,69,0,0,0,180,9.9,0
1,4,6,24.1,17.9,68,6,13,3,180,9.8,0
1,4,7,25.3,16.2,57,92,195,39,180,10.9,0
1,4,8,26.4,15.4,51,303,500,69,180,11.3,0
1,4,9,27.7,15.0,46,533,678,89,180,12.3,0
1,4,10,29.1,15.4,43,758,814,97,180,11.6,0
1,4,11,30.2,16.4,43,947,903,111,180,11.5,0
1,4,12,31.6,17.1,42,1072,968,117,180,10.8,0
1,4,13,31.2,19.4,50,1119,1007,119,180,10.9,0
1,4,14,31.0,20.8,55,1094,1041,114,203,10.6,0
1,4,15,29.5,22.8,67,1000,1061,111,203,10.3,0
1,4,16,29.4,22.7,67,831,1054,106,203,10.0,0
1,4,17,28.4,22.9,72,614,1031,97,180,9.8,0
1,4,18,28.1,22.4,71,372,1020,75,180,9.8,0
1,4,19,26.7,22.2,76,112,29,29,180,9.7,0
1,4,20,26.1,21.3,75,0,0,0,180,9.7,0
1,4,21,25.6,20.1,72,0,0,0,180,9.8,0
1,4,22,25.4,19.9,72,0,0,0,180,9.6,0
1,4,23,25.1,19.6,72,0,0,0,180,9.4,0
1,4,24,24.4,20.5,79,0,0,0,180,8.7,0
1,5,1,24.2,19.9,77,0,0,0,180,8.8,0
1,5,2,23.8,20.4,81,0,0,0,180,8.4,0
1,5,3,23.7,20.3,81,0,0,0,180,8.7,0
1,5,4,23.2,21.1,88,0,0,0,180,7.8,0
1,5,5,23.3,21.0,87,0,0,0,180,7.6,0
1,5,6,23.3,20.3,83,3,0,3,180,7.2,0
1,5,7,24.5,19.9,76,86,196,33,180,7.9,0
1,5,8,25.6,19.2,68,294,495,64,180,8.2,0
1,5,9,27.1,19.4,63,531,683,83,180,8.7,0
1,5,10,28.2,17.6,53,761,825,92,180,9.0,0
1,5,11,29.3,17.4,49,950,919,100,203,9.3,0
1,5,12,30.3,16.3,43,1075,982,106,203,9.8,0
1,5,13,30.6,18.1,47,1133,1035,106,203,9.7,0
1,5,14,30.5,18.8,50,1097,1050,108,203,9.8,0
1,5,15,29.5,20.1,57,997,1067,103,203,9.3,0
1,5,16,29.0,20.1,59,836,1078,94,203,10.0,0
1,5,17,28.0,20.4,63,622,1073,83,203,10.0,0
