Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,25.1,12.1,44,944,502,500,180,7.5,4
1,1,15,24.0,11.6,46,772,647,275,180,8.2,8
1,1,16,23.1,13.6,55,494,445,233,180,7.7,5
1,1,17,21.7,14.5,64,322,513,97,135,7.0,6
1,1,18,20.5,15.5,73,106,179,58,135,6.2,3
1,1,19,19.4,15.9,80,14,13,11,135,4.4,6
1,1,20,18.7,16.1,85,0,0,0,90,3.0,6
1,1,21,19.0,16.5,85,0,0,0,90,0.5,1
1,1,22,18.1,16.3,89,0,0,0,90,0.7,6
1,1,23,18.1,16.3,89,0,0,0,270,0.2,6
1,1,24,17.4,16.0,91,0,0,0,270,1.0,9
1,2,1,18.1,16.1,88,0,0,0,270,0.8,6
1,2,2,18.0,16.1,89,0,0,0,203,1.5,6
1,2,3,17.5,16.5,94,0,0,0,203,3.1,6
1,2,4,17.7,16.5,93,0,0,0,203,3.3,8
1,2,5,17.5,16.7,95,11,5,8,225,4.1,9
1,2,6,18.5,16.5,88,122,139,92,225,3.1,8
1,2,7,17.6,16.3,92,261,289,158,225,5.4,9
1,2,8,17.9,15.6,86,192,5,189,203,5.9,9
1,2,9,18.0,14.7,81,200,7,194,203,7.7,10
1,2,10,19.1,13.6,70,275,10,267,203,6.7,8
1,2,11,19.8,12.4,62,361,9,353,225,7.1,6
1,2,12,19.9,11.2,57,750,142,611,225,7.2,9
1,2,13,20.9,9.8,49,742,319,439,225,7.5,4
1,2,14,21.0,9.3,47,1031,1016,131,180,7.4,4
1,2,15,21.6,8.8,44,856,1005,83,180,6.2,1
1,2,16,20.4,9.1,48,647,941,69,180,6.5,1
1,2,17,19.8,9.5,51,403,789,61,180,5.8,1
1,2,18,19.1,10.1,56,175,366,44,180,6.2,1
1,2,19,18.4,10.2,59,22,13,14,180,4.6,5
1,2,20,17.7,10.5,63,0,0,0,180,4.2,6
1,2,21,16.6,9.7,64,0,0,0,180,3.6,3
1,2,22,17.0,9.9,63,0,0,0,180,4.3,8
1,2,23,16.8,9.3,61,0,0,0,225,4.8,8
1,2,24,17.1,9.7,62,0,0,0,225,5.1,8
1,3,1,16.6,8.5,59,0,0,0,225,6.0,8
1,3,2,16.6,8.1,57,0,0,0,225,6.2,8
1,3,3,16.9,7.2,53,0,0,0,225,7.2,8
1,3,4,16.7,7.9,56,0,0,0,225,5.9,6
