Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,40.0,7.5,14,870,895,131,270,1.4,0
1,1,15,40.4,5.9,12,714,907,97,270,1.0,0
1,1,16,40.6,6.8,13,493,790,95,270,0.9,0
1,1,17,40.1,7.2,14,252,471,104,0,0.0,0
1,1,18,39.8,7.9,15,61,38,46,0,0.0,0
1,1,19,37.9,8.3,17,0,0,0,0,0.0,0
1,1,20,36.2,8.7,19,0,0,0,90,5.3,0
1,1,21,34.2,9.3,22,0,0,0,90,8.2,0
1,1,22,31.9,9.7,25,0,0,0,90,7.3,0
1,1,23,29.4,10.1,30,0,0,0,90,7.7,0
1,1,24,26.4,9.7,35,0,0,0,90,8.2,0
1,2,1,25.3,11.2,41,0,0,0,90,7.0,6
1,2,2,23.9,11.7,46,0,0,0,68,6.2,6
1,2,3,25.4,11.5,42,0,0,0,68,4.6,1
1,2,4,24.0,12.0,47,0,0,0,68,4.7,4
1,2,5,25.9,11.7,41,60,38,49,45,4.6,4
1,2,6,26.9,12.2,40,251,416,120,45,3.1,3
1,2,7,33.0,9.3,23,491,751,113,45,6.2,4
1,2,8,37.2,7.4,16,711,880,113,0,7.7,3
1,2,9,42.5,4.0,10,867,874,146,0,14.4,1
1,2,10,44.3,2.9,8,953,804,207,0,11.0,3
1,2,11,46.0,1.3,7,986,738,262,293,12.4,3
1,2,12,45.7,-1.1,6,986,742,258,293,8.2,4
1,2,13,44.4,1.7,7,953,816,196,293,13.8,4
1,2,14,41.2,3.4,10,867,890,133,203,13.8,4
1,2,15,37.0,7.9,17,711,902,99,203,15.4,4
1,2,16,32.6,8.1,22,491,785,96,203,12.6,5
1,2,17,28.2,10.1,32,251,466,105,180,11.8,6
1,2,18,24.7,11.0,42,60,38,46,180,12.4,9
1,2,19,21.6,12.7,57,0,0,0,180,10.2,9
1,2,20,19.8,13.2,66,0,0,0,180,9.5,9
1,2,21,18.9,13.4,70,0,0,0,180,6.2,9
1,2,22,18.7,13.2,70,0,0,0,180,8.4,9
1,2,23,18.8,13.1,69,0,0,0,180,7.9,9
1,2,24,19.4,13.4,68,0,0,0,180,9.3,9
1,3,1,19.4,13.1,67,0,0,0,180,6.7,9
1,3,2,19.3,13.3,68,0,0,0,180,6.5,9
1,3,3,18.8,13.1,69,0,0,0,180,6.2,9
1,3,4,18.7,13.3,71,0,0,0,180,6.8,6
1,3,5,18.6,13.1,70,60,37,48,180,7.1,5
1,3,6,19.0,13.6,71,251,424,118,180,6.2,3
1,3,7,20.0,11.9,60,493,760,110,180,7.8,4
1,3,8,21.4,10.6,50,714,889,110,180,8.2,4
1,3,9,23.8,6.5,33,870,883,143,180,9.8,5
1,3,10,25.0,7.6,33,956,813,202,180,8.9,3
1,3,11,26.5,6.0,27,990,747,257,158,9.2,1
1,3,12,26.5,7.8,31,990,751,253,158,9.3,1
1,3,13,27.7,4.2,22,956,825,192,158,9.7,1
1,3,14,27.1,4.4,23,870,899,130,158,9.9,3
1,3,15,26.3,3.6,23,714,910,96,158,9.3,0
1,3,16,24.2,6.2,31,493,794,94,158,9.9,4
1,3,17,22.3,7.4,38,251,473,103,158,9.7,5
1,3,18,21.3,7.8,42,60,37,46,158,9.8,4
1,3,19,18.9,8.9,52,0,0,0,158,8.7,9
1,3,20,17.6,9.3,58,0,0,0,158,8.0,9
1,3,21,16.6,9.3,62,0,0,0,158,7.2,10
1,3,22,15.8,9.1,64,0,0,0,158,6.0,9
1,3,23,15.2,8.9,66,0,0,0,158,5.0,9
1,3,24,15.6,8.5,63,0,0,0,158,3.6,1
1,4,1,14.4,8.5,68,0,0,0,158,3.0,6
1,4,2,14.1,8.3,68,0,0,0,158,2.5,5
1,4,3,13.6,8.7,72,0,0,0,158,2.6,0
1,4,4,14.0,8.5,69,0,0,0,158,2.3,4
1,4,5,14.4,8.7,69,63,37,47,180,2.4,4
1,4,6,14.8,8.9,68,264,523,101,180,2.1,3
1,4,7,16.6,9.1,61,518,869,81,180,3.0,3
1,4,8,18.4,9.1,55,750,990,78,158,3.4,3
1,4,9,21.3,8.5,44,913,983,103,158,4.6,3
1,4,10,22.5,8.3,40,1001,916,151,158,4.4,3
1,4,11,24.3,7.6,34,1035,853,198,180,5.1,3
1,4,12,25.2,7.2,32,1035,856,195,180,5.7,4
1,4,13,26.4,6.5,28,1001,925,143,180,6.7,3
1,4,14,26.4,6.0,27,913,995,93,180,7.5,3
1,4,15,25.5,6.4,29,750,1005,67,180,7.2,3
1,4,16,24.2,6.2,31,518,896,68,180,8.7,5
1,4,17,22.4,6.4,35,264,573,86,180,8.8,6
1,4,18,20.4,6.9,42,63,37,44,180,10.3,8
1,4,19,18.4,7.6,49,0,0,0,180,7.9,9
1,4,20,16.8,7.8,55,0,0,0,180,6.9,10
1,4,21,15.4,8.3,63,0,0,0,180,4.1,10
1,4,22,14.5,8.3,66,0,0,0,180,4.6,10
1,4,23,13.8,8.3,69,0,0,0,180,3.6,9
1,4,24,14.2,8.7,69,0,0,0,180,3.6,0
1,5,1,13.2,7.9,70,0,0,0,180,2.3,6
1,5,2,12.9,7.6,70,0,0,0,203,2.4,5
1,5,3,12.1,7.0,71,0,0,0,203,3.1,1
1,5,4,12.8,7.2,69,0,0,0,203,3.5,1
1,5,5,13.2,7.2,67,63,36,47,203,4.2,1
1,5,6,13.8,7.7,67,265,538,98,203,3.6,1
1,5,7,15.0,6.5,57,521,884,78,203,4.7,4
1,5,8,16.6,6.1,50,754,1004,74,158,4.5,4
1,5,9,19.4,4.0,36,919,997,98,158,5.1,5
1,5,10,20.5,4.3,34,1007,931,145,158,3.7,3
1,5,11,22.4,3.4,29,1041,868,190,158,3.4,3
1,5,12,22.9,3.7,29,1041,871,187,158,3.1,1
1,5,13,24.9,1.9,22,1007,940,136,158,3.8,1
1,5,14,25.2,1.9,22,919,1008,88,180,4.5,1
1,5,15,25.1,2.5,23,754,1019,64,180,5.1,1
1,5,16,23.6,3.3,27,521,910,65,180,6.4,4
1,5,17,21.9,4.4,32,265,587,84,158,7.3,5
1,5,18,20.4,4.4,35,63,36,43,158,8.2,0
1,5,19,18.1,6.1,45,0,0,0,158,7.7,0
1,5,20,16.3,6.4,52,0,0,0,135,7.2,0
1,5,21,14.8,6.6,58,0,0,0,135,6.2,0
1,5,22,13.7,6.2,60,0,0,0,135,5.0,0
1,5,23,12.8,6.0,63,0,0,0,135,3.8,0
1,5,24,12.8,5.8,62,0,0,0,135,2.1,0
1,6,1,11.7,5.3,65,0,0,0,135,1.8,0
1,6,2,11.5,5.6,67,0,0,0,135,1.6,0
1,6,3,11.1,5.3,67,0,0,0,135,3.1,0
1,6,4,11.8,6.5,70,0,0,0,135,2.4,4
1,6,5,12.5,7.0,69,63,36,46,135,3.1,3
1,6,6,13.5,7.2,66,264,533,99,135,2.6,1
1,6,7,15.0,7.9,62,519,880,79,135,4.0,1
1,6,8,16.8,7.9,56,752,1000,75,90,4.0,1
1,6,9,19.4,8.9,51,916,993,99,90,3.6,1
1,6,10,21.3,6.5,38,1005,927,146,90,3.2,1
1,6,11,23.5,5.0,30,1039,863,192,90,3.0,1
1,6,12,24.9,1.6,22,1039,867,189,90,4.1,1
1,6,13,26.9,1.9,20,1005,935,138,90,3.6,1
1,6,14,27.7,0.9,18,916,1005,89,113,4.6,3
1,6,15,28.2,0.6,17,752,1015,65,113,5.1,3
1,6,16,27.1,1.6,19,519,906,66,113,7.7,4
1,6,17,25.8,2.8,22,264,581,84,135,9.2,5
1,6,18,24.0,6.0,31,63,36,42,135,10.3,4
1,6,19,22.1,6.5,36,0,0,0,135,10.7,9
1,6,20,20.1,8.1,46,0,0,0,135,10.4,9
1,6,21,18.3,9.1,55,0,0,0,135,9.8,10
