Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,27.5,14.0,44,1038,936,108,180,11.2,0
1,1,15,27.0,14.1,45,890,868,126,180,11.8,0
1,1,16,25.3,14.4,51,702,811,118,180,12.4,0
1,1,17,24.0,14.7,56,493,761,94,180,12.4,0
1,1,18,22.8,14.7,60,263,632,68,180,11.8,0
1,1,19,21.8,15.0,65,62,247,29,180,11.7,5
1,1,20,21.1,15.2,69,0,0,0,180,11.3,5
1,1,21,20.6,15.3,72,0,0,0,180,12.3,5
1,1,22,20.5,15.2,72,0,0,0,180,10.8,5
1,1,23,20.3,15.2,73,0,0,0,158,10.6,5
1,1,24,19.8,15.5,76,0,0,0,158,8.7,1
1,2,1,19.6,15.0,75,0,0,0,158,9.6,5
1,2,2,18.9,14.9,78,0,0,0,180,8.9,5
1,2,3,19.5,14.3,72,0,0,0,180,9.3,3
1,2,4,17.9,14.6,81,0,0,0,180,7.0,4
1,2,5,18.1,14.3,78,0,0,0,158,6.0,4
1,2,6,17.8,14.6,82,61,201,30,158,4.6,1
1,2,7,20.3,13.9,67,266,605,64,158,4.7,3
1,2,8,22.1,13.6,59,505,801,72,135,4.8,3
1,2,9,24.7,12.6,47,720,903,74,135,5.1,0
1,2,10,26.1,12.9,44,900,950,78,135,6.4,0
1,2,11,27.7,12.6,39,1030,973,80,180,7.7,0
1,2,12,28.2,12.9,39,1097,982,82,180,9.8,0
1,2,13,28.7,12.5,37,1093,981,85,180,10.5,0
1,2,14,28.2,12.9,39,1020,968,84,180,11.6,0
1,2,15,27.6,13.4,42,888,937,87,180,11.8,0
1,2,16,25.9,13.8,47,707,885,87,180,12.2,0
1,2,17,24.6,14.4,53,492,789,85,180,11.7,0
1,2,18,23.4,14.6,58,255,593,72,180,10.8,0
1,2,19,22.6,15.4,64,56,193,31,180,10.0,0
1,2,20,22.0,15.9,68,0,0,0,180,9.0,0
1,2,21,20.7,16.0,74,0,0,0,180,8.2,0
1,2,22,20.9,16.0,74,0,0,0,180,7.3,0
1,2,23,20.2,15.9,76,0,0,0,180,6.7,0
1,2,24,20.1,16.3,79,0,0,0,180,6.7,0
1,3,1,17.9,15.0,83,0,0,0,180,5.5,0
1,3,2,16.6,14.3,86,0,0,0,113,4.8,0
1,3,3,15.9,12.5,80,0,0,0,113,3.1,0
1,3,4,15.0,12.7,86,0,0,0,113,3.4,0
1,3,5,15.3,11.9,80,0,0,0,158,2.8,0
1,3,6,14.4,11.9,85,65,266,25,158,3.1,0
1,3,7,18.5,10.7,60,267,645,56,158,2.5,0
1,3,8,21.2,10.1,49,511,821,69,158,3.0,0
1,3,9,26.6,9.9,35,730,919,73,158,4.1,0
1,3,10,26.9,9.3,33,917,968,74,158,5.1,0
1,3,11,29.0,9.3,29,1056,991,80,203,6.4,0
1,3,12,29.2,8.7,28,1131,1019,73,203,7.2,0
1,3,13,30.3,9.9,28,1133,1026,76,203,8.9,0
1,3,14,29.4,10.6,31,1057,1013,75,203,9.6,0
1,3,15,27.1,12.1,39,917,980,76,203,9.8,0
1,3,16,25.8,12.9,45,728,922,80,203,9.8,3
1,3,17,23.9,14.1,54,505,831,76,180,9.3,4
1,3,18,23.5,15.6,61,264,661,63,180,9.8,1
1,3,19,21.2,16.1,73,61,250,28,180,8.1,5
1,3,20,20.7,16.8,78,0,0,0,180,7.6,5
1,3,21,20.3,16.7,80,0,0,0,180,6.2,6
1,3,22,20.7,17.3,81,0,0,0,180,7.2,6
1,3,23,20.8,17.2,80,0,0,0,180,7.3,6
1,3,24,19.7,17.0,84,0,0,0,180,7.2,3
1,4,1,19.9,16.4,80,0,0,0,180,7.4,3
1,4,2,19.0,16.0,83,0,0,0,180,7.1,3
1,4,3,19.7,15.8,78,0,0,0,180,8.7,3
1,4,4,17.3,15.3,88,0,0,0,180,6.2,5
1,4,5,16.9,15.0,89,0,0,0,158,5.7,5
1,4,6,15.4,14.1,92,67,166,35,158,3.1,1
1,4,7,18.2,15.0,82,233,257,152,158,5.4,4
1,4,8,19.8,15.0,74,375,207,256,180,5.8,4
1,4,9,23.1,15.8,63,626,509,245,180,7.7,4
1,4,10,23.5,14.8,58,910,831,159,180,7.5,3
1,4,11,25.1,14.7,52,1037,921,108,180,8.7,3
1,4,12,25.3,14.4,51,1103,954,102,180,9.8,1
1,4,13,26.5,14.2,47,1100,964,101,180,10.6,1
1,4,14,26.2,13.9,47,1035,965,93,203,11.1,1
1,4,15,25.5,12.7,45,904,940,91,203,10.8,1
1,4,16,24.4,13.6,51,720,890,88,203,10.9,1
1,4,17,23.3,13.8,55,498,790,87,180,10.3,1
1,4,18,22.9,15.2,62,258,635,66,180,9.8,1
1,4,19,21.9,14.7,64,58,225,29,180,8.5,1
1,4,20,21.6,15.2,67,0,0,0,180,7.6,1
1,4,21,20.8,15.5,72,0,0,0,180,6.2,1
1,4,22,21.2,16.7,75,0,0,0,180,6.1,1
1,4,23,20.8,17.3,80,0,0,0,180,5.5,1
1,4,24,20.4,17.9,86,0,0,0,180,5.7,1
1,5,1,19.4,18.4,94,0,0,0,180,4.1,5
1,5,2,18.8,18.6,99,0,0,0,203,3.2,5
1,5,3,19.1,17.8,92,0,0,0,203,2.6,0
