Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,28.2,-2.0,14,882,893,146,180,2.6,0
1,1,15,29.9,-3.2,11,715,919,98,180,2.6,0
1,1,16,30.7,-4.5,9,480,799,92,180,2.6,0
1,1,17,31.2,-4.5,9,228,452,98,180,3.1,0
1,1,18,30.7,-6.5,8,40,21,31,180,3.3,0
1,1,19,30.0,-6.5,8,0,0,0,180,3.7,0
1,1,20,28.9,-7.5,8,0,0,0,180,4.1,0
1,1,21,27.5,-5.5,10,0,0,0,180,4.3,0
1,1,22,25.9,-4.5,13,0,0,0,158,4.4,0
1,1,23,24.1,-3.6,15,0,0,0,158,4.6,0
1,1,24,22.7,-2.8,18,0,0,0,158,4.2,0
1,2,1,21.3,-2.0,20,0,0,0,135,4.3,0
1,2,2,20.9,-0.9,23,0,0,0,135,3.6,0
1,2,3,19.6,-1.2,24,0,0,0,135,4.9,0
1,2,4,19.4,-1.6,24,0,0,0,135,5.6,0
1,2,5,18.8,-2.4,23,40,21,22,135,6.7,0
1,2,6,20.5,-2.4,21,228,612,56,135,7.2,0
1,2,7,21.7,-2.8,19,483,894,49,90,7.9,0
1,2,8,23.6,-4.1,15,719,984,59,90,9.3,0
1,2,9,25.0,-4.0,14,886,952,101,90,8.4,0
1,2,10,26.8,-4.0,12,977,839,194,45,7.9,0
1,2,11,29.0,-3.6,11,1011,702,316,45,5.7,0
1,2,12,30.4,-4.1,10,1011,686,332,45,5.8,0
1,2,13,31.8,-3.6,10,977,799,231,45,4.4,0
1,2,14,32.4,-2.4,10,886,905,140,45,3.1,0
1,2,15,33.8,-2.8,9,719,931,94,45,2.0,0
1,2,16,34.3,-2.4,9,483,811,88,135,1.3,0
1,2,17,34.4,-4.6,8,228,462,96,135,2.6,0
1,2,18,33.9,-1.7,10,40,21,30,135,1.0,0
1,2,19,33.1,-1.3,11,0,0,0,0,0.0,0
1,2,20,32.7,0.8,13,0,0,0,0,0.0,0
1,2,21,30.7,-0.6,13,0,0,0,0,0.0,0
1,2,22,29.2,-0.5,14,0,0,0,113,2.4,0
1,2,23,26.4,-0.5,17,0,0,0,113,3.1,0
1,2,24,25.9,-0.9,17,0,0,0,113,2.4,0
1,3,1,24.5,-0.9,18,0,0,0,90,2.4,0
1,3,2,24.7,-2.0,17,0,0,0,90,2.6,0
1,3,3,22.7,-1.6,19,0,0,0,90,2.6,0
1,3,4,22.4,-2.0,19,0,0,0,90,2.8,0
1,3,5,21.5,-2.8,19,38,21,22,90,3.1,0
1,3,6,23.5,-4.0,15,223,571,62,90,3.8,0
1,3,7,24.7,-5.0,13,471,855,57,90,4.3,0
1,3,8,26.9,-5.4,11,703,945,69,90,4.6,0
1,3,9,28.3,-7.0,9,868,910,118,90,5.4,0
1,3,10,30.4,-7.5,7,957,791,219,45,5.7,0
1,3,11,32.8,-7.5,7,991,650,348,45,6.2,0
1,3,12,34.1,-7.0,6,991,633,365,45,5.9,3
1,3,13,35.5,-5.9,6,957,748,259,0,5.7,3
1,3,14,35.7,-4.1,7,868,857,161,0,5.7,1
1,3,15,37.0,-3.2,7,703,885,109,0,5.2,4
1,3,16,37.1,-2.4,8,471,762,101,90,4.9,4
1,3,17,37.0,-2.8,8,223,419,103,90,4.1,3
1,3,18,35.9,-0.2,10,38,21,30,90,4.3,3
1,3,19,34.9,0.8,12,0,0,0,113,4.1,3
1,3,20,34.1,2.9,14,0,0,0,113,4.1,3
1,3,21,32.4,2.3,15,0,0,0,113,3.8,4
1,3,22,31.1,3.2,17,0,0,0,90,3.8,4
1,3,23,29.3,4.2,20,0,0,0,90,4.1,4
1,3,24,28.5,5.0,22,0,0,0,90,4.0,4
1,4,1,27.6,6.4,26,0,0,0,90,4.3,4
1,4,2,26.9,5.7,26,0,0,0,90,4.6,4
1,4,3,26.5,8.5,32,0,0,0,90,5.4,4
1,4,4,26.4,9.1,34,0,0,0,68,6.1,4
1,4,5,26.7,10.5,36,37,20,23,68,6.7,0
1,4,6,27.0,9.1,32,219,545,65,68,7.2,3
1,4,7,27.8,8.3,29,464,828,63,68,7.5,3
