Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,35.8,16.0,31,86,0,86,225,4.3,8
1,1,15,33.5,18.1,40,339,130,257,225,5.1,8
1,1,16,32.6,17.6,41,522,1041,31,225,4.1,8
1,1,17,30.9,18.8,49,236,505,41,338,3.8,8
1,1,18,29.3,20.1,58,31,11,14,338,3.1,8
1,1,19,28.1,21.0,65,0,0,0,338,2.9,8
1,1,20,27.3,21.6,71,0,0,0,0,2.4,6
1,1,21,26.8,21.7,74,0,0,0,0,2.1,6
1,1,22,26.6,21.5,74,0,0,0,0,1.3,8
1,1,23,26.5,21.0,72,0,0,0,0,0.0,8
1,1,24,25.8,21.1,75,0,0,0,0,0.0,6
1,2,1,26.1,20.2,70,0,0,0,0,0.0,8
1,2,2,25.8,19.8,70,0,0,0,0,0.0,8
1,2,3,25.6,19.5,69,0,0,0,0,0.0,5
1,2,4,25.3,19.5,70,0,0,0,0,0.0,8
1,2,5,25.4,19.6,70,6,2,5,0,0.0,8
1,2,6,26.0,19.6,68,111,60,97,0,0.0,8
1,2,7,27.0,19.7,64,314,270,197,0,0.0,8
1,2,8,28.5,19.6,59,347,56,310,0,0.0,8
1,2,9,30.6,19.1,50,544,138,434,0,0.0,9
1,2,10,32.1,18.5,45,736,283,476,0,0.0,9
1,2,11,33.9,17.6,38,489,19,470,338,0.7,9
1,2,12,34.2,17.1,36,542,26,516,338,1.5,9
1,2,13,36.1,15.6,30,631,143,498,338,1.6,9
1,2,14,36.3,14.9,28,647,308,389,90,2.0,9
1,2,15,37.0,13.9,25,478,231,324,90,1.5,9
1,2,16,35.3,14.5,29,200,22,189,90,2.4,9
1,2,17,34.4,14.9,31,81,9,78,0,2.4,9
1,2,18,33.5,15.5,34,14,7,13,0,3.1,9
1,2,19,32.6,16.1,37,0,0,0,0,1.7,9
1,2,20,31.9,16.8,40,0,0,0,0,0.0,9
1,2,21,31.3,17.1,43,0,0,0,0,0.0,9
1,2,22,30.9,17.4,44,0,0,0,0,0.0,9
1,2,23,30.4,17.4,46,0,0,0,0,0.0,9
1,2,24,30.6,16.9,44,0,0,0,0,0.0,9
1,3,1,29.3,17.4,49,0,0,0,0,0.0,8
1,3,2,28.7,17.2,50,0,0,0,0,0.0,8
1,3,3,28.4,17.4,51,0,0,0,0,0.0,5
1,3,4,28.1,17.1,51,0,0,0,0,0.0,6
1,3,5,28.3,17.1,51,11,3,9,225,0.2,6
1,3,6,28.1,17.1,51,128,160,86,225,1.0,6
1,3,7,30.1,17.0,45,350,469,155,225,0.8,5
1,3,8,31.7,16.7,41,431,237,271,270,1.2,5
1,3,9,34.3,16.0,34,836,884,128,270,1.0,8
1,3,10,35.6,15.4,30,981,893,159,270,2.1,8
1,3,11,37.3,14.4,26,983,688,304,90,2.5,8
1,3,12,38.7,13.5,22,900,467,438,90,2.6,8
1,3,13,39.5,12.1,20,817,458,392,90,3.1,6
1,3,14,39.7,11.1,18,703,462,326,90,3.2,8
1,3,15,39.0,9.7,17,222,7,217,90,4.1,9
1,3,16,38.3,10.2,18,175,16,167,90,3.0,9
1,3,17,37.0,10.4,20,58,3,57,248,2.6,9
1,3,18,35.6,11.1,23,9,1,9,248,1.5,9
1,3,19,34.2,12.0,26,0,0,0,248,1.4,9
1,3,20,32.9,13.1,30,0,0,0,0,0.0,8
1,3,21,31.9,14.1,34,0,0,0,0,0.0,8
