Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,27.8,14.9,45,921,774,205,248,5.5,3
1,1,15,26.3,15.4,51,838,844,143,248,6.2,1
1,1,16,25.3,15.0,53,688,850,109,248,6.8,3
1,1,17,23.4,14.9,59,477,724,110,248,7.1,3
1,1,18,22.2,14.7,62,247,397,120,248,6.2,0
1,1,19,19.5,14.3,72,64,45,53,248,6.7,0
1,1,20,18.0,13.9,77,0,0,0,225,6.2,0
1,1,21,16.3,13.4,83,0,0,0,225,6.7,0
1,1,22,16.2,13.1,82,0,0,0,225,5.3,0
1,1,23,15.8,12.7,82,0,0,0,203,5.0,0
1,1,24,15.4,12.4,82,0,0,0,203,4.6,0
1,2,1,14.9,12.1,83,0,0,0,203,5.0,0
1,2,2,14.4,11.9,85,0,0,0,180,5.0,0
1,2,3,14.5,11.9,84,0,0,0,180,4.6,0
1,2,4,13.6,11.8,89,0,0,0,180,4.8,0
1,2,5,13.5,11.6,88,0,0,0,158,4.5,0
1,2,6,13.2,11.4,89,69,44,45,158,4.6,0
1,2,7,15.0,11.8,81,269,628,71,158,3.5,0
1,2,8,16.6,12.1,75,519,928,49,180,3.1,0
1,2,9,19.3,13.1,67,746,1026,48,180,2.6,0
1,2,10,21.0,12.6,59,906,1017,69,180,2.8,0
1,2,11,23.2,12.9,52,993,952,112,248,3.1,0
1,2,12,24.6,11.9,45,1027,885,160,248,3.6,0
1,2,13,26.2,13.7,46,1027,881,165,248,4.3,0
1,2,14,26.6,13.9,46,993,942,121,248,5.1,0
1,2,15,26.4,15.2,50,906,1004,79,248,5.7,0
1,2,16,25.0,14.2,51,746,1011,59,248,6.3,0
1,2,17,23.3,14.2,57,519,900,63,248,6.6,0
1,2,18,21.5,14.0,62,269,567,89,248,6.7,0
1,2,19,19.6,13.9,70,69,44,51,248,6.5,0
1,2,20,17.9,13.6,76,0,0,0,225,6.2,0
1,2,21,16.1,12.5,79,0,0,0,225,6.2,0
1,2,22,15.5,13.0,85,0,0,0,225,5.6,0
1,2,23,14.8,12.6,87,0,0,0,225,5.3,0
1,2,24,14.8,12.9,88,0,0,0,225,4.6,0
1,3,1,14.0,12.1,88,0,0,0,225,4.9,0
1,3,2,13.8,12.1,89,0,0,0,203,4.6,0
1,3,3,13.7,12.6,93,0,0,0,203,4.6,0
1,3,4,13.8,12.4,91,0,0,0,203,4.1,0
1,3,5,14.1,12.8,92,0,0,0,135,3.8,0
1,3,6,14.1,12.5,90,69,44,45,135,4.6,0
1,3,7,16.2,13.3,83,270,635,70,135,3.3,3
1,3,8,17.9,13.6,76,520,936,48,45,3.2,3
