Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,22.7,11.6,49,540,39,506,0,0.0,10
1,1,15,21.9,11.9,53,458,38,429,0,0.0,10
1,1,16,21.1,11.4,54,341,29,324,225,0.7,10
1,1,17,21.0,10.9,52,207,15,201,225,1.0,10
1,1,18,18.4,10.7,61,85,5,84,225,2.3,8
1,1,19,16.8,10.7,67,10,1,10,225,2.9,8
1,1,20,15.3,10.8,75,0,0,0,225,3.2,6
1,1,21,14.0,11.2,83,0,0,0,180,3.1,6
1,1,22,13.1,11.7,91,0,0,0,180,2.7,5
1,1,23,15.0,9.2,68,0,0,0,180,1.0,0
1,1,24,13.3,11.3,88,0,0,0,180,0.9,5
1,2,1,13.3,11.1,87,0,0,0,180,0.2,5
1,2,2,13.5,10.6,83,0,0,0,0,0.0,5
1,2,3,13.9,9.7,76,0,0,0,0,0.0,5
1,2,4,14.4,8.7,69,0,0,0,0,0.0,5
1,2,5,12.0,9.1,82,19,8,17,0,0.0,1
1,2,6,16.1,6.3,52,167,276,87,0,0.0,4
1,2,7,17.2,5.3,45,400,778,75,0,0.0,4
1,2,8,22.0,0.0,23,642,976,58,0,0.0,0
1,2,9,19.9,3.7,34,835,1012,70,0,0.0,3
1,2,10,21.4,3.5,31,955,962,111,0,0.0,1
1,2,11,21.0,5.8,37,1012,879,174,0,0.0,4
1,2,12,24.2,3.7,26,1027,829,214,0,0.0,1
1,2,13,25.1,4.0,26,1012,864,188,0,0.0,1
1,2,14,25.1,4.5,26,955,939,131,0,0.0,0
1,2,15,25.3,4.5,26,835,984,91,0,0.0,3
1,2,16,24.6,4.8,28,642,935,82,225,0.7,4
1,2,17,25.0,4.0,26,400,695,108,225,1.0,1
1,2,18,21.9,5.5,34,167,218,109,225,2.5,5
1,2,19,20.2,6.2,40,19,8,18,225,3.2,5
1,2,20,18.6,6.7,46,0,0,0,225,3.7,5
1,2,21,17.1,7.4,53,0,0,0,135,3.7,5
1,2,22,15.8,8.1,60,0,0,0,135,3.4,5
1,2,23,16.5,8.7,60,0,0,0,135,2.6,0
1,2,24,14.6,9.1,70,0,0,0,135,1.8,0
1,3,1,13.6,9.5,76,0,0,0,0,0.0,0
1,3,2,13.2,10.3,83,0,0,0,0,0.0,0
1,3,3,12.5,10.3,86,0,0,0,0,0.0,0
1,3,4,12.5,10.3,86,0,0,0,0,0.0,0
1,3,5,12.5,9.5,82,0,0,0,0,0.0,0
