Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,41.0,14.6,21,1024,984,105,225,8.1,3
1,1,15,40.5,15.0,22,882,917,110,225,8.7,3
1,1,16,38.4,16.1,27,690,860,105,225,9.2,4
1,1,17,35.7,17.0,33,460,761,92,225,9.8,4
1,1,18,32.5,18.1,42,218,555,67,225,11.3,1
1,1,19,29.8,18.4,50,34,120,21,225,10.6,5
1,1,20,27.3,18.8,60,0,0,0,225,10.5,5
1,1,21,25.7,18.9,66,0,0,0,225,8.7,5
1,1,22,24.6,19.3,72,0,0,0,225,9.4,6
1,1,23,24.2,19.4,75,0,0,0,225,8.5,6
1,1,24,24.4,19.6,75,0,0,0,225,8.2,6
1,2,1,24.4,19.6,75,0,0,0,225,6.2,6
1,2,2,24.6,19.5,73,0,0,0,225,5.5,6
1,2,3,24.8,19.4,72,0,0,0,225,5.1,6
1,2,4,24.9,19.4,72,0,0,0,225,4.7,6
1,2,5,25.3,19.4,70,0,0,0,203,4.4,6
1,2,6,24.8,19.6,73,27,50,21,203,3.6,8
1,2,7,27.1,19.1,62,257,335,161,203,4.1,5
1,2,8,28.8,18.8,55,444,618,147,203,3.9,4
1,2,9,33.4,17.9,40,665,715,177,203,3.6,4
1,2,10,33.6,17.9,39,854,791,185,203,3.5,4
1,2,11,36.2,17.4,33,1034,874,200,68,3.4,3
1,2,12,36.1,17.1,33,926,490,428,68,4.6,6
1,2,13,40.2,16.4,25,1052,934,127,68,3.8,4
1,2,14,41.0,16.0,23,994,945,112,0,4.3,4
1,2,15,41.9,16.0,22,872,899,113,0,3.6,4
1,2,16,39.9,15.4,24,631,667,161,0,5.5,5
1,2,17,38.2,15.4,26,417,598,128,225,6.1,5
1,2,18,36.7,15.0,28,197,317,106,225,7.2,6
1,2,19,33.8,15.9,34,26,38,22,225,6.8,6
1,2,20,31.7,16.1,39,0,0,0,203,6.8,6
1,2,21,28.7,16.9,49,0,0,0,203,6.2,6
1,2,22,28.3,17.2,51,0,0,0,203,6.3,6
1,2,23,27.1,17.8,57,0,0,0,203,6.0,6
1,2,24,26.5,18.1,60,0,0,0,203,6.7,6
1,3,1,24.9,18.7,68,0,0,0,203,6.0,6
1,3,2,23.9,19.3,75,0,0,0,203,6.1,6
1,3,3,23.9,19.7,77,0,0,0,203,5.1,6
1,3,4,22.8,19.8,83,0,0,0,203,6.2,6
1,3,5,23.0,19.8,82,0,0,0,203,6.2,6
1,3,6,23.4,19.5,79,32,89,22,203,6.2,6
1,3,7,25.6,19.3,68,219,506,76,203,5.7,6
1,3,8,27.8,18.7,58,412,522,155,158,5.3,6
1,3,9,30.3,17.6,47,652,669,194,158,6.2,6
1,3,10,33.3,17.4,39,767,751,139,158,4.6,4
1,3,11,35.9,16.7,32,1006,936,116,90,4.4,3
1,3,12,37.7,18.0,32,1061,950,111,90,3.1,5
1,3,13,39.5,15.9,25,1063,959,113,90,4.6,3
1,3,14,40.0,15.7,24,993,902,150,0,5.0,4
1,3,15,41.6,12.7,18,879,912,111,0,4.6,4
1,3,16,38.8,16.0,26,659,781,126,0,5.9,4
1,3,17,37.3,16.5,29,449,704,108,203,6.2,5
1,3,18,33.0,18.8,43,227,402,114,203,9.3,6
1,3,19,33.6,17.8,39,27,33,23,203,6.1,6
1,3,20,31.9,18.4,45,0,0,0,338,5.6,6
1,3,21,31.8,18.5,45,0,0,0,338,2.1,6
1,3,22,28.9,19.6,57,0,0,0,338,4.3,6
1,3,23,27.7,20.0,63,0,0,0,203,3.7,6
1,3,24,26.2,20.2,70,0,0,0,203,4.1,6
1,4,1,25.8,20.3,72,0,0,0,203,3.0,6
1,4,2,24.8,20.3,76,0,0,0,180,3.1,6
1,4,3,24.7,20.0,75,0,0,0,180,4.1,6
1,4,4,23.7,20.1,80,0,0,0,180,3.7,6
1,4,5,24.0,20.0,78,0,0,0,180,4.2,6
1,4,6,24.0,20.2,79,27,22,24,180,4.1,9
1,4,7,26.4,19.8,67,179,231,108,180,4.5,6
1,4,8,28.3,19.8,60,400,433,196,180,4.3,5
1,4,9,30.8,19.9,52,501,277,310,180,3.1,10
1,4,10,32.2,20.4,50,698,445,319,180,3.5,5
1,4,11,33.5,20.9,48,911,605,329,0,3.1,6
1,4,12,34.6,21.5,47,1035,788,246,0,3.6,8
1,4,13,34.0,22.3,51,1081,826,262,0,2.7,8
1,4,14,33.1,22.9,55,534,127,412,90,2.9,8
1,4,15,30.6,23.5,66,283,3,281,90,3.6,9
1,4,16,29.9,24.0,71,344,93,287,90,3.9,9
1,4,17,28.1,24.2,79,210,77,170,158,4.4,9
1,4,18,27.4,24.4,84,36,0,36,158,4.1,10
1,4,19,25.4,24.1,93,6,0,6,158,4.9,8
1,4,20,24.7,23.9,95,0,0,0,180,4.8,8
1,4,21,24.1,23.4,96,0,0,0,180,4.6,6
1,4,22,24.1,23.1,94,0,0,0,180,3.9,6
1,4,23,23.9,22.8,94,0,0,0,180,3.4,6
1,4,24,23.4,22.5,95,0,0,0,180,3.1,6
1,5,1,23.3,22.2,94,0,0,0,180,3.1,6
1,5,2,23.0,22.2,95,0,0,0,203,3.1,6
1,5,3,23.3,22.4,95,0,0,0,203,4.1,6
1,5,4,23.0,22.7,98,0,0,0,203,3.6,8
1,5,5,23.4,23.1,98,0,0,0,203,3.9,8
1,5,6,23.9,23.1,95,18,2,18,203,2.6,9
1,5,7,25.3,23.8,91,136,67,119,203,4.2,9
1,5,8,26.6,24.2,87,334,166,253,135,4.1,9
1,5,9,27.9,25.1,85,397,143,292,135,5.1,9
1,5,10,28.9,24.7,78,552,172,411,135,3.6,9
1,5,11,29.5,24.7,75,571,43,528,68,3.2,9
1,5,12,29.8,24.2,72,712,79,631,68,3.1,9
1,5,13,29.2,24.8,77,358,20,339,68,2.8,9
1,5,14,28.3,24.7,81,177,1,175,338,2.9,10
1,5,15,27.0,24.9,88,144,1,142,338,2.1,10
1,5,16,26.0,24.4,91,123,2,122,338,3.9,10
1,5,17,24.9,24.1,95,61,0,61,180,4.7,10
1,5,18,24.1,23.7,98,16,0,16,180,6.2,10
1,5,19,23.7,23.5,99,2,0,2,180,6.3,10
1,5,20,23.6,23.4,99,0,0,0,180,7.0,10
1,5,21,24.0,23.3,96,0,0,0,180,8.2,10
1,5,22,24.2,23.3,95,0,0,0,180,7.7,10
1,5,23,24.6,23.4,93,0,0,0,158,7.8,10
1,5,24,24.8,23.6,93,0,0,0,158,6.2,10
1,6,1,25.0,23.7,93,0,0,0,158,7.1,10
1,6,2,25.2,24.0,93,0,0,0,135,6.9,10
1,6,3,24.7,24.1,96,0,0,0,135,7.7,10
1,6,4,25.2,24.5,96,0,0,0,135,6.7,10
1,6,5,25.1,24.7,98,0,0,0,90,6.7,10
1,6,6,25.5,25.1,98,11,4,10,90,6.2,10
1,6,7,25.3,25.1,99,62,2,62,90,6.7,10
1,6,8,25.7,25.1,96,105,1,104,68,6.7,10
1,6,9,26.4,25.0,92,324,46,289,68,6.7,10
1,6,10,26.6,24.8,90,624,169,478,68,6.4,8
1,6,11,27.0,24.6,87,865,396,481,45,6.3,6
1,6,12,26.8,24.3,86,778,313,466,45,6.2,9
1,6,13,27.6,24.2,82,1050,741,314,45,6.1,5
1,6,14,27.5,24.1,82,544,57,491,45,6.1,6
1,6,15,27.7,24.0,80,756,514,326,45,6.2,5
1,6,16,27.0,24.0,84,500,301,297,45,6.3,8
1,6,17,26.7,24.0,85,189,110,130,23,6.4,8
1,6,18,26.3,24.1,88,80,7,78,23,6.2,9
1,6,19,26.0,24.0,89,12,0,12,23,6.0,9
1,6,20,25.8,24.0,90,0,0,0,23,5.6,9
1,6,21,25.7,23.6,88,0,0,0,23,5.1,9
1,6,22,25.6,23.8,90,0,0,0,23,4.3,9
1,6,23,25.5,23.8,90,0,0,0,45,3.6,9
1,6,24,25.4,23.8,91,0,0,0,45,3.1,9
1,7,1,25.0,23.8,93,0,0,0,45,2.4,9
1,7,2,25.0,23.9,94,0,0,0,68,2.2,9
1,7,3,24.7,24.1,96,0,0,0,68,1.5,9
1,7,4,24.9,24.1,95,0,0,0,68,2.3,9
1,7,5,24.9,24.3,96,0,0,0,68,2.6,9
