Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,34.4,20.6,45,1062,1001,93,20,4.3,1
1,1,15,35.5,20.5,42,951,992,79,30,4.1,1
1,1,16,34.9,19.4,40,780,945,80,30,5.3,1
1,1,17,34.3,18.1,38,560,877,66,30,6.5,1
1,1,18,33.7,16.8,37,313,714,58,240,7.7,1
1,1,19,32.2,16.8,40,81,254,47,240,7.2,1
1,1,20,30.8,16.8,43,1,0,1,240,6.7,1
1,1,21,29.3,16.8,47,0,0,0,240,6.2,1
1,1,22,27.8,16.8,51,0,0,0,240,5.6,1
1,1,23,26.4,16.8,56,0,0,0,240,5.1,1
1,1,24,24.9,16.8,61,0,0,0,200,4.6,1
1,2,1,24.2,17.3,65,0,0,0,200,4.5,1
1,2,2,23.5,17.7,70,0,0,0,200,4.4,1
1,2,3,22.8,18.2,75,0,0,0,200,4.4,1
1,2,4,22.1,18.6,81,0,0,0,200,4.3,1
1,2,5,21.4,19.0,86,0,0,0,200,4.2,1
1,2,6,20.7,19.4,92,2,0,2,200,4.1,1
1,2,7,23.0,19.1,79,102,290,56,200,4.1,1
1,2,8,25.4,18.8,67,338,620,103,200,4.1,1
1,2,9,27.7,18.5,57,585,912,53,180,4.1,1
1,2,10,29.6,17.5,48,803,955,80,180,4.6,1
1,2,11,31.5,16.5,41,973,945,130,180,5.2,1
1,2,12,33.4,15.4,34,1079,953,151,80,5.7,1
1,2,13,34.6,16.3,34,1111,945,166,80,4.3,1
1,2,14,35.8,17.1,33,1069,1021,81,80,2.9,1
1,2,15,37.0,17.9,33,957,1006,72,350,1.5,1
1,2,16,36.3,16.0,30,786,910,110,350,4.1,1
1,2,17,35.7,13.9,27,566,859,82,350,6.7,1
1,2,18,35.0,11.4,24,318,705,66,240,9.3,1
1,2,19,33.7,12.7,28,83,265,47,240,8.8,1
1,2,20,32.4,13.9,33,1,0,1,240,8.3,1
1,2,21,31.1,15.0,38,0,0,0,240,7.7,1
1,2,22,29.8,16.1,44,0,0,0,240,7.2,1
1,2,23,28.5,17.1,50,0,0,0,240,6.7,1
1,2,24,27.2,18.0,57,0,0,0,220,6.2,1
1,3,1,26.8,18.1,59,0,0,0,220,6.0,2
1,3,2,26.4,18.2,61,0,0,0,220,5.8,3
1,3,3,25.9,18.3,63,0,0,0,220,5.7,4
1,3,4,25.5,18.4,65,0,0,0,220,5.5,5
1,3,5,25.1,18.4,66,0,0,0,220,5.3,5
1,3,6,24.7,18.5,68,2,0,2,210,5.1,6
1,3,7,26.5,19.5,65,99,281,55,210,4.9,5
1,3,8,28.4,20.4,62,334,610,104,210,4.8,3
1,3,9,30.2,21.2,59,579,898,57,120,4.6,1
1,3,10,30.8,21.3,57,796,937,87,120,4.4,1
1,3,11,31.4,21.3,55,963,986,85,120,4.3,1
1,3,12,32.0,21.4,54,1067,995,99,30,4.1,1
1,3,13,31.9,21.6,54,1100,989,111,30,5.3,1
1,3,14,31.9,21.8,55,1060,993,99,30,6.5,1
1,3,15,31.8,22.0,56,950,983,84,20,7.7,1
1,3,16,32.5,21.0,51,780,937,84,20,7.7,1
1,3,17,33.1,19.9,46,561,869,69,20,7.7,1
1,3,18,33.8,18.8,41,314,707,60,250,7.7,1
1,3,19,32.8,19.0,44,83,254,48,250,7.4,1
1,3,20,31.8,19.2,47,1,0,1,250,7.2,1
1,3,21,30.8,19.3,50,0,0,0,250,6.9,1
