Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,22.6,11.7,50,868,576,336,270,7.5,4
1,1,15,21.7,11.4,52,788,635,265,270,7.7,4
1,1,16,21.5,12.3,56,646,629,217,270,7.8,5
1,1,17,20.7,12.6,60,448,489,199,270,7.4,5
1,1,18,20.3,12.9,62,233,222,161,270,7.2,5
1,1,19,19.5,13.1,66,61,38,56,270,6.1,6
1,1,20,19.2,13.4,69,0,0,0,270,5.4,6
1,1,21,19.2,14.2,73,0,0,0,270,4.6,6
1,1,22,18.9,13.7,72,0,0,0,270,4.5,6
1,1,23,18.6,13.7,73,0,0,0,203,4.4,6
1,1,24,17.8,13.1,74,0,0,0,203,4.6,6
1,2,1,17.6,13.1,75,0,0,0,203,4.2,6
1,2,2,16.8,12.6,76,0,0,0,180,4.1,6
1,2,3,16.8,11.8,72,0,0,0,180,3.6,6
1,2,4,15.6,11.3,76,0,0,0,180,3.8,5
1,2,5,15.5,10.4,72,0,0,0,135,3.6,5
1,2,6,15.2,10.2,72,73,46,53,135,3.6,4
1,2,7,16.7,8.4,58,277,569,95,135,3.2,4
1,2,8,17.9,7.5,51,530,901,73,158,3.3,3
1,2,9,19.7,6.8,43,760,1014,70,158,3.6,3
1,2,10,20.7,6.5,40,921,1006,93,158,3.9,1
1,2,11,22.0,6.8,37,1009,940,140,225,4.6,1
1,2,12,22.7,5.6,33,1042,877,186,225,5.1,1
1,2,13,23.3,7.9,37,1042,873,190,225,6.1,1
1,2,14,23.3,9.0,40,1009,930,149,225,6.7,3
1,2,15,22.9,10.0,44,921,992,105,225,7.1,3
1,2,16,22.2,10.7,48,760,995,82,203,7.2,4
1,2,17,21.5,11.3,52,530,869,89,203,7.0,4
1,2,18,20.7,10.2,51,277,511,113,203,6.7,5
1,2,19,20.0,11.5,58,73,46,57,203,6.0,5
1,2,20,19.3,11.1,59,0,0,0,180,5.4,6
1,2,21,18.8,11.1,61,0,0,0,180,4.6,6
1,2,22,17.8,9.8,59,0,0,0,180,4.3,6
1,2,23,16.9,9.0,60,0,0,0,158,4.0,6
1,2,24,15.5,7.9,61,0,0,0,158,4.1,6
1,3,1,14.9,7.5,61,0,0,0,158,3.5,6
1,3,2,14.0,7.3,64,0,0,0,135,3.4,6
1,3,3,13.9,7.9,67,0,0,0,135,2.6,6
1,3,4,13.4,7.7,68,0,0,0,135,3.1,5
1,3,5,13.9,8.2,68,0,0,0,113,2.9,5
1,3,6,14.5,8.4,67,72,46,53,113,3.1,4
1,3,7,16.8,9.4,62,276,571,94,113,2.5,4
1,3,8,18.9,9.8,55,530,903,72,90,2.4,3
1,3,9,21.5,9.8,47,760,1016,69,90,2.6,3
1,3,10,23.1,10.0,43,921,1008,93,90,2.9,1
1,3,11,24.7,10.2,40,1009,942,139,270,3.4,1
1,3,12,25.7,10.6,39,1043,879,185,270,3.6,1
1,3,13,25.9,10.6,38,1043,875,189,270,4.9,1
1,3,14,25.5,10.9,40,1009,932,148,225,5.6,3
1,3,15,24.0,12.0,47,921,994,104,225,6.7,3
1,3,16,23.6,12.3,49,760,997,82,225,6.2,4
1,3,17,22.5,13.0,55,530,871,88,203,6.0,4
1,3,18,22.4,12.3,53,276,512,112,203,5.1,5
1,3,19,20.8,13.8,64,72,46,57,203,5.0,5
1,3,20,20.1,13.8,67,0,0,0,180,4.4,6
1,3,21,19.4,14.4,73,0,0,0,180,4.1,6
1,3,22,19.2,13.2,68,0,0,0,180,3.5,6
1,3,23,18.6,12.5,68,0,0,0,158,3.4,6
1,3,24,17.2,11.8,71,0,0,0,158,3.6,6
1,4,1,17.1,10.9,67,0,0,0,158,3.7,6
1,4,2,16.3,10.4,68,0,0,0,113,4.0,6
1,4,3,16.7,9.6,63,0,0,0,113,4.1,6
1,4,4,15.7,9.6,67,0,0,0,113,4.5,5
1,4,5,16.4,9.4,63,0,0,0,90,4.4,5
1,4,6,17.3,9.2,59,72,45,52,90,4.1,4
1,4,7,19.8,9.4,51,277,579,93,90,3.7,4
1,4,8,22.4,9.2,43,531,911,70,90,3.3,3
1,4,9,25.2,8.8,35,762,1023,67,90,3.0,3
1,4,10,27.9,8.4,29,925,1015,90,113,2.8,1
1,4,11,30.1,7.9,25,1013,950,135,113,3.0,1
1,4,12,32.7,6.3,19,1046,887,180,113,2.6,1
1,4,13,32.0,8.1,23,1046,883,184,113,4.0,1
1,4,14,31.7,8.8,24,1013,940,144,203,4.6,3
1,4,15,29.5,11.3,32,925,1002,101,203,6.2,3
1,4,16,29.2,11.5,33,762,1005,79,203,5.6,4
1,4,17,27.5,12.8,40,531,880,86,225,5.7,4
1,4,18,26.3,13.1,44,277,520,110,225,4.6,5
1,4,19,24.5,15.0,55,72,45,56,225,5.0,5
1,4,20,23.4,15.4,61,0,0,0,180,4.3,6
1,4,21,23.1,15.8,63,0,0,0,180,4.1,6
1,4,22,21.8,14.8,64,0,0,0,180,3.2,6
1,4,23,21.1,13.9,63,0,0,0,180,3.0,6
1,4,24,20.5,12.8,61,0,0,0,180,3.0,6
1,5,1,19.8,11.6,59,0,0,0,180,3.3,6
1,5,2,19.2,10.4,57,0,0,0,90,3.8,6
1,5,3,18.7,9.6,55,0,0,0,90,4.2,6
1,5,4,18.6,9.2,54,0,0,0,90,4.5,6
1,5,5,19.1,9.0,52,0,0,0,90,4.5,5
1,5,6,19.8,9.2,50,60,44,52,90,4.1,5
1,5,7,22.2,9.4,44,233,282,143,90,4.0,5
1,5,8,24.6,9.4,38,451,564,165,90,3.6,4
1,5,9,27.8,9.8,32,651,693,180,90,4.1,4
1,5,10,30.0,8.6,26,795,688,230,90,3.0,4
1,5,11,32.3,7.9,22,876,618,305,68,3.1,4
1,5,12,33.5,5.6,18,908,551,370,68,2.6,4
1,5,13,34.6,6.8,18,908,545,376,68,4.1,4
1,5,14,34.4,7.0,18,876,601,321,225,4.7,4
1,5,15,33.5,9.8,23,795,661,251,225,5.7,4
1,5,16,31.9,9.6,25,651,656,205,225,5.8,5
1,5,17,30.0,11.3,32,451,513,190,203,5.9,5
1,5,18,28.3,11.8,36,233,235,157,203,5.7,5
1,5,19,26.5,14.4,47,60,39,54,203,5.2,6
1,5,20,25.2,15.2,54,0,0,0,180,4.6,6
1,5,21,24.5,16.1,59,0,0,0,180,4.1,6
1,5,22,23.5,15.4,60,0,0,0,180,3.4,6
1,5,23,22.9,14.7,60,0,0,0,135,3.1,6
1,5,24,21.3,13.6,61,0,0,0,135,2.6,6
1,6,1,21.6,12.5,56,0,0,0,135,3.0,6
1,6,2,21.1,10.9,52,0,0,0,90,3.2,6
1,6,3,22.3,9.0,43,0,0,0,90,3.6,6
1,6,4,20.8,8.5,45,0,0,0,90,3.6,6
1,6,5,21.3,8.1,43,0,0,0,90,3.7,5
1,6,6,20.6,9.6,49,59,44,51,90,4.1,5
1,6,7,23.9,9.0,39,232,277,143,90,3.8,5
1,6,8,25.8,9.6,36,449,556,167,90,3.7,4
1,6,9,28.0,10.2,33,649,686,183,90,3.8,4
1,6,10,30.0,10.5,30,792,681,233,270,4.0,4
1,6,11,31.8,10.5,27,873,611,309,270,4.3,4
1,6,12,32.4,9.8,25,905,545,373,270,4.6,4
1,6,13,33.4,9.8,24,905,539,379,270,5.4,4
1,6,14,33.3,9.1,23,873,594,325,225,6.0,4
1,6,15,32.6,10.5,26,792,654,255,225,7.2,4
1,6,16,31.6,9.1,25,649,649,208,225,6.7,5
1,6,17,30.5,9.7,28,449,506,192,225,6.7,5
1,6,18,29.7,8.7,27,232,230,158,225,6.2,5
1,6,19,28.5,11.1,34,59,38,53,225,6.0,6
1,6,20,27.7,11.6,37,0,0,0,180,5.5,6
1,6,21,26.4,12.6,42,0,0,0,180,4.1,6
1,6,22,26.4,11.6,40,0,0,0,180,4.6,6
