Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,26.7,14.1,46,1000,924,150,225,4.7,3
1,1,15,27.0,13.0,42,914,1003,91,225,4.1,4
1,1,16,25.3,13.0,46,757,1020,62,225,5.3,4
1,1,17,23.7,12.6,50,533,921,61,180,5.6,4
1,1,18,21.0,11.9,56,284,615,84,180,6.2,5
1,1,19,19.9,12.1,61,81,55,56,180,5.8,5
1,1,20,18.3,12.1,67,1,0,0,180,5.6,5
1,1,21,17.2,12.9,76,0,0,0,180,5.1,5
1,1,22,16.4,12.8,79,0,0,0,180,4.6,5
1,1,23,16.2,13.2,82,0,0,0,158,3.9,5
1,1,24,16.8,13.5,81,0,0,0,158,3.6,5
1,2,1,16.2,14.3,89,0,0,0,158,2.4,5
1,2,2,16.1,14.6,91,0,0,0,203,1.8,5
1,2,3,15.7,14.6,93,0,0,0,203,0.5,5
1,2,4,15.7,14.7,94,0,0,0,203,1.3,5
1,2,5,15.6,14.6,94,0,0,0,180,1.5,5
1,2,6,15.3,14.4,94,74,54,61,180,2.6,5
1,2,7,16.3,13.7,85,261,415,125,180,2.3,4
1,2,8,17.3,13.1,76,491,732,117,135,2.8,4
1,2,9,19.5,12.5,64,700,848,122,135,3.1,3
1,2,10,20.4,12.0,59,849,829,168,135,3.7,3
1,2,11,22.0,11.5,51,931,741,250,158,4.0,3
1,2,12,22.7,10.9,47,964,658,325,158,4.1,3
1,2,13,24.3,10.7,42,964,661,321,158,4.4,3
1,2,14,24.5,10.6,42,931,750,242,158,4.5,3
1,2,15,24.6,10.2,40,849,841,158,158,4.6,4
1,2,16,22.9,10.4,45,700,864,112,158,5.0,4
1,2,17,21.3,10.4,50,491,755,105,158,5.2,5
1,2,18,19.1,10.7,58,261,448,114,158,5.7,5
1,2,19,17.4,10.2,63,74,54,58,158,5.5,5
1,2,20,15.6,10.0,69,0,0,0,135,5.4,5
1,2,21,13.9,9.5,75,0,0,0,135,5.1,5
1,2,22,12.9,9.5,80,0,0,0,135,4.8,5
1,2,23,11.9,9.1,83,0,0,0,135,4.4,5
1,2,24,11.6,8.7,82,0,0,0,135,3.6,5
1,3,1,10.7,8.3,85,0,0,0,135,3.5,5
1,3,2,10.3,8.2,87,0,0,0,135,3.4,5
1,3,3,10.3,8.4,88,0,0,0,135,3.6,5
1,3,4,10.3,8.2,87,0,0,0,135,3.6,5
1,3,5,10.7,8.6,87,0,0,0,158,4.0,4
1,3,6,10.4,8.5,88,84,53,56,158,4.1,4
1,3,7,12.7,9.3,80,296,681,75,158,4.9,3
1,3,8,14.5,9.5,72,556,993,49,135,5.3,3
1,3,9,17.9,10.2,61,789,1091,47,135,6.2,1
1,3,10,18.7,10.2,58,952,1078,68,135,5.8,1
1,3,11,20.7,10.6,52,1041,1008,114,180,5.9,1
1,3,12,21.6,10.8,50,1074,939,162,180,5.1,1
1,3,13,23.4,11.1,46,1074,941,160,180,6.1,1
1,3,14,23.6,11.1,45,1041,1013,109,158,6.2,1
1,3,15,23.0,11.1,47,952,1084,64,158,7.2,3
1,3,16,22.0,10.9,49,789,1098,42,158,6.4,3
1,3,17,20.3,10.6,54,556,1005,43,158,6.4,4
1,3,18,18.9,10.2,57,296,710,66,158,5.7,4
1,3,19,16.7,9.7,63,84,53,52,158,6.3,5
1,3,20,15.1,9.1,67,0,0,0,113,6.0,5
1,3,21,13.8,8.5,70,0,0,0,113,6.2,5
1,3,22,13.1,8.3,73,0,0,0,113,5.1,5
1,3,23,12.6,8.3,75,0,0,0,135,4.6,5
1,3,24,12.1,8.3,78,0,0,0,135,3.6,5
1,4,1,11.9,8.3,79,0,0,0,135,4.0,5
1,4,2,11.6,8.5,81,0,0,0,135,4.0,5
1,4,3,11.4,8.7,83,0,0,0,135,4.1,5
1,4,4,11.3,8.7,84,0,0,0,135,4.2,5
1,4,5,11.4,8.7,83,0,0,0,113,4.5,5
1,4,6,12.0,8.7,80,83,53,56,113,5.1,4
1,4,7,13.1,8.7,75,295,677,75,113,5.0,4
1,4,8,14.8,8.7,67,554,991,49,135,5.2,3
1,4,9,17.3,8.7,57,787,1089,47,135,5.1,1
1,4,10,19.4,9.1,51,951,1076,69,135,5.5,1
1,4,11,21.9,9.5,45,1039,1005,115,113,5.5,1
1,4,12,23.5,10.2,43,1073,937,163,113,5.7,1
1,4,13,25.6,10.2,38,1073,939,161,113,5.5,1
1,4,14,26.4,10.7,37,1039,1010,110,135,5.5,1
1,4,15,26.5,10.6,37,951,1081,64,135,5.1,3
1,4,16,25.5,11.3,41,787,1095,43,135,5.6,4
1,4,17,24.0,11.4,45,554,1002,44,113,5.7,4
1,4,18,22.6,11.8,50,295,706,67,113,6.7,5
1,4,19,19.9,11.5,58,83,53,52,113,6.0,5
1,4,20,18.0,11.3,65,0,0,0,135,6.2,5
1,4,21,15.6,11.1,75,0,0,0,135,5.7,5
1,4,22,15.3,11.3,77,0,0,0,135,6.4,5
1,4,23,14.6,11.5,82,0,0,0,113,6.5,5
1,4,24,14.7,11.8,83,0,0,0,113,6.2,5
1,5,1,14.4,12.0,85,0,0,0,113,6.5,5
1,5,2,14.4,12.3,87,0,0,0,113,6.4,5
1,5,3,14.3,12.5,89,0,0,0,113,7.2,6
1,5,4,14.2,12.8,91,0,0,0,113,5.9,6
1,5,5,13.9,12.9,94,0,0,0,113,5.7,8
1,5,6,13.7,13.1,96,26,1,26,113,4.6,8
1,5,7,13.5,13.0,97,97,3,96,113,5.2,8
1,5,8,13.5,12.8,96,191,5,189,135,5.1,8
1,5,9,13.8,12.6,92,289,8,283,135,5.1,8
