Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,41.9,-2.4,6,1031,1058,83,293,5.5,1
1,1,15,41.4,-2.4,6,856,1020,72,293,5.1,1
1,1,16,41.7,-3.2,6,628,932,67,293,5.9,4
1,1,17,40.9,-2.8,6,375,799,50,293,5.7,5
1,1,18,39.9,-2.4,7,136,336,36,293,5.5,5
1,1,19,38.7,-2.0,8,8,2,0,293,5.1,6
1,1,20,37.4,-1.6,8,0,0,0,248,4.6,5
1,1,21,36.1,-1.6,9,0,0,0,248,4.3,5
1,1,22,34.6,-1.6,10,0,0,0,248,4.1,5
1,1,23,33.0,-2.0,10,0,0,0,248,4.1,4
1,1,24,30.6,-0.5,13,0,0,0,248,3.1,0
1,2,1,29.3,-1.2,14,0,0,0,248,4.4,4
1,2,2,27.4,0.2,17,0,0,0,203,4.9,4
1,2,3,25.8,0.2,19,0,0,0,203,6.2,1
1,2,4,24.0,4.3,28,0,0,0,203,5.6,4
1,2,5,22.9,6.2,34,3,1,2,180,5.7,4
1,2,6,22.6,8.6,41,122,324,39,180,5.1,3
1,2,7,22.8,9.0,41,344,767,61,180,5.0,4
1,2,8,23.8,9.6,41,581,908,64,203,4.3,3
1,2,9,25.4,9.4,36,803,985,72,203,3.6,1
1,2,10,27.3,8.4,30,981,1024,83,203,2.8,1
1,2,11,29.3,6.7,24,1103,1047,94,180,2.3,1
1,2,12,30.8,4.3,19,1150,1066,89,180,2.1,1
1,2,13,32.7,1.8,14,1128,1071,86,180,2.2,1
1,2,14,33.6,-0.8,11,1033,1068,78,225,2.6,1
1,2,15,34.3,-4.0,8,861,1030,69,225,3.1,1
1,2,16,34.0,-4.0,8,631,950,58,225,4.1,3
1,2,17,33.5,-3.6,9,358,727,58,203,4.9,4
1,2,18,33.1,-0.1,12,136,223,61,203,6.2,3
1,2,19,31.8,-0.1,13,8,3,6,203,6.1,5
1,2,20,30.8,1.5,15,0,0,0,203,6.3,5
1,2,21,29.8,3.0,18,0,0,0,203,6.3,5
1,2,22,28.7,3.8,20,0,0,0,180,6.2,5
1,2,23,27.6,4.1,22,0,0,0,180,6.1,4
1,2,24,26.6,4.6,24,0,0,0,180,6.2,1
