Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,44.0,3.5,9,937,901,140,270,3.0,3
1,1,15,43.0,7.3,12,808,956,91,270,2.6,4
1,1,16,43.3,5.5,10,601,916,72,270,2.7,5
1,1,17,42.2,6.4,12,345,712,75,225,2.6,5
1,1,18,42.0,2.9,9,112,228,56,225,2.6,5
1,1,19,39.6,7.1,14,3,0,2,225,2.5,6
1,1,20,38.3,6.7,15,0,0,0,225,2.6,6
1,1,21,37.1,5.3,14,0,0,0,225,2.7,5
1,1,22,35.9,3.5,13,0,0,0,225,2.8,5
1,1,23,34.9,1.2,12,0,0,0,225,2.9,5
1,1,24,34.0,-4.5,8,0,0,0,225,2.6,0
1,2,1,32.9,-3.6,9,0,0,0,225,2.7,5
1,2,2,31.9,-4.0,9,0,0,0,225,2.5,5
1,2,3,30.9,-4.0,10,0,0,0,225,2.4,5
1,2,4,30.1,-3.1,11,0,0,0,225,2.4,5
1,2,5,29.6,-1.6,13,3,0,2,180,2.6,5
1,2,6,29.4,-0.5,14,114,216,62,180,2.9,5
1,2,7,29.7,0.6,15,352,710,83,180,3.4,4
1,2,8,30.4,0.6,15,613,931,75,180,4.0,4
1,2,9,31.5,0.2,13,824,977,91,180,4.6,1
1,2,10,33.0,-0.4,12,955,926,136,180,5.0,1
1,2,11,34.7,-1.9,9,1015,842,199,180,5.2,1
1,2,12,36.4,-3.6,7,1030,794,238,180,5.3,1
1,2,13,37.8,-5.4,6,1015,850,191,225,5.2,3
1,2,14,39.0,-5.9,5,955,939,124,225,4.9,3
1,2,15,40.0,-6.4,5,824,992,80,225,4.6,4
1,2,16,39.7,-5.0,6,613,953,63,225,4.0,4
1,2,17,39.4,-3.6,6,352,751,68,225,3.5,4
1,2,18,39.0,-4.0,6,114,244,54,225,2.6,4
1,2,19,37.5,-0.5,9,3,0,2,225,2.7,6
1,2,20,36.1,0.5,11,0,0,0,225,2.4,6
1,2,21,34.6,0.9,12,0,0,0,225,2.2,5
1,2,22,33.1,0.9,13,0,0,0,225,2.0,5
1,2,23,31.7,0.5,14,0,0,0,225,1.8,5
1,2,24,31.0,-3.1,10,0,0,0,225,1.0,0
1,3,1,29.3,-1.9,13,0,0,0,225,1.2,5
1,3,2,28.3,-2.3,13,0,0,0,225,0.9,5
1,3,3,27.6,-1.9,14,0,0,0,225,0.6,5
1,3,4,27.2,-1.6,15,0,0,0,225,0.6,5
1,3,5,27.1,-0.5,16,3,0,2,90,0.8,5
1,3,6,27.5,0.2,17,116,236,60,90,1.2,5
1,3,7,28.4,1.2,17,360,757,74,90,1.8,4
1,3,8,29.7,2.1,17,627,975,65,90,2.3,4
1,3,9,32.0,3.5,17,843,1019,78,90,2.6,6
1,3,10,33.0,2.7,15,976,970,118,90,3.1,3
1,3,11,34.8,3.0,14,1036,888,176,90,3.2,3
1,3,12,36.4,3.0,12,1052,841,213,90,2.9,3
1,3,13,37.7,3.2,12,1036,895,169,180,2.5,3
1,3,14,38.5,3.5,12,976,981,108,180,1.9,3
1,3,15,38.0,6.2,14,843,1033,68,180,1.0,5
1,3,16,38.6,4.5,12,627,994,54,180,1.0,4
1,3,17,37.9,5.0,13,360,794,60,90,0.7,5
1,3,18,38.0,2.6,11,116,264,51,90,1.0,3
1,3,19,35.8,5.8,16,3,0,1,90,0.9,5
1,3,20,34.6,5.8,17,0,0,0,90,1.1,5
1,3,21,33.5,5.8,18,0,0,0,90,1.4,5
1,3,22,32.4,5.6,19,0,0,0,135,1.5,5
1,3,23,31.4,5.3,19,0,0,0,135,1.4,5
1,3,24,31.0,3.2,17,0,0,0,135,1.0,0
1,4,1,29.7,4.6,20,0,0,0,135,1.0,5
1,4,2,28.8,4.8,22,0,0,0,135,0.6,5
1,4,3,28.0,5.1,23,0,0,0,135,0.4,5
1,4,4,27.3,4.8,24,0,0,0,135,0.5,5
1,4,5,26.9,4.6,24,2,0,2,90,0.9,5
1,4,6,26.8,4.1,23,113,216,62,90,1.7,5
1,4,7,27.1,3.0,21,351,712,82,90,2.6,4
1,4,8,27.9,1.9,19,613,933,75,90,3.7,4
1,4,9,29.5,-0.4,14,825,979,90,90,4.6,3
1,4,10,30.7,-0.8,13,955,928,135,90,5.1,3
1,4,11,32.5,-1.9,11,1015,844,198,90,5.1,1
1,4,12,34.3,-2.3,9,1031,796,237,90,4.8,1
1,4,13,35.9,-1.5,9,1015,852,190,45,4.0,1
1,4,14,37.1,-0.5,9,955,941,124,45,3.0,3
1,4,15,37.5,4.0,13,825,994,79,45,1.0,1
1,4,16,37.9,2.6,11,613,954,62,45,1.0,4
1,4,17,37.5,3.8,12,351,752,68,225,0.5,4
1,4,18,37.7,0.8,10,113,244,54,225,1.0,0
1,4,19,35.7,5.1,15,2,0,1,225,0.5,0
1,4,20,34.5,4.8,16,0,0,0,225,0.9,0
1,4,21,33.3,4.0,16,0,0,0,225,1.5,0
1,4,22,32.2,3.0,16,0,0,0,135,2.1,0
1,4,23,31.2,1.5,15,0,0,0,135,2.5,0
1,4,24,31.0,-3.1,10,0,0,0,135,2.6,0
1,5,1,29.8,-2.3,12,0,0,0,135,2.8,0
1,5,2,29.0,-2.7,12,0,0,0,135,2.5,0
1,5,3,28.2,-2.3,13,0,0,0,135,2.2,0
1,5,4,27.5,-1.2,15,0,0,0,135,2.1,0
1,5,5,26.8,-0.1,17,2,0,2,90,2.3,0
1,5,6,26.4,0.6,19,96,120,70,90,2.8,0
1,5,7,26.4,1.2,19,301,436,136,90,3.4,0
1,5,8,26.9,1.6,19,529,647,156,90,4.2,0
1,5,9,28.0,2.2,19,716,698,193,90,4.6,0
1,5,10,29.3,1.2,16,835,646,264,90,5.2,0
1,5,11,31.1,0.6,14,891,561,348,90,5.3,0
1,5,12,33.0,0.3,12,906,513,394,90,5.0,0
1,5,13,34.8,-0.1,11,891,572,337,135,4.4,0
1,5,14,36.4,-0.1,10,835,666,246,135,3.7,0
1,5,15,37.7,1.8,11,716,726,172,135,2.6,0
1,5,16,37.9,0.5,10,529,684,135,135,2.4,0
1,5,17,37.7,1.2,10,301,485,118,158,2.2,0
1,5,18,37.5,-2.0,8,96,141,64,158,2.6,0
1,5,19,35.9,2.1,12,2,0,1,158,2.5,0
1,5,20,34.6,2.1,13,0,0,0,158,2.8,0
1,5,21,33.2,1.8,14,0,0,0,158,3.1,0
1,5,22,31.8,1.2,14,0,0,0,135,3.3,0
1,5,23,30.7,0.6,14,0,0,0,135,3.2,0
1,5,24,30.5,-2.3,12,0,0,0,135,2.6,0
1,6,1,29.0,-0.8,14,0,0,0,135,2.5,5
1,6,2,28.2,-0.8,15,0,0,0,135,2.1,5
1,6,3,27.4,-0.8,16,0,0,0,135,2.0,5
1,6,4,26.9,-0.5,17,0,0,0,135,2.1,5
1,6,5,26.6,-0.1,17,2,0,2,90,2.7,5
1,6,6,26.5,0.6,18,96,119,70,90,3.5,5
1,6,7,26.9,1.2,19,301,437,135,90,4.6,5
1,6,8,27.7,1.5,18,529,649,155,90,5.7,4
1,6,9,29.5,1.5,17,717,699,192,90,6.7,1
1,6,10,30.6,1.2,15,835,647,264,90,7.0,1
1,6,11,32.4,0.9,13,892,562,347,90,7.0,1
1,6,12,34.2,0.6,12,907,514,394,90,6.4,1
