Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,33.7,8.7,21,1072,1066,78,23,2.5,1
1,1,15,34.8,9.5,21,925,1008,83,23,3.1,1
1,1,16,33.3,9.3,23,722,916,86,23,3.9,1
1,1,17,32.1,10.0,26,486,787,75,248,4.6,1
1,1,18,30.0,10.1,29,253,576,64,248,6.2,1
1,1,19,28.3,12.0,36,64,56,36,248,5.0,4
1,1,20,26.1,12.9,44,0,0,0,203,4.5,3
1,1,21,23.2,13.8,55,0,0,0,203,2.1,0
1,1,22,21.6,13.8,61,0,0,0,203,2.6,0
1,1,23,19.4,13.8,70,0,0,0,225,1.5,0
1,1,24,18.2,13.8,75,0,0,0,225,1.0,0
1,2,1,15.6,13.0,85,0,0,0,0,0.0,0
1,2,2,14.2,12.5,90,0,0,0,0,0.0,0
1,2,3,13.4,12.2,92,0,0,0,0,0.0,0
1,2,4,13.1,12.4,96,0,0,0,0,0.0,4
1,2,5,13.5,12.5,94,0,0,0,0,0.0,4
1,2,6,13.1,12.2,94,47,34,19,0,0.0,1
1,2,7,16.3,14.0,86,242,563,81,0,0.0,4
1,2,8,18.6,14.7,78,422,494,169,270,1.4,4
1,2,9,23.1,16.8,68,692,855,119,270,1.5,3
1,2,10,23.4,16.0,63,883,977,89,270,2.6,3
1,2,11,25.4,16.1,56,986,892,164,270,3.2,3
1,2,12,25.4,15.1,53,1144,1075,94,270,4.1,4
1,2,13,27.4,15.7,49,1089,914,192,270,4.5,4
1,2,14,27.3,15.1,47,981,772,261,270,5.1,4
1,2,15,26.6,14.9,49,953,1058,69,270,6.2,4
1,2,16,25.5,14.0,49,753,988,67,270,5.9,4
1,2,17,24.2,13.7,52,497,802,75,225,6.0,4
1,2,18,23.8,13.4,52,244,468,83,225,5.1,5
1,2,19,21.8,13.8,60,75,56,50,225,5.2,5
1,2,20,20.8,14.3,66,0,0,0,225,4.4,5
1,2,21,19.1,15.0,77,0,0,0,225,3.1,6
1,2,22,19.4,15.2,77,0,0,0,225,2.6,5
1,2,23,18.6,15.6,83,0,0,0,203,1.7,5
1,2,24,18.1,16.0,88,0,0,0,203,2.1,10
1,3,1,16.7,16.0,96,0,0,0,203,1.0,5
1,3,2,15.4,15.4,100,0,0,0,0,0.0,5
1,3,3,15.0,14.5,97,0,0,0,0,0.0,3
1,3,4,13.7,13.7,100,0,0,0,0,0.0,5
1,3,5,13.9,13.9,100,0,0,0,0,0.0,4
1,3,6,13.9,13.7,99,44,33,19,0,0.0,4
1,3,7,17.0,12.6,75,239,664,47,0,0.0,4
1,3,8,19.8,12.1,61,469,856,53,225,0.6,3
1,3,9,23.9,13.2,51,689,949,58,225,1.5,3
1,3,10,26.4,11.6,40,883,1009,64,225,1.6,3
1,3,11,29.3,11.6,33,1025,1034,75,248,2.3,1
1,3,12,31.3,8.9,25,1125,1079,72,248,2.6,1
1,3,13,32.6,12.3,29,1150,1096,75,248,3.7,1
1,3,14,32.8,12.9,30,1081,1089,64,270,4.1,1
1,3,15,31.4,14.9,37,933,1037,67,270,5.1,1
1,3,16,30.7,14.5,37,733,963,64,270,4.4,4
1,3,17,29.0,15.3,43,506,824,75,270,4.2,4
1,3,18,28.3,16.5,49,267,594,69,270,2.6,5
1,3,19,25.5,17.1,60,67,49,36,270,3.2,4
1,3,20,24.0,17.7,68,0,0,0,225,2.7,4
1,3,21,21.9,17.7,77,0,0,0,225,3.1,3
1,3,22,21.8,18.2,80,0,0,0,225,1.9,3
1,3,23,20.9,18.1,84,0,0,0,203,1.7,3
1,3,24,20.4,16.8,80,0,0,0,203,2.1,3
1,4,1,19.6,16.9,84,0,0,0,203,1.7,3
1,4,2,19.4,16.3,82,0,0,0,0,0.0,3
1,4,3,19.0,17.1,89,0,0,0,0,0.0,3
1,4,4,20.1,14.7,71,0,0,0,0,0.0,4
1,4,5,21.4,13.9,62,0,0,0,113,0.9,4
1,4,6,23.7,11.4,46,42,32,19,113,1.5,1
1,4,7,26.1,12.1,42,222,593,50,0,0.0,1
1,4,8,29.3,11.4,33,447,784,67,0,0.0,1
1,4,9,32.9,11.4,27,669,904,69,90,0.5,1
1,4,10,35.9,10.5,21,861,966,78,90,0.1,1
1,4,11,38.6,10.5,19,1003,1005,81,0,0.0,1
1,4,12,39.9,10.3,17,1103,1048,81,0,0.0,0
1,4,13,40.7,10.8,17,1119,1051,89,0,0.0,1
1,4,14,40.0,11.5,18,1042,1012,97,248,3.6,1
1,4,15,38.1,13.2,23,900,964,94,248,5.1,1
1,4,16,35.8,13.2,26,719,915,83,248,5.0,4
1,4,17,32.9,14.3,33,489,653,142,248,5.2,4
1,4,18,30.7,14.0,36,258,358,136,248,5.7,4
1,4,19,27.6,16.4,50,50,42,42,248,4.3,5
1,4,20,25.8,17.3,59,0,0,0,248,3.4,5
1,4,21,24.2,18.9,72,0,0,0,248,1.5,9
1,4,22,23.9,18.8,73,0,0,0,248,1.5,9
1,4,23,23.6,19.5,78,0,0,0,0,0.0,9
1,4,24,23.1,19.8,82,0,0,0,0,0.0,9
1,5,1,23.0,20.2,84,0,0,0,0,0.0,9
1,5,2,22.8,20.3,86,0,0,0,0,0.0,9
1,5,3,22.8,20.1,85,0,0,0,0,0.0,9
1,5,4,22.3,20.1,87,0,0,0,0,0.0,8
1,5,5,21.9,19.9,88,0,0,0,23,0.3,8
1,5,6,21.4,19.3,88,22,22,19,23,1.0,8
1,5,7,21.9,19.3,85,83,29,75,23,1.4,8
1,5,8,22.3,19.0,82,200,17,192,270,2.0,8
1,5,9,23.3,19.2,78,264,16,253,270,2.1,10
1,5,10,24.0,18.4,71,356,24,336,270,3.3,8
1,5,11,25.0,18.2,66,431,51,383,270,3.8,6
1,5,12,25.7,17.6,61,856,505,361,270,4.1,5
1,5,13,26.5,17.8,59,828,369,467,270,4.7,6
1,5,14,26.6,17.7,58,633,176,472,270,5.0,8
1,5,15,26.7,18.1,59,639,233,447,270,6.2,8
1,5,16,25.6,17.6,61,208,16,197,270,5.1,8
1,5,17,24.7,17.5,64,86,17,78,225,4.9,8
1,5,18,23.0,16.8,68,81,32,69,225,4.1,8
1,5,19,22.7,17.5,72,75,10,67,225,4.2,6
1,5,20,22.0,17.4,75,1,0,0,248,3.8,6
1,5,21,22.0,18.0,78,0,0,0,248,2.6,9
1,5,22,21.1,17.1,78,0,0,0,248,3.1,5
1,5,23,20.9,16.9,78,0,0,0,203,2.9,5
1,5,24,20.7,16.2,75,0,0,0,203,4.1,5
1,6,1,20.3,16.2,77,0,0,0,203,2.9,5
1,6,2,19.8,15.8,78,0,0,0,203,3.2,6
1,6,3,18.8,15.2,80,0,0,0,203,3.1,10
1,6,4,18.8,15.3,80,0,0,0,203,4.0,6
1,6,5,18.5,14.8,79,0,0,0,135,4.5,6
1,6,6,18.8,15.1,79,25,22,22,135,4.6,8
1,6,7,19.2,14.1,72,150,125,111,135,5.3,6
1,6,8,20.3,13.5,65,203,183,119,135,5.7,5
1,6,9,22.2,12.3,53,592,748,92,135,5.7,1
1,6,10,24.2,12.5,48,844,945,81,135,6.1,1
1,6,11,26.6,12.2,41,989,989,83,113,6.1,1
1,6,12,29.0,12.3,36,1086,1026,86,113,7.2,1
1,6,13,31.0,11.8,31,1117,1054,83,113,5.9,1
1,6,14,32.6,11.6,28,1044,1033,81,90,5.7,1
1,6,15,32.9,11.6,27,903,977,86,90,4.6,3
1,6,16,33.8,11.8,26,725,906,94,90,5.0,4
1,6,17,33.4,11.8,27,458,549,167,113,4.6,4
1,6,18,33.4,11.6,27,250,360,136,113,3.6,5
1,6,19,31.4,11.6,30,72,56,53,113,3.9,5
1,6,20,29.9,11.4,32,1,0,0,113,3.7,5
1,6,21,28.0,11.4,36,0,0,0,113,4.6,4
1,6,22,26.8,10.9,37,0,0,0,113,3.8,4
1,6,23,25.2,10.5,40,0,0,0,135,4.1,4
1,6,24,23.3,10.1,43,0,0,0,135,5.1,9
1,7,1,21.9,10.3,48,0,0,0,135,4.9,4
1,7,2,20.7,10.5,52,0,0,0,135,5.1,4
1,7,3,20.0,10.9,56,0,0,0,135,3.1,1
1,7,4,19.0,11.2,61,0,0,0,135,5.1,5
1,7,5,18.9,11.6,63,0,0,0,113,4.9,5
1,7,6,19.2,11.9,63,36,27,19,113,5.7,3
1,7,7,20.4,12.4,60,194,439,72,113,4.2,5
1,7,8,22.1,12.8,56,272,216,178,135,3.8,5
1,7,9,24.0,13.1,51,506,440,206,135,5.1,5
1,7,10,26.6,13.2,44,853,918,111,135,3.4,4
1,7,11,28.9,13.7,39,936,866,142,203,3.4,3
1,7,12,31.1,13.8,35,1078,1004,100,203,0.5,3
