Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,24.9,12.4,46,1047,946,147,240,6.9,0
1,1,15,24.3,11.9,46,934,934,127,230,7.2,0
1,1,16,23.8,12.2,48,762,874,122,230,7.2,0
1,1,17,23.3,12.5,51,546,788,101,230,7.2,0
1,1,18,22.8,12.8,53,309,555,102,210,7.2,0
1,1,19,21.5,12.8,58,94,182,63,210,6.2,0
1,1,20,20.1,12.7,62,4,0,4,210,5.1,0
1,1,21,18.8,12.6,67,0,0,0,210,4.1,0
1,1,22,18.0,11.2,64,0,0,0,210,3.9,0
1,1,23,17.1,9.6,61,0,0,0,210,3.8,0
1,1,24,16.3,7.8,57,0,0,0,190,3.6,0
1,2,1,15.5,7.6,59,0,0,0,190,2.9,0
1,2,2,14.7,7.4,61,0,0,0,190,2.2,0
1,2,3,13.9,7.1,64,0,0,0,190,1.5,0
1,2,4,14.0,7.0,63,0,0,0,190,1.0,0
1,2,5,14.1,6.8,61,0,0,0,190,0.5,0
1,2,6,14.2,6.6,60,17,0,17,0,0.0,0
1,2,7,15.9,7.1,56,165,244,106,0,0.5,0
1,2,8,17.7,7.6,52,397,579,141,0,1.0,0
1,2,9,19.4,8.1,48,631,770,148,150,1.5,0
1,2,10,20.9,8.3,44,834,881,144,150,1.7,0
1,2,11,22.4,8.5,41,987,924,155,150,1.9,0
1,2,12,23.9,5.8,31,1083,981,132,230,2.1,0
1,2,13,24.0,8.9,38,1100,968,145,230,3.5,0
1,2,14,24.2,9.1,38,1053,967,133,230,4.8,0
1,2,15,24.3,9.3,39,939,918,145,230,6.2,0
1,2,16,23.3,9.5,42,767,879,123,230,6.5,0
1,2,17,22.3,9.7,45,550,769,115,230,6.9,0
1,2,18,21.3,9.9,48,312,530,114,200,7.2,0
1,2,19,19.8,10.3,54,95,193,62,200,6.5,0
1,2,20,18.3,10.7,61,4,0,4,200,5.8,1
1,2,21,16.8,11.1,69,0,0,0,200,5.1,1
1,2,22,16.0,11.2,73,0,0,0,200,4.1,1
1,2,23,15.3,11.3,77,0,0,0,200,3.1,0
1,2,24,14.5,11.3,81,0,0,0,200,2.1,0
1,3,1,13.8,10.8,82,0,0,0,200,2.3,0
1,3,2,13.1,10.2,83,0,0,0,200,2.4,1
1,3,3,12.4,9.6,83,0,0,0,180,2.6,1
1,3,4,12.4,9.8,84,0,0,0,180,1.7,1
1,3,5,12.5,10.0,85,0,0,0,180,0.9,1
1,3,6,12.5,10.2,86,17,0,17,0,0.0,1
1,3,7,15.2,10.5,74,161,236,105,0,0.9,1
1,3,8,17.8,10.7,63,392,566,143,0,1.7,1
1,3,9,20.5,10.9,54,626,759,151,200,2.6,1
1,3,10,21.3,11.7,54,821,900,117,200,3.3,3
1,3,11,22.0,12.4,54,943,822,203,200,3.9,5
1,3,12,22.8,13.0,54,949,543,422,250,4.6,6
1,3,13,23.3,12.2,50,1053,729,334,250,5.1,5
1,3,14,23.9,11.4,46,1042,882,202,250,5.7,3
1,3,15,24.4,10.5,42,938,912,148,220,6.2,1
1,3,16,23.3,10.5,44,766,875,124,220,6.0,1
1,3,17,22.2,10.5,47,551,767,116,220,5.9,0
1,3,18,21.1,10.4,50,313,530,114,230,5.7,0
1,3,19,20.0,11.5,58,96,188,63,230,5.2,0
1,3,20,19.0,12.5,66,4,0,4,230,4.6,1
1,3,21,17.9,13.4,75,0,0,0,200,4.1,1
1,3,22,17.3,13.0,76,0,0,0,200,3.6,1
1,3,23,16.8,12.5,76,0,0,0,200,3.1,0
1,3,24,16.2,12.0,76,0,0,0,210,2.6,0
1,4,1,15.1,10.9,76,0,0,0,210,2.8,0
1,4,2,14.0,9.7,75,0,0,0,210,2.9,0
1,4,3,12.9,8.4,74,0,0,0,200,3.1,0
1,4,4,12.7,8.4,75,0,0,0,200,2.2,0
1,4,5,12.6,8.4,76,0,0,0,200,1.4,0
1,4,6,12.4,8.4,77,16,0,16,190,0.5,0
1,4,7,14.7,8.9,68,159,235,104,190,0.3,0
1,4,8,17.1,9.4,61,391,568,141,190,0.2,0
1,4,9,19.4,9.8,54,625,762,149,0,0.0,0
1,4,10,21.0,9.9,49,828,874,146,0,1.7,0
1,4,11,22.6,10.0,45,982,918,157,0,3.4,0
1,4,12,24.2,10.1,41,1074,963,141,260,5.1,0
1,4,13,24.3,10.9,43,1097,959,150,260,5.5,0
1,4,14,24.4,11.6,45,1049,950,145,260,5.8,0
1,4,15,24.5,12.3,47,936,933,128,220,6.2,0
1,4,16,23.6,12.7,50,765,874,123,220,6.0,0
1,4,17,22.8,13.1,54,549,789,101,220,5.9,0
1,4,18,21.9,13.4,58,312,559,102,230,5.7,0
1,4,19,20.8,13.8,64,96,187,64,230,5.2,0
1,4,20,19.6,14.2,71,4,0,4,230,4.6,1
1,4,21,18.5,14.5,78,0,0,0,210,4.1,1
1,4,22,18.0,14.0,77,0,0,0,210,4.3,1
1,4,23,17.5,13.4,77,0,0,0,210,4.4,0
1,4,24,17.0,12.7,76,0,0,0,190,4.6,0
1,5,1,16.1,12.2,78,0,0,0,190,3.4,0
1,5,2,15.1,11.6,80,0,0,0,190,2.2,0
1,5,3,14.2,11.0,81,0,0,0,190,1.0,0
1,5,4,13.6,11.1,85,0,0,0,190,1.7,0
1,5,5,13.1,11.2,88,0,0,0,190,2.4,0
1,5,6,12.5,11.2,92,15,0,15,190,3.1,0
1,5,7,15.0,11.1,77,157,280,91,190,2.2,0
1,5,8,17.6,11.0,65,387,541,151,190,1.4,0
1,5,9,20.1,10.9,55,622,758,150,140,0.5,0
1,5,10,21.3,11.0,52,825,870,147,140,2.0,0
1,5,11,22.6,11.0,48,979,942,134,140,3.6,0
1,5,12,23.8,11.0,45,1072,954,149,270,5.1,0
1,5,13,24.3,11.2,44,1096,952,156,270,5.5,0
1,5,14,24.7,11.4,43,1050,952,144,270,5.8,0
1,5,15,25.2,11.5,42,938,937,126,240,6.2,0
1,5,16,24.4,12.0,46,767,878,121,240,6.0,0
1,5,17,23.6,12.4,49,551,793,100,240,5.9,0
1,5,18,22.8,12.8,53,314,563,101,230,5.7,0
1,5,19,21.5,13.6,61,97,190,64,230,5.0,0
1,5,20,20.1,14.3,69,4,0,4,230,4.3,0
1,5,21,18.8,14.9,78,0,0,0,210,3.6,0
1,5,22,18.3,15.0,81,0,0,0,210,3.3,0
1,5,23,17.8,15.1,84,0,0,0,210,2.9,0
1,5,24,17.3,15.1,87,0,0,0,200,2.6,0
1,6,1,16.7,14.5,87,0,0,0,200,2.8,0
1,6,2,16.1,13.9,87,0,0,0,200,2.9,0
1,6,3,15.5,13.2,86,0,0,0,200,3.1,0
1,6,4,15.2,13.1,87,0,0,0,200,2.2,3
1,6,5,15.0,12.9,87,0,0,0,200,1.4,6
1,6,6,14.7,12.7,88,9,0,9,180,0.5,9
1,6,7,16.7,12.9,78,127,166,88,180,1.7,7
1,6,8,18.6,13.1,70,357,402,183,180,2.9,5
1,6,9,20.6,13.2,63,605,705,168,190,4.1,4
1,6,10,22.1,13.2,57,814,872,136,190,3.8,3
1,6,11,23.5,13.1,52,972,927,142,190,3.4,2
1,6,12,25.0,13.0,47,1067,944,154,240,3.1,1
1,6,13,25.0,13.4,49,1091,942,163,240,4.6,1
1,6,14,24.9,13.7,50,1046,940,151,240,6.2,1
1,6,15,24.9,14.0,51,934,925,132,240,7.7,1
1,6,16,24.1,14.4,55,764,867,126,240,7.2,1
1,6,17,23.3,14.7,58,550,784,103,240,6.7,1
1,6,18,22.5,15.0,63,313,557,103,210,6.2,1
1,6,19,21.3,15.1,68,97,189,64,210,6.0,1
1,6,20,20.0,15.1,73,4,0,4,210,5.9,1
1,6,21,18.8,15.1,79,0,0,0,210,5.7,1
1,6,22,18.2,14.8,80,0,0,0,210,4.3,1
1,6,23,17.7,14.4,81,0,0,0,210,2.9,1
1,6,24,17.1,14.0,82,0,0,0,210,1.5,1
1,7,1,16.3,13.5,83,0,0,0,210,2.2,1
1,7,2,15.6,12.9,84,0,0,0,210,2.9,0
1,7,3,14.8,12.3,85,0,0,0,190,3.6,0
1,7,4,14.3,12.2,87,0,0,0,190,2.6,0
1,7,5,13.8,12.0,89,0,0,0,190,1.5,1
1,7,6,13.3,11.8,91,14,0,14,170,0.5,1
1,7,7,15.6,11.5,77,152,272,89,170,1.2,1
1,7,8,17.9,11.2,65,382,534,151,170,1.9,1
1,7,9,20.2,10.9,55,617,756,149,180,2.6,1
1,7,10,21.8,11.0,50,821,869,146,180,2.6,1
1,7,11,23.3,11.0,46,976,941,134,180,2.6,1
1,7,12,24.9,11.0,42,1070,953,149,250,2.6,1
1,7,13,24.7,11.7,44,1094,950,157,250,4.1,1
1,7,14,24.6,12.3,46,1049,948,146,250,5.7,0
1,7,15,24.4,12.8,48,937,932,129,220,7.2,0
1,7,16,24.0,12.6,49,767,876,122,220,7.2,0
1,7,17,23.6,12.4,49,553,794,100,220,7.2,0
1,7,18,23.2,12.1,50,315,567,101,210,7.2,0
1,7,19,21.9,12.4,55,98,185,65,210,5.7,0
1,7,20,20.6,12.6,60,5,0,5,210,4.1,0
1,7,21,19.3,12.8,66,0,0,0,210,2.6,0
1,7,22,18.7,11.9,65,0,0,0,210,2.6,0
1,7,23,18.0,10.9,63,0,0,0,210,2.6,0
1,7,24,17.4,9.8,61,0,0,0,170,2.6,0
1,8,1,17.5,9.1,58,0,0,0,170,2.1,0
1,8,2,17.7,8.4,55,0,0,0,170,1.5,0
1,8,3,17.8,7.6,51,0,0,0,120,1.0,0
1,8,4,17.4,7.3,52,0,0,0,120,2.6,0
1,8,5,16.9,7.0,52,0,0,0,120,4.1,0
1,8,6,16.5,6.6,52,14,0,14,90,5.7,0
1,8,7,18.0,6.9,48,151,227,99,90,5.2,0
1,8,8,19.6,7.2,45,382,568,138,90,4.6,0
1,8,9,21.1,7.5,41,618,768,144,80,4.1,0
1,8,10,23.1,7.8,37,824,882,140,80,2.7,0
1,8,11,25.2,8.0,34,980,927,151,80,1.4,1
