Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,32.4,24.0,61,917,910,106,315,7.6,1
1,1,15,32.0,23.8,62,731,835,97,315,7.7,1
1,1,16,31.2,23.7,64,531,761,86,315,8.2,1
1,1,17,30.3,23.6,67,311,640,69,293,8.2,1
1,1,18,29.4,23.6,71,108,280,42,293,8.2,1
1,1,19,28.4,23.4,74,3,0,3,293,7.4,5
1,1,20,27.6,23.4,78,0,0,0,248,6.7,5
1,1,21,26.9,23.3,81,0,0,0,248,5.7,3
1,1,22,26.5,23.3,83,0,0,0,248,4.7,5
1,1,23,26.2,23.3,84,0,0,0,270,3.7,5
1,1,24,25.7,23.2,86,0,0,0,270,2.1,1
1,2,1,25.7,23.2,86,0,0,0,270,2.3,4
1,2,2,25.4,23.3,88,0,0,0,270,1.8,4
1,2,3,26.2,23.3,84,0,0,0,270,2.6,0
1,2,4,25.4,23.5,89,0,0,0,270,1.3,4
1,2,5,25.8,23.6,88,0,0,0,203,1.4,4
1,2,6,25.3,23.8,91,75,49,33,203,1.0,1
1,2,7,27.5,23.8,80,289,529,106,203,2.0,1
1,2,8,28.8,23.9,75,531,771,106,315,2.6,1
1,2,9,31.1,24.1,66,744,850,122,315,3.1,1
1,2,10,31.3,24.0,65,919,908,128,315,4.4,1
1,2,11,32.2,23.9,62,1031,944,122,293,5.5,1
1,2,12,32.2,23.7,61,1067,950,119,293,7.2,0
1,2,13,32.9,23.7,59,1042,956,111,293,7.6,1
1,2,14,32.7,23.6,59,933,925,108,293,8.4,3
1,2,15,32.1,23.4,60,772,889,97,293,8.8,1
1,2,16,31.2,23.3,63,569,827,86,293,9.1,1
1,2,17,30.2,23.3,67,331,683,69,270,8.9,1
1,2,18,29.6,23.3,69,108,266,39,270,8.2,1
1,2,19,28.4,23.4,74,3,0,3,270,7.6,1
1,2,20,27.7,23.6,78,0,0,0,270,6.7,1
1,2,21,26.6,24.1,86,0,0,0,270,5.7,1
1,2,22,26.6,24.1,86,0,0,0,270,5.2,4
1,2,23,26.2,24.3,89,0,0,0,270,4.8,4
1,2,24,25.9,24.1,90,0,0,0,270,5.1,0
1,3,1,25.6,24.5,94,0,0,0,270,4.4,0
1,3,2,25.4,24.5,95,0,0,0,270,4.4,0
1,3,3,26.2,24.3,89,0,0,0,270,4.1,0
1,3,4,25.8,24.1,90,0,0,0,270,4.3,5
1,3,5,26.5,23.9,86,0,0,0,270,4.2,5
1,3,6,26.0,24.4,91,58,48,31,270,3.6,3
1,3,7,28.8,23.5,73,294,616,83,270,4.1,4
1,3,8,30.2,23.4,67,531,794,94,270,4.2,4
1,3,9,33.1,22.1,53,750,887,103,270,5.1,1
1,3,10,32.9,23.5,58,922,896,142,270,5.1,1
1,3,11,33.8,23.7,56,1022,927,131,293,5.9,1
1,3,12,33.6,25.0,61,1064,933,133,293,7.2,1
1,3,13,34.1,24.4,57,1025,928,122,293,8.0,1
1,3,14,33.5,24.7,60,933,912,119,293,9.0,3
1,3,15,32.3,24.8,65,767,877,100,293,8.8,3
1,3,16,31.4,25.2,70,553,782,94,293,10.1,4
1,3,17,30.2,25.2,75,328,648,81,293,10.0,4
1,3,18,29.5,24.7,75,111,226,53,293,9.8,1
1,3,19,28.5,24.8,80,3,0,3,293,8.3,5
1,3,20,28.0,24.5,81,0,0,0,270,6.9,5
1,3,21,27.9,24.3,81,0,0,0,270,5.7,5
1,3,22,27.7,23.7,79,0,0,0,270,4.0,5
1,3,23,27.6,23.2,77,0,0,0,270,2.8,5
1,3,24,27.4,23.4,79,0,0,0,270,2.1,3
1,4,1,27.2,22.8,77,0,0,0,270,1.6,5
1,4,2,27.0,22.9,78,0,0,0,0,0.0,5
1,4,3,26.1,22.0,78,0,0,0,0,0.0,1
1,4,4,26.5,23.3,83,0,0,0,0,0.0,5
1,4,5,26.5,23.7,85,0,0,0,23,2.3,5
1,4,6,27.6,24.6,84,53,5,44,23,5.1,8
1,4,7,27.7,24.2,81,189,242,100,23,3.1,5
1,4,8,28.8,24.4,77,533,735,131,0,3.4,4
1,4,9,30.2,24.3,71,733,701,222,0,2.6,4
1,4,10,31.4,24.5,67,903,851,161,0,3.7,3
1,4,11,32.6,24.5,62,1033,921,147,315,3.8,3
1,4,12,32.3,24.4,63,1053,866,189,315,3.1,3
1,4,13,33.9,24.4,58,1039,927,136,315,3.9,3
1,4,14,33.9,24.4,58,942,933,108,293,3.9,4
1,4,15,34.6,24.2,55,775,891,97,293,4.6,8
1,4,16,32.7,24.5,62,561,807,89,293,3.9,5
1,4,17,31.9,24.6,65,328,655,78,315,3.8,5
1,4,18,30.7,25.1,72,94,226,42,315,5.1,1
1,4,19,30.3,25.0,73,3,0,3,315,3.9,1
1,4,20,29.7,25.2,77,0,0,0,338,3.9,1
1,4,21,28.9,25.1,80,0,0,0,338,1.5,1
1,4,22,28.9,25.6,82,0,0,0,338,4.1,1
1,4,23,28.6,25.8,85,0,0,0,0,4.2,1
1,4,24,28.5,26.2,87,0,0,0,0,5.7,1
1,5,1,28.0,25.9,88,0,0,0,0,4.1,5
1,5,2,27.7,25.9,90,0,0,0,315,3.7,5
1,5,3,28.0,25.5,86,0,0,0,315,3.6,8
1,5,4,27.6,25.6,89,0,0,0,315,2.6,6
1,5,5,27.8,25.5,87,0,0,0,293,2.1,6
1,5,6,27.1,25.7,92,72,46,33,293,1.0,4
1,5,7,29.0,25.0,79,297,472,139,293,1.6,4
1,5,8,30.0,24.8,74,536,777,111,293,1.8,4
1,5,9,32.5,24.0,61,800,898,147,293,2.1,4
1,5,10,32.3,24.4,63,831,628,278,293,3.2,3
1,5,11,33.2,24.3,60,1022,933,125,338,4.2,1
1,5,12,32.8,24.7,63,1069,947,125,338,6.2,3
1,5,13,34.2,24.4,57,1008,800,228,338,6.1,3
1,5,14,34.0,24.7,58,947,835,200,338,6.7,3
1,5,15,34.2,25.1,59,767,883,94,338,6.2,4
1,5,16,32.6,25.5,66,569,824,86,338,6.7,4
1,5,17,31.5,25.8,72,328,667,72,338,6.1,5
1,5,18,30.1,25.9,78,103,238,42,338,5.7,1
1,5,19,29.5,26.2,82,3,0,1,338,4.4,1
1,5,20,28.8,26.3,86,0,0,0,293,3.5,1
1,5,21,28.2,26.3,89,0,0,0,293,2.1,1
1,5,22,28.0,25.9,88,0,0,0,293,2.3,1
1,5,23,27.8,25.5,87,0,0,0,338,2.1,1
1,5,24,28.0,25.2,85,0,0,0,338,2.6,1
1,6,1,27.6,24.8,85,0,0,0,338,2.7,4
1,6,2,27.5,24.6,84,0,0,0,338,2.8,5
