Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,33.4,24.2,59,1014,954,115,320,7.0,1
1,1,15,32.9,24.5,61,876,926,103,300,7.2,1
1,1,16,32.1,24.5,64,678,845,103,300,6.9,1
1,1,17,31.2,24.5,68,437,631,129,300,6.5,1
1,1,18,30.4,24.5,71,188,367,88,310,6.2,1
1,1,19,29.9,24.6,73,19,0,19,310,5.4,1
1,1,20,29.4,24.6,76,0,0,0,310,4.6,2
1,1,21,28.9,24.7,78,0,0,0,310,3.8,2
1,1,22,28.4,24.8,81,0,0,0,310,3.1,2
1,1,23,27.9,24.8,83,0,0,0,310,2.3,2
1,1,24,27.4,24.9,86,0,0,0,270,1.5,2
1,2,1,26.9,24.7,88,0,0,0,270,1.0,2
1,2,2,26.5,24.5,89,0,0,0,270,0.5,2
1,2,3,26.0,24.3,90,0,0,0,0,0.0,2
1,2,4,25.9,24.1,90,0,0,0,0,0.0,3
1,2,5,25.8,24.0,90,0,0,0,0,0.0,4
1,2,6,25.7,23.8,89,9,0,9,0,0.0,5
1,2,7,28.3,23.2,74,137,276,76,0,1.0,4
1,2,8,30.9,22.6,61,381,589,122,0,2.1,3
1,2,9,33.5,22.0,51,629,785,127,320,3.1,2
1,2,10,33.4,22.4,53,839,894,120,320,4.1,3
1,2,11,33.3,22.9,54,991,961,105,320,5.2,3
1,2,12,33.2,23.3,56,1074,958,128,320,6.2,3
1,2,13,33.2,23.7,58,1082,955,132,320,7.2,3
1,2,14,33.1,24.1,59,1015,953,116,320,8.3,4
1,2,15,33.0,24.5,61,876,924,104,330,9.3,4
1,2,16,32.2,24.0,62,680,848,102,330,8.8,3
1,2,17,31.5,23.6,63,440,636,128,330,8.2,2
1,2,18,30.7,23.1,64,190,372,88,290,7.7,1
1,2,19,29.7,23.4,69,19,0,19,290,5.5,1
1,2,20,28.7,23.6,74,0,0,0,290,3.2,1
1,2,21,27.7,23.9,80,0,0,0,270,1.0,1
1,2,22,27.3,24.1,83,0,0,0,270,0.7,1
1,2,23,26.8,24.3,86,0,0,0,270,0.3,0
1,2,24,26.4,24.5,89,0,0,0,0,0.0,0
1,3,1,26.5,24.4,88,0,0,0,0,0.7,0
1,3,2,26.6,24.4,88,0,0,0,0,1.4,0
1,3,3,26.7,24.3,87,0,0,0,290,2.1,0
1,3,4,26.2,24.2,89,0,0,0,290,1.4,1
1,3,5,25.6,24.1,91,0,0,0,290,0.7,2
1,3,6,25.1,24.0,94,8,0,8,0,0.0,4
1,3,7,28.2,22.9,73,135,270,76,0,0.5,4
1,3,8,31.2,21.8,57,379,584,122,0,1.0,5
1,3,9,34.3,20.6,45,626,780,128,270,1.5,5
1,3,10,34.4,21.7,48,837,892,121,270,2.7,5
1,3,11,34.6,22.7,50,990,959,106,270,3.9,4
1,3,12,34.7,23.6,53,1073,955,130,330,5.1,4
1,3,13,34.4,23.5,53,1083,955,132,330,5.3,4
1,3,14,34.0,23.3,54,1016,957,113,330,5.5,4
1,3,15,33.7,23.2,54,879,931,100,330,5.7,4
1,3,16,33.0,23.5,58,681,849,102,330,5.3,4
1,3,17,32.3,23.9,61,440,634,129,330,5.0,4
1,3,18,31.6,24.2,65,190,369,89,330,4.6,4
1,3,19,30.9,24.4,68,20,0,20,330,3.8,5
1,3,20,30.2,24.6,72,0,0,0,330,3.1,5
1,3,21,29.5,24.8,76,0,0,0,330,2.3,6
1,3,22,28.8,25.0,80,0,0,0,330,1.5,7
1,3,23,28.1,25.2,84,0,0,0,330,0.8,8
1,3,24,27.4,25.4,89,0,0,0,0,0.0,9
1,4,1,27.4,25.3,88,0,0,0,0,0.7,7
1,4,2,27.5,25.3,88,0,0,0,0,1.4,5
1,4,3,27.5,25.2,87,0,0,0,300,2.1,2
1,4,4,27.0,25.0,89,0,0,0,300,1.9,5
1,4,5,26.5,24.8,90,0,0,0,300,1.7,7
1,4,6,26.0,24.6,92,6,0,6,170,1.5,9
1,4,7,27.7,24.5,83,129,238,77,170,1.3,7
1,4,8,29.3,24.4,75,375,571,125,170,1.2,5
