Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,23.6,16.5,64,916,762,211,225,9.0,3
1,1,15,23.4,15.7,62,833,832,148,225,8.7,1
1,1,16,22.4,16.2,68,684,838,113,225,8.9,3
1,1,17,21.8,16.0,70,475,712,113,225,8.8,3
1,1,18,21.3,16.4,74,246,386,122,225,8.2,0
1,1,19,20.7,15.4,72,63,45,52,225,8.8,0
1,1,20,20.3,15.3,73,0,0,0,203,8.8,0
1,1,21,19.3,15.2,77,0,0,0,203,9.8,0
1,1,22,19.4,14.7,74,0,0,0,203,8.5,0
1,1,23,18.8,14.5,76,0,0,0,180,8.1,0
1,1,24,18.6,13.2,71,0,0,0,180,6.7,0
1,2,1,17.4,13.1,76,0,0,0,180,7.0,0
1,2,2,16.7,12.4,76,0,0,0,180,6.1,0
1,2,3,16.4,11.9,75,0,0,0,180,5.7,0
1,2,4,16.1,11.2,73,0,0,0,180,4.6,0
1,2,5,16.4,11.1,71,0,0,0,180,4.3,0
1,2,6,16.2,11.9,76,71,44,44,180,5.1,0
1,2,7,18.5,11.6,64,277,686,61,180,5.0,0
1,2,8,20.0,12.1,60,534,979,39,180,5.8,0
1,2,9,22.9,12.0,50,767,1072,38,180,5.7,0
1,2,10,22.9,13.4,55,931,1064,54,180,7.8,0
1,2,11,23.8,14.0,54,1019,1003,91,225,8.7,0
1,2,12,23.3,14.3,57,1053,941,133,225,9.8,0
1,2,13,24.2,14.8,56,1053,937,136,225,9.5,0
1,2,14,23.7,14.9,58,1019,995,99,225,9.4,0
1,2,15,22.9,15.9,65,931,1054,63,225,9.3,0
1,2,16,21.8,15.2,66,767,1061,46,225,8.9,0
1,2,17,20.9,15.2,70,534,956,51,203,8.5,0
1,2,18,20.9,14.9,69,277,629,78,203,8.2,0
1,2,19,19.8,15.5,76,71,44,50,203,8.0,0
1,2,20,19.5,15.6,78,0,0,0,203,7.9,0
1,2,21,18.5,15.1,81,0,0,0,203,7.2,0
1,2,22,19.2,15.5,79,0,0,0,203,7.4,0
1,2,23,18.9,15.4,80,0,0,0,203,6.9,0
1,2,24,18.9,15.9,83,0,0,0,203,6.7,0
1,3,1,17.8,14.6,82,0,0,0,203,5.4,0
1,3,2,17.1,14.2,83,0,0,0,158,4.7,0
1,3,3,16.9,13.3,79,0,0,0,158,4.1,0
1,3,4,16.1,13.1,82,0,0,0,158,3.6,0
1,3,5,16.1,12.8,81,0,0,0,158,3.4,0
1,3,6,15.6,12.0,79,70,43,44,158,2.6,0
1,3,7,17.6,12.8,73,275,674,63,158,4.2,3
1,3,8,18.9,13.1,69,531,969,41,203,5.1,3
1,3,9,21.3,14.5,65,763,1064,39,203,7.2,1
1,3,10,21.7,13.7,60,926,1056,57,203,7.4,1
1,3,11,22.8,14.1,58,1014,994,95,225,8.4,1
1,3,12,22.9,13.7,56,1048,931,138,225,9.3,1
1,3,13,23.7,14.3,56,1048,927,141,225,9.6,1
1,3,14,23.5,14.2,56,1014,985,103,225,9.6,1
1,3,15,23.1,13.9,56,926,1045,65,225,8.2,0
1,3,16,22.4,13.9,59,763,1051,48,225,8.4,3
1,3,17,21.7,13.9,61,531,945,53,225,7.6,3
1,3,18,21.6,14.2,63,275,616,80,225,7.2,1
1,3,19,20.7,14.2,66,70,43,49,225,6.0,1
1,3,20,20.3,14.5,69,0,0,0,203,5.4,1
1,3,21,19.3,15.0,76,0,0,0,203,5.7,1
1,3,22,19.6,15.1,75,0,0,0,203,5.0,1
1,3,23,19.2,15.1,77,0,0,0,180,5.0,1
1,3,24,19.0,14.7,76,0,0,0,180,4.1,1
1,4,1,17.7,14.8,83,0,0,0,180,4.9,3
1,4,2,17.1,14.2,83,0,0,0,158,4.8,3
1,4,3,17.0,13.4,79,0,0,0,158,4.6,0
1,4,4,16.6,12.8,78,0,0,0,158,4.1,0
1,4,5,16.9,12.3,74,0,0,0,158,3.8,0
1,4,6,16.5,12.7,78,67,43,45,158,4.1,0
1,4,7,19.0,12.2,65,267,623,71,158,3.6,0
1,4,8,20.4,12.7,61,517,926,50,135,3.9,0
1,4,9,23.1,12.8,52,744,1024,48,135,4.1,0
1,4,10,23.0,14.1,57,904,1015,69,135,5.4,0
1,4,11,23.9,14.8,57,991,949,113,225,6.5,0
1,4,12,23.8,15.6,60,1025,883,162,225,7.7,0
1,4,13,24.4,15.9,59,1025,878,166,225,8.6,0
1,4,14,24.2,16.0,60,991,939,122,203,9.3,0
1,4,15,23.5,15.9,62,904,1002,80,203,9.3,0
1,4,16,23.1,16.0,64,744,1008,59,203,9.4,0
1,4,17,22.5,15.9,66,517,897,64,203,8.9,0
1,4,18,22.3,16.1,68,267,562,90,203,8.7,0
1,4,19,21.5,15.9,70,67,43,50,203,7.2,0
1,4,20,21.0,16.0,73,0,0,0,180,6.2,0
