Month,Day,Hour,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1}
1,1,14,36.9,20.5,39,877,961,102,315,2.9,4
1,1,15,37.3,20.5,38,697,972,71,315,2.6,4
1,1,16,36.0,20.7,41,444,826,75,315,3.1,4
1,1,17,35.6,20.9,43,181,311,82,338,3.2,5
1,1,18,34.8,21.4,46,15,4,11,338,3.6,1
1,1,19,34.8,21.2,45,0,0,0,338,3.3,6
1,1,20,34.5,21.2,46,0,0,0,338,3.3,6
1,1,21,34.1,21.1,47,0,0,0,338,3.3,8
1,1,22,33.7,21.0,48,0,0,0,338,3.2,8
1,1,23,33.1,20.9,49,0,0,0,338,3.1,8
1,1,24,32.4,21.2,52,0,0,0,338,3.1,8
1,2,1,31.8,21.2,54,0,0,0,338,3.0,8
1,2,2,31.1,21.3,56,0,0,0,338,2.8,8
1,2,3,30.6,21.6,59,0,0,0,338,2.6,6
1,2,4,30.3,22.0,61,0,0,0,338,2.4,6
1,2,5,30.4,22.5,63,17,3,11,315,2.2,5
1,2,6,30.9,23.0,63,177,283,89,315,2.0,4
1,2,7,31.7,23.1,60,436,777,88,315,1.9,3
1,2,8,32.8,23.2,57,685,932,85,315,1.9,3
1,2,9,34.1,23.1,53,863,921,120,315,2.0,3
1,2,10,35.4,22.7,48,958,829,193,315,2.1,3
1,2,11,36.5,22.3,44,993,736,270,315,2.3,3
1,2,12,37.2,21.8,41,993,737,269,315,2.5,3
1,2,13,37.5,21.5,40,958,833,190,315,2.6,3
1,2,14,37.4,21.3,39,863,926,116,315,2.8,4
1,2,15,37.6,21.4,39,685,938,81,315,3.1,4
1,2,16,36.3,21.5,42,436,788,84,315,3.1,4
1,2,17,35.6,21.8,45,177,292,86,338,3.3,5
1,2,18,34.5,22.1,49,17,3,10,338,3.6,3
1,2,19,34.3,22.1,49,0,0,0,338,3.5,6
1,2,20,33.8,22.2,51,0,0,0,338,3.6,6
1,2,21,33.4,22.0,51,0,0,0,338,3.7,8
1,2,22,33.0,21.8,52,0,0,0,338,3.6,8
1,2,23,32.6,21.6,52,0,0,0,338,3.5,8
1,2,24,31.9,21.9,56,0,0,0,338,3.4,8
1,3,1,31.4,22.0,58,0,0,0,0,0.0,8
1,3,2,30.8,22.3,61,0,0,0,0,0.0,8
1,3,3,30.4,22.6,63,0,0,0,0,0.0,8
1,3,4,30.2,23.0,65,0,0,0,0,0.0,6
1,3,5,30.3,23.4,67,16,3,11,0,0.0,6
1,3,6,30.9,23.5,65,176,275,91,0,0.0,9
1,3,7,31.6,23.9,64,433,761,92,0,0.0,4
1,3,8,32.7,23.9,60,680,917,90,225,0.9,4
1,3,9,33.9,23.9,56,857,906,126,225,2.1,4
1,3,10,35.4,23.6,51,952,813,202,225,1.6,4
1,3,11,36.5,23.3,47,987,719,280,45,2.1,4
1,3,12,37.2,23.2,45,987,721,279,45,1.5,4
1,3,13,37.7,23.1,43,952,817,198,45,2.7,4
1,3,14,37.7,23.2,44,857,911,122,23,2.8,4
1,3,15,37.9,23.1,43,680,923,86,23,3.6,5
1,3,16,36.4,23.9,49,433,772,87,23,2.1,5
1,3,17,35.4,24.3,53,176,284,88,0,0.0,6
1,3,18,33.4,25.0,62,16,3,10,0,0.0,9
1,3,19,33.3,25.0,62,0,0,0,0,0.0,9
1,3,20,32.3,25.1,66,0,0,0,0,0.0,9
1,3,21,31.4,25.0,69,0,0,0,0,0.0,9
1,3,22,30.6,24.7,71,0,0,0,0,0.0,9
1,3,23,29.8,24.3,72,0,0,0,0,0.0,9
1,3,24,28.0,23.6,77,0,0,0,0,0.0,9
1,4,1,27.7,23.6,78,0,0,0,0,0.0,9
1,4,2,27.5,23.4,78,0,0,0,0,0.0,9
1,4,3,27.5,23.5,79,0,0,0,0,0.0,9
1,4,4,27.9,23.6,77,0,0,0,0,0.0,9
1,4,5,28.6,24.0,76,13,3,11,0,0.0,9
1,4,6,30.3,24.6,72,141,107,115,0,0.0,9
1,4,7,30.9,24.8,70,349,311,208,0,0.0,6
1,4,8,32.3,25.0,65,553,446,265,0,0.0,6
1,4,9,33.1,24.6,61,702,439,349,0,0.0,8
1,4,10,35.0,24.9,56,786,359,455,0,0.0,5
1,4,11,36.0,24.6,52,819,290,535,0,0.0,5
1,4,12,36.9,24.8,50,819,291,533,0,0.0,9
1,4,13,37.2,23.6,46,786,364,451,0,0.0,9
1,4,14,37.3,23.1,44,702,447,342,45,2.1,9
1,4,15,37.9,21.6,39,553,457,258,45,3.6,9
1,4,16,36.9,22.1,43,349,324,203,45,3.7,9
1,4,17,36.4,21.9,43,141,114,113,338,4.3,9
1,4,18,34.7,22.7,50,13,3,11,338,4.1,9
1,4,19,35.0,22.0,47,0,0,0,338,4.7,9
1,4,20,34.1,22.3,50,0,0,0,338,4.4,9
1,4,21,33.1,22.9,55,0,0,0,338,3.8,9
1,4,22,32.0,23.5,61,0,0,0,0,0.0,9
1,4,23,30.9,24.2,68,0,0,0,0,0.0,9
1,4,24,28.4,26.9,92,0,0,0,0,0.0,9
1,5,1,28.4,26.4,89,0,0,0,0,0.0,9
1,5,2,28.0,26.9,94,0,0,0,0,0.0,9
1,5,3,28.0,27.2,95,0,0,0,0,0.0,9
1,5,4,28.4,27.4,94,0,0,0,0,0.0,9
1,5,5,29.1,27.4,91,14,3,11,0,0.0,9
1,5,6,30.7,27.2,82,151,149,112,0,0.0,9
1,5,7,31.4,27.1,78,374,441,176,0,0.0,9
1,5,8,32.8,26.7,70,591,598,206,0,0.0,9
1,5,9,34.0,26.8,66,749,587,276,0,0.0,9
1,5,10,35.1,25.7,58,836,493,382,0,0.0,5
1,5,11,35.8,25.2,55,870,407,470,23,1.1,5
1,5,12,35.9,24.1,51,870,409,468,23,3.1,8
1,5,13,36.1,24.6,52,836,498,377,23,1.1,5
1,5,14,35.8,24.5,52,749,596,269,0,0.0,6
1,5,15,35.3,24.7,54,591,609,199,0,0.0,9
1,5,16,34.6,24.7,57,374,455,169,0,0.0,9
1,5,17,34.0,24.8,59,151,156,110,338,2.3,9
1,5,18,33.4,25.3,63,14,3,11,338,3.1,9
1,5,19,32.9,25.2,64,0,0,0,338,2.8,8
1,5,20,32.4,25.3,66,0,0,0,338,2.8,8
1,5,21,32.0,25.2,67,0,0,0,338,2.5,8
1,5,22,31.4,25.1,69,0,0,0,0,0.0,6
1,5,23,30.7,24.9,71,0,0,0,0,0.0,6
1,5,24,28.4,25.0,82,0,0,0,0,0.0,0
1,6,1,28.6,24.9,80,0,0,0,0,0.0,5
1,6,2,27.8,25.0,85,0,0,0,0,0.0,6
1,6,3,27.2,25.0,88,0,0,0,0,0.0,6
1,6,4,26.8,25.0,90,0,0,0,0,0.0,6
1,6,5,26.7,25.1,91,14,3,11,0,0.0,5
1,6,6,27.2,25.0,88,155,169,109,0,0.0,5
1,6,7,28.1,24.8,82,385,502,159,0,0.0,5
1,6,8,29.5,24.6,75,608,665,180,0,0.0,4
1,6,9,31.1,24.3,67,770,653,243,0,0.0,4
1,6,10,32.8,24.2,61,858,555,347,135,0.3,3
1,6,11,34.3,24.1,55,893,464,437,135,0.1,3
1,6,12,35.5,24.1,52,893,466,435,0,0.0,3
1,6,13,36.1,24.3,51,858,560,342,0,0.0,4
1,6,14,36.1,24.4,51,770,661,237,0,0.0,4
1,6,15,35.6,24.6,53,608,675,173,135,0.4,5
1,6,16,34.7,24.7,56,385,516,153,135,1.1,6
1,6,17,33.5,24.7,60,155,176,107,135,1.8,6
1,6,18,31.0,24.6,69,14,3,11,135,2.6,8
1,6,19,31.2,24.6,68,0,0,0,135,2.8,8
1,6,20,30.2,24.4,71,0,0,0,135,2.9,8
1,6,21,29.6,24.3,73,0,0,0,135,2.7,8
1,6,22,29.1,24.2,75,0,0,0,0,0.0,6
1,6,23,28.9,24.2,76,0,0,0,0,0.0,6
1,6,24,28.8,24.8,79,0,0,0,0,0.0,0
1,7,1,28.5,24.6,79,0,0,0,0,0.0,6
1,7,2,28.2,24.8,82,0,0,0,0,0.0,6
1,7,3,27.8,24.9,84,0,0,0,0,0.0,5
1,7,4,27.5,24.9,86,0,0,0,0,0.0,5
1,7,5,27.5,24.9,86,15,3,11,0,0.0,5
1,7,6,27.9,24.8,83,166,225,100,0,0.0,5
1,7,7,28.6,24.6,79,411,652,119,0,0.0,4
1,7,8,29.8,24.3,72,649,816,124,0,0.0,4
1,7,9,31.3,24.2,66,820,804,171,0,0.0,3
1,7,10,32.9,24.1,60,912,706,261,0,0.0,3
1,7,11,34.5,24.0,55,947,609,348,0,0.0,3
1,7,12,35.9,24.0,50,947,610,347,0,0.0,3
1,7,13,36.9,24.2,48,912,710,257,0,0.0,4
1,7,14,37.5,24.3,47,820,811,166,0,0.0,4
1,7,15,39.7,24.7,43,649,824,118,0,0.0,9
1,7,16,37.6,24.5,47,411,665,114,0,0.0,6
1,7,17,37.2,24.5,48,166,233,97,135,2.3,6
1,7,18,35.0,24.2,54,15,3,11,135,3.6,8
1,7,19,35.8,24.3,52,0,0,0,135,3.4,8
1,7,20,34.9,24.0,53,0,0,0,135,3.6,8
1,7,21,33.9,23.8,56,0,0,0,135,3.4,8
1,7,22,32.8,23.6,59,0,0,0,0,0.0,8
1,7,23,31.5,23.4,62,0,0,0,0,0.0,8
1,7,24,28.8,23.2,72,0,0,0,0,0.0,8
1,8,1,28.4,23.1,73,0,0,0,0,0.0,8
1,8,2,27.6,23.2,77,0,0,0,0,0.0,6
1,8,3,27.1,23.3,80,0,0,0,0,0.0,6
1,8,4,27.2,23.4,80,0,0,0,0,0.0,6
1,8,5,27.8,23.4,77,15,3,10,0,0.0,5
1,8,6,29.0,23.4,72,170,251,95,0,0.0,4
1,8,7,30.6,23.3,65,422,712,104,0,0.0,4
1,8,8,32.5,23.0,57,666,873,104,0,0.0,3
1,8,9,35.0,22.7,49,840,862,145,0,0.0,4
1,8,10,36.0,22.5,46,934,765,228,0,0.0,4
1,8,11,37.1,22.2,42,969,668,312,0,0.0,4
1,8,12,37.7,22.0,41,969,670,310,0,0.0,4
1,8,13,37.6,21.8,40,934,769,224,90,1.1,4
1,8,14,36.9,21.6,41,840,867,141,90,1.2,4
1,8,15,35.0,20.8,44,666,880,99,90,2.6,4
1,8,16,34.7,21.1,45,422,724,99,90,1.1,5
1,8,17,33.5,20.9,48,170,259,91,0,0.0,5
1,8,18,33.0,21.2,50,15,3,10,0,0.0,5
1,8,19,31.8,20.6,52,0,0,0,0,0.0,6
1,8,20,31.4,20.5,52,0,0,0,0,0.0,8
1,8,21,31.1,20.6,54,0,0,0,0,0.0,8
1,8,22,30.9,20.9,55,0,0,0,0,0.0,8
1,8,23,30.6,21.3,58,0,0,0,0,0.0,8
1,8,24,29.8,22.3,64,0,0,0,0,0.0,8
1,9,1,29.0,22.7,69,0,0,0,0,0.0,8
1,9,2,28.2,23.2,74,0,0,0,0,0.0,8
1,9,3,27.6,23.4,78,0,0,0,0,0.0,6
1,9,4,27.3,23.5,80,0,0,0,0,0.0,5
1,9,5,27.5,23.4,78,15,3,10,0,0.0,5
1,9,6,28.3,23.1,73,174,278,89,0,0.0,4
1,9,7,29.5,22.7,67,433,770,89,0,0.0,3
1,9,8,31.0,22.3,60,683,926,87,90,0.2,3
1,9,9,32.6,21.9,53,861,916,122,90,0.7,3
1,9,10,34.2,21.6,48,956,822,197,90,1.2,3
1,9,11,35.6,21.7,45,992,727,276,90,1.9,3
1,9,12,37.1,21.1,40,992,728,275,90,2.6,3
1,9,13,37.0,22.5,43,956,826,194,90,3.1,3
1,9,14,37.2,23.2,45,861,920,118,90,3.5,3
1,9,15,37.0,24.5,49,683,932,83,90,4.1,4
1,9,16,36.7,24.5,50,433,781,85,90,3.3,4
1,9,17,36.2,25.1,53,174,286,86,90,2.9,4
1,9,18,35.4,25.1,55,15,3,10,90,1.5,4
1,9,19,35.3,25.5,57,0,0,0,90,1.6,6
1,9,20,34.7,25.3,58,0,0,0,90,1.0,8
1,9,21,34.0,25.0,60,0,0,0,90,0.5,8
1,9,22,33.2,24.5,60,0,0,0,0,0.0,8
1,9,23,32.2,24.0,62,0,0,0,0,0.0,8
1,9,24,29.5,22.9,68,0,0,0,0,0.0,8
1,10,1,29.6,23.1,68,0,0,0,0,0.0,8
1,10,2,28.8,23.1,71,0,0,0,0,0.0,8
